"company","job-title","level","description","job-url"
"Nigel Frank International","Azure Infra Specialist","Entry level","Azure Infra Specialist/Architect - Permanent Hire - ConsultancyCompany Information:My client is an exciting Helsinki-based consultancy which has earned a great reputation in delivering cutting-edge Microsoft Cloud focused Integration and Data Solutions to the private sector in Finland. With a commitment to excellence and a track record of successful projects, they take pride in our superb quality and industry recognition. As they continue to expand their operations, they are seeking a highly skilled and motivated Cloud Infrastructure Architect to join their team of experts.Role Overview:As a Cloud Infrastructure Architect, you will play a pivotal role in designing and implementing robust and scalable cloud solutions for their large private sector projects. Your expertise will drive the technical direction of the projects, ensuring alignment with best practices and industry standards. You will collaborate closely with cross-functional teams, including developers, engineers, and project managers, to create state-of-the-art solutions that meet and exceed the clients' expectations.Responsibilities: Collaborate with clients and internal teams to understand business requirements and translate them into effective cloud infrastructure solutions. Design, architect, and implement cloud-based integration and data solutions using Microsoft Cloud technologies. Develop and maintain high-level architectural designs, ensuring scalability, reliability, and security of the solutions. Provide technical leadership and guidance to project teams throughout the entire project lifecycle. Conduct performance assessments, capacity planning, and optimization of cloud infrastructure components. Collaborate with stakeholders to define migration strategies and execute seamless transitions to the cloud environment.Required experience: Fluency in Finnish. Proven experience as a Cloud Infrastructure Architect, with a focus on Microsoft Cloud solutions. Strong understanding of cloud-native architecture, microservices, containers, landing zones and serverless computing. IaaC skills (Terraform, ARM Templates or Bicep). Scripting skills with Python/Shell.Reasons to apply: Opportunity to work with a market leader known for its excellence in Microsoft Cloud focused Integration and Data Solutions. Engage in challenging and impactful projects for prominent private sector clients. Collaborate with a team of experienced professionals dedicated to pushing the boundaries of technology. Only exciting work with Azure and all of the latest technologies on the market! Continuous learning and professional growth opportunities through training, certifications, and conferences. Work in a dynamic and innovative environment that values creativity and initiative. High earning potential compared to a lot of the competition: up to 5,500€ + a billable hours bonus that allows earning potential of up to 8000€ total.Any further questions before applying?e.thompson1@nigelfrank.com","https://fi.linkedin.com/jobs/view/azure-infra-specialist-at-nigel-frank-international-3704523479"
"Prog-It","IT-Support Engineer","Entry level","Prog-It is for looking an addition our versatile support team in Finland.The assignment offers opportunities to work in highly creative and exciting IT environments where new solutions are developed alongside dedicated and competent team members.You will work in modern system configurations with high demands for security, reliability, and flexibility.The work will vary and include tasks and responsibilities such as:Daily infrastructure activities, such as troubleshooting and issues resolution.Setting up environments and resources as per customer change requests.Administration of Windows servers and Azure resources using Windows Admin Center and the Azure Dashboard.General administration and security measures in M365 Administrator and Intune.Automation and scripting using tools like PowerShell to streamline tasks and manual work.On-site customer support, including network, server, and workstation assistance.Your Profile and Qualifications:We are looking for individuals with at least one year of experience with IT infrastructure in medium-sized environments. Having a broad overall experience is more valuable than deep specialization.You should have knowledge in several of these areas:Administration of Microsoft systems through Windows Admin Center.Administration in M365, Intune, and Entra.Troubleshooting skills for both Mac and Windows.Working with file synchronization and sharing tools like Datto or similar systems.Automation of manual tasks using PowerShell, for instance.Having certifications or training in areas like Windows Server, Azure, or M365 is highly advantageous.To succeed with us, you are a person who is:Driven and engaged - You can have direct dialogue with our customers and guide them through the technical landscape on your own.Solution-oriented and understands system architecture at a general level.Communicative and possesses good teamwork skills.Furthermore, a driver's license is required, and you should be able to express yourself fluently in speech and write professional texts in English and Finnish.Our Offer:Varied and versatile work.Pleasant and interesting clients.Work with and in international teams.Competitive salary and bonus system.","https://fi.linkedin.com/jobs/view/it-support-engineer-at-prog-it-3708202193"
"Nigel Frank International","Junior/Mid-level Azure Data Engineer","Entry level","The client is a well-establish company that is excelling organically in growth and revenue. They are looking for junior to mid-level Azure Data Engineers with 2+ years of experience to join due to high demand from their clients, as-well as natural expansion of the company.This is a very hands on Data Engineering role. The Candidate will be working heavily with Data Warehousing, ETL, Data Modelling and some reporting.Skills & Qualifications Relevant work experience/certifications/education Azure Stack, ETL Pipeline, Data Warehousing experience, Python, C#, Power BI Fluency in Finnish is a requirement for this roleBenefits Opportunity to become a shareholder in the company Training and paid certifications Occupational health-care Massages, wellness, food vouchers, travel vouchers Very welcoming and supportive environment where everyone wants you to succeed and progress, you will feel very valued here.To learn more, send an updated CV to d.field@nigelfrank.com. Even if this role isn't an exact match, get in touch to discuss your interests.Nigel Frank International is the global leader in Microsoft Technology Recruitment. Since 2006, we've found over 20,000 permanent and contract Microsoft professionals for partners, ISVs, and end users in the ecosystem.","https://fi.linkedin.com/jobs/view/junior-mid-level-azure-data-engineer-at-nigel-frank-international-3730122935"
"Nigel Frank International","Azure Data Engineers","Entry level","Azure Data Engineer - HelsinkiDo you want to work within a strong internal culture that gives you limitless opportunities to grow as a professional and realize your own potential?Our client is an innovative group of experts who offer you the opportunity to complete challenging and interesting assignments utilising the latest Azure technology with colleagues who are amongst the top in the industry.Our client focuses solely on Azure Data Warehousing/Analytics, as well as Azure Integrations, working on fascinating large projects in the private sector. Employees are always working in teams in an open and friendly environment that offers flexible working options.Responsibilities: Work Full-stack with Azure technologies such as Power BI and Azure Data Factory. Design, implement and improve the client's data analytics solutions for their customers. You are involved in the whole process of projects from the design stage to the implementation stage. You work as part of a team building modern data platforms and data pipes in Microsoft Azure cloud environments.What they are looking for: You have a few years of experience in data warehousing (e.g. ETL) or integrations, and especially in Microsoft SQL Server databases. In addition to technical skills, the clients expects you to have experience in teamwork in the customer interface and the ability to promote development work independently. They value the experience of Azure, Microsoft on-premises analytics solutions and Master Data Management, The desire to learn and develop into a top-class Azure expert. Fluency in Finnish & EnglishWhat they offer: Excellent salary & benefits package They have built a quality senior team, sourcing only the best talent across Finland to ensure a high quality output Always work in project teams, no fire fighting Completely Azure based projects in the private sector Outsourced boring maintenance work to ensure colleagues work on only the most interesting and effective tasksSalary: 4500-8000EUR for the right candidateWhilst this position offers remote working all candidates must be located inside Finland with a valid work Visa.All interviews will be carried out remotely.","https://fi.linkedin.com/jobs/view/azure-data-engineers-at-nigel-frank-international-3723949212"
"Jefferson Frank","Azure Data Engineer- Finland- up to 6500€/pm","Entry level","Data Engineer- Finland- up to 6500€/pmMy client is looking for a Data Engineer to join their existing teams due to an increasing amount of demand. Within this position, you will play a key role in developing and designing services and solutions.Responsibilities And Requirements Hands-on experience in working with data processing, data modeling, data integrations, and data storing Knowledge of big data-related technologies like Databricks/Azure Synapse, Apache Spark, and Kafka Experience in Microsoft Azure and related technologies like IoT Hub, Data Factory, Azure Functions, Azure API Management, and Azure Machine Learning Services Passion to continuously learn new things and aim higher Passion to build great products and solve complex customer problems You must be able to speak Finnish and English comfortably and fluently.In return Culture/sport/wellbeing benefits Lunch vouchers Mentoring/training sessions Occupational Healthcare Occupational spectacles Career opportunities Mobile phone Mobile broadband Referral bonus Family/sick leaves Employer-provided bicycle Paid leave days First card-credit card Nursing service for a sick child InsurancesMy client is looking to begin the interview process asap with limited interview spots this and next week, so don't miss out, apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialize in Mobile, Web, and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management, etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/azure-data-engineer-finland-up-to-6500%E2%82%AC-pm-at-jefferson-frank-3677214031"
"Prog-It","Microsoft Infrastructure Services specialist","Entry level","Join our team as a Microsoft Infrastructure Services specialist and play a pivotal role in maintaining, configuring, and operating our clients systems. In this position, you'll be responsible for ensuring the systems' uptime, performance, resource availability, and security.As a Microsoft Hybrid services specialist at Prog-It, you will guide and support our customers and colleagues in maximizing the benefits of using Microsoft's Azure and On-prem infrastructure services. You will design setups, linking resources through Azure services and on-premises servers like Active Directory, Windows server and Microsoft SQL databases. Other tasks include securing systems, monitoring performance, troubleshooting, resolving issues, and maintaining documentation.If that sounds interesting and you're passionate about technology and eager to make a difference, we'd love to hear from you.Apply now and become a part of our dynamic team!Your daily work includes:Participating in various customer projects, from implementing cloud foundations and platforms to transforming workloads into cloud native application.Implement new server and storage systems according to documented plans and change control processes.Pre-sales activity including assisting with writing customer proposals. Deep-diving into our customers' challenges by giving workshops and design recommendations to technical teams and stakeholders.Administer server and storage systems to ensure their continued operations through proactive review of application logs and system consoles.Research warnings, errors and reported issues to determine the root cause; prepare action plans; and document, test and implement solutions.Respond to situation tickets in the assigned support queue in a timely and appropriate manner.Contribute to an atmosphere of knowledge-sharing.Requirements:Bachelor's Degree in computer science, information systems, or business administration; or equivalent combination of education and relevant experience.To be a relevant applicant, you should have:Over three years of experience in Azure or Microsoft on-prem server and services management in production environments.Working experience of Microsoft Azure services, including virtual machines, networking, storage, identity, and access management. As well as Proficiency in Windows Server operating systems (2016 and 2019).Familiarity with Active Directory, Group Policy, and core Windows Server services.Basic understanding of hybrid cloud solutions and architecture.Ability to create, configure, and manage Azure virtual machines, storage accounts, and virtual networks.Proficiency in configuring, maintaining, and troubleshooting on-premises Windows Server setups in virtual environments.Familiarity with Windows Server roles and features like DNS, DHCP, and file services.Experience with monitoring tools in on-premises and cloud environments.Skill in identifying and troubleshooting common server performance, connectivity, and service issues.Understanding of networking concepts: IP addressing, subnets, routing, and firewall rules. Ability to configure and troubleshoot network connectivity. Any certification relevant to Azure or On-prem server administration, for example AZ-104 is of merit.To succeed at Prog-It, you are:Driven and engaged - You can have direct dialogue with our customers and guide them through the technical landscape on your own.Solution-oriented and understands system architecture at a high level.Communicative and possesses good teamwork skills.Furthermore, a driver's license is required.You should be able to express yourself fluently in speech and write professional texts in both English and Finnish.Our offer:A pleasant work environment with an office conveniently located with good transportation options in Vantaa.Varied and versatile work.Pleasant and interesting clients.You get to work with and in international teams.Competitive salary, collective agreement, and bonus system.","https://fi.linkedin.com/jobs/view/microsoft-infrastructure-services-specialist-at-prog-it-3708097653"
"Canonical","Cloud Support Engineer","Entry level","This role is an opportunity for a hands-on engineer with a passion for Linux and cloud technologies to build a career with Canonical and drive the success with those leveraging Ubuntu and open source products.If you have an affinity for open source development and a passion for technology, then you will enjoy working with some of the best people in the industry at Canonical.The role of a Cloud Support Engineer at Canonical We regularly solve interesting, technical problems. From triaging complex Cloud environment issues, Linux kernel crashes we've never seen before to OS configuration issues and root cause analysis, we provide an expert level of support and satisfaction to our peer groups and customers.We are rapidly expanding and are looking for talented problem solvers with a passion for working on the next generation of Ubuntu solutions for our customers.Location: This is a globally remote role, unless specified otherwise.What Your Day Will Look LikeInvestigate issues reported by customers by researching and escalating issues Work to resolve complex customer problems related to Canonical's portfolio of products. Ownership of results: Ensure that each support case owned by you is handled according to our Service Level Agreement (SLA) with the highest possible customer satisfaction by setting the right expectations and fulfilling your commitments. Engage directly with customers and work collaboratively by phone, ticketing system, and remote sessions to resolve their issues. Participate in a regular weekend working rotation. Contribute new knowledge base articles and maintain existing articles, ensuring shared knowledge and lessons learned are available to customers. Understanding Ubuntu development process to be able to set customer expectations correctly on timeline for a fix. Background check requiredWhat Are We Looking For In You Excellent verbal and written communication skills in English. Hands-on experience supporting Linux systems including 2 or more of:Virtualization / Cloud - primarily using KVM or OpenStack. Containers - especially with Docker, LXD/LXC, or Kubernetes. Storage technologies - block, object and network. Networking (bonding, firewalling, bridging, switching, network file system tuning, MTU issues, etc.)Linux integration with other environments (authentication/directory services, network file systems, etc.)Cloud computing (provisioning, monitoring, orchestration, etc.)Troubleshooting experience:Basic reading of stack traces to be able to search for duplicates, escalate to the correct team. Understand OS and Application level bugs and advise on next stepsProgramming fundamentals in any language. Customer support experience:Customer needs are top priorityCommunicate clearly and set the right expectations. Ability to travelWhat We Offer YouYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits below, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/cloud-support-engineer-at-canonical-3734006106"
"Nigel Frank International","Azure Developer","Entry level","Job Title: Azure DevelopersHiring Company: Smaller-sized Finnish Consulting companyOffice Location: Helsinki, Tampere or 100% Remote workAre you interested in a stable, but truly flexible employer who can offer a wide range of career development options?Role & Responsibilities Implement the configuration and perform coding tasks required to create and maintain the cloud. IoT project in the energy sector dealing with data streams collected from electrical network devices. Goal-oriented and self-driven mindset.Skills & Qualifications Required skills: Azure IoT Hub / Azure Stream Analytics / Azure Event Hub(s) Advantage to have: Azure Digital Twin Fluent working language in Finnish and English Relevant Degree is appreciated. Experience in combining and working with Agile and the waterfall methodologies.Benefits Low hierarchy and flexible future career options. Experienced co-workers. Excellent health-care and other benefits. A company with an excellent reputation and great financial stability.If you'd like more information please send your CV and contact me at:e.thompson1@nigelfrank.com+358942452349Whilst this position offers remote working flexibility, all candidates must be located inside Finland, be willing to do 1 or 2 visits per year to Tampere or Helsinki and hold a valid work Visa.All interviews will be carried out remotely.","https://fi.linkedin.com/jobs/view/azure-developer-at-nigel-frank-international-3661280010"
"Prog-It","Microsoft Modern Workplace Specialist","Entry level","Have you been working a few years with different parts of IT-support, M365, Intune and client administration and feel locked down by permission or hierarchy and have ambition to do more?Join our team as a Microsoft Modern Workplace Specialist and play a pivotal role in maintaining, configuring, and operating our clients systems.In this position, you'll be responsible for ensuring that the availability for users, performance, application availability, and security is delivered to a high standard together with a valued team.You will coach customers on what they can do, how to do it, and what they get out of different digital work. You will also implement and configure the solutions, as well as continuously work with customers on improving and troubleshooting their Modern workplace environment.Does this sound like an interesting challenge? Apply now!As our Microsoft Modern Workplace Specialist, you will have the opportunity to: Work with implementing configuring and troubleshoot all aspects of our M365 delivery.Configure and maintain Azure AD identities and policies.Monitor logs using M365 Security Center.Install provision Manage endpoints and applications with Intune.Create, update, and enforce compliance & configuration policies.Deploy Microsoft Defender for Endpoint.Windows Autopilot Deployment to Automate device provisioning.Azure Active Directory Management, for example:Implement & Manage user and identity solutions with Azure AD & Entra.Configure Azure AD Identity Protection.At Prog-It we are an ambitious and hard-working team that enjoy working together to deliver a great service to our clients. To nurture ambition and talent we offer an inclusive workplace and everyday benefits and perks to maintain a healthy balance between delivery and well-being.To be a relevant applicant you need to have the following requirements:+3 years working with M365 management or a Modern workplace support role.Basic grasp of Microsoft 365 components, including Office 365, SharePoint, OneDrive, Teams, and Exchange Online.Basic awareness of Azure AD and identity concepts, covering user/group management, directory sync, and authentication.Familiarity with Microsoft Intune for endpoint management, software deployment, and security protocols.Exposure to cybersecurity principles, encompassing user access, data security, and threat awareness.Ability to diagnose common technical issues in M365 apps, endpoints, and connectivity.Willingness to learn and embrace evolving technologies and updates within the M365 environment.Education and Certifications:It is of merit if you have:A degree in computer science, information technology, or a related field.Any certifications such as MD-102 Endpoint Administrator, SC-900 Microsoft Security Fundamentals, or CompTIA Security+.To succeed at Prog-It, you are:Driven and engaged - You can have direct dialogue with our customers and guide them through the technical landscape on your own.Solution-oriented and understands system architecture at a high level.Communicative and possesses good teamwork skills.Furthermore, a driver's license is required.You should be able to express yourself fluently in speech and write professional texts in English and Finnish.Our offer:Varied and versatile work.Pleasant and interesting clients.You get to work with and in international teams.Competitive salary and bonus system.","https://fi.linkedin.com/jobs/view/microsoft-modern-workplace-specialist-at-prog-it-3710110126"
"Nigel Frank International","Azure Data Engineer / Architect","Entry level","I'm collaborating with a rapidly burgeoning enterprise, currently boasting a workforce of approximately 60 individuals, and poised for an ambitious expansion by 90 more within the next five years. Nestled in the heart of Helsinki, this company is an exclusive player in the domains of Azure Data Warehousing/Analytics and seamless Azure integrations.At present, they're on the lookout for seasoned Senior Azure Data Engineers/Architects to join their accomplished and senior team. This seasoned team is deeply entrenched in managing substantial, exhilarating projects within the private sector.No maintenance tasks, outsourced to pave the way for their in-house experts to focus exclusively on pivotal, meaningful undertakings. This company maintains a good partnership with Microsoft, often called upon as a trusted ally.Role and Responsibilities: Exercise a Full-stack approach, employing a gamut of Azure technologies encompassing Power BI and Azure Data Factory. Conceive, actualize, and refine sophisticated data analytics solutions for the clients. Engage comprehensively in project lifecycles, right from the initial design phase through to full-fledged implementation. Collaborate harmoniously in a team setting, architecting modern data platforms and pipelines within the expansive expanse of Microsoft Azure's cloud ecosystem.Prerequisites: Demonstrated expertise spanning multiple years in data warehousing, inclusive of ETL proficiency and integrations, with a pronounced focus on Microsoft SQL Server databases. In addition to technical prowess, adeptness in client-oriented teamwork is anticipated, complemented by the ability to independently spearhead developmental initiatives. Deep-seated appreciation for Azure experience, coupled with a nuanced grasp of Microsoft on-premises analytics solutions and the subtleties of Master Data Management. An innate passion for continuous learning and the aspiration to ascend the ranks to become a distinguished Azure authority. Proficiency in both the Finnish and English languages.Rewards: A compelling package comprising competitive remuneration and a comprehensive benefits suite. An team of top-tier senior professionals, guarantee a seemless and efficient output in projects. Uninterrupted engagement with project teams, devoid of the disruptions associated with reactive troubleshooting. An exclusive portfolio of Azure-centric endeavors within the private sector. Mundane maintenance work has been outsourced, enabling colleagues to focus their energies exclusively on tasks at hand.For further insights, kindly submit your CV and contact particulars to:Max William Bright Email: m.bright@nigelfrank.com Phone: +358942452104 LinkedIn: https://www.linkedin.com/in/max-bright-646457186/While remote work flexibility is part of the job, it is essential that all candidates are situated within the geographical confines of Finland and hold a valid work Visa.","https://fi.linkedin.com/jobs/view/azure-data-engineer-architect-at-nigel-frank-international-3704519737"
