"company","job-title","level","description","job-url"
"Enkora Oy","Backend Software Developer","Entry level","We are looking for a passionate software developer to join the Enkora team. You will create awesome products and features used by tens of thousands of people on a daily basis. If you enjoy independence, creativity and a lot of responsibility, this could be your dream job!Enkora is the leading provider of modern customer service solutions in Finland. Our software and hardware products help our customers to sell their services, accept payments, control access, manage reservations of resources, and self-service for end-users. Every year, over 10 million customer visits are managed by our systems all around Finland. We build web-based, desktop, mobile and embedded software, design hardware and we even do some electronics!Just as we don't stop innovating with our products, we also have modern approach with development: the development environment has been well containerized, automated tests are running at every commit: unit tests, integration tests and static code analysis.Minimum Requirementsadvanced experience in PHP developmentadvanced experience in SQL queries (we're using MySQL)enjoy improving / refactoring legacy code in addition to writing newNot required, but nice to havecontinuous integration / automated testing experiencenot afraid of frontend: js/ts, html cssWe offer a full-time job in Kalasatama, Helsinki (right next to the metro!)Team of awesome international colleaguesPossibility to grow and learn new thingsFreedom to plan your workSmall team, your work will have a big impact on the final productCompetitive salary and benefitsPlease provide examples of your projects and code, and your salary expectations. Also send in links to your profiles on LinkedIn, StackOverflow, GitHub, etc.Any questions? Contact Artem (CTO) at artem[at]enkora.fi, 0407606484 or through Facebook / LinkedIn (in English).","https://fi.linkedin.com/jobs/view/backend-software-developer-at-enkora-oy-3312508519"
"Jefferson Frank","Backend Developer","Entry level","Role Acting as a senior level developer as part of development team Developing and maintaining a reusable component library in Storybook based on atomic design principles Analysis, design and development with the mentioned technologies Effort estimation for own tasks Maintain high standards of software quality within the team Make projects research and expand the know-how of the team Communication with other team members and customers Reporting of the activities performedTech Solid working as Backend Developer with Node, JavaScript/TypeScript and REST APIs Experience with design systems/storybook Any AWS experience with cloud native development and understanding lambda-functions is a benefitKey Points In house product development, product used by millions of users on a daily basis (95% of Finns use their services) Very heavy on investment into the L&D side of things, every week there is weekly training courses within technologies. Opportunity to do certifications AWS Public Cloud User (AWS Expert Company) Long term Greenfield and maintenance work They use highly automated development tools & environment Modern technologies (Javascript / Typescript / Golang, Kotlin, Java and Python) Technologies vary from product to product, and you can actually influence, which technologies you use in whatever projectBenefits Brand New Office / Hybrid Working Work-life balance w/flexi days Diverse & International Community Partner benefit program Private Health Aunite - Wellbeing service Phone / Laptop Lunch / Sport vouchers Performance bonusMy client is looking to begin the interview process immediately so feel free to apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jason-upton-167479231/Email: j.upton@jeffersonfrank.comPhone: +358 75 3266673Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/backend-developer-at-jefferson-frank-3661264095"
"Silo AI","Full Stack Software Developer","Entry level","AI for People defines what Silo AI stands for. We want to build a world with safe human-centric AI that frees the human mind from manual labour and empowers human creativity. We are looking experienced software developers interested in implementing production-grade AI solutions.As a Full Stack Software Developer you will be working on creating solutions and products for our clients. You will e.g. design and develop secure, and reliable web-based UI's and backend services for Machine Learning solutions. You will design and implement tools and applications that change the way we build and run our AI solutions and how we fit them into broader software systems. You will take care of packaging, testing, deploying, and supporting the software you deliver.Our current tech stack and tools consist of for example Python, Vue.js, React, PostgreSQL, MongoDB, Jenkins, and Kubernetes across private and public clouds Azure, AWS, and GCP. Read more about our cases that we have made for Infranode in automated lead generation and Philips in radiotherapy planning.What we valueStrong experience with our key technologies, including Python and preferably Vue.jsExperience in designing and building cloud-deployed web-based applications and data-heavy backend servicesInitiative, pragmatic problem solving, and great communication skillsDesire and ability to quickly acquire broad high-level intuition of AI systems and solutionsExperience in devops, AI systems and frameworks, scientific Python stack, edge deployments, and infrastructure automation is a big plusWhat Silo offers for you?As we already know, AI will be affecting almost everyone's work and everyday life. With us you have a real chance of shaping the change that AI will bring to everyone of us. You will get to choose your tools, methods, and ways of working together with the team while ramping it up. The products you develop will have a key role in expanding and accelerating the use of AI in large scale real world applications. Your closest colleagues will be an AI enthusiast mix of model developers and software experts working in the AI areas of computer vision, machine learning, and natural language processing. We aim for excellence by keep learning from the market, sharing our competence and looking for a growth mindset. We will help your learning for example through our Learning Labs and Talent CoachingInterested in joining us?Send your application and tell us why you are interested in the Software Developer role at Silo AI and what you are passionate about, along with relevant profiles (CV/LinkedIn/Github).","https://fi.linkedin.com/jobs/view/full-stack-software-developer-at-silo-ai-3641764678"
"Cobblestone Energy","GRADUATE SOFTWARE ENGINEER - Dubai, UAE","Entry level","Employment type: Full-time & PermanentStarting salary of 55,000 USD per annum in a zero-tax environment (plus biannual performance-based bonuses)Job Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)About Cobblestone EnergyCobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways.Over the years we have grown organically. In light of our further ambitions to be the best in all markets we enter, we would like to welcome talented Software Engineers into our Tech team who have just started their careers and are and looking to take up challenging tasks and being a part of our growth story.Cobblestone Values: Lifelong learning with continuous reflection. Independent thinking through a meritocracy of ideas. The team is more important than the individualBeing the best in any market we enter. Hiring and keeping only the most effective people. Others must benefit from our existence. Job DescriptionAt Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. Being a member of our team, you will work on exciting challenges that come with large-scale data processing, automation, and analytics. We work in an agile and highly collaborative environment and challenge the norms of traditional business leadership. We are looking for enthusiastic and resourceful engineers who are passionate about building highly reliable and performance data processing solutions. Developing a strong domain knowledge of our industry over time is key to long term success in this role.This is a rare opportunity to take a leading role in the growth of a major player in the European Power Markets. We are looking for someone who would be committed to the long-term success of the business. We operate in the European Power markets, but our commercial trading operations are in Dubai, UAE.If you have excellent programming skills, strong problem-solving skills and a passion for developing/improving applications utilizing cutting edge technologies, then we would like to meet you.What We Offer In This RoleA full-time position on our Tech teamCommitted and remarkably talented colleaguesHighly competitive compensation dependent on performanceAn exciting, challenging and fulfilling careerAn opportunity to work on new things from scratch and make independent decisions. Investment in your development to ensure that you always remain the best in businessEquity participation for strong contributors, ensuring our interests are all aligned long termResponsibilitiesBe a key contributor to tech projects critical for commercial operationsWrite software applications and programs for backend/frontend purposesAnalyse programs and apps to improve their features and functionalities in collaboration with the commercial teamsTest & debug programs and fix any reported bugsUphold and live our cultural valuesRequirementsBS/BE in Computer Science/Computer Engineering or related fieldProgramming skills in Python languageFamiliarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etcStrong knowledge of REST APIs and webservicesStrong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server) and SQL languageStrong problem-solving and analytical skillsResilience and a determination to succeedPassionate, self-motivated, and fast learnerDesirable Experience/SkillsKnowledge of at least one popular Python framework (like Django, Flask)Programming skills in JavaKnowledge of NoSQL databasesKnowledge of AWSKnowledge of data visualization tools, mainly Tableau","https://fi.linkedin.com/jobs/view/graduate-software-engineer-dubai-uae-at-cobblestone-energy-3641766276"
"Cobblestone Energy","GRADUATE SOFTWARE ENGINEER - Dubai, UAE","Entry level","Employment type: Full-time & PermanentStarting salary of 55,000 USD per annum in a zero-tax environment (plus biannual performance-based bonuses)Job Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)About Cobblestone EnergyCobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways.Over the years we have grown organically. In light of our further ambitions to be the best in all markets we enter, we would like to welcome talented Software Engineers into our Tech team who have just started their careers and are and looking to take up challenging tasks and being a part of our growth story.Cobblestone Values: Lifelong learning with continuous reflection. Independent thinking through a meritocracy of ideas. The team is more important than the individualBeing the best in any market we enter. Hiring and keeping only the most effective people. Others must benefit from our existence. Job DescriptionAt Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. Being a member of our team, you will work on exciting challenges that come with large-scale data processing, automation, and analytics. We work in an agile and highly collaborative environment and challenge the norms of traditional business leadership. We are looking for enthusiastic and resourceful engineers who are passionate about building highly reliable and performance data processing solutions. Developing a strong domain knowledge of our industry over time is key to long term success in this role.This is a rare opportunity to take a leading role in the growth of a major player in the European Power Markets. We are looking for someone who would be committed to the long-term success of the business. We operate in the European Power markets, but our commercial trading operations are in Dubai, UAE.If you have excellent programming skills, strong problem-solving skills and a passion for developing/improving applications utilizing cutting edge technologies, then we would like to meet you.What We Offer In This RoleA full-time position on our Tech teamCommitted and remarkably talented colleaguesHighly competitive compensation dependent on performanceAn exciting, challenging and fulfilling careerAn opportunity to work on new things from scratch and make independent decisions. Investment in your development to ensure that you always remain the best in businessEquity participation for strong contributors, ensuring our interests are all aligned long termResponsibilitiesBe a key contributor to tech projects critical for commercial operationsWrite software applications and programs for backend/frontend purposesAnalyse programs and apps to improve their features and functionalities in collaboration with the commercial teamsTest & debug programs and fix any reported bugsUphold and live our cultural valuesRequirementsBS/BE in Computer Science/Computer Engineering or related fieldProgramming skills in Python languageFamiliarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etcStrong knowledge of REST APIs and webservicesStrong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server) and SQL languageStrong problem-solving and analytical skillsResilience and a determination to succeedPassionate, self-motivated, and fast learnerDesirable Experience/SkillsKnowledge of at least one popular Python framework (like Django, Flask)Programming skills in JavaKnowledge of NoSQL databasesKnowledge of AWSKnowledge of data visualization tools, mainly Tableau","https://fi.linkedin.com/jobs/view/graduate-software-engineer-dubai-uae-at-cobblestone-energy-3641761747"
"ICEYE","Software Engineer","Entry level","Who are we?We are a Finnish-based international New Space company with employees from more than 57 countries in Finland, the US, the UK, Spain, Luxembourg, and Poland. Our team is a tight-knit group of experts from areas including engineering, software development, and radar technology. We're innovative, driven people who strive for excellence in everything we do. Being advocates of our corporate culture, we value teamwork and curiosity, and we know how to have fun!What do we do? ICEYE is building and operating its commercial constellation of small Synthetic Aperture Radar (SAR) satellites with SAR data available to customers. Our satellites acquire images of Earth at any time - even when it's cloudy or dark - providing commercial and government partners with unmatched persistent monitoring capabilities. Information derived from our SAR images helps customers make data-driven decisions to address time-critical challenges in various sectors, such as maritime, disaster management, insurance, and finance.What are we looking for?To support the company's growth, we are looking for a ""Software Engineer"" to join our Flight Software team. You will report to the Flight Software Applications Team Lead in this position.ResponsibilitiesBe the lead developer for the application layer components of our satellitesProduce clean, robust and understandable codeCollaborate with other team members to design and define the application architecture for our satellitesCollaborate with other team members to ensure our development and testing environment produces high quality Flight Software productsMentor the other members of the teamRequirementsYou are an experienced professional with 5+ years in software developmentYou are a great C++ and Python developer, familiar with the latest featuresYou have experience with embedded LinuxYou are self-driven and autonomous, but also a great team playerYou have experience in E2E system developmentYou have been working with communication protocols and messaging systems used in distributed systemsYou have experience developing software for constrained environments such as IoT, robotics, and/or automotiveYou are well versed in event-driven architectures, asynchronous techniques, concurrency, communication protocols, and constrained environmentsPreferredTechnical degree (computer science, engineering, mathematics)Experience in working in a lead developer roleBenefitsA job that matters in a dynamic New Space environment with a scale-up approachAn independent role with a supportive and diverse work environmentOccupational healthcare, occupational and private insuranceA yearly benefit budget to spend as you wish (i.e. on sport, transport, bike benefit, wellness, lunch, etc.)Phone subscription with iPhone of choice Relocation support (i.e. flight tickets, accommodation, relocation agency support)Time for self-development, research, training, conferences, or certification schemesFinnish & English lessons Inspiring and collaborating offices and silent workspaces enable you to focusA wide variety of the best coffee, tea, snacks, and sweets to accompany your daily space missionDiversity & inclusion are core values at ICEYE. We are passionate about building and sustaining inclusive and equitable working and learning environments for all staff. Every member of our team enriches our diversity by exposing us to a broad range of ways to understand and engage with the world, identify challenges, and discover, design, and deliver solutions.Could this be the role for you? Apply now to start your journey with ICEYE.We are making the impossible possible together.ContactRavi Chettyravi.chetty@iceye.fi","https://fi.linkedin.com/jobs/view/software-engineer-at-iceye-3688395927"
"Jefferson Frank","Backend Python Developer","Entry level","We have a new need from one of our best clients based in Tampere to speak with experienced Backend Developers and wondered if you would be interested in potentially joining their product team.Very exciting opportunity to be part of a growing company, you would be working on their product which is the best out of the other competitors on the market.Going beyond the physical product, going into digital format within the product (4 digital parts): Physical product Digital experience, smart screens Visibility to current customers, see the fleet of pods being used, find out the issues Analytic problems + Introduce solution for the user of the office find right type of space for the meetingThey use a range of tools but the main focus is within:AWS, Python, DevOps, CI/CD, IoT, API'sRole Develop the backend services such as (depending on your skills and preferences) APIs used by web applications, mobile applications, or backend systems Backend endpoints Data processing pipelines and databases Backend system integrations (e.g. Google Workspace APIs, Microsoft Graph APIs, Salesforce) Define and implement best practices and controls throughout the stack where it makes sense Aim to automate everything that can be automated Introduce new technologies and concepts that improve the ways of working or the technology stackMy client is looking to begin the interview process immediately so feel free to apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jason-upton-167479231/Email: j.upton@jeffersonfrank.comPhone: +358 75 3266673Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/backend-python-developer-at-jefferson-frank-3677212193"
"FRG Technology Consulting","Full Stack Developer - FinTech","Entry level","ResponsibilitiesDevelop, test, and maintain high-quality software solutions for both frontend and backend using a variety of programming languages and tools.Collaborate with product managers, designers, and other developers to understand project requirements and translate them into technical solutions.Design and implement scalable and efficient database structures and API integrations.Build responsive and visually appealing user interfaces using modern frontend frameworks.Participate in code reviews, troubleshoot and debug technical issues, and optimize application performance.Stay up-to-date with industry trends and best practices to continually enhance your skillset and contribute to the team's growth.QualificationsBachelor's degree in Computer Science, Engineering, or a related field (or equivalent work experience).3+ years of professional experience as a Full Stack Developer.Proficiency in frontend technologies such as HTML5, CSS3, JavaScript, and modern frontend frameworks (React, Angular, or Vue).Strong expertise in at least one backend programming language (Node.js, Python, Java, etc.).Experience with databases (SQL and NoSQL) and designing efficient data models.Familiarity with RESTful APIs, WebSockets, and other communication protocols.Solid understanding of version control systems (Git) and agile development methodologies.Excellent problem-solving skills and a passion for delivering high-quality software solutions.Strong communication skills to collaborate effectively with cross-functional teams.BenefitsCompetitive salary and performance-based bonuses.Flexible work arrangements, including remote work options.Comprehensive benefits package, including health, dental, and retirement plans.Opportunities for skill development and continuous learning.Engaging and inclusive work culture that promotes innovation and teamwork.Reach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/full-stack-developer-fintech-at-frg-technology-consulting-3693901138"
"Cobblestone Energy","SOFTWARE ENGINEER - Dubai, UAE","Entry level","Starting salary of 60,000 USD per annum in a zero-tax environment.Fast progression for strong performers.Job location: Dubai, UAEAbout us:Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.Job Description At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role. If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you. What we offer in this role Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. 15% target bonus with further upside. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest Responsibilities Write software applications and programs for backend/frontend purposes.  Analyse programs and apps to improve their features and functionalities.  Test & debug programs and fix any reported bugs.  Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.  Requirements BS/BE in Computer Science/Computer Engineering.  Programming experience of 1 to 2 years in Python language.  Expertise in at least one popular Python framework (like Django, Flask ...).  Experience of 1 to 2 years in front-end technologies such as HTML5, CSS, JQuery, JS, ...etc.  Knowledge of APIs and webservices.  Knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language.  Knowledge of NoSQL databases is a plus.  Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus.  Ability to work in a team environment.  Strong problem-solving skills and analytical skills.  Resilience and a determination to succeed.  Independent thinkers with growth mindset.  Must be passionate, self-motivated, and able to learn quickly.  Strong sense of integrity.   Personal values that match our company values.","https://fi.linkedin.com/jobs/view/software-engineer-dubai-uae-at-cobblestone-energy-3732863842"
"FRG Technology Consulting","Front End Developer - Product House","Entry level","Are you an ambitious Front-End Developer with a passion for building stunning user interfaces and interactive web applications using the latest web technologies? Do you have a deep understanding of React, JavaScript, and TypeScript? If you thrive in a creative and collaborative environment and are eager to contribute to cutting-edge projects, we have an exciting opportunity for you to join our team as a Front-End Developer!ResponsibilitiesCollaborate with the design and back-end development teams to implement and refine user interfaces with React, JavaScript, and TypeScript.Build reusable and modular components, ensuring the best performance and user experience.Optimize applications for maximum speed and scalability while maintaining a pixel-perfect user interface.Participate in code reviews, share knowledge, and provide constructive feedback to team members.Stay up-to-date with the latest front-end trends, techniques, and technologies, and advocate for their adoption when appropriate.Troubleshoot and debug complex issues to ensure the highest level of application stability and performance.Work closely with UX/UI designers to bring their concepts to life and ensure seamless integration with the back-end systems.Collaborate with cross-functional teams to deliver high-quality software solutions on time.RequirementsProven experience as a Front-End Developer, with a strong focus on React, JavaScript, and TypeScript.Proficiency in building responsive and user-friendly web applications with HTML5 and CSS3.Solid understanding of React best practices and design patterns, including hooks and context API.Strong knowledge of JavaScript and TypeScript, with the ability to write clean, maintainable, and testable code.Familiarity with state management libraries like Redux or MobX.Experience with RESTful APIs and asynchronous programming.Understanding of modern front-end build tools and package managers, such as Webpack, Babel, and npm.Ability to work collaboratively in a fast-paced environment and adapt quickly to changing requirements.Excellent problem-solving skills and attention to detail.A portfolio showcasing previous React and TypeScript projects is highly advantageous.Preferred QualificationsBachelor's degree in Computer Science, Web Development, or a related field.Familiarity with UI/UX design principles and the ability to collaborate effectively with designers.Knowledge of testing frameworks such as Jest, Enzyme, or Testing Library.Experience with server-side rendering and Next.js.Exposure to modern CSS frameworks like Tailwind CSS or Styled ComponentsReach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/front-end-developer-product-house-at-frg-technology-consulting-3687379169"
