"company","job-title","level","description","job-url"
"Luxid","Data Scientist","Entry level","We are looking for a Data Scientist to work in our growing team of driven and trailblazing Data & Analytics specialists. Do you have what it takes to help big Nordic and global companies reach their business objectives through data storytelling? If so, you could be the right match for us.We Luxidians are a team of creative thinkers, strategists, data analysts, writers, designers, filmmakers, virtual world builders, developers and technologists. We use insight-led creativity to accelerate growth for our clients. With over 30 years of experience in delivering marketing and commerce solutions to a strong international client base, we help our clients break open silos to create customer journeys that drive sales and support buyers.Our Data Scientists are data-native statistics professionals able to translate business needs into data challenges and deliver analytical solutions to clients. In this position, you would be serving one of our biggest clients by creating new and innovative ways of refining understanding from extensive datasets. You would also get to showcase your analytical thinking abilities and communication skills by reporting and reviewing results with the customer team. Reporting to the client is done in Finnish, but teamwork requires also fluent English.Qualifications that ensure your success:Can-do attitudeExcellent communication skills and familiarity with the topic of sales and marketing analyticsAdvanced knowledge of BI dashboards (Power BI or Tableau) and SQLTraditional analytics know-how (significance testing, normal distribution, regression models)Basic understanding of all digital marketing operations and the Google ecosystemFluent Finnish and EnglishAdditional nice-to-have qualifications:Google Analytics skillsKnowledge of retail businessExperience with data engineeringWhat we offer you:International, English-speaking, diverse, and inclusive equal opportunity workplaceWork with large Nordic and global brandsPossibilities to develop your skills and advance your careerExtensive occupational healthcare planCulture, sport and wellness benefitsFlexible remote working opportunities all around the world but also offices in Helsinki, Turku, London, and Austin. In this position, you need to be able to visit our customer’s premises in Helsinki.If you are ready to make an impact in the world of marketing, apply now and join our team of Luxidians!If you have any questions, please contact our HR Manager Anu Sonck, anu.sonck(at)luxidgroup.com","https://fi.linkedin.com/jobs/view/data-scientist-at-luxid-3719694878"
"Huuva","Data Engineer","Entry level","About HuuvaHuuva Kitchens turn local communities into culinary hotspots by catering the best dishes from the hottest restaurants. With Huuva, there’s always something new that you can mix and match to be delivered to your door with superior convenience and quality.Huuva operates a network of local kitchens that plug into the local and global food scene, making those experiences accessible beyond the most central city locations with always something new to discover. As our dishes are made locally, they also come to you faster. Saving time, money and the environment.Our kitchen technology enables our chefs to focus on the most important thing – the quality and joy of making the best dishes, all curated and cooked by people with a passion for great food and an appetite for what comes next. This is the power of Huuva OS - the most advanced kitchen platform ever created.About The RoleYou will be part of a team focusing on our Back-of-House technology, meaning an operating system that covers all aspects from handling orders across sales channels to inventory management. Data engineering and operative analytics are at the very core of all this as we strive to be the best operator in the industry.As a Data Engineer, you will be the primary owner of our analytics data infrastructure which is built on top of GCP’s BigQuery data warehouse and supported by tools and technologies like DBT Cloud, Hightouch, Airflow, Python and Kafka.What We Expect From YouIn short, we are looking for a candidate with passion for data engineering and enough experience to own and develop our data warehousing and analytics capabilities as the primary owner.Seniority in building data pipelines, data modeling, scripting with Python and the aforementioned tools is expected. Familiarity with data streaming and data visualization is considered as a plus.In addition we expect solid communication and collaboration skills combined with fluency in English, written and spoken.What we offer:Team of talented and easy-going colleaguesA culture of transparency and ownershipFlexible model of work55-70 k€ annual salary and option packageAbout The ProcessIf you want to take part in Huuva’s journey, please start by sending your application via the link.We will be reviewing applications on an on-going basis. The process will include two interviews, a short assignment, and discussion with the team.Read more about us:Really good food with a hint of softwareHS VisioBloomberg","https://fi.linkedin.com/jobs/view/data-engineer-at-huuva-3664537626"
"IPRally","ML Engineer","Entry level","Are you up for the toughest AI challenges around graph neural networks? We have built a graph-based patent search engine with which our users find the documents that already contain their concepts. We are looking for an Machine Learning Engineer who can envision breakthrough-level ideas and follow them through with software engineering excellence. You will be working with the very core of the product - the search algorithm.We have converted 100M patent documents into 100M knowledge graphs, to compress the key information into simpler data for ML. It has been possible because of the semi-structured patent text. Patent documents also contain rich metadata like citations between documents, which are essentially labels for supervised training. All of this presents an opportunity to dive deeper into text understanding than even the LLMs from the tech giants.The current model we use is the Graph Transformer (read our blog about the graph transformer), so both the NLP transformers and the GNN models are relevant. We published a paper at the SIGIR 2023 conference about our general approach (read our paper).The daily work is done in a small hybrid team. Remote work is okay, but we expect to see each other at least once a quarter in person. There is also a separate team providing MLOps support.Technology stackPyTorch for search model developmentML services deployed as Python microservicesGoogle Cloud for computationRequirementsExcellence in applied deep learning, ideally also with GNNsA genuine eagerness to learnKnowledge about NLPStrong social skillsFluency in English, which is our company languageYou are located ideally in Finland, but at least you can work in European time zonesBenefitsA rare opportunity to join an early-stage, disruptive company that has a unique edge, ambitious plans, and an already proven record of success in a growing $2bn industryOpportunities to grow as we grow. We will help you be the best you can be in this role, and help you develop skills that will help you reach the next stage. You will work with a highly talented and supportive teamA compelling and competitive financial package and other benefits, including six weeks of holidayIn Finland, other benefits include for example lunch, sports and culture, and commuting benefits, extended occupational health care with dental care, and tools of your choosingNext stepsOur recruitment process consists ofA casual interview with our AI Team Lead Sebastian and Head of People and Talent Mari, in which we will discuss your background and check if our wishes align with yoursWe would like to see an example of your code. You can share your Github profile with us or do a code task if that’s what you preferA technical interview with Sebastian and an AI team member to dig deeper into your technical skillsA final call with our CTO JuhoSounds interesting? Send us an application now!About IPRallyIPRally will change the way of finding and categorizing patents. How? We have introduced transparent and reliable AI applications to the patent search, analysis, and classification process, which helps our customers save a lot of time, resources, and money. We are transforming the complex and tedious process of finding information that is crucial for our customers, but most importantly, we help innovative companies quickly find and act upon opportunities and drastically reduce risk.So, who are we? IPRally was founded in Helsinki, Finland in 2018. With a vision to automate tasks that steal resources from both inventors and patent professionals and help them achieve their goals faster, a completely new and ground-breaking way of searching for technical information was built. By modeling the technical content of patents, and processing this with cutting-edge, proprietary graph neural networks, IPRally gives customers highly relevant information at their fingertips, in seconds.","https://fi.linkedin.com/jobs/view/ml-engineer-at-iprally-3731373665"
"Silo AI","AI Engineer - DevOps/MLOps","Entry level","At Silo AI our team of 200+ AI Engineers, AI Scientists, Solutions Architects, Software Developers, and Designers collaborate closely to tackle challenging real-world problems related to AI. Now we are looking for AI Engineers to build MLOps solutions for quality ML development and scalable AI utilizations in multi-cloud environments. The work is done as part of our Helsinki, Tampere, Turku, Jyväskylä, Oulu, Stockholm or Copenhagen teams.What Will You Be DoingBuilding versatile ML development and AI deployment setups (pipelines and/or platforms) and other MLOps solutions to enable production-level AI and ML in multi-cloud environments and sometimes in connection to IoT and embedded settingsWork very practically hand-on but also designing the needed architectures and workflows - enabled by Silo AI assets and learning from versatile project casesWork as part of the team with leading AI experts and use cutting edge tools to train, deploy and service advanced machine learning models Working in client projects in various different industries that typically lasts 3-6 months, but we also work in long-term projects lasting 1-2 years Contributing to Cloud AI & MLOps community and R&D work of Silo AIWhat We Are Looking For From YouYou have strong experience in software development Experience in training, versioning, deploying, monitoring and/or maintaining machine learning modelsYou have knowledge of cloud platforms and technologies (e.g. Kubernetes, Azure, AWS and/or Google Cloud)You are experienced in programming with Python and can adopt other programming languages. You are familiar with some typical MLOps tools, such as KubeFlow, MLFlow, KFServing/KServe, Seldon, Airflow, Argo, Prefect or others; some DevOps tooling such as Docker, Kubernetes, Terraform scripting (or CloudFormation or similar); some machine learning frameworks, such as Tensorflow and/or PyTorch; some logging tools, such as ElasticStack, Grafana, Prometheus and/or othersYou have a track record of producing quality code and developing software with different practices (CI/CD, version control, some variety of agile development)You may have also DataOps related experience around storage (SQL, NoSQL, cloud), processing (batch, stream, ETL), managing/versioning, security, visualization and/or big dataYou are interested in working and communicating with Silo AI clients and working part of the team with Silo experts Be able to learn new skills and adapt quickly, as the problems, tools, best practices, and architectures are rapidly changing. What Silo Ai Offers To YouReal-world and production-level projects related to AI in various different industries such as retail, manufacturing, machine industry, automotive, pharma, telecom, smart devices, medical, energy & infra, logistics, healthcare, and internet services High-level & diverse tech and non-tech expertise around you as peers with our team of 200+ employees and 20+ nationalities Cloud AI & MLOps community which includes 30+ experts and a lot of information sharing and learning resources - and our other three technology areas include IoT, Embedded and Connectivity which bring their own additions to the MLOps work Learning culture with several different learning activities to support your learning such as 1-1 talent coaching with lead level experts, self-development benefit, company-wide workshops, internal research club bi-weekly basis Silo social activities like daily meditation, virtual lunches, and company-wide all-hands every Friday, company supported Silo social activities Growth company environment - in 2021 we have hired around 100 new employees and opened up a new office in Copenhagen, Denmark. In 2022 we are looking for hiring even more employees than in 2021 and opening up new countries in addition to the three current ones. Possibility to become Silo shareholderNormal benefits such as work equipment of own choice, occupational healthcare, sports & culture vouchers, internet, lunch through Wolt on Fridays, self-development budgetOUR CULTUREWhat we believe in at SiloBuild bonds - Trust is our bond. We connect with customers and seek to understand how we can best help, and always keep what we promise. We encourage a culture in which successes are celebrated, learnings shared and support provided for our team members to succeed. Be good - Positive impact. We strive to be transparent and open, take responsibility and ownership, and aim for positive impact and results in all we do. We take pride in creating an equal and supportive workplace for talented and ambitious professionals from all nationalities, genders, and backgrounds. Ask why - Know your why. We have the courage and agility to keep challenging what we're doing to assure value creation for customers. We encourage open dialogue and debate and strive for diversity in opinions to improve decision making. Keep learning - Grow to excel. We aim for excellence by learning from the market, sharing our competence, and recruiting a growth mindset. For us expertise is not an achievement, it's a lifestyle of curiosity, learning, sharing, and working with people who share the same hunger. WANT TO KNOW MORE?You can ask more about Silo AI as a workplace from our Talent Acquisition Lead Emmi Matvejeff, emmi.matvejeff@silo.ai","https://fi.linkedin.com/jobs/view/ai-engineer-devops-mlops-at-silo-ai-3673080616"
"Jefferson Frank","Data Engineer- Helsinki- up to 5000€/pm + bonus","Entry level","Data Engineer (AWS)- Helsinki- up to 5000€/pm + bonusOur client is looking for a Data Engineer to join their team. You will be working for an organization that offers their customers maintenance and modernization services for railway and infrastructure in the Nordic and Baltic countries. With your work every day, you influence the daily lives and travel of hundreds of thousands of people and the movement of thousands of tons of cargo.The role You will be the only data engineer within the team to develop new report capabilities. The team that they are in has 2 MDM specialists and 2 Power BI specialists and you would be joining as the singular data engineer on the team. (There are other data engineers in other departments) They are looking to become more data-driven as they admit they aren't yet, and this is an exciting move to be part of as you will have the opportunity to make changes.Experience Experienced in the AWS Stack (S3 Glue, Lambda, Dynamo DB, Cloud Patch) is what they use SQL Python Experience DevOps Skills (Jira, Confluence, Jenkins) Fluency in Finnish Snowflake experience is a nice plusIn return Sports and culture support (200€ per year) Free train usage (travel benefits) Good work health services Holiday places for a discounted rate in Finland and abroad Flexible working hours and remote work possibility New office place in Pasila Helsinki, but the possibility to work also in other locations Up to 8% bonusMy client is looking to begin the interview process asap with limited interview spots this and next week, so don't miss out, apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialize in Mobile, Web, and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management, etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/data-engineer-helsinki-up-to-5000%E2%82%AC-pm-%2B-bonus-at-jefferson-frank-3671472986"
"Jefferson Frank","MLOps/Data Engineer - Helsinki - up to 6500€/pm + stocks","Entry level","Senior MLOps/Data Engineer - Helsinki - up to 6500€/pm + stocksOur partner has opened up a brand new MLOps Data Engineer role to join their growing SaaS start-up focusing on creating more agile and data-driven innovation processes.Responsibilities You will take strong ownership of their data, ML pipelines, and infra. You will be an individual contributor from the start of the data pipelines and machine learning productization. As you become more settled into the role, you will effectively lead a project coordinate technical work across the whole application stack, and effectively communicate with the product teamRequirements Technical experience: Python, SQL, AWS, and pulumi. Great communication skills both with technical and non-technical stakeholders Experience from at least two projects setting up data and/or machine learning infrastructure. High level of ambition, interest in growing professionally, and advancing career.There is a huge opportunity to grow within the company and be one of the biggest players in the field.My client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out, apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialize in Mobile, Web, and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management, etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/mlops-data-engineer-helsinki-up-to-6500%E2%82%AC-pm-%2B-stocks-at-jefferson-frank-3712002168"
"Nigel Frank International","Data Engineer","Entry level","Data Engineer - Product Development - HelsinkiAre you a passionate Data Engineer and want to make a real difference in the world with your work? Great, look no further!About the Company:Our client is looking for a Data Engineer to join their growing team in Finland. They are a product-development house and are one of Finland's largest energy companies. They have a clear goal set out to be a 100% carbon-neutral energy company by 2030. Great if candidates areRole & Responsibilities:You will join a team of 20- very talented and highly skilled co-workers. This role will involve real-time streaming analytics, which will be crucial in collecting data from multiple sources like wind turbines, solar panels, thermal energy from the ocean, and nuclear reactors. This is the key to the company's becoming carbon neutral.Skills & Qualifications 5-2+ previous years of experience working as a Data Engineer Real-timeline streaming experience E.g with Python and Azure Databricks / Azure Event Hub / Azure IoT Hub or kafka / python / AWS Fluency in FinnishWhat can they offer YOU? Competitive salary ranging from 4500-5200€/pm with bonus on top! The employees in the business are valued a lot, they are a business that believes data is everything. They are a customer-focused company. They are now 90% in an Azure environment and are looking to become totally Azure focused soon. They have an unreal Tech stack and are working very closely with Microsoft Microsoft free courses will be provided by the company Loads of flexibility, great/fun team, and typically attractive for consultants to move into internal product development which is based on Data & AI.If you are interested in knowing more, please send over an updated version of your CV to j.selen@nigelfrank.com.If this is not the exact role you were looking for, get in touch anyway! Just send me an email anyway and highlight what interests you.Nigel Frank International is the global leader in Microsoft Technology Recruitment. Since 2006, we've found over 20,000 perm and contract Microsoft professionals for partners, ISVs, and end users in the ecosystem. For more information, visit www.nigelfrank.com","https://fi.linkedin.com/jobs/view/data-engineer-at-nigel-frank-international-3713068488"
"Jefferson Frank","AWS Data Engineer - Remote - Finland","Entry level","MUST BE LOCATED IN FINLANDJob DescriptionA couple of our clients are looking for AWS Data Engineers in Finland to work on their Greenfield and Brownfield projects. As there are multiple projects the possibilities are great, as you can either choose models a full base option or a billable hour option, which can increase your income drastically. If you want to continue developing yourself with paid certification, these are being offered by them to continue your own development.Skills & Qualifications AWS S3, Airflow, Spark Glue, ETL, Kinesis, Athena, Lambda Python Data AnalysisBenefits Competitive salary Unreal benefits packageThis is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs","https://fi.linkedin.com/jobs/view/aws-data-engineer-remote-finland-at-jefferson-frank-3659944342"
"Jefferson Frank","AWS Data Engineer - Helsinki","Entry level","Job Title: AWS Data EngineerLocation: Helsinki, FinlandAbout Us: Our client is a leading product company headquartered in Helsinki, Finland, specializing in Identity and Access Management (IaM), cybersecurity, and Single Sign-On (SSO) solutions. They are committed to helping organizations enhance their security posture and streamline access management for their users. Their innovative products are trusted by businesses worldwide to protect their digital assets.Position Overview: We are seeking a skilled AWS Data Engineer to join their dynamic team in Helsinki. As an AWS Data Engineer, you will play a pivotal role in designing, developing, and maintaining their data infrastructure. Your work will be instrumental in ensuring that their IaM, cybersecurity, and SSO products continue to provide state-of-the-art security solutions for their customers.Key Responsibilities Design, build, and maintain scalable data pipelines and architectures on AWS. Develop data models and ETL processes to support business intelligence, analytics, and reporting. Collaborate with cross-functional teams to gather requirements and ensure data infrastructure meets business needs. Monitor and optimize data performance and reliability. Implement data security and compliance best practices. Work with data warehousing technologies and tools, such as Redshift, S3, and Glue. Collaborate with Data Scientists and Analysts to provide timely access to quality data. Stay up-to-date with industry trends and emerging AWS technologies to enhance our data capabilities.Qualifications Bachelor's or Master's degree in Computer Science, Data Engineering, or a related field. 3+ years of professional experience as a Data Engineer with a focus on AWS. Strong proficiency with AWS services, including S3, Redshift, Glue, and Lambda. Proficiency in Python, SQL, and data modeling. Experience with data warehousing and ETL processes. Familiarity with data security and compliance standards. Excellent problem-solving and communication skills. Finnish language skills are preferred. AWS certifications (e.g., AWS Certified Data Analytics, AWS Certified Data Engineer) are a plus.If you are a passionate AWS Data Engineer looking to make an impact in the field of cybersecurity and data analytics, we would love to hear from you.To apply, please send your resume and a cover letter detailing your relevant experience to s.cook1@jeffersonfrank.com.Please note, only applicants that are successful, located in Helsinki, and that have been selected for an initial screening will be contacted.","https://fi.linkedin.com/jobs/view/aws-data-engineer-helsinki-at-jefferson-frank-3726877948"
"Nigel Frank International","Azure Data Engineers","Entry level","Azure Data Engineer - HelsinkiDo you want to work within a strong internal culture that gives you limitless opportunities to grow as a professional and realize your own potential?Our client is an innovative group of experts who offer you the opportunity to complete challenging and interesting assignments utilising the latest Azure technology with colleagues who are amongst the top in the industry.Our client focuses solely on Azure Data Warehousing/Analytics, as well as Azure Integrations, working on fascinating large projects in the private sector. Employees are always working in teams in an open and friendly environment that offers flexible working options.Responsibilities: Work Full-stack with Azure technologies such as Power BI and Azure Data Factory. Design, implement and improve the client's data analytics solutions for their customers. You are involved in the whole process of projects from the design stage to the implementation stage. You work as part of a team building modern data platforms and data pipes in Microsoft Azure cloud environments.What they are looking for: You have a few years of experience in data warehousing (e.g. ETL) or integrations, and especially in Microsoft SQL Server databases. In addition to technical skills, the clients expects you to have experience in teamwork in the customer interface and the ability to promote development work independently. They value the experience of Azure, Microsoft on-premises analytics solutions and Master Data Management, The desire to learn and develop into a top-class Azure expert. Fluency in Finnish & EnglishWhat they offer: Excellent salary & benefits package They have built a quality senior team, sourcing only the best talent across Finland to ensure a high quality output Always work in project teams, no fire fighting Completely Azure based projects in the private sector Outsourced boring maintenance work to ensure colleagues work on only the most interesting and effective tasksSalary: 4500-8000EUR for the right candidateWhilst this position offers remote working all candidates must be located inside Finland with a valid work Visa.All interviews will be carried out remotely.","https://fi.linkedin.com/jobs/view/azure-data-engineers-at-nigel-frank-international-3723949212"
