"company","job-title","level","description","job-url"
"Huuva","Data Engineer","Entry level","About HuuvaHuuva Kitchens turn local communities into culinary hotspots by catering the best dishes from the hottest restaurants. With Huuva, there’s always something new that you can mix and match to be delivered to your door with superior convenience and quality.Huuva operates a network of local kitchens that plug into the local and global food scene, making those experiences accessible beyond the most central city locations with always something new to discover. As our dishes are made locally, they also come to you faster. Saving time, money and the environment.Our kitchen technology enables our chefs to focus on the most important thing – the quality and joy of making the best dishes, all curated and cooked by people with a passion for great food and an appetite for what comes next. This is the power of Huuva OS - the most advanced kitchen platform ever created.About The RoleYou will be part of a team focusing on our Back-of-House technology, meaning an operating system that covers all aspects from handling orders across sales channels to inventory management. Data engineering and operative analytics are at the very core of all this as we strive to be the best operator in the industry.As a Data Engineer, you will be the primary owner of our analytics data infrastructure which is built on top of GCP’s BigQuery data warehouse and supported by tools and technologies like DBT Cloud, Hightouch, Airflow, Python and Kafka.What We Expect From YouIn short, we are looking for a candidate with passion for data engineering and enough experience to own and develop our data warehousing and analytics capabilities as the primary owner.Seniority in building data pipelines, data modeling, scripting with Python and the aforementioned tools is expected. Familiarity with data streaming and data visualization is considered as a plus.In addition we expect solid communication and collaboration skills combined with fluency in English, written and spoken.What we offer:Team of talented and easy-going colleaguesA culture of transparency and ownershipFlexible model of work55-70 k€ annual salary and option packageAbout The ProcessIf you want to take part in Huuva’s journey, please start by sending your application via the link.We will be reviewing applications on an on-going basis. The process will include two interviews, a short assignment, and discussion with the team.Read more about us:Really good food with a hint of softwareHS VisioBloomberg","https://fi.linkedin.com/jobs/view/data-engineer-at-huuva-3664537626"
"Jefferson Frank","Data Analyst - Up to €6,500 - MUST BE FINNISH RESIDENT","Entry level","Our client are a smaller-sized, ambitious Consultancy company, currently with offices in Helsinki and Tampere, and offering 100% remote work. In their early years they have focused on building an excellent customer base and sales pipeline, which has helped them to focus on excellent projects for both Public Sector organisations as well as some of the most well-known Private Sector companies in Finland.Both myself and they are open to looking for a range, or a specific type of project with you, and thankfully I have a genuine example where if this is a good match then it is ready - and if you are unsure, we could look at others.I can't name the end customer over message, but the industry/focus: FinanceBasic salary range: Up to €6,500Office location/remote flexibility: Helsinki based, remote possibleProject duration: At least 2 yearsTech stack: AWS | Python | DatabricksProject focus: Data Analyst for a Financial companyIf a new opportunity like this could be interesting it would be great to agree a time to speak.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/sarah-king-624956160/Email: s.king@jeffersonfrank.comPhone: +358 75 326 6584Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.I will call you to discuss your skill-set furtherI specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs","https://fi.linkedin.com/jobs/view/data-analyst-up-to-%E2%82%AC6-500-must-be-finnish-resident-at-jefferson-frank-3733881059"
"Nigel Frank International","Data Engineer","Entry level","Data Engineer - Product Development - HelsinkiAre you a passionate Data Engineer and want to make a real difference in the world with your work? Great, look no further!About the Company:Our client is looking for a Data Engineer to join their growing team in Finland. They are a product-development house and are one of Finland's largest energy companies. They have a clear goal set out to be a 100% carbon-neutral energy company by 2030. Great if candidates areRole & Responsibilities:You will join a team of 20- very talented and highly skilled co-workers. This role will involve real-time streaming analytics, which will be crucial in collecting data from multiple sources like wind turbines, solar panels, thermal energy from the ocean, and nuclear reactors. This is the key to the company's becoming carbon neutral.Skills & Qualifications 5-2+ previous years of experience working as a Data Engineer Real-timeline streaming experience E.g with Python and Azure Databricks / Azure Event Hub / Azure IoT Hub or kafka / python / AWS Fluency in FinnishWhat can they offer YOU? Competitive salary ranging from 4500-5200€/pm with bonus on top! The employees in the business are valued a lot, they are a business that believes data is everything. They are a customer-focused company. They are now 90% in an Azure environment and are looking to become totally Azure focused soon. They have an unreal Tech stack and are working very closely with Microsoft Microsoft free courses will be provided by the company Loads of flexibility, great/fun team, and typically attractive for consultants to move into internal product development which is based on Data & AI.If you are interested in knowing more, please send over an updated version of your CV to j.selen@nigelfrank.com.If this is not the exact role you were looking for, get in touch anyway! Just send me an email anyway and highlight what interests you.Nigel Frank International is the global leader in Microsoft Technology Recruitment. Since 2006, we've found over 20,000 perm and contract Microsoft professionals for partners, ISVs, and end users in the ecosystem. For more information, visit www.nigelfrank.com","https://fi.linkedin.com/jobs/view/data-engineer-at-nigel-frank-international-3713068488"
"Jefferson Frank","Data Engineer- Helsinki- up to 5000€/pm + bonus","Entry level","Data Engineer (AWS)- Helsinki- up to 5000€/pm + bonusOur client is looking for a Data Engineer to join their team. You will be working for an organization that offers their customers maintenance and modernization services for railway and infrastructure in the Nordic and Baltic countries. With your work every day, you influence the daily lives and travel of hundreds of thousands of people and the movement of thousands of tons of cargo.The role You will be the only data engineer within the team to develop new report capabilities. The team that they are in has 2 MDM specialists and 2 Power BI specialists and you would be joining as the singular data engineer on the team. (There are other data engineers in other departments) They are looking to become more data-driven as they admit they aren't yet, and this is an exciting move to be part of as you will have the opportunity to make changes.Experience Experienced in the AWS Stack (S3 Glue, Lambda, Dynamo DB, Cloud Patch) is what they use SQL Python Experience DevOps Skills (Jira, Confluence, Jenkins) Fluency in Finnish Snowflake experience is a nice plusIn return Sports and culture support (200€ per year) Free train usage (travel benefits) Good work health services Holiday places for a discounted rate in Finland and abroad Flexible working hours and remote work possibility New office place in Pasila Helsinki, but the possibility to work also in other locations Up to 8% bonusMy client is looking to begin the interview process asap with limited interview spots this and next week, so don't miss out, apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialize in Mobile, Web, and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management, etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/data-engineer-helsinki-up-to-5000%E2%82%AC-pm-%2B-bonus-at-jefferson-frank-3671472986"
"Canonical","Cloud Support Engineer","Entry level","This role is an opportunity for a hands-on engineer with a passion for Linux and cloud technologies to build a career with Canonical and drive the success with those leveraging Ubuntu and open source products.If you have an affinity for open source development and a passion for technology, then you will enjoy working with some of the best people in the industry at Canonical.The role of a Cloud Support Engineer at Canonical We regularly solve interesting, technical problems. From triaging complex Cloud environment issues, Linux kernel crashes we've never seen before to OS configuration issues and root cause analysis, we provide an expert level of support and satisfaction to our peer groups and customers.We are rapidly expanding and are looking for talented problem solvers with a passion for working on the next generation of Ubuntu solutions for our customers.Location: This is a globally remote role, unless specified otherwise.What Your Day Will Look LikeInvestigate issues reported by customers by researching and escalating issues Work to resolve complex customer problems related to Canonical's portfolio of products. Ownership of results: Ensure that each support case owned by you is handled according to our Service Level Agreement (SLA) with the highest possible customer satisfaction by setting the right expectations and fulfilling your commitments. Engage directly with customers and work collaboratively by phone, ticketing system, and remote sessions to resolve their issues. Participate in a regular weekend working rotation. Contribute new knowledge base articles and maintain existing articles, ensuring shared knowledge and lessons learned are available to customers. Understanding Ubuntu development process to be able to set customer expectations correctly on timeline for a fix. Background check requiredWhat Are We Looking For In You Excellent verbal and written communication skills in English. Hands-on experience supporting Linux systems including 2 or more of:Virtualization / Cloud - primarily using KVM or OpenStack. Containers - especially with Docker, LXD/LXC, or Kubernetes. Storage technologies - block, object and network. Networking (bonding, firewalling, bridging, switching, network file system tuning, MTU issues, etc.)Linux integration with other environments (authentication/directory services, network file systems, etc.)Cloud computing (provisioning, monitoring, orchestration, etc.)Troubleshooting experience:Basic reading of stack traces to be able to search for duplicates, escalate to the correct team. Understand OS and Application level bugs and advise on next stepsProgramming fundamentals in any language. Customer support experience:Customer needs are top priorityCommunicate clearly and set the right expectations. Ability to travelWhat We Offer YouYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits below, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/cloud-support-engineer-at-canonical-3734006106"
"Silo AI","AI Engineer, Large Language Models","Entry level","At Silo AI engineers and researchers collaborate closely to tackle challenging real-world problems. The core competence of Silo AI relies on deep academic, and industry expertise in various fields of AI, covering machine learning, natural-language processing, computer vision among others. AI Engineers are expected to build innovative AI solutions powered by, and powering, Large Language Models (LLMs) that together with AI Scientists and software developers can be deployed in our products serving our clients.What will you be doingAs an AI Engineer in Large Language Models, you'll work in a top tier team of AI experts, creating next-generation methods for creating safe, reliable and robust AI models. You'll closely collaborate in a team with scientists and product developers to implement our vision of human-centric AI and specifically, LLMs. You may choose to work from our offices in Helsinki or Stockholm, whichever suits you best.AI Engineers are expected to have strong industry experience and projects showing clear evidence of high-quality software engineering in fields related to AI and proven experience and ability to implement solutions in high-performance computing environments. As an AI Engineer you will:Train, fine-tune and evaluate state-of-the-art transformer modelsCreate workflows and tools for fine-tuning language models Implement model parallelism and data parallelism techniques to optimize model performance through model and data parallelismCollaborate with cross-functional teams to create value with LLMs. Implement tooling to support reinforcement learning human feedback methodsWork with Python, SQL, C++ and Linux systems to develop robust data solutions. Requirements:MSc or PhD in Computer Science, Artificial Intelligence, or a related field. 6+ years of experience in the industry, on topics such as Artificial Intelligence, high-performance computing and Machine LearningPrevious expertise and interest in Natural Language Processing and large language models or Reinforcement Learning. Proficiency in Python, C++ and SQLExperience in utilizing GPUs or TPUs training transformer-based modelsExperience in high-performance computingWorking proficiency in EnglishOur cultureWhat we believe in at Silo AIBuild Bonds - Trust is our bond. We connect with customers and always seek to understand how we can best help them, and make sure that we keep what we promise. We encourage a culture where successes are celebrated, learnings shared and support provided for our team members to succeed. Keep Learning - Grow to excel. We aim for excellence by learning from the market, sharing our competence, and attracting talent with a growth mindset. We believe that expertise is not an achievement - it's a lifestyle of curiosity, learning, sharing and working with people who share the same hunger. Ask Why - Know your why. We have the courage and agility to keep challenging what we're doing to assure value creation for customers. We encourage open dialogue and debate and strive for diversity in opinions to improve decision making. Be Good - Positive impact. We always strive to be transparent and open in our communications, take ownership and aim for positive impact and results in all we do. We take pride in creating an equal and supportive workplace for talented and ambitious professionals from all nationalities, genders, orientations and","https://fi.linkedin.com/jobs/view/ai-engineer-large-language-models-at-silo-ai-3673087120"
"Nigel Frank International","Azure Data Engineers","Entry level","Azure Data Engineer - HelsinkiDo you want to work within a strong internal culture that gives you limitless opportunities to grow as a professional and realize your own potential?Our client is an innovative group of experts who offer you the opportunity to complete challenging and interesting assignments utilising the latest Azure technology with colleagues who are amongst the top in the industry.Our client focuses solely on Azure Data Warehousing/Analytics, as well as Azure Integrations, working on fascinating large projects in the private sector. Employees are always working in teams in an open and friendly environment that offers flexible working options.Responsibilities: Work Full-stack with Azure technologies such as Power BI and Azure Data Factory. Design, implement and improve the client's data analytics solutions for their customers. You are involved in the whole process of projects from the design stage to the implementation stage. You work as part of a team building modern data platforms and data pipes in Microsoft Azure cloud environments.What they are looking for: You have a few years of experience in data warehousing (e.g. ETL) or integrations, and especially in Microsoft SQL Server databases. In addition to technical skills, the clients expects you to have experience in teamwork in the customer interface and the ability to promote development work independently. They value the experience of Azure, Microsoft on-premises analytics solutions and Master Data Management, The desire to learn and develop into a top-class Azure expert. Fluency in Finnish & EnglishWhat they offer: Excellent salary & benefits package They have built a quality senior team, sourcing only the best talent across Finland to ensure a high quality output Always work in project teams, no fire fighting Completely Azure based projects in the private sector Outsourced boring maintenance work to ensure colleagues work on only the most interesting and effective tasksSalary: 4500-8000EUR for the right candidateWhilst this position offers remote working all candidates must be located inside Finland with a valid work Visa.All interviews will be carried out remotely.","https://fi.linkedin.com/jobs/view/azure-data-engineers-at-nigel-frank-international-3723949212"
"Innofactor","Azure Data Engineer","Entry level","Haemme uutta Azure Data Engineeriä tehostamaan nykyisten ja tulevien asiakkaidemme liiketoimintaa. Data Engineerimme työskentelevät monella eri toimialalla toimivien organisaatioiden parissa. Yhteistä kaikille asiakkaille on kuitenkin me ja se apu mitä tarjoamme. Sinun tiedoillasi ja taidoillasi on suuri merkitys projektien onnistumisessa ja asiakkaiden haasteiden ratkaisemisessa. Tule siis mukaan tekemään työtä, jolla on merkitystä.Data Engineerinä käännät asiakkaidemme liiketoimintatarpeet teknisiksi ratkaisuiksi, joita pääset myös itse toteuttamaan. Suunnittelet ja rakennat asiakkaillemme Azure-pohjaisia integraatio- ja tietovarastoratkaisuja, joissa hyödynnät osaamistasi esimerkiksi Data Vault -mallinnusmenetelmästä. Oman osaamisesi mukaan voit olla mukana tekemässä hands-on konfiguraatioita, asennuksia ja skriptauksia sekä suunnittelemassa arkkitehtuureja. Lisäksi, halusi ja kykyjesi mukaan voit myös osallistua myyntiin ja olla mukana suunnittelemassa tarjoamaamme.MeistäNykyinen Data Platform-tiimimme koostuu yrittäjähenkisistä ammattilaisista jotka arvostavat asiantuntijuuttaan sekä kehittävät jatkuvasti osaamistaan. Innofactorilla annamme tiimeille vapautta sekä vastuuta ja esihenkilöidemme tehtävänä on tukea ja auttaa tiimiä menestymään, eikä sanella miten töitä pitäisi tehdä. Matalan hierarkian organisaationa työntekijöillämme on lukuisia mahdollisuuksia vaikuttaa ja kehittää omaa sekä yhteistä toimintaa.Tarjoamme sinulle:työyhteisön, jossa sinulla on mahdollisuus kehittyä yhdessä mahtavien asiakkaidemme ja osaavien kollegoiden kanssamahdollisuuden syventyä Microsoft-teknologioihin kouluttautumisen ja sertifiointien avullamielenkiintoisia ja haastavia projekteja Microsoftin uusimmilla teknologioilla ja vaihtelevilla projektihallintamenetelmilläkilpailukykyisen palkitsemisjärjestelmänjoustavat työaikajärjestelyt sekä monipuoliset, työnantajan tukemat harrastusmahdollisuudet ja yhteiset tapahtumatmukavia työtovereita ja vauhdikkaan ilmapiirin, jossa työtä tehdään tiiviisti yhdessä pilke silmäkulmassa, rautaisella ammattitaidollaSinustaOdotamme sinulta aiempaa kokemusta ja osaamista asiakkaiden liiketoimintahaasteiden ratkaisemisesta erilaisten teknisten ratkaisujen (Data Vault, Data Lake) ja työkalujen (SQL, T-SQL, SQL Server Management Studio, Azure Databricks, Azure Data Factory, WhereScape, DBT, Snowflake) avulla. Meillä pärjäävät parhaiten uteliaat ja itsensä kehittämisestä kiinnostuneet, hyvät vuorovaikutustaidot omaavat. Kommunikointi sujuvasti suomeksi ja englanniksi sekä konsultatiivinen ote auttavat sinua menestymään tehtävässä. Luemme eduksi aiemmin suoritetut Azure sertifikaatit, sekä Snowflake-osaamisesta sekä osaamisen tai ymmärryksen tietovarastojen optimoimisesta.Konsulttina meillä pystyt itse vaikuttamaan rooliisi ja tehtäviisi. Tiiminä pyrimme auttamaan sinua tunnistamaan ja hyödyntämään omia vahvuuksiasi ja mielenkiinnon kohteitasi projekteja suunnitellessamme. Apunasi ja tukenasi työskentelee siis liuta konsultteja sekä aktiivinen myyntiorganisaatiomme. Saat kokonaisvaltaista vastuuta asiakkuudestasi ja vapaat kädet toimia. Tätä tukee myös palkkauksemme, joka koostuu kiinteästä osuudesta, sekä laskutukseen sidotusta bonuksesta.Kiinnostuitko?Aloitamme haastattelut tehtävään heti soveltuvan hakijan löytyessä, tavoitteena päästä sopimukseen elokuussa, joten laitathan hakemuksesi palkkatoiveineen meille mahdollisimman pian.Innofactor kasvaa ja kehittyy joka päivä, yhdessä asiakkaidemme ja työntekijöidemme kanssa. Meillä työskentelee yli 550 innostunutta ja osaavaa henkilöä Suomessa, Ruotsissa, Tanskassa ja Norjassa. Innofactor Oyj:n osake on noteerattu arvopaperipörssi NASDAQ Helsinki Oy:n päälistalla.#PeopleFirst | #BeTheRealYou | #CreatingSmiles | #ModernDigitalOrganizationInnofactor kasvaa ja kehittyy joka päivä, yhdessä asiakkaidemme ja työntekijöidemme kanssa. Olemme Pohjoismaiden johtavia Microsoft-pohjaisten ratkaisujen toimittajia. Tarjoamme yrityksille, julkishallinnolle ja muille yhteisöille kaikki Microsoftin keskeiset ratkaisut. Yrittäjälähtöisyytemme pitää asiakkaan tarpeet aina työmme keskiössä. Innofactorin asiakkaina on noin 1000 yritystä, yhteisöä ja julkishallinnon organisaatiota Suomessa, Ruotsissa, Tanskassa, Norjassa ja muualla Euroopassa. Innofactorissa työskentelee yli 500 innostunutta ja osaavaa henkilöä Suomessa, Ruotsissa, Tanskassa ja Norjassa. Innofactor Oyj:n osake on noteerattu arvopaperipörssi NASDAQ Helsinki Oy:n päälistalla, jossa se on liikevaihdolla mitattuna yksi nopeimmin kasvavista yrityksistä.#PeopleFirst | #BeTheRealYou | #CreatingSmiles #ModernDigitalOrganization","https://fi.linkedin.com/jobs/view/azure-data-engineer-at-innofactor-3674966425"
"Moyyn","IT Support Engineer: Bootcamp and Project work (remote-part time)","Entry level","If you are a student, graduate or career change aspirant, and you are missing out on the skills to work in your dream job, this bootcamp is for you. Get trained and work on hands-on projects in our bootcamp to upskill yourself!Program: 4 weeks (28hrs) hands-on training for Microsoft MD102 certification (Program language – English)Modules– IT fundamentals– Compatia A+– Microsoft MD 102 Certification– Deploying Windows Client– Managing Identity and Compliance– Manage, Maintain, and Protect devices– Manage Applications– Microsoft MS 900 and Microsoft AZ 900 (Cloud)– Get ready for MD 102 Certification– Get sample tests for the certificationCareer GuidanceGet guidance on how to land a job in IT Domain– Career sessions– Job search platforms intro– CV preparation– Cover letter preparation– Interview tipsWhy join our IT Training Program?– Skill development: Learn the fundamentals of IT Support– Career advancement: Get the confidence and training to switch your career to IT– Job opportunities: Increase your job opportunities, get referred by us to our clients and partners– Real startup projects: Work directly with our CPO on real startup projects– Networking Join our GATE community and build your networkA Bootcamp is an intensive training program where you will learn skills, tools, and technologies to tackle the needs of a job market. In addition to theoretical knowledge, you will mainly take part in working on hands-on projects which are from real startups which provide you with experience. Bootcamp is a skill certification program.","https://fi.linkedin.com/jobs/view/it-support-engineer-bootcamp-and-project-work-remote-part-time-at-moyyn-3735840759"
"Nigel Frank International","Junior/Mid-level Azure Data Engineer","Entry level","The client is a well-establish company that is excelling organically in growth and revenue. They are looking for junior to mid-level Azure Data Engineers with 2+ years of experience to join due to high demand from their clients, as-well as natural expansion of the company.This is a very hands on Data Engineering role. The Candidate will be working heavily with Data Warehousing, ETL, Data Modelling and some reporting.Skills & Qualifications Relevant work experience/certifications/education Azure Stack, ETL Pipeline, Data Warehousing experience, Python, C#, Power BI Fluency in Finnish is a requirement for this roleBenefits Opportunity to become a shareholder in the company Training and paid certifications Occupational health-care Massages, wellness, food vouchers, travel vouchers Very welcoming and supportive environment where everyone wants you to succeed and progress, you will feel very valued here.To learn more, send an updated CV to d.field@nigelfrank.com. Even if this role isn't an exact match, get in touch to discuss your interests.Nigel Frank International is the global leader in Microsoft Technology Recruitment. Since 2006, we've found over 20,000 permanent and contract Microsoft professionals for partners, ISVs, and end users in the ecosystem.","https://fi.linkedin.com/jobs/view/junior-mid-level-azure-data-engineer-at-nigel-frank-international-3730122935"
