"company","job-title","level","description","job-url"
"Huuva","Data Engineer","Entry level","About HuuvaHuuva Kitchens turn local communities into culinary hotspots by catering the best dishes from the hottest restaurants. With Huuva, there’s always something new that you can mix and match to be delivered to your door with superior convenience and quality.Huuva operates a network of local kitchens that plug into the local and global food scene, making those experiences accessible beyond the most central city locations with always something new to discover. As our dishes are made locally, they also come to you faster. Saving time, money and the environment.Our kitchen technology enables our chefs to focus on the most important thing – the quality and joy of making the best dishes, all curated and cooked by people with a passion for great food and an appetite for what comes next. This is the power of Huuva OS - the most advanced kitchen platform ever created.About The RoleYou will be part of a team focusing on our Back-of-House technology, meaning an operating system that covers all aspects from handling orders across sales channels to inventory management. Data engineering and operative analytics are at the very core of all this as we strive to be the best operator in the industry.As a Data Engineer, you will be the primary owner of our analytics data infrastructure which is built on top of GCP’s BigQuery data warehouse and supported by tools and technologies like DBT Cloud, Hightouch, Airflow, Python and Kafka.What We Expect From YouIn short, we are looking for a candidate with passion for data engineering and enough experience to own and develop our data warehousing and analytics capabilities as the primary owner.Seniority in building data pipelines, data modeling, scripting with Python and the aforementioned tools is expected. Familiarity with data streaming and data visualization is considered as a plus.In addition we expect solid communication and collaboration skills combined with fluency in English, written and spoken.What we offer:Team of talented and easy-going colleaguesA culture of transparency and ownershipFlexible model of work55-70 k€ annual salary and option packageAbout The ProcessIf you want to take part in Huuva’s journey, please start by sending your application via the link.We will be reviewing applications on an on-going basis. The process will include two interviews, a short assignment, and discussion with the team.Read more about us:Really good food with a hint of softwareHS VisioBloomberg","https://fi.linkedin.com/jobs/view/data-engineer-at-huuva-3664537626"
"Jefferson Frank","Data Engineer- Helsinki- up to 5000€/pm + bonus","Entry level","Data Engineer (AWS)- Helsinki- up to 5000€/pm + bonusOur client is looking for a Data Engineer to join their team. You will be working for an organization that offers their customers maintenance and modernization services for railway and infrastructure in the Nordic and Baltic countries. With your work every day, you influence the daily lives and travel of hundreds of thousands of people and the movement of thousands of tons of cargo.The role You will be the only data engineer within the team to develop new report capabilities. The team that they are in has 2 MDM specialists and 2 Power BI specialists and you would be joining as the singular data engineer on the team. (There are other data engineers in other departments) They are looking to become more data-driven as they admit they aren't yet, and this is an exciting move to be part of as you will have the opportunity to make changes.Experience Experienced in the AWS Stack (S3 Glue, Lambda, Dynamo DB, Cloud Patch) is what they use SQL Python Experience DevOps Skills (Jira, Confluence, Jenkins) Fluency in Finnish Snowflake experience is a nice plusIn return Sports and culture support (200€ per year) Free train usage (travel benefits) Good work health services Holiday places for a discounted rate in Finland and abroad Flexible working hours and remote work possibility New office place in Pasila Helsinki, but the possibility to work also in other locations Up to 8% bonusMy client is looking to begin the interview process asap with limited interview spots this and next week, so don't miss out, apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialize in Mobile, Web, and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management, etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/data-engineer-helsinki-up-to-5000%E2%82%AC-pm-%2B-bonus-at-jefferson-frank-3671472986"
"Nigel Frank International","Junior/Mid-level Azure Data Engineer","Entry level","The client is a well-establish company that is excelling organically in growth and revenue. They are looking for junior to mid-level Azure Data Engineers with 2+ years of experience to join due to high demand from their clients, as-well as natural expansion of the company.This is a very hands on Data Engineering role. The Candidate will be working heavily with Data Warehousing, ETL, Data Modelling and some reporting.Skills & Qualifications Relevant work experience/certifications/education Azure Stack, ETL Pipeline, Data Warehousing experience, Python, C#, Power BI Fluency in Finnish is a requirement for this roleBenefits Opportunity to become a shareholder in the company Training and paid certifications Occupational health-care Massages, wellness, food vouchers, travel vouchers Very welcoming and supportive environment where everyone wants you to succeed and progress, you will feel very valued here.To learn more, send an updated CV to d.field@nigelfrank.com. Even if this role isn't an exact match, get in touch to discuss your interests.Nigel Frank International is the global leader in Microsoft Technology Recruitment. Since 2006, we've found over 20,000 permanent and contract Microsoft professionals for partners, ISVs, and end users in the ecosystem.","https://fi.linkedin.com/jobs/view/junior-mid-level-azure-data-engineer-at-nigel-frank-international-3730122935"
"Jefferson Frank","AWS Data Engineer - Helsinki","Entry level","Job Title: AWS Data EngineerLocation: Helsinki, FinlandAbout Us: Our client is a leading product company headquartered in Helsinki, Finland, specializing in Identity and Access Management (IaM), cybersecurity, and Single Sign-On (SSO) solutions. They are committed to helping organizations enhance their security posture and streamline access management for their users. Their innovative products are trusted by businesses worldwide to protect their digital assets.Position Overview: We are seeking a skilled AWS Data Engineer to join their dynamic team in Helsinki. As an AWS Data Engineer, you will play a pivotal role in designing, developing, and maintaining their data infrastructure. Your work will be instrumental in ensuring that their IaM, cybersecurity, and SSO products continue to provide state-of-the-art security solutions for their customers.Key Responsibilities Design, build, and maintain scalable data pipelines and architectures on AWS. Develop data models and ETL processes to support business intelligence, analytics, and reporting. Collaborate with cross-functional teams to gather requirements and ensure data infrastructure meets business needs. Monitor and optimize data performance and reliability. Implement data security and compliance best practices. Work with data warehousing technologies and tools, such as Redshift, S3, and Glue. Collaborate with Data Scientists and Analysts to provide timely access to quality data. Stay up-to-date with industry trends and emerging AWS technologies to enhance our data capabilities.Qualifications Bachelor's or Master's degree in Computer Science, Data Engineering, or a related field. 3+ years of professional experience as a Data Engineer with a focus on AWS. Strong proficiency with AWS services, including S3, Redshift, Glue, and Lambda. Proficiency in Python, SQL, and data modeling. Experience with data warehousing and ETL processes. Familiarity with data security and compliance standards. Excellent problem-solving and communication skills. Finnish language skills are preferred. AWS certifications (e.g., AWS Certified Data Analytics, AWS Certified Data Engineer) are a plus.If you are a passionate AWS Data Engineer looking to make an impact in the field of cybersecurity and data analytics, we would love to hear from you.To apply, please send your resume and a cover letter detailing your relevant experience to s.cook1@jeffersonfrank.com.Please note, only applicants that are successful, located in Helsinki, and that have been selected for an initial screening will be contacted.","https://fi.linkedin.com/jobs/view/aws-data-engineer-helsinki-at-jefferson-frank-3726877948"
"Nigel Frank International","Azure Data Engineers","Entry level","Azure Data Engineer - HelsinkiDo you want to work within a strong internal culture that gives you limitless opportunities to grow as a professional and realize your own potential?Our client is an innovative group of experts who offer you the opportunity to complete challenging and interesting assignments utilising the latest Azure technology with colleagues who are amongst the top in the industry.Our client focuses solely on Azure Data Warehousing/Analytics, as well as Azure Integrations, working on fascinating large projects in the private sector. Employees are always working in teams in an open and friendly environment that offers flexible working options.Responsibilities: Work Full-stack with Azure technologies such as Power BI and Azure Data Factory. Design, implement and improve the client's data analytics solutions for their customers. You are involved in the whole process of projects from the design stage to the implementation stage. You work as part of a team building modern data platforms and data pipes in Microsoft Azure cloud environments.What they are looking for: You have a few years of experience in data warehousing (e.g. ETL) or integrations, and especially in Microsoft SQL Server databases. In addition to technical skills, the clients expects you to have experience in teamwork in the customer interface and the ability to promote development work independently. They value the experience of Azure, Microsoft on-premises analytics solutions and Master Data Management, The desire to learn and develop into a top-class Azure expert. Fluency in Finnish & EnglishWhat they offer: Excellent salary & benefits package They have built a quality senior team, sourcing only the best talent across Finland to ensure a high quality output Always work in project teams, no fire fighting Completely Azure based projects in the private sector Outsourced boring maintenance work to ensure colleagues work on only the most interesting and effective tasksSalary: 4500-8000EUR for the right candidateWhilst this position offers remote working all candidates must be located inside Finland with a valid work Visa.All interviews will be carried out remotely.","https://fi.linkedin.com/jobs/view/azure-data-engineers-at-nigel-frank-international-3723949212"
"Jefferson Frank","AWS Data Engineer - Remote - Finland","Entry level","MUST BE LOCATED IN FINLANDJob DescriptionA couple of our clients are looking for AWS Data Engineers in Finland to work on their Greenfield and Brownfield projects. As there are multiple projects the possibilities are great, as you can either choose models a full base option or a billable hour option, which can increase your income drastically. If you want to continue developing yourself with paid certification, these are being offered by them to continue your own development.Skills & Qualifications AWS S3, Airflow, Spark Glue, ETL, Kinesis, Athena, Lambda Python Data AnalysisBenefits Competitive salary Unreal benefits packageThis is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs","https://fi.linkedin.com/jobs/view/aws-data-engineer-remote-finland-at-jefferson-frank-3659944342"
"Nigel Frank International","SSIS & Azure Data Engineer","Entry level","This is a fantastic opportunity to join a large, established firm that has a warm and welcoming environment and a friendly and supportive company culture. You will have the opportunity to develop your skills and gain solid, hands-on experience on multiple large projects with well-known customers.Role & Responsibilities You will be working heavily with Data Warehousing, ETL, Data Modelling and some reporting. The company is looking for technical, hands-on professionals.Skills & Qualifications Azure, SSIS, Data Warehousing, Data Engineering, Azure Data Factory, Azure SQL, Strong ETL Knowledge, Power BI Reporting experience desired. Finnish speaking is a MUST.Benefits Paid certifications Training and development plan Insurances Health-care Vouchers IT equipment Fully remote flexibility (Must be based in Finland still)If you feel that you are the right person for this role, get in touch!Jack Allen (he/him)Recruitment ConsultantPhone: +358 94 245 2358 (ext. 2358)Email: j.allen@nigelfrank.comWebsite: www.nigelfrank.com","https://fi.linkedin.com/jobs/view/ssis-azure-data-engineer-at-nigel-frank-international-3677220545"
"Cobblestone Energy","GRADUATE SOFTWARE ENGINEER - Dubai, UAE","Entry level","Employment type: Full-time & PermanentStarting salary of 55,000 USD per annum in a zero-tax environment (plus biannual performance-based bonuses)Job Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)About Cobblestone EnergyCobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways.Over the years we have grown organically. In light of our further ambitions to be the best in all markets we enter, we would like to welcome talented Software Engineers into our Tech team who have just started their careers and are and looking to take up challenging tasks and being a part of our growth story.Cobblestone Values: Lifelong learning with continuous reflection. Independent thinking through a meritocracy of ideas. The team is more important than the individualBeing the best in any market we enter. Hiring and keeping only the most effective people. Others must benefit from our existence. Job DescriptionAt Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. Being a member of our team, you will work on exciting challenges that come with large-scale data processing, automation, and analytics. We work in an agile and highly collaborative environment and challenge the norms of traditional business leadership. We are looking for enthusiastic and resourceful engineers who are passionate about building highly reliable and performance data processing solutions. Developing a strong domain knowledge of our industry over time is key to long term success in this role.This is a rare opportunity to take a leading role in the growth of a major player in the European Power Markets. We are looking for someone who would be committed to the long-term success of the business. We operate in the European Power markets, but our commercial trading operations are in Dubai, UAE.If you have excellent programming skills, strong problem-solving skills and a passion for developing/improving applications utilizing cutting edge technologies, then we would like to meet you.What We Offer In This RoleA full-time position on our Tech teamCommitted and remarkably talented colleaguesHighly competitive compensation dependent on performanceAn exciting, challenging and fulfilling careerAn opportunity to work on new things from scratch and make independent decisions. Investment in your development to ensure that you always remain the best in businessEquity participation for strong contributors, ensuring our interests are all aligned long termResponsibilitiesBe a key contributor to tech projects critical for commercial operationsWrite software applications and programs for backend/frontend purposesAnalyse programs and apps to improve their features and functionalities in collaboration with the commercial teamsTest & debug programs and fix any reported bugsUphold and live our cultural valuesRequirementsBS/BE in Computer Science/Computer Engineering or related fieldProgramming skills in Python languageFamiliarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etcStrong knowledge of REST APIs and webservicesStrong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server) and SQL languageStrong problem-solving and analytical skillsResilience and a determination to succeedPassionate, self-motivated, and fast learnerDesirable Experience/SkillsKnowledge of at least one popular Python framework (like Django, Flask)Programming skills in JavaKnowledge of NoSQL databasesKnowledge of AWSKnowledge of data visualization tools, mainly Tableau","https://fi.linkedin.com/jobs/view/graduate-software-engineer-dubai-uae-at-cobblestone-energy-3641766276"
"Jefferson Frank","Azure Data Engineer- Finland- up to 6500€/pm","Entry level","Data Engineer- Finland- up to 6500€/pmMy client is looking for a Data Engineer to join their existing teams due to an increasing amount of demand. Within this position, you will play a key role in developing and designing services and solutions.Responsibilities And Requirements Hands-on experience in working with data processing, data modeling, data integrations, and data storing Knowledge of big data-related technologies like Databricks/Azure Synapse, Apache Spark, and Kafka Experience in Microsoft Azure and related technologies like IoT Hub, Data Factory, Azure Functions, Azure API Management, and Azure Machine Learning Services Passion to continuously learn new things and aim higher Passion to build great products and solve complex customer problems You must be able to speak Finnish and English comfortably and fluently.In return Culture/sport/wellbeing benefits Lunch vouchers Mentoring/training sessions Occupational Healthcare Occupational spectacles Career opportunities Mobile phone Mobile broadband Referral bonus Family/sick leaves Employer-provided bicycle Paid leave days First card-credit card Nursing service for a sick child InsurancesMy client is looking to begin the interview process asap with limited interview spots this and next week, so don't miss out, apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialize in Mobile, Web, and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management, etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/azure-data-engineer-finland-up-to-6500%E2%82%AC-pm-at-jefferson-frank-3677214031"
"Cobblestone Energy","GRADUATE SOFTWARE ENGINEER - Dubai, UAE","Entry level","Employment type: Full-time & PermanentStarting salary of 55,000 USD per annum in a zero-tax environment (plus biannual performance-based bonuses)Job Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)About Cobblestone EnergyCobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways.Over the years we have grown organically. In light of our further ambitions to be the best in all markets we enter, we would like to welcome talented Software Engineers into our Tech team who have just started their careers and are and looking to take up challenging tasks and being a part of our growth story.Cobblestone Values: Lifelong learning with continuous reflection. Independent thinking through a meritocracy of ideas. The team is more important than the individualBeing the best in any market we enter. Hiring and keeping only the most effective people. Others must benefit from our existence. Job DescriptionAt Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. Being a member of our team, you will work on exciting challenges that come with large-scale data processing, automation, and analytics. We work in an agile and highly collaborative environment and challenge the norms of traditional business leadership. We are looking for enthusiastic and resourceful engineers who are passionate about building highly reliable and performance data processing solutions. Developing a strong domain knowledge of our industry over time is key to long term success in this role.This is a rare opportunity to take a leading role in the growth of a major player in the European Power Markets. We are looking for someone who would be committed to the long-term success of the business. We operate in the European Power markets, but our commercial trading operations are in Dubai, UAE.If you have excellent programming skills, strong problem-solving skills and a passion for developing/improving applications utilizing cutting edge technologies, then we would like to meet you.What We Offer In This RoleA full-time position on our Tech teamCommitted and remarkably talented colleaguesHighly competitive compensation dependent on performanceAn exciting, challenging and fulfilling careerAn opportunity to work on new things from scratch and make independent decisions. Investment in your development to ensure that you always remain the best in businessEquity participation for strong contributors, ensuring our interests are all aligned long termResponsibilitiesBe a key contributor to tech projects critical for commercial operationsWrite software applications and programs for backend/frontend purposesAnalyse programs and apps to improve their features and functionalities in collaboration with the commercial teamsTest & debug programs and fix any reported bugsUphold and live our cultural valuesRequirementsBS/BE in Computer Science/Computer Engineering or related fieldProgramming skills in Python languageFamiliarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etcStrong knowledge of REST APIs and webservicesStrong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server) and SQL languageStrong problem-solving and analytical skillsResilience and a determination to succeedPassionate, self-motivated, and fast learnerDesirable Experience/SkillsKnowledge of at least one popular Python framework (like Django, Flask)Programming skills in JavaKnowledge of NoSQL databasesKnowledge of AWSKnowledge of data visualization tools, mainly Tableau","https://fi.linkedin.com/jobs/view/graduate-software-engineer-dubai-uae-at-cobblestone-energy-3641761747"
