"company","job-title","level","description","job-url"
"Luxid","Data Scientist","Entry level","We are looking for a Data Scientist to work in our growing team of driven and trailblazing Data & Analytics specialists. Do you have what it takes to help big Nordic and global companies reach their business objectives through data storytelling? If so, you could be the right match for us.We Luxidians are a team of creative thinkers, strategists, data analysts, writers, designers, filmmakers, virtual world builders, developers and technologists. We use insight-led creativity to accelerate growth for our clients. With over 30 years of experience in delivering marketing and commerce solutions to a strong international client base, we help our clients break open silos to create customer journeys that drive sales and support buyers.Our Data Scientists are data-native statistics professionals able to translate business needs into data challenges and deliver analytical solutions to clients. In this position, you would be serving one of our biggest clients by creating new and innovative ways of refining understanding from extensive datasets. You would also get to showcase your analytical thinking abilities and communication skills by reporting and reviewing results with the customer team. Reporting to the client is done in Finnish, but teamwork requires also fluent English.Qualifications that ensure your success:Can-do attitudeExcellent communication skills and familiarity with the topic of sales and marketing analyticsAdvanced knowledge of BI dashboards (Power BI or Tableau) and SQLTraditional analytics know-how (significance testing, normal distribution, regression models)Basic understanding of all digital marketing operations and the Google ecosystemFluent Finnish and EnglishAdditional nice-to-have qualifications:Google Analytics skillsKnowledge of retail businessExperience with data engineeringWhat we offer you:International, English-speaking, diverse, and inclusive equal opportunity workplaceWork with large Nordic and global brandsPossibilities to develop your skills and advance your careerExtensive occupational healthcare planCulture, sport and wellness benefitsFlexible remote working opportunities all around the world but also offices in Helsinki, Turku, London, and Austin. In this position, you need to be able to visit our customer’s premises in Helsinki.If you are ready to make an impact in the world of marketing, apply now and join our team of Luxidians!If you have any questions, please contact our HR Manager Anu Sonck, anu.sonck(at)luxidgroup.com","https://fi.linkedin.com/jobs/view/data-scientist-at-luxid-3719694878"
"Gradfuel","Commercial Graduate Programme - Multinational Company","Entry level","We are searching for exceptional graduate trainees to join our Commercial Graduate Programme.Our training program is structured to give you the opportunity to develop into a commercial role in the business, primarily within Risk, Analytics, or Operations. You will be trusted with individual responsibility from day one in a complex and demanding role, so you will have the ability to work well in a team and to think and act independently. We look for people who have a strong commercial acumen, demonstrate entrepreneurialism, thrive on logistical challenges and provide practical solutions to complex problems utilising mathematical and coding capabilities..Based within our dynamic trading environment, our programmes are structured to bring out the very best in you and give you the opportunity to excel in a commercial role, working alongside the very best people in the business.Whether your ambitions are to become a Commodity Trader or to build a career developing your data analytical skills within a trading environment as a Risk Manager or Trading Analyst, you will have direct exposure to the commercial teams and will be trusted with individual responsibility from day one.Commercial Graduate Programme:A programme designed to prove your commercial aptitude and test your resilience as the front-line support to traders and operators primarily within Traffic, Risk, Middle Office, LME Desk Support, Business Development, with opportunities to rotate between. Exploring other commercial areas of the business can include Operations, who are responsible for the logistical and financial execution of each trade. Entrepreneurial abilities, accuracy, and strong communication skills are the key ingredients for a successful career trading here.RequirementsWe are looking for students who are currently enrolled in or have recently graduated from a Bachelors or Masters degree.We are looking for individuals who possess the following skills:Flexible and adaptableStrong influencing and decision-making skillsProfessional attitude keen to develop and build relationships with stakeholders Ability to get things organisedExperienced in working with a high level of trust and integrityDemonstrates common sense, work on own initiative as well as part of a team, with a willingness to work for the benefit of the team as a wholeMust demonstrate a high level of accuracy in all tasks, strong attention to detail, analytical, meticulous and efficient whilst under pressureStrong communication skillsAptitude to learn new skills","https://fi.linkedin.com/jobs/view/commercial-graduate-programme-multinational-company-at-gradfuel-3725989281"
"IPRally","ML Engineer","Entry level","Are you up for the toughest AI challenges around graph neural networks? We have built a graph-based patent search engine with which our users find the documents that already contain their concepts. We are looking for an Machine Learning Engineer who can envision breakthrough-level ideas and follow them through with software engineering excellence. You will be working with the very core of the product - the search algorithm.We have converted 100M patent documents into 100M knowledge graphs, to compress the key information into simpler data for ML. It has been possible because of the semi-structured patent text. Patent documents also contain rich metadata like citations between documents, which are essentially labels for supervised training. All of this presents an opportunity to dive deeper into text understanding than even the LLMs from the tech giants.The current model we use is the Graph Transformer (read our blog about the graph transformer), so both the NLP transformers and the GNN models are relevant. We published a paper at the SIGIR 2023 conference about our general approach (read our paper).The daily work is done in a small hybrid team. Remote work is okay, but we expect to see each other at least once a quarter in person. There is also a separate team providing MLOps support.Technology stackPyTorch for search model developmentML services deployed as Python microservicesGoogle Cloud for computationRequirementsExcellence in applied deep learning, ideally also with GNNsA genuine eagerness to learnKnowledge about NLPStrong social skillsFluency in English, which is our company languageYou are located ideally in Finland, but at least you can work in European time zonesBenefitsA rare opportunity to join an early-stage, disruptive company that has a unique edge, ambitious plans, and an already proven record of success in a growing $2bn industryOpportunities to grow as we grow. We will help you be the best you can be in this role, and help you develop skills that will help you reach the next stage. You will work with a highly talented and supportive teamA compelling and competitive financial package and other benefits, including six weeks of holidayIn Finland, other benefits include for example lunch, sports and culture, and commuting benefits, extended occupational health care with dental care, and tools of your choosingNext stepsOur recruitment process consists ofA casual interview with our AI Team Lead Sebastian and Head of People and Talent Mari, in which we will discuss your background and check if our wishes align with yoursWe would like to see an example of your code. You can share your Github profile with us or do a code task if that’s what you preferA technical interview with Sebastian and an AI team member to dig deeper into your technical skillsA final call with our CTO JuhoSounds interesting? Send us an application now!About IPRallyIPRally will change the way of finding and categorizing patents. How? We have introduced transparent and reliable AI applications to the patent search, analysis, and classification process, which helps our customers save a lot of time, resources, and money. We are transforming the complex and tedious process of finding information that is crucial for our customers, but most importantly, we help innovative companies quickly find and act upon opportunities and drastically reduce risk.So, who are we? IPRally was founded in Helsinki, Finland in 2018. With a vision to automate tasks that steal resources from both inventors and patent professionals and help them achieve their goals faster, a completely new and ground-breaking way of searching for technical information was built. By modeling the technical content of patents, and processing this with cutting-edge, proprietary graph neural networks, IPRally gives customers highly relevant information at their fingertips, in seconds.","https://fi.linkedin.com/jobs/view/ml-engineer-at-iprally-3731373665"
"Huuva","Data Engineer","Entry level","About HuuvaHuuva Kitchens turn local communities into culinary hotspots by catering the best dishes from the hottest restaurants. With Huuva, there’s always something new that you can mix and match to be delivered to your door with superior convenience and quality.Huuva operates a network of local kitchens that plug into the local and global food scene, making those experiences accessible beyond the most central city locations with always something new to discover. As our dishes are made locally, they also come to you faster. Saving time, money and the environment.Our kitchen technology enables our chefs to focus on the most important thing – the quality and joy of making the best dishes, all curated and cooked by people with a passion for great food and an appetite for what comes next. This is the power of Huuva OS - the most advanced kitchen platform ever created.About The RoleYou will be part of a team focusing on our Back-of-House technology, meaning an operating system that covers all aspects from handling orders across sales channels to inventory management. Data engineering and operative analytics are at the very core of all this as we strive to be the best operator in the industry.As a Data Engineer, you will be the primary owner of our analytics data infrastructure which is built on top of GCP’s BigQuery data warehouse and supported by tools and technologies like DBT Cloud, Hightouch, Airflow, Python and Kafka.What We Expect From YouIn short, we are looking for a candidate with passion for data engineering and enough experience to own and develop our data warehousing and analytics capabilities as the primary owner.Seniority in building data pipelines, data modeling, scripting with Python and the aforementioned tools is expected. Familiarity with data streaming and data visualization is considered as a plus.In addition we expect solid communication and collaboration skills combined with fluency in English, written and spoken.What we offer:Team of talented and easy-going colleaguesA culture of transparency and ownershipFlexible model of work55-70 k€ annual salary and option packageAbout The ProcessIf you want to take part in Huuva’s journey, please start by sending your application via the link.We will be reviewing applications on an on-going basis. The process will include two interviews, a short assignment, and discussion with the team.Read more about us:Really good food with a hint of softwareHS VisioBloomberg","https://fi.linkedin.com/jobs/view/data-engineer-at-huuva-3664537626"
"Trifecta Retail Ventures","Customer Happiness Advocate (Remote - Canada)","Entry level","Our mission at Trifecta Retail Ventures is to offer the most exciting way to discover and get brand-named merchandise while offering brands a powerful way to build brand awareness & increase sales without jeopardizing their pricing power.Our fun & exciting shopping platforms are used by millions of US shoppers. Our unique business model has allowed us to form strong partnerships with the world’s leading brands and retailers like Walmart, who today use our platforms to move their inventory.You will be working for DealDash! Our largest company within the Trifecta Retail Family 🔥DealDash is the world’s largest provider of pay-to-participate auctions. Founded in 2009, DealDash continues to grow with more than 10 million registered shoppers and 92% of revenue coming from repeat buyers. In short, Each bid raises the price by $0.01. The auction clock restarts from 10 seconds every time someone bids. If no new bids are placed before the clock runs out, the last bidder wins!DealDash differs from first generation penny-auction websites in that losing bidders are given an option to purchase the item they had unsuccessfully bid on at a stated “Buy it Now” price and receive a refund on the credits used in the auctions.Our Customer Support Specialists are spread across the globe to provide top-notch 24/7 service to our amazing customers! Our highly-skilled team have the freedom to serve our customers the best way they know how (who wants to read from a script?).The team is made up of highly-motivated, analytical and entrepreneurial professionals who work collaboratively to provide top-notch recreational shopping experiences for our customers. We challenge each other in an open and candid environment, no matter what our job title is, so that we may all grow and improve together.Some fun facts about TRV:Our team is spread out over 10 countries13 nationalitiesEvery employee talks to Customers every week, no matter what your function! We love our Customers!92% of our revenue comes from repeat buyers! (And we are still growing after well over a decade of business!)We believe in:Putting the Customer first in everything we doEmpowering small teams with lots of autonomyMaking data driven decisionsBeing candid, fair & honestMaintaining a flat meritocratic org structureManaging through social trust, not controlIf you feel our values match yours, then come and join the team!Job Description:Are you looking to join a high growth tech company? Are you passionate about people? Then we are looking for you!We are a small team with a big business! Our customers come first, and our Customer Support team is at the forefront!As a member of this team, you would be responsible for answering customer inquiries through email, chat, and phone.Successful applicants will begin with a two-week remote training period, following which the opportunity to work remotely is available. This is a 5 day per week position with shifts that may be from Mon-Sun and include evening work.We are looking for highly motivated people, who are capable of independent work and can meet set expectations within deadlines.Responsibilities:Adhering to a daily schedule that includes a mix of taking phone calls, four (4) possible simultaneous chats, and responding to emailsEngaging in human conversations with customers to identify and resolve issues, and provide help for them to succeed and have fun in the auctionsEnsuring customers receive the best Customer Service possible by responding to them in real time with the highest quality answer and experience possible. We live to go above and beyond for our customersCompleting follow-up documentation after each customer ticketOffer needs-based solutions, not pushy salesThis is not a regular 9-5 job - We have 24/7 Customer Support so we are seeking night owls and weekend warriors alike!Owning your own development through reflection, reviewing past interactions and preparing to take initiative on opportunitiesModern computer skillsMust be comfortable using and multitasking through: G-Suite, presentation software, communication tools (Slack and Zoom). Ability to learn new software is an assetNice to have: experience with Zendesk, using text expander software, MMO gaming mouse (for productivity RequirementsIn possession of a work permit from Canada. Your application will not be considered if you do not meet this requirement. Advanced computer skillsFluent professional English proficiencyType a minimum of 50 words per minute (Test yourself online if unsure!)Excellent written and spoken communication skillsAbility to multi-task in a fast-paced environmentWillingness to help our customers and provide them with a personal experienceCreative problem solverAbility to continuously develop and adapt to a growing teamYou hold yourself to high ethical standardsProofread your application!BenefitsThe starting salary for this role is 3475 CAD per month4 weeks of paid vacation per yearHome office: we will provide any upgrades you need to your home office setupA Kindle with unlimited budget: any Business Book is yours to read!Team offsites: we get together as a full team every year, the last ones were in Crete and MaltaPizza Fridays: at least every Friday the 13th (But usually more frequently!) we have Pizza Parties for both our Team at the Office and Remote! Delivered right to your doorGifts: we believe in celebrating... it's part of our Work Hard / Play Hard Culture!Live where you've dreamed, work where you're happy! We're looking to fill this role immediately, so please apply ASAP!","https://fi.linkedin.com/jobs/view/customer-happiness-advocate-remote-canada-at-trifecta-retail-ventures-3681111606"
"Jefferson Frank","Data Scientist - Helsinki / Salo","Entry level","Job Title: Data ScientistLocation: Helsinki, Finland - on site expected 3-4 times per week in Salo or HelsinkiCompany OverviewWe are the go-to-partner for RFID based PaaS Applications across Europe and the Nordics, with deep roots in identification solutions.Based in Finland and focusing on developing and delivering innovative Identification Solutions that utilize all of the latest RFID & IoT Technologies, all for real time item tracking. We serve customers across multiple industries.We develop our own readers and software for complete solutions, and we can offer highly motivating career path for professionals passionate about identification technology. We are passionate to grow and bring a digital soul to every item.Position OverviewAs a Data Scientist you will be a key player in transforming raw data into actionable insights that drive business growth. You will work in a collaborative, English-speaking environment where your skills in Python programming, AWS cloud or multi-cloud platforms, and artificial intelligence will be put to the test.Key Responsibilities Apply your expertise in data analysis, machine learning, and AI to solve complex business problems. Develop predictive models, algorithms, and data-driven solutions. Collaborate with cross-functional teams to gather and analyze data requirements. Utilize Python programming to clean, manipulate, and visualize data effectively. Deploy and maintain machine learning models on cloud platforms (AWS or multi-cloud). Continuously explore new techniques and technologies to improve data analysis processes.Qualifications 2-4 years of proven experience as a Data Scientist in a professional setting. Strong proficiency in Python programming. Experience with AWS cloud services or multi-cloud platforms. Background or hands-on experience in artificial intelligence and machine learning. Strong problem-solving skills and the ability to work independently. Excellent communication skills in English, both written and spoken.What We Offer Competitive salary and benefits package. A dynamic and inclusive work environment. Opportunities for professional development and growth. The chance to work on exciting projects that make a real impact.How To ApplyIf you are excited about the opportunity to be part of a cutting-edge team and have the qualifications we are looking for, please submit your resume and a cover letter outlining your relevant experience to s.cook1@jeffersonfrank.comPlease note, only applicants that are successful and that have been selected for an initial screening will be contacted.","https://fi.linkedin.com/jobs/view/data-scientist-helsinki-salo-at-jefferson-frank-3726136344"
"Business Finland","Global Admin Trainee","Entry level","Business Finland is now looking for a full time, fixed-term (9 months) Global Admin trainee with a hands-on attitude and proactive mindset. Working with Business Finland’s Global Network offers you an excellent chance to start your career and work closely with the dynamic Finnish export markets and business environments.What You Get To DoIn this role, your tasks will be divided into two areas. Firstly, you will be working closely together with the Global Administration Director and support her with creating and summarizing administrative guidelines for Business Finland’s Global Network. Secondly, you will get to support Business Finland’s HR team in coordinating and executing the 2024 edition of the Edufi trainee -project, which offers internships to Business Finland’s offices around the world.You will get an opportunity to work in a fast-moving and truly global organization, offering you a unique view on international markets and business environments. When working at Business Finland, you will meet colleagues and partners from all over the world from many different industries, companies, and organizations, and you will have a great opportunity to influence the core of innovations and international cooperation.More specifically, your job tasks include: Support the Global Administration Director in creating an administrative manual for the offices in Business Finland’s global network. Including e.g.:help in reviewing the current practices collection and completion of material coordination and customization of the data collection Assisting in other administrative matters with regard to the project, such as analyzing results and arranging meetings Coordinating the Edufi trainee-project together with colleagues from the HR-team, including e.g.:Acting as a contact point for Edufi trainees Administration of the Edufi trainee matters towards our own stakeholders (insurances, HR System updates, etc.) Other operational matters that may arise in the Edufi project Taking care of other administrative tasks, such as reports, booking meetings and making meeting memos Who And What Are We Looking ForRelevant educational background from university or university of applied sciences Experience in keeping things in order, assisting in arrangements and/or project work Ability to work independently as well as in a team: you are socially at ease in a multicultural environment Fluent communication skills in English, fluency in Finnish is considered as an advantage Good skills in the Office 365 environment Good visualization skills – you enjoy preparing presentations and visualize data and reports Exchange studies or previous experience in international business is considered an advantage At Business Finland we Think Big and work Together – with Passion and Sisu! In our colleagues, we also valueAbility to embrace challenges and turn them into opportunities Showing appreciation and respect to others: sparring, listening and inspiring colleagues Eagerness to develop yourself and look at things from new perspectives Ability to express your opinions boldly and constructively Willingness and pride to work for Finland's future This Is What We Offer YouThis traineeship is an excellent way to start your career, if you are looking forward to working with tasks related to Finnish companies and their internationalization. As a Business Finland trainee, you will be an important junior colleague to our seasoned professionals, as we try to reach our common goal – to support Finnish businesses in their growth and internationalization efforts.By being a part of our international work environment, you will learn about a great variety of industries. To make your traineeship a great experience for you, we will take your competencies and interests into account as much as possible in shaping your tasks.We invest a lot in maintaining and developing the professional skills of our experts. We offer our employees up to eight working days a year to develop their own skills and competencies in the way they see fit. Our remote work practices are also very flexible. In addition, we offer sports, culture and wellbeing benefits through ePassi, as well as good occupational health care.Additional InformationLooking for a kick-start to your career?Please, submit your application letter and CV by October 9th at the latest. Please, note that this is a trainee position, and the salary is proportional to the level of the job requirements. In this position, you will be employed directly by Business Finland.As a part of the recruitment process, we will be carrying out a security clearance check on the successful candidate, with his/her consent, in accordance with the Security Clearance Act 726/2014 of Finland. For more information on the security clearance procedure and individual’s rights, please visit: https://supo.fi/en/security-clearances .For more information about the recruitment process contact aTalent’s Senior Recruitment Manager Roosa Lönnqvist (+358 50 421 0255, roosa.lonnqvist[at]atalent.fi).How will this recruitment process proceed?Fri 29.9.: Application period startsMon 9.10.: Application period endsTue 10.10. - Thu 12.10.: Google Meet interviews with aTalentMon 16.10.- Thu 20.10.: Interviews with Business Finland1.12. / 15.12.2023 Starting date","https://fi.linkedin.com/jobs/view/global-admin-trainee-at-business-finland-3730211799"
"Silo AI","AI Engineer, Large Language Models","Entry level","At Silo AI engineers and researchers collaborate closely to tackle challenging real-world problems. The core competence of Silo AI relies on deep academic, and industry expertise in various fields of AI, covering machine learning, natural-language processing, computer vision among others. AI Engineers are expected to build innovative AI solutions powered by, and powering, Large Language Models (LLMs) that together with AI Scientists and software developers can be deployed in our products serving our clients.What will you be doingAs an AI Engineer in Large Language Models, you'll work in a top tier team of AI experts, creating next-generation methods for creating safe, reliable and robust AI models. You'll closely collaborate in a team with scientists and product developers to implement our vision of human-centric AI and specifically, LLMs. You may choose to work from our offices in Helsinki or Stockholm, whichever suits you best.AI Engineers are expected to have strong industry experience and projects showing clear evidence of high-quality software engineering in fields related to AI and proven experience and ability to implement solutions in high-performance computing environments. As an AI Engineer you will:Train, fine-tune and evaluate state-of-the-art transformer modelsCreate workflows and tools for fine-tuning language models Implement model parallelism and data parallelism techniques to optimize model performance through model and data parallelismCollaborate with cross-functional teams to create value with LLMs. Implement tooling to support reinforcement learning human feedback methodsWork with Python, SQL, C++ and Linux systems to develop robust data solutions. Requirements:MSc or PhD in Computer Science, Artificial Intelligence, or a related field. 6+ years of experience in the industry, on topics such as Artificial Intelligence, high-performance computing and Machine LearningPrevious expertise and interest in Natural Language Processing and large language models or Reinforcement Learning. Proficiency in Python, C++ and SQLExperience in utilizing GPUs or TPUs training transformer-based modelsExperience in high-performance computingWorking proficiency in EnglishOur cultureWhat we believe in at Silo AIBuild Bonds - Trust is our bond. We connect with customers and always seek to understand how we can best help them, and make sure that we keep what we promise. We encourage a culture where successes are celebrated, learnings shared and support provided for our team members to succeed. Keep Learning - Grow to excel. We aim for excellence by learning from the market, sharing our competence, and attracting talent with a growth mindset. We believe that expertise is not an achievement - it's a lifestyle of curiosity, learning, sharing and working with people who share the same hunger. Ask Why - Know your why. We have the courage and agility to keep challenging what we're doing to assure value creation for customers. We encourage open dialogue and debate and strive for diversity in opinions to improve decision making. Be Good - Positive impact. We always strive to be transparent and open in our communications, take ownership and aim for positive impact and results in all we do. We take pride in creating an equal and supportive workplace for talented and ambitious professionals from all nationalities, genders, orientations and","https://fi.linkedin.com/jobs/view/ai-engineer-large-language-models-at-silo-ai-3673087120"
"Jefferson Frank","Data Engineer- Helsinki- up to 5000€/pm + bonus","Entry level","Data Engineer (AWS)- Helsinki- up to 5000€/pm + bonusOur client is looking for a Data Engineer to join their team. You will be working for an organization that offers their customers maintenance and modernization services for railway and infrastructure in the Nordic and Baltic countries. With your work every day, you influence the daily lives and travel of hundreds of thousands of people and the movement of thousands of tons of cargo.The role You will be the only data engineer within the team to develop new report capabilities. The team that they are in has 2 MDM specialists and 2 Power BI specialists and you would be joining as the singular data engineer on the team. (There are other data engineers in other departments) They are looking to become more data-driven as they admit they aren't yet, and this is an exciting move to be part of as you will have the opportunity to make changes.Experience Experienced in the AWS Stack (S3 Glue, Lambda, Dynamo DB, Cloud Patch) is what they use SQL Python Experience DevOps Skills (Jira, Confluence, Jenkins) Fluency in Finnish Snowflake experience is a nice plusIn return Sports and culture support (200€ per year) Free train usage (travel benefits) Good work health services Holiday places for a discounted rate in Finland and abroad Flexible working hours and remote work possibility New office place in Pasila Helsinki, but the possibility to work also in other locations Up to 8% bonusMy client is looking to begin the interview process asap with limited interview spots this and next week, so don't miss out, apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialize in Mobile, Web, and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management, etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/data-engineer-helsinki-up-to-5000%E2%82%AC-pm-%2B-bonus-at-jefferson-frank-3671472986"
"Canonical","Junior HR Generalist","Entry level","We have colleagues in more than 70 countries around the world. Our HR department depends on the precise application of policy and process as well as a depth of compliance and People partnering to make us an efficient, friendly, quality-driven, real-time service. The Associate HR Generalist will be responsible for supporting and coordinating general HR activities supporting our AMER, EMEA and APAC regions and driving our HR processes. This is a great opportunity to start and progress your career in a People function supporting team members worldwide.The successful candidate will bring an exceptional academic track record coupled with some experience working in an entry-level role in an HR or People Team. You will bring some existing knowledge of employment law. Ideally, we are looking for someone who has an inherent interest in the Technology sector, specifically Open Source.Location: These roles can be held in any time zone. We have HR teams for EMEA, APAC and the Americas.What your day will look likeProvide HR support by answering team members' questions and responding to requests regarding their employment and contracts, escalating when necessary. Requests may include information about the new starter process and onboarding, questions regarding global benefits, employment verifications, and other general inquiries. Maintain our HRIS, ensuring a high degree of accuracy and timeliness in processing all team member changes and new joiners. Owning global projects (e.g. engagement, training or culture initiatives)Partnering with the managers and employees - supporting HR processes and driving the people strategy for your areas of responsibilityWorking as a truly global partner to colleagues, especially leads, managers and executivesProcess new hires, including country-specific on-boarding documentation, creation of files, systems set-up, and coordination of introductory reviews. Provide support to employees for the enrollment and processing of benefits and the payroll process, ensuring monthly data is provided on time and is accurate. Liaise with payroll to guarantee smooth salary payments. Create purchase orders for internal departments. Provide administrative support to employees for the enrollment and processing of benefits. Conduct regular audits of employment files and systems to ensure they are up-to-date, accurate, and GDPR compliant. Continually work to better our processes, spotting areas we can improve to drive our function forward. Conduct and manage global background checks. What we are looking for in youAn exceptional academic track record from both high school and preferably universityExperience working in an entry-level role in an HR/People team is beneficial, preferably in the Technology industry. Excellent verbal and written communication skills. Able to prioritize complex workloads, manage time effectively and work well under pressure. Self-motivated and results-orientated with a clear focus on accuracy. High level of honesty, integrity, and ability to handle confidential data. Flexible attitude and easily adaptable to change. Willing to take the initiative and provide suggestions and ideas to contribute to the success of the role/team. Ambitious to grow your career within HR. Willingness to travel up to 4 times a year for internal eventsWhat we offer youWe consider geographical location, experience, and performance in shaping compensation worldwide. We revisit compensation annually (and more often for graduates and associates) to ensure we recognise outstanding performance. In addition to base pay, we offer a performance-driven annual bonus which varies based on seniority but starts at a range up to 10%. We provide all team members with additional benefits, which reflect our values and ideals. We balance our programs to ensure fairness globally.Distributed work environment with twice-yearly team sprints in person - we've been working remotely since 2004!Personal learning and development budget of USD 2,000 per yearAnnual compensation reviewRecognition rewardsAnnual holiday leaveMaternity and paternity leaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues from your team and othersPriority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/junior-hr-generalist-at-canonical-3686565615"
