"company","job-title","level","description","job-url"
"DeRisk Technologies","Network Support Engineer (Data Center - On Demand model)","Entry level","A DC engineer is needed to work on-demand for one of our clients. The following duties should be able to be carried out by the engineer:Deployment / In-Scope Configuration Items Servers (Virtual & Physical) Storage & Backup Devices Server Appliances Hyper Converged Infrastructure (E.g. Nutanix, Cisco UCS) Tape Storage Units Power Distribution Units rated 3KVA and below SAN Fabric Switches Network Switches KVM Units WAN Optimization Devices Firewalls Access Points Routers Physical Cabling Cable Management Cables which connect the device to itself, a peripheral, or a power/network port Break-fix / Technical Tasks List Power Cycling Running Diagnostics Commands Conducting whole unit replacement Inserting/Removing Media Replacing Defective Components Assist with fault diagnosis and investigation Configuring Remote Access Basic Storage Array Configuration Replacing faulty cables Tape Management and Maintenance Rebooting routers, servers, storage devices or other equipment Providing loop-back cables in order to test circuits remotely Re-seating or replacing components or cables Cleaning fibers Identify/Analyze fiber issues by using OTDR/LSPM/VFL Installing loop backs Racking, de-racking, and upgrade of any device installed Operations Tasks List Updating and Recording of activities in relevant IT Ticket Management System Coordinating and agreeing attendance time and date with key stakeholders Provide support either through phone, remote tools, or in person at onsite Perform installation as needed either through physical or network medium Coordinate the actual activity date and timing, including arrival and departure times Carry all necessary tools, laptops etc. which might be needed to support issues in the infrastructure environment Labeling, Patching and Asset Tagging activities Following specific task instructions and providing necessary reporting as necessaryExperience on Fiber connection, testing and cleaningRacking & stacking of serversKnowledge of Switch, router, Acess Point.Adequate knowledge of networkingExperience using Any ticketing tool usedJob Requirements:Technical Skills Good general understanding of IT principles such as Networks, Hardware and Domains Knowledge of Infrastructure (Data Center and Network) hardware architecture as to understand the procedure shared by L3 teams during troubleshooting,H&E support Knowledge of server/client operations in a domain environment including Active Directory Understanding of current and legacy hardware Infrastructure platforms Hands-on experience in installation and troubleshooting Infrastructure (DC & Network) equipment's, Rack and Stack of the equipment/cable Good Hands-on Experience in IMAC and Break-fix activities related to Infrastructure environment Ability to identify Excellent the right defective spares and replace them with provided good spares as instructed and by physical observations Knowledge of TCP/I P standards and networking Experience with Tape Management activities Excellent knowledge of best practices around management, control, and monitoring of server infrastructure Familiarity with backup and recovery software and methodologies Language skills needed English Soft Skills Exceptional customer facing skills Able to communicate clearly and effectively both with Client and the Customer Logical and analytical approach to work Accurate record keeping Able to work unsupervised Good timekeeper Intense focus on quality work Productive and Efficient Academic Background Bachelor of Engineering / Technology / Science or Equivalent Work ExperienceOverall Experience (in yrs.) 5 – 7 years (min","https://fi.linkedin.com/jobs/view/network-support-engineer-data-center-on-demand-model-at-derisk-technologies-3630039962"
"Ampstek","Desktop Support / Finland","Entry level","Hi Professionals,This is Jason Mathew from AmpstekAmpstek is hiring for Contract AsisgnmentsJob Title : Desktop SupportLocation: Tallin, EstoniaContract RoleJob Type: Part Time1 day/ every 2 weeks- TuesdayContract Duration: 3 yearsTotal Yrs. of Experience*5 YearsMandatory skills*Microsoft Client , Active DirectoryDesired skills*Desktop SupportInterview ModeTeamsDetailed JD *(Roles and Responsibilities)The Deskside support member should have strong technical knowledge and hands on experience on below technologies:Microsoft Client OS (Win7,8,10)Active Directory & it's services, DHCP, DNSPrint and File share servicesHardware Break-fixSmart Hand Support in Network & Server devicesPatch ManagementDetailed Job DescriptionPossess 7+ years of relevant experience.Team Lead the Regional IT Team for technical queries and additional support.Experience with Microsoft desktop operating system and Windows application deployment, configuration, and managementWindows Client AdministrationBuild and install PCs, telephone systems, wireless networks, and peripheral devices (such as printers, scanners, mobile/smart phones) related to desktop infrastructure.Maintain installed PCs, networks, telephone systems and peripherals with routine maintenance.Identify, log and resolve technical problems with software applications or network systems.Identify potential changes and system improvements to present to technical teams for consideration and implementation.Collaborate with Technology team members to ensure efficient operation of the organization's desktop computing environment.Where required, administer, and resolve issues with associated end-user workstation network software products.Receive and respond to incoming calls, messages, and/or work orders regarding desktop problems.Expertise in supporting networks devices and servers in business environment.Ensure that work is carried out within agreed service levels and in accordance with project guidelines.Explain and document technical issues in a clear way to technical teams, business stakeholders.Have proven track record of working with technologies from Microsoft SCCM, VMWare Horizon, Intune etc.Develop in- depth technical knowledge and domain expertise within End User Computing technologies.Proactive and passionate of the EUC world, with strong interpersonal skills and excellent time management skillsStrong capabilities in Windows 10 support, migration & Deployment.If necessary, liaise with third-party support and PC equipment vendors.Perform related duties consistent with the scope and intent of the position.Hands on Experience End to End Desktop/Laptop life cycle management.Experience and desire to work in a Global delivery environment.Communication and Analytical skillsLanguage SkillsEnglish,Thanks & RegardsJason Mathew | IT Recruiter | Europe & UKE-mail- jason.mathew@ampstek.comTel - +48 (22)1857586LinkedIn :https://www.linkedin.com/in/pravin-raja-jason-mathew-4340aa101/Ampstek Services LimitedKemp House, 152-160, City Road London-EC1V 2NXWebsite : https://www.ampstek.com/","https://fi.linkedin.com/jobs/view/desktop-support-finland-at-ampstek-3711110988"
"Acolad group","Relocation Specialist","Entry level","Acolad is an international leader in language and content solutions, services and technologies. Represented by the brands Acolad, TextMaster and Ubiqus, the group is present in 25 countries and has a network of over 2,500 internal experts worldwide and +20,000 external language experts.At Acolad, every position is key to our global growth: we know that we will only succeed if our people succeed.Joining Acolad means a unique opportunity for professional development through a collaborative global environment that promotes talent and creativity. We are continuously looking for new talent (like you!) to support our mission to drive growth and innovation across some of the world’s leading brand.We are looking for Relocation Specialists in the Helsinki area. We offer you a chance to work with professionals who are relocating to Finland and help them with all the practical aspects of the relocation process, for example registering with the immigration officials, finding a new home and opening a bank account.To succeed in this role, you will need:Proactive, collaborative and customer-focused approachGood organization skills and attention to detailProblem solving skillsAbility to work independentlyGood social and interaction skillsSolid IT skillsExcellent communication skills both in Finnish and English. Any other languages are an advantageBA/MA or similar in a suitable fieldGood knowledge and understanding of Finnish culture and society gained for example through residence in Finland for 3+ yearsWe will offer training and provide all support materials you need to succeed in your work. Most of the tasks are carried out on the field, any administrative tasks can be performed either at the Acolad office in Vallila or remotely. The work is hourly based.For any questions about the role you can contact Liisa Ohtonen (lohtonen@acolad.com).Please send us your application by 22nd of October.","https://fi.linkedin.com/jobs/view/relocation-specialist-at-acolad-group-3734620142"
"Holvi","Cyber Security Engineer - 12 months fixed term contract","Entry level","DescriptionWe 💛 small businessWe founded Holvi in 2011, in Helsinki. As self-employed people wading through oceans of paperwork, we noticed something funny going on – traditional banks were giving us the cold shoulder. Why not help ourselves? We asked. And so, with time and effort (and lots of coffee), we mastered small business finance – and Holvi was born.Our vision is simple: Eliminate the distractions of financial admin and simplify work life, because running a business is hard enough. Small businesses shouldn’t have to worry about spreadsheets and lost receipts.Right now, we’re looking for a Cyber Security Engineer to join our team in Helsinki. If you want to help us make self-employment a little easier, Holvi is for you.Heading to summarise the positionAs a Cyber Security Engineer, you will focus on investigating company security issues, such as application and infrastructure vulnerabilities, CI/CD pipeline issues/improvements, and security of AWS services. You will work together with great teammates who are very knowledgeable in security and supportive of their colleagues.Your objective will be to think like threat actors and act like a blue team of defenders to protect the organization. You will have the opportunity to expand on your skills by taking on challenges to continue making security a business enabler of Holvi.A Typical Day Could See YouAssessing the impact of vulnerabilities released in the media and those found from VA scanning.Various security assessments e.g., audits, risk assessments, etc.Stakeholder engagements internally and externally.General asset management and security management of assets.Investigation of anomalies related to assets, security events and customer inquiries.Documenting security policies, processes, guidelines and procedures.RequirementsThis is for you if you:Have at least 3 years of experience in Cyber Security including system hardening, vulnerability scanning/management, SSDLC (SAST/DAST/SCA), security management, stakeholder management.You have a Bachelor’s degree (or higher) in Computer Science, Cyber Security, Information Technology or a related discipline.You have solid experience of security monitoring, detection, and analysis methodologies and technologies, including: network-based intrusion detection systems, endpoint and extended detection and response solutions, web applications, network firewalls, MDM, and SIEM.You have experiences with networking protocols and APIs.You have an in-depth understanding of the Cyber Kill Chain, OWASP, NIST, and ISO Cybersecurity Framework.You thrive in a fast-paced environment and love difficult security challenges.You are experienced in Python, SQL, and shell scripting.1-2 years of AWS security and configuration experience.1-2 years of experience in performing risk/threat assessments.Excellent teamwork skills.Excellent communication skills and writing skills in English (fluent).Mac OS, Jira, Confluence, Google apps, OWASP ZAP, Kibana, Github, Datadog.Following trends and news for Cyber Security.It's a Plus If YouCloud (AWS, CCSP, etc.)/security certifications (SSCP, Security+, CISSP, etc.).Experience in the financial sector (FinTech).Experience in triage/computer forensics.Experience in Business Continuity and Incident Response.You have a good understanding of PCI-DSS, PSD2, GDPR and other compliance and regulatory frameworks.BenefitsYou'll get:Flexible working – flexible working hours and possibilities for remote working.Comprehensive occupational healthcare.Work life balance – weekly exercise hour, bi-weekly breakfasts, bi-annual team weeks and more.LogisticsThis role is a full-time, 12 months fixed term (parental leave cover). You’ll be headquartered in our brand new office in Helsinki.We offer flexible working hours with core office hours between 10.00 and 15.00 local time – the rest is up to youThink you're a good fit?We’d love to hear from you! Send us your application by October 20, 2023 – but don’t wait too long as we will fill this role as soon as we find the right person.Equal Opportunity StatementAt Holvi, we embrace diversity in all of its forms and foster an inclusive environment for all people to live their best work life. This is central to our mission of promoting a healthy balance in all things we do.We're an equal opportunity employer. All applicants will be considered for employment without attention to ethnicity, religion, sexual orientation, gender identity, family or parental status, national origin, veteran, neurodiversity status or disability status.","https://fi.linkedin.com/jobs/view/cyber-security-engineer-12-months-fixed-term-contract-at-holvi-3733691850"
"Prog-It","IT-Support Engineer","Entry level","Prog-It is for looking an addition our versatile support team in Finland.The assignment offers opportunities to work in highly creative and exciting IT environments where new solutions are developed alongside dedicated and competent team members.You will work in modern system configurations with high demands for security, reliability, and flexibility.The work will vary and include tasks and responsibilities such as:Daily infrastructure activities, such as troubleshooting and issues resolution.Setting up environments and resources as per customer change requests.Administration of Windows servers and Azure resources using Windows Admin Center and the Azure Dashboard.General administration and security measures in M365 Administrator and Intune.Automation and scripting using tools like PowerShell to streamline tasks and manual work.On-site customer support, including network, server, and workstation assistance.Your Profile and Qualifications:We are looking for individuals with at least one year of experience with IT infrastructure in medium-sized environments. Having a broad overall experience is more valuable than deep specialization.You should have knowledge in several of these areas:Administration of Microsoft systems through Windows Admin Center.Administration in M365, Intune, and Entra.Troubleshooting skills for both Mac and Windows.Working with file synchronization and sharing tools like Datto or similar systems.Automation of manual tasks using PowerShell, for instance.Having certifications or training in areas like Windows Server, Azure, or M365 is highly advantageous.To succeed with us, you are a person who is:Driven and engaged - You can have direct dialogue with our customers and guide them through the technical landscape on your own.Solution-oriented and understands system architecture at a general level.Communicative and possesses good teamwork skills.Furthermore, a driver's license is required, and you should be able to express yourself fluently in speech and write professional texts in English and Finnish.Our Offer:Varied and versatile work.Pleasant and interesting clients.Work with and in international teams.Competitive salary and bonus system.","https://fi.linkedin.com/jobs/view/it-support-engineer-at-prog-it-3708202193"
"Canonical","Linux Desktop Support Engineer (Remote - EMEA)","Entry level","This is an opportunity for an Linux Engineer/Administrator with a passion for Linux and Customer Success to build a career with Canonical and support the technical needs of customers leveraging Ubuntu and open source products. If you have a passion for technology and an eagerness to learn, then you will enjoy working with some of the best people in the industry at Canonical.The role of a Linux Desktop Support Engineer at CanonicalYou will be accountable for delivering an outstanding technical support experience on the full Desktop and Server technical stack at Canonical. From problem qualification to full resolution, you will own and manage your cases. When needed, you will transfer your cases to your colleagues or involve senior engineers.Your day to day job is to provide technical expertise, be an excellent communicator and a service-oriented professional. Every day you will have to make judgement calls to prioritise customer issues and maximise your effectiveness. You will also need to set time aside to learn about our new products and technologies and evolve as a professional. You will participate in various training sessions, team gatherings and Company events.Location: This role will be based remotely in the EMEA regionWhat your day will look likeYour day to day duties will include:Work from your remote home office and provide technical support for employees. Be available to take ownership of new cases via telephone, email and webAct as an internal customer advocate keeping them updated in a timely mannerEnsure that each support case owned by you is handled according to our Service Level Agreement (SLA) with the highest possible customer satisfaction by setting the right expectations and fulfilling your commitments. Contribute new knowledge base articles and maintain existing articles, ensuring shared knowledge and lessons learned are available to customers. Draft and distribute technical notices for internal and external communication. Prioritise your work in order to accomplish the most important and urgent tasks firstKeep on learning as our products and services grow and evolveUnderstanding Ubuntu development process to be able to set customer expectations correctly on timeline for a fix. Maintain regular communication and information exchange with the rest of the team, locally and remotelyIdentify and suggest any opportunities to provide a better serviceParticipate in a regular weekend working rotation. What we are looking for in youBachelors or equivalent four year degree in a technical field from an accredited college or university. Preferable majors: Computer Science, MIS, Electrical Engineering, etc. Advanced troubleshooting of Mac and Windows operating systems, and multi OS machinesExperience with system performance troubleshootingExperience with Linux troubleshooting (collecting logs and stack traces, fine-tuning by editing configuration files)Experience with Linux integration with other environments (authentication/directory services, network file systems, etc.)Experience with Linux server administrationProgramming fundamentals in any language (bash, Perl, Ruby, Javascript, C or C++, Go) Ability to learn quickly, thrive on change and handle the pressure of a customer facing jobStrong written and verbal English communication skillsWillingness to travel up to 4 times a year for internal eventsAdditional Skills That You Might Also BringExperience supporting virtualized environments (KVM, Virtual Box, VMWare)Experience with other open-source desktop technologiesActive contribution to open-source projects/forum/codeExperience with Linux KernelWhat we offer youYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits below, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/linux-desktop-support-engineer-remote-emea-at-canonical-3725445794"
"Target Vision Oy - Executive Search & Recruitment Tailor Made Solutions in Finland and International","Communication Associate","Entry level","Our client is a growing System Engineering and Solution Company, which offers services like Semiconductor Engineering R&D Services, Embedded Systems Development, Custom Application Software Development, Web and Cloud Application Development, Testing Services, Consultancy and Outsourcing services across the globe for an onsite and offshore business model. Company has presence in Sweden, Finland, Poland, Czech Republic and in India. They are now looking for a Communication Associate in Lund, Sweden to be part of their wireless team for a project, which will last for at least one year.You have the following qualifications and the experience:A Master’s degree in Electrical Engineering / Communications Systems or similar education.At least 10 years of experience in the wireless communication industry as a researcher or as a technical leader.Knowledge of the 3GPP functionality, physical layer aspects and experience of innovation and IPR.Up-to-date knowledge about the new research trends and an extensive academic network within the EU is a plus.A track record of successful and positive leadership.The following skills/personal characteristics are also required:A role model that can develop, empower and encourage team members.Communicate fluently in English, both verbally and in writing.","https://fi.linkedin.com/jobs/view/communication-associate-at-target-vision-oy-executive-search-recruitment-tailor-made-solutions-in-finland-and-international-3664542004"
"TradeTracker.com","Account Executive Nordics","Entry level","POSITION: Account Executive DK, SE & FIAbout The JobWe are currently looking for an Account Executive to manage Swedish, Danish and Finnish accounts.Personal contact with your portfolio of A-brands and together realizing an unrivaled level of growth is what we expect of an Account Manager at TradeTracker. You are the main point of contact and the visible face of TradeTracker and you direct your clients’ online marketing campaigns.This Position Is Available InCopenhagen (Danneskiold-Samsøes Allé 41) or Helsinki (Mannerheiminaukio 1)Negotiating is a challenge. You are pro-active, creative and highly communicative in nature and you use these competences to optimize the results of your affiliate marketing campaigns. You are able to transform a C-brand online into A-brand by generating the right amount of exposure.Why work for us?Competitive salary;A place to learn, experiment, discover and to develop yourself;Numerous possibilities to grow, both domestically and abroad;Room for initiative and independence;Extensive internal training and education;Become a performance-based marketing specialist within a few months;We are looking for a motivated Account Executive who will help achieve our ambitious goals in Sweden, Denmark and Finland. You will work in a dynamic environment which demands for fast paced decision making. You will take both an advisory and directing role and you like to communicate and negotiate with clients.We expect you to be flexible, have creative problem-solving skills and that to you every problem or obstacle is a challenge. You are a team player that is also able to function well independently. You are full of initiative and like to be involved in important decision-making processes. Furthermore, we expect you to actively think about possibilities to innovate our products and services.CompetencesBachelor-degree required with an interest in e-commerce advertising;Noticeable motivation and persuasiveness to advise clients;Excellent communication skills both written and spoken in English in addition to your native tongue in Danish, Swedish or Finnish;You are proactive, full of initiative, creative and result driven;Eagerness to learn more about online marketing;A relevant network with regards to larger online merchants and (online) media agencies is a plus.About TradeTracker.comTradeTracker.com brings together the online community’s best and brightest: working together towards the common goal of enhancing their performance marketing.Enabling a network for both Advertisers and Publishers, TradeTracker hosts a platform offering real-time, understandable and most of all transparent data, to strengthen their client’s ability to make the right performance marketing decisions. It is the only network in the market that offers Real Attribution, which revolutionizes the industry!Through a specialized accounts team who concentrate in overseeing their own specific industry, TradeTracker ensure a tailored and precise approach to the fields of Services, Travel, Telecom, Shopping and Finance. Currently hosting offices in 20+ countries and employing over 180 people worldwide, it has the widest global coverage and traverses numerous markets. Catering to a diverse set of languages and locations, they present users a fluent experience even when connecting to vast international networks.Contact us!If you’re excited by TradeTracker.com and would like to help change the online advertising landscape? Apply now!","https://fi.linkedin.com/jobs/view/account-executive-nordics-at-tradetracker-com-3715612402"
"JSAN Consulting Group","Onsite Support Engineer","Entry level","JSAN provides Specialist Consulting and Recruitment Services throughout the UK / Europe and / USA and they pride themselves in their highly professional and service-led approach their unique value proposition of better, faster, and less expensive management is compelling to their clients, most of whom regard us as a long term partner helping them to achieve their business objectives.The RoleYour Responsibilities Will IncludeProviding customers with IT support via desktop solutions, chat functions, emails, and calls.Assisting customers with account setup and application installations.Ensuring optimal application functionality by configuring networks.Troubleshooting IT issues by asking customers targeted questions.Providing customers with step-by-step guidance to resolve technical problems.Following up on technical queries and providing prompt feedback.Prioritizing customer queries and escalating serious technical issues to IT developers.Documenting error reports and monitoring performance metrics.Relaying application functionality feedback from customers to IT developers.Compiling IT instruction manuals and useful IT support resources.Ideal ProfileSkills RequiredYou possess a bachelor's degree in computer science, information technology, or similar.You have 2 years of experience as a support engineer.You have in-depth knowledge of Windows, Linux, and Mac OS environments.You have proficiency in remote desktop and helpdesk software, such as Freshdesk and Zendesk.You have advanced knowledge of IT software, hardware, and network setup.You have an exceptional ability to prioritize and diagnose IT problems.You have extensive experience in resolving customer IT queries.You have proficiency in documenting processes and monitoring performance metrics.You have the ability to relay important application feedback to IT developersYou have exceptional written and verbal communication skills.What's on Offer?Work within a company with a solid track record of successOpportunity to make a positive impactJoin a well known brand within IT Infrastructure","https://fi.linkedin.com/jobs/view/onsite-support-engineer-at-jsan-consulting-group-3614211751"
"Prog-It","Microsoft Infrastructure Services specialist","Entry level","Join our team as a Microsoft Infrastructure Services specialist and play a pivotal role in maintaining, configuring, and operating our clients systems. In this position, you'll be responsible for ensuring the systems' uptime, performance, resource availability, and security.As a Microsoft Hybrid services specialist at Prog-It, you will guide and support our customers and colleagues in maximizing the benefits of using Microsoft's Azure and On-prem infrastructure services. You will design setups, linking resources through Azure services and on-premises servers like Active Directory, Windows server and Microsoft SQL databases. Other tasks include securing systems, monitoring performance, troubleshooting, resolving issues, and maintaining documentation.If that sounds interesting and you're passionate about technology and eager to make a difference, we'd love to hear from you.Apply now and become a part of our dynamic team!Your daily work includes:Participating in various customer projects, from implementing cloud foundations and platforms to transforming workloads into cloud native application.Implement new server and storage systems according to documented plans and change control processes.Pre-sales activity including assisting with writing customer proposals. Deep-diving into our customers' challenges by giving workshops and design recommendations to technical teams and stakeholders.Administer server and storage systems to ensure their continued operations through proactive review of application logs and system consoles.Research warnings, errors and reported issues to determine the root cause; prepare action plans; and document, test and implement solutions.Respond to situation tickets in the assigned support queue in a timely and appropriate manner.Contribute to an atmosphere of knowledge-sharing.Requirements:Bachelor's Degree in computer science, information systems, or business administration; or equivalent combination of education and relevant experience.To be a relevant applicant, you should have:Over three years of experience in Azure or Microsoft on-prem server and services management in production environments.Working experience of Microsoft Azure services, including virtual machines, networking, storage, identity, and access management. As well as Proficiency in Windows Server operating systems (2016 and 2019).Familiarity with Active Directory, Group Policy, and core Windows Server services.Basic understanding of hybrid cloud solutions and architecture.Ability to create, configure, and manage Azure virtual machines, storage accounts, and virtual networks.Proficiency in configuring, maintaining, and troubleshooting on-premises Windows Server setups in virtual environments.Familiarity with Windows Server roles and features like DNS, DHCP, and file services.Experience with monitoring tools in on-premises and cloud environments.Skill in identifying and troubleshooting common server performance, connectivity, and service issues.Understanding of networking concepts: IP addressing, subnets, routing, and firewall rules. Ability to configure and troubleshoot network connectivity. Any certification relevant to Azure or On-prem server administration, for example AZ-104 is of merit.To succeed at Prog-It, you are:Driven and engaged - You can have direct dialogue with our customers and guide them through the technical landscape on your own.Solution-oriented and understands system architecture at a high level.Communicative and possesses good teamwork skills.Furthermore, a driver's license is required.You should be able to express yourself fluently in speech and write professional texts in both English and Finnish.Our offer:A pleasant work environment with an office conveniently located with good transportation options in Vantaa.Varied and versatile work.Pleasant and interesting clients.You get to work with and in international teams.Competitive salary, collective agreement, and bonus system.","https://fi.linkedin.com/jobs/view/microsoft-infrastructure-services-specialist-at-prog-it-3708097653"
