"company","job-title","level","description","job-url"
"Luxid","Data Scientist","Entry level","We are looking for a Data Scientist to work in our growing team of driven and trailblazing Data & Analytics specialists. Do you have what it takes to help big Nordic and global companies reach their business objectives through data storytelling? If so, you could be the right match for us.We Luxidians are a team of creative thinkers, strategists, data analysts, writers, designers, filmmakers, virtual world builders, developers and technologists. We use insight-led creativity to accelerate growth for our clients. With over 30 years of experience in delivering marketing and commerce solutions to a strong international client base, we help our clients break open silos to create customer journeys that drive sales and support buyers.Our Data Scientists are data-native statistics professionals able to translate business needs into data challenges and deliver analytical solutions to clients. In this position, you would be serving one of our biggest clients by creating new and innovative ways of refining understanding from extensive datasets. You would also get to showcase your analytical thinking abilities and communication skills by reporting and reviewing results with the customer team. Reporting to the client is done in Finnish, but teamwork requires also fluent English.Qualifications that ensure your success:Can-do attitudeExcellent communication skills and familiarity with the topic of sales and marketing analyticsAdvanced knowledge of BI dashboards (Power BI or Tableau) and SQLTraditional analytics know-how (significance testing, normal distribution, regression models)Basic understanding of all digital marketing operations and the Google ecosystemFluent Finnish and EnglishAdditional nice-to-have qualifications:Google Analytics skillsKnowledge of retail businessExperience with data engineeringWhat we offer you:International, English-speaking, diverse, and inclusive equal opportunity workplaceWork with large Nordic and global brandsPossibilities to develop your skills and advance your careerExtensive occupational healthcare planCulture, sport and wellness benefitsFlexible remote working opportunities all around the world but also offices in Helsinki, Turku, London, and Austin. In this position, you need to be able to visit our customer’s premises in Helsinki.If you are ready to make an impact in the world of marketing, apply now and join our team of Luxidians!If you have any questions, please contact our HR Manager Anu Sonck, anu.sonck(at)luxidgroup.com","https://fi.linkedin.com/jobs/view/data-scientist-at-luxid-3719694878"
"IPRally","ML Engineer","Entry level","Are you up for the toughest AI challenges around graph neural networks? We have built a graph-based patent search engine with which our users find the documents that already contain their concepts. We are looking for an Machine Learning Engineer who can envision breakthrough-level ideas and follow them through with software engineering excellence. You will be working with the very core of the product - the search algorithm.We have converted 100M patent documents into 100M knowledge graphs, to compress the key information into simpler data for ML. It has been possible because of the semi-structured patent text. Patent documents also contain rich metadata like citations between documents, which are essentially labels for supervised training. All of this presents an opportunity to dive deeper into text understanding than even the LLMs from the tech giants.The current model we use is the Graph Transformer (read our blog about the graph transformer), so both the NLP transformers and the GNN models are relevant. We published a paper at the SIGIR 2023 conference about our general approach (read our paper).The daily work is done in a small hybrid team. Remote work is okay, but we expect to see each other at least once a quarter in person. There is also a separate team providing MLOps support.Technology stackPyTorch for search model developmentML services deployed as Python microservicesGoogle Cloud for computationRequirementsExcellence in applied deep learning, ideally also with GNNsA genuine eagerness to learnKnowledge about NLPStrong social skillsFluency in English, which is our company languageYou are located ideally in Finland, but at least you can work in European time zonesBenefitsA rare opportunity to join an early-stage, disruptive company that has a unique edge, ambitious plans, and an already proven record of success in a growing $2bn industryOpportunities to grow as we grow. We will help you be the best you can be in this role, and help you develop skills that will help you reach the next stage. You will work with a highly talented and supportive teamA compelling and competitive financial package and other benefits, including six weeks of holidayIn Finland, other benefits include for example lunch, sports and culture, and commuting benefits, extended occupational health care with dental care, and tools of your choosingNext stepsOur recruitment process consists ofA casual interview with our AI Team Lead Sebastian and Head of People and Talent Mari, in which we will discuss your background and check if our wishes align with yoursWe would like to see an example of your code. You can share your Github profile with us or do a code task if that’s what you preferA technical interview with Sebastian and an AI team member to dig deeper into your technical skillsA final call with our CTO JuhoSounds interesting? Send us an application now!About IPRallyIPRally will change the way of finding and categorizing patents. How? We have introduced transparent and reliable AI applications to the patent search, analysis, and classification process, which helps our customers save a lot of time, resources, and money. We are transforming the complex and tedious process of finding information that is crucial for our customers, but most importantly, we help innovative companies quickly find and act upon opportunities and drastically reduce risk.So, who are we? IPRally was founded in Helsinki, Finland in 2018. With a vision to automate tasks that steal resources from both inventors and patent professionals and help them achieve their goals faster, a completely new and ground-breaking way of searching for technical information was built. By modeling the technical content of patents, and processing this with cutting-edge, proprietary graph neural networks, IPRally gives customers highly relevant information at their fingertips, in seconds.","https://fi.linkedin.com/jobs/view/ml-engineer-at-iprally-3731373665"
"Jefferson Frank","Backend Python Developer","Entry level","We have a new need from one of our best clients based in Tampere to speak with experienced Backend Developers and wondered if you would be interested in potentially joining their product team.Very exciting opportunity to be part of a growing company, you would be working on their product which is the best out of the other competitors on the market.Going beyond the physical product, going into digital format within the product (4 digital parts): Physical product Digital experience, smart screens Visibility to current customers, see the fleet of pods being used, find out the issues Analytic problems + Introduce solution for the user of the office find right type of space for the meetingThey use a range of tools but the main focus is within:AWS, Python, DevOps, CI/CD, IoT, API'sRole Develop the backend services such as (depending on your skills and preferences) APIs used by web applications, mobile applications, or backend systems Backend endpoints Data processing pipelines and databases Backend system integrations (e.g. Google Workspace APIs, Microsoft Graph APIs, Salesforce) Define and implement best practices and controls throughout the stack where it makes sense Aim to automate everything that can be automated Introduce new technologies and concepts that improve the ways of working or the technology stackMy client is looking to begin the interview process immediately so feel free to apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jason-upton-167479231/Email: j.upton@jeffersonfrank.comPhone: +358 75 3266673Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/backend-python-developer-at-jefferson-frank-3677212193"
"ICEYE","Software Engineer","Entry level","Who are we?We are a Finnish-based international New Space company with employees from more than 57 countries in Finland, the US, the UK, Spain, Luxembourg, and Poland. Our team is a tight-knit group of experts from areas including engineering, software development, and radar technology. We're innovative, driven people who strive for excellence in everything we do. Being advocates of our corporate culture, we value teamwork and curiosity, and we know how to have fun!What do we do? ICEYE is building and operating its commercial constellation of small Synthetic Aperture Radar (SAR) satellites with SAR data available to customers. Our satellites acquire images of Earth at any time - even when it's cloudy or dark - providing commercial and government partners with unmatched persistent monitoring capabilities. Information derived from our SAR images helps customers make data-driven decisions to address time-critical challenges in various sectors, such as maritime, disaster management, insurance, and finance.What are we looking for?To support the company's growth, we are looking for a ""Software Engineer"" to join our Flight Software team. You will report to the Flight Software Applications Team Lead in this position.ResponsibilitiesBe the lead developer for the application layer components of our satellitesProduce clean, robust and understandable codeCollaborate with other team members to design and define the application architecture for our satellitesCollaborate with other team members to ensure our development and testing environment produces high quality Flight Software productsMentor the other members of the teamRequirementsYou are an experienced professional with 5+ years in software developmentYou are a great C++ and Python developer, familiar with the latest featuresYou have experience with embedded LinuxYou are self-driven and autonomous, but also a great team playerYou have experience in E2E system developmentYou have been working with communication protocols and messaging systems used in distributed systemsYou have experience developing software for constrained environments such as IoT, robotics, and/or automotiveYou are well versed in event-driven architectures, asynchronous techniques, concurrency, communication protocols, and constrained environmentsPreferredTechnical degree (computer science, engineering, mathematics)Experience in working in a lead developer roleBenefitsA job that matters in a dynamic New Space environment with a scale-up approachAn independent role with a supportive and diverse work environmentOccupational healthcare, occupational and private insuranceA yearly benefit budget to spend as you wish (i.e. on sport, transport, bike benefit, wellness, lunch, etc.)Phone subscription with iPhone of choice Relocation support (i.e. flight tickets, accommodation, relocation agency support)Time for self-development, research, training, conferences, or certification schemesFinnish & English lessons Inspiring and collaborating offices and silent workspaces enable you to focusA wide variety of the best coffee, tea, snacks, and sweets to accompany your daily space missionDiversity & inclusion are core values at ICEYE. We are passionate about building and sustaining inclusive and equitable working and learning environments for all staff. Every member of our team enriches our diversity by exposing us to a broad range of ways to understand and engage with the world, identify challenges, and discover, design, and deliver solutions.Could this be the role for you? Apply now to start your journey with ICEYE.We are making the impossible possible together.ContactRavi Chettyravi.chetty@iceye.fi","https://fi.linkedin.com/jobs/view/software-engineer-at-iceye-3688395927"
"FRG Technology Consulting","Multiple Software Developer Positions available across Finland","Entry level","Are you passionate about finance and technology? Do you want to be a part of an innovative and fast-growing finance start-up? If so, we have an exciting opportunity for you! Our finance start-up company is seeking talented and motivated developers to join our team. We are dedicated to revolutionizing the finance industry by leveraging cutting-edge technology, including AWS (Amazon Web Services), to provide top-notch solutions to our clients.Job DescriptionWe are looking for experienced Full Stack Developers, Front End Developers, and Back End Developers to help build and maintain our finance-related web and mobile applications. As a member of the development team, you will work with AWS technologies and play a key role in designing, developing, and deploying scalable and high-performance software solutions.ResponsibilitiesFull Stack Developer:Develop and maintain web and mobile applications from end to end.Collaborate with cross-functional teams to design and implement features.Ensure the responsiveness and optimal performance of applications.Troubleshoot and debug issues as they arise.Implement security and data protection measures.Stay up-to-date with emerging technologies and industry trends.Front End DeveloperDevelop and maintain user-friendly web interfaces.Collaborate with UI/UX designers to implement designs and enhance user experience.Optimize web applications for maximum speed and scalability.Ensure the technical feasibility of UI/UX designs.Troubleshoot and resolve front-end issues.Implement responsive design principles.Back End DeveloperDesign, build, and maintain server-side applications and APIs.Collaborate with front-end developers to integrate user-facing elements.Ensure the performance, scalability, and security of server-side components.Optimize applications for maximum speed and efficiency.Implement data storage and database solutions.Monitor and troubleshoot server-side issues.RequirementsStrong proficiency in AWS services and cloud computing.Proficiency in programming languages such as JavaScript, Python, Java, or Ruby.Experience with front-end frameworks and libraries (e.g., React, Angular, or Vue.js).Familiarity with server-side languages and frameworks (e.g., Node.js, Django, or Ruby on Rails).Solid understanding of web development principles and best practices.Excellent problem-solving and communication skills.Ability to work collaboratively in a team environment.Reach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/multiple-software-developer-positions-available-across-finland-at-frg-technology-consulting-3729930081"
"Jefferson Frank","Python Developer with Azure - Helsinki - Remote","Entry level","Job DescriptionTogether with the other team members You will be responsible for developing the latest version of a service that is used by most of the key players on the Finnish market as well as developing necessary features to launch this offering in the new markets. As their product is growing they are looking for a Senior Developer for this role for them to improve and grow their team. If more information is required, apply for this job and we can arrange a phone call if your profile matches well.Role & Responsibilities You will be contributing to the ongoing development; Would be driving the architecture of the platform forward in cooperation with Product owner and their Lead Developer and other team members; Python Development inSkills & Qualifications Python, Docker Azure CI/CD pipelines and testing RabbitMQ or SimilarThis is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs","https://fi.linkedin.com/jobs/view/python-developer-with-azure-helsinki-remote-at-jefferson-frank-3728577623"
"Cobblestone Energy","GRADUATE SOFTWARE ENGINEER - Dubai, UAE","Entry level","Employment type: Full-time & PermanentStarting salary of 55,000 USD per annum in a zero-tax environment (plus biannual performance-based bonuses)Job Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)About Cobblestone EnergyCobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways.Over the years we have grown organically. In light of our further ambitions to be the best in all markets we enter, we would like to welcome talented Software Engineers into our Tech team who have just started their careers and are and looking to take up challenging tasks and being a part of our growth story.Cobblestone Values: Lifelong learning with continuous reflection. Independent thinking through a meritocracy of ideas. The team is more important than the individualBeing the best in any market we enter. Hiring and keeping only the most effective people. Others must benefit from our existence. Job DescriptionAt Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. Being a member of our team, you will work on exciting challenges that come with large-scale data processing, automation, and analytics. We work in an agile and highly collaborative environment and challenge the norms of traditional business leadership. We are looking for enthusiastic and resourceful engineers who are passionate about building highly reliable and performance data processing solutions. Developing a strong domain knowledge of our industry over time is key to long term success in this role.This is a rare opportunity to take a leading role in the growth of a major player in the European Power Markets. We are looking for someone who would be committed to the long-term success of the business. We operate in the European Power markets, but our commercial trading operations are in Dubai, UAE.If you have excellent programming skills, strong problem-solving skills and a passion for developing/improving applications utilizing cutting edge technologies, then we would like to meet you.What We Offer In This RoleA full-time position on our Tech teamCommitted and remarkably talented colleaguesHighly competitive compensation dependent on performanceAn exciting, challenging and fulfilling careerAn opportunity to work on new things from scratch and make independent decisions. Investment in your development to ensure that you always remain the best in businessEquity participation for strong contributors, ensuring our interests are all aligned long termResponsibilitiesBe a key contributor to tech projects critical for commercial operationsWrite software applications and programs for backend/frontend purposesAnalyse programs and apps to improve their features and functionalities in collaboration with the commercial teamsTest & debug programs and fix any reported bugsUphold and live our cultural valuesRequirementsBS/BE in Computer Science/Computer Engineering or related fieldProgramming skills in Python languageFamiliarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etcStrong knowledge of REST APIs and webservicesStrong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server) and SQL languageStrong problem-solving and analytical skillsResilience and a determination to succeedPassionate, self-motivated, and fast learnerDesirable Experience/SkillsKnowledge of at least one popular Python framework (like Django, Flask)Programming skills in JavaKnowledge of NoSQL databasesKnowledge of AWSKnowledge of data visualization tools, mainly Tableau","https://fi.linkedin.com/jobs/view/graduate-software-engineer-dubai-uae-at-cobblestone-energy-3641766276"
"Silo AI","Full Stack Software Developer","Entry level","AI for People defines what Silo AI stands for. We want to build a world with safe human-centric AI that frees the human mind from manual labour and empowers human creativity. We are looking experienced software developers interested in implementing production-grade AI solutions.As a Full Stack Software Developer you will be working on creating solutions and products for our clients. You will e.g. design and develop secure, and reliable web-based UI's and backend services for Machine Learning solutions. You will design and implement tools and applications that change the way we build and run our AI solutions and how we fit them into broader software systems. You will take care of packaging, testing, deploying, and supporting the software you deliver.Our current tech stack and tools consist of for example Python, Vue.js, React, PostgreSQL, MongoDB, Jenkins, and Kubernetes across private and public clouds Azure, AWS, and GCP. Read more about our cases that we have made for Infranode in automated lead generation and Philips in radiotherapy planning.What we valueStrong experience with our key technologies, including Python and preferably Vue.jsExperience in designing and building cloud-deployed web-based applications and data-heavy backend servicesInitiative, pragmatic problem solving, and great communication skillsDesire and ability to quickly acquire broad high-level intuition of AI systems and solutionsExperience in devops, AI systems and frameworks, scientific Python stack, edge deployments, and infrastructure automation is a big plusWhat Silo offers for you?As we already know, AI will be affecting almost everyone's work and everyday life. With us you have a real chance of shaping the change that AI will bring to everyone of us. You will get to choose your tools, methods, and ways of working together with the team while ramping it up. The products you develop will have a key role in expanding and accelerating the use of AI in large scale real world applications. Your closest colleagues will be an AI enthusiast mix of model developers and software experts working in the AI areas of computer vision, machine learning, and natural language processing. We aim for excellence by keep learning from the market, sharing our competence and looking for a growth mindset. We will help your learning for example through our Learning Labs and Talent CoachingInterested in joining us?Send your application and tell us why you are interested in the Software Developer role at Silo AI and what you are passionate about, along with relevant profiles (CV/LinkedIn/Github).","https://fi.linkedin.com/jobs/view/full-stack-software-developer-at-silo-ai-3641764678"
"Enkora Oy","Backend Software Developer","Entry level","We are looking for a passionate software developer to join the Enkora team. You will create awesome products and features used by tens of thousands of people on a daily basis. If you enjoy independence, creativity and a lot of responsibility, this could be your dream job!Enkora is the leading provider of modern customer service solutions in Finland. Our software and hardware products help our customers to sell their services, accept payments, control access, manage reservations of resources, and self-service for end-users. Every year, over 10 million customer visits are managed by our systems all around Finland. We build web-based, desktop, mobile and embedded software, design hardware and we even do some electronics!Just as we don't stop innovating with our products, we also have modern approach with development: the development environment has been well containerized, automated tests are running at every commit: unit tests, integration tests and static code analysis.Minimum Requirementsadvanced experience in PHP developmentadvanced experience in SQL queries (we're using MySQL)enjoy improving / refactoring legacy code in addition to writing newNot required, but nice to havecontinuous integration / automated testing experiencenot afraid of frontend: js/ts, html cssWe offer a full-time job in Kalasatama, Helsinki (right next to the metro!)Team of awesome international colleaguesPossibility to grow and learn new thingsFreedom to plan your workSmall team, your work will have a big impact on the final productCompetitive salary and benefitsPlease provide examples of your projects and code, and your salary expectations. Also send in links to your profiles on LinkedIn, StackOverflow, GitHub, etc.Any questions? Contact Artem (CTO) at artem[at]enkora.fi, 0407606484 or through Facebook / LinkedIn (in English).","https://fi.linkedin.com/jobs/view/backend-software-developer-at-enkora-oy-3312508519"
"Silo AI","AI Engineer, Large Language Models","Entry level","At Silo AI engineers and researchers collaborate closely to tackle challenging real-world problems. The core competence of Silo AI relies on deep academic, and industry expertise in various fields of AI, covering machine learning, natural-language processing, computer vision among others. AI Engineers are expected to build innovative AI solutions powered by, and powering, Large Language Models (LLMs) that together with AI Scientists and software developers can be deployed in our products serving our clients.What will you be doingAs an AI Engineer in Large Language Models, you'll work in a top tier team of AI experts, creating next-generation methods for creating safe, reliable and robust AI models. You'll closely collaborate in a team with scientists and product developers to implement our vision of human-centric AI and specifically, LLMs. You may choose to work from our offices in Helsinki or Stockholm, whichever suits you best.AI Engineers are expected to have strong industry experience and projects showing clear evidence of high-quality software engineering in fields related to AI and proven experience and ability to implement solutions in high-performance computing environments. As an AI Engineer you will:Train, fine-tune and evaluate state-of-the-art transformer modelsCreate workflows and tools for fine-tuning language models Implement model parallelism and data parallelism techniques to optimize model performance through model and data parallelismCollaborate with cross-functional teams to create value with LLMs. Implement tooling to support reinforcement learning human feedback methodsWork with Python, SQL, C++ and Linux systems to develop robust data solutions. Requirements:MSc or PhD in Computer Science, Artificial Intelligence, or a related field. 6+ years of experience in the industry, on topics such as Artificial Intelligence, high-performance computing and Machine LearningPrevious expertise and interest in Natural Language Processing and large language models or Reinforcement Learning. Proficiency in Python, C++ and SQLExperience in utilizing GPUs or TPUs training transformer-based modelsExperience in high-performance computingWorking proficiency in EnglishOur cultureWhat we believe in at Silo AIBuild Bonds - Trust is our bond. We connect with customers and always seek to understand how we can best help them, and make sure that we keep what we promise. We encourage a culture where successes are celebrated, learnings shared and support provided for our team members to succeed. Keep Learning - Grow to excel. We aim for excellence by learning from the market, sharing our competence, and attracting talent with a growth mindset. We believe that expertise is not an achievement - it's a lifestyle of curiosity, learning, sharing and working with people who share the same hunger. Ask Why - Know your why. We have the courage and agility to keep challenging what we're doing to assure value creation for customers. We encourage open dialogue and debate and strive for diversity in opinions to improve decision making. Be Good - Positive impact. We always strive to be transparent and open in our communications, take ownership and aim for positive impact and results in all we do. We take pride in creating an equal and supportive workplace for talented and ambitious professionals from all nationalities, genders, orientations and","https://fi.linkedin.com/jobs/view/ai-engineer-large-language-models-at-silo-ai-3673087120"
