"company","job-title","level","description","job-url"
"Gradfuel","Graduate Full-Stack Developer - Leading European Online Platform","Entry level","We are seeking a highly motivated and talented Graduate Full Stack Developer to join our dynamic and innovative team. As a Graduate Full Stack Developer, you will work on a wide range of projects and play a key role in the development and maintenance of our web and software applications. This is an excellent opportunity for recent graduates to gain hands-on experience and grow within a fast-paced technology-driven environment.Possible Key Responsibilities:      Front-end Development:Collaborate with the design team to implement user-friendly and responsive web interfacesDevelop and maintain the user interface of our applications using HTML, CSS, and JavaScript frameworksBack-end Development:Build and optimize server-side components and applicationsDevelop and maintain APIs to support data exchange between the front-end and back-end systemsWork with databases to store and retrieve information efficientlyFull Stack Development:Integrate front-end and back-end components to create seamless user experiencesEnsure the performance, security, and scalability of applicationsCoding and Debugging:Write clean, maintainable, and efficient codeDebug and troubleshoot software issues as they ariseTesting and Quality Assurance:Develop and execute unit tests to ensure the reliability and quality of codeParticipate in code reviews and contribute to the continuous improvement of development processesLearning and Growth:Stay updated with the latest industry trends and technologiesParticipate in training and development programs to enhance your skillsYou’ll work on multiple modules of a bigger system and build performant, scalable solutions that deliver customer value and are according to the set Service Level Objectives (SLOs) for the product.You’ll be trusted to work autonomously, without supervision, and to deploy and operate high-quality features in productionRequirementsIdeal candidates have studied a degree in or relating to Technology / Computer ScienceHaving a passion or interest in the use of Java and Python would be beneficial You support your colleagues through knowledge sharing and hands-on training You’re a role model for collaboration You focus on applying good practices, software design, and engineering methodology fundamentalsBenefitsEmployee shares program40% off fashion and beauty products sold and shipped by us2 paid volunteering days a year25 days of vacation a yearRelocation assistance available (subject to prior agreement)Family services, including counseling and supportHealth and wellbeing options Mental health support and coaching available","https://fi.linkedin.com/jobs/view/graduate-full-stack-developer-leading-european-online-platform-at-gradfuel-3737725207"
"Gradfuel","Graduate Back End Developer - Leading European Online Platform","Entry level","We are looking for passionate students to join our Software Engineering and developer team.As a Backend Engineer, you're part of a high-performing team, building technologies that connect every part of the fashion industry. We live in radical agility, a methodology built on trust and backed by an architecture that lets us move fast while keeping complexity low.You'll have the opportunity to work with top-notch engineers, living high standards and best practices, in order to provide you with the best knowledge and training.You’ll work on multiple modules of a bigger system and build performant, scalable solutions that deliver customer value and are according to the set Service Level Objectives (SLOs) for the product.You’ll ensure that the technical and computational complexity as well as compliance (GDPR, security) requirements are considered in the solutions developed by your team.You’ll be trusted to work autonomously, without supervision, and to deploy and operate high-quality features in productionRequirementsIdeal candidates have studied a degree in or relating to Technology / Computer ScienceHaving a passion or interest in the use of Java and Python would be beneficial You support your colleagues through knowledge sharing and hands-on training You’re a role model for collaboration You focus on applying good practices, software design, and engineering methodology fundamentalsBenefitsEmployee shares program40% off fashion and beauty products sold and shipped by us2 paid volunteering days a year25 days of vacation a yearRelocation assistance available (subject to prior agreement)Family services, including counseling and supportHealth and wellbeing options Mental health support and coaching available","https://fi.linkedin.com/jobs/view/graduate-back-end-developer-leading-european-online-platform-at-gradfuel-3737720640"
"Silo AI","Full Stack Software Developer","Entry level","AI for People defines what Silo AI stands for. We want to build a world with safe human-centric AI that frees the human mind from manual labour and empowers human creativity. We are looking experienced software developers interested in implementing production-grade AI solutions.As a Full Stack Software Developer you will be working on creating solutions and products for our clients. You will e.g. design and develop secure, and reliable web-based UI's and backend services for Machine Learning solutions. You will design and implement tools and applications that change the way we build and run our AI solutions and how we fit them into broader software systems. You will take care of packaging, testing, deploying, and supporting the software you deliver.Our current tech stack and tools consist of for example Python, Vue.js, React, PostgreSQL, MongoDB, Jenkins, and Kubernetes across private and public clouds Azure, AWS, and GCP. Read more about our cases that we have made for Infranode in automated lead generation and Philips in radiotherapy planning.What we valueStrong experience with our key technologies, including Python and preferably Vue.jsExperience in designing and building cloud-deployed web-based applications and data-heavy backend servicesInitiative, pragmatic problem solving, and great communication skillsDesire and ability to quickly acquire broad high-level intuition of AI systems and solutionsExperience in devops, AI systems and frameworks, scientific Python stack, edge deployments, and infrastructure automation is a big plusWhat Silo offers for you?As we already know, AI will be affecting almost everyone's work and everyday life. With us you have a real chance of shaping the change that AI will bring to everyone of us. You will get to choose your tools, methods, and ways of working together with the team while ramping it up. The products you develop will have a key role in expanding and accelerating the use of AI in large scale real world applications. Your closest colleagues will be an AI enthusiast mix of model developers and software experts working in the AI areas of computer vision, machine learning, and natural language processing. We aim for excellence by keep learning from the market, sharing our competence and looking for a growth mindset. We will help your learning for example through our Learning Labs and Talent CoachingInterested in joining us?Send your application and tell us why you are interested in the Software Developer role at Silo AI and what you are passionate about, along with relevant profiles (CV/LinkedIn/Github).","https://fi.linkedin.com/jobs/view/full-stack-software-developer-at-silo-ai-3641764678"
"Silo AI","Full Stack Developer, SiloGen","Entry level","We are currently looking for a Full Stack Developer to complement the product development team. The role is part of the SiloGen Products team, a fast growing group of software developers, data scientists, AI researchers, and sales professionals.SiloGen's vision is to build a European flagship generative AI company - deeply rooted to European values - developing and deploying large language models (LLMs) that are accurate, trustworthy, and robust, and that can be used to solve a wide range of real-world problems.We offer an international work environment with flexible work arrangements, support for personal development and a team of top-notch technical and business experts from whom to learn tons about the artificial intelligence industry and running a successful international business. In a fast growing company there is plenty of room for career growth, guided by your own interests, ambitions and willingness to build your way forward. What we value is a learning mindset and ability to take ownership of your own work. As a growth company, we are constantly building new ways of working as needs and requirements evolve.What will you be doingIn this role, you will further develop our SaaS applications and APIs for leveraging the power of Large Language Models (LLMs). As a Full Stack Developer you will play a key role in making our generative AI products useful, easy to use, scalable and cost effective.Main responsibilities:Develop our web applications and API products with a particular focus on making effective and visually appealing user experiences that connect to underlying generative AI technologies. Ensure that user facing interfaces align with the team's established CI/CD procedures, documentation requirements, and overall architecture. These skills and experience will help you succeed:Full-stack development with React, Next.js, Node.js, Javascript, Typescript, Python and relational databasesAPI development, both as a consumer and as a provider and API documentationExperience with professional development procedures and tools like Atlassian tools, Github, IDEsExperience using vector databases, large language modelsExperience using docker, kubernetes, and cloud providersFull working proficiency in English (our company language)We take pride in creating an equal workplace for all nationalities, genders, orientations and backgrounds. We want to work with smart, warm and open-minded people who share our values of Be Good, Ask Why, Keep Learning and Build Bonds.We have a transparent role level and salary frame at SiloGen.Start date: As soon as the right candidate is found. Our selection process is continuous and the advert may close before the recruitment process is completed if we have moved forward to the next phase.","https://fi.linkedin.com/jobs/view/full-stack-developer-silogen-at-silo-ai-3736618642"
"Enkora Oy","Backend Software Developer","Entry level","We are looking for a passionate software developer to join the Enkora team. You will create awesome products and features used by tens of thousands of people on a daily basis. If you enjoy independence, creativity and a lot of responsibility, this could be your dream job!Enkora is the leading provider of modern customer service solutions in Finland. Our software and hardware products help our customers to sell their services, accept payments, control access, manage reservations of resources, and self-service for end-users. Every year, over 10 million customer visits are managed by our systems all around Finland. We build web-based, desktop, mobile and embedded software, design hardware and we even do some electronics!Just as we don't stop innovating with our products, we also have modern approach with development: the development environment has been well containerized, automated tests are running at every commit: unit tests, integration tests and static code analysis.Minimum Requirementsadvanced experience in PHP developmentadvanced experience in SQL queries (we're using MySQL)enjoy improving / refactoring legacy code in addition to writing newNot required, but nice to havecontinuous integration / automated testing experiencenot afraid of frontend: js/ts, html cssWe offer a full-time job in Kalasatama, Helsinki (right next to the metro!)Team of awesome international colleaguesPossibility to grow and learn new thingsFreedom to plan your workSmall team, your work will have a big impact on the final productCompetitive salary and benefitsPlease provide examples of your projects and code, and your salary expectations. Also send in links to your profiles on LinkedIn, StackOverflow, GitHub, etc.Any questions? Contact Artem (CTO) at artem[at]enkora.fi, 0407606484 or through Facebook / LinkedIn (in English).","https://fi.linkedin.com/jobs/view/backend-software-developer-at-enkora-oy-3312508519"
"Varian","Full Stack Engineer","Entry level","Together, we can beat cancer.At Varian, a Siemens Healthineers Company, we bring together the world's best talent to realize our vision of a world without fear of cancer. Together, we work passionately to develop and deliver easy-to-use, efficient oncology solutions.We are part of an incredible community of scientists, clinicians, developers, researchers, professionals, and skilled specialists pushing the boundaries of what’s possible, to improve people’s lives around the world. We embrace a culture of inclusivity in which the power and potential of every individual can be unleashed. We spark ideas that lead to positive impact and continued success.If you want to be part of this important mission, we want to hear from you.We are looking for cloud native Full stack developer interested in joining our mission to provide best possible cancer care for patients all around the world!Noona is Varian’s cloud-based software solution for patient relationships and care navigation management. It’s designed to connect cancer patients with their clinics online throughout the entire cancer journey.As a member of an autonomous team, you will be part of the complete software development lifecycle from design and implementation to production deployment and operation. We expect you to work with all parts of our software stack. You live for solving customer problems and delivering quality code to production in small increments.Noona is a SaaS service running on AWS, built with Java / Kotlin in the back end and Angular written in Typescript in the front-end. Our data is stored in a PostgreSQL database.You will work in a multifunctional scrum team part of the strong product development in Finland. Teams own the whole development lifecycle from design to operations. Depending on your background and interests you can also contribute to developing system architecture and processes.To Be Successful In The Role, You Should HaveBSc or MSc in computer science or an equivalent technical degreeWork experience of full stack development (Java/Kotlin, HTML, CSS, JavaScript)Experience with one or several front-end frameworks like Angular, React, VueWorking experience with CI/CD systems and cloud deployments to AWS or AzureUnderstanding of microservice architecture with RESTful APIsSolid understanding of relational databasesFluency in English, both written and spokenWhat We Can OfferInspiring work atmosphere with supporting work communityMeaningful work with the medical domainContinuous learning and personal growth possibilitiesInternational and cross-cultural working environmentNewly opened modern office located in the downtown of HelsinkiVarian is required to comply with all local and applicable regulations that may be associated with vaccine requirements for certain roles.Fighting cancer calls for big ideas.We envision a world without fear of cancer. Achieving this vision takes dedication and commitment from all of us, every single day. That's why we celebrate and value the distinctly beautiful and intersectional identities of each of our employees. We are a mirror of our patient-base, which allows us to innovate. Big ideas come from everywhere, and the best ideas are fostered by our unique individual experiences. At Varian, we encourage you to bring your whole self to work and believe your bold and authentic perspective will help to power more victories over cancer.#TogetherWeFightPrivacy Statement","https://fi.linkedin.com/jobs/view/full-stack-engineer-at-varian-3743667241"
"FRG Technology Consulting","Front End Developer - Product House","Entry level","Are you an ambitious Front-End Developer with a passion for building stunning user interfaces and interactive web applications using the latest web technologies? Do you have a deep understanding of React, JavaScript, and TypeScript? If you thrive in a creative and collaborative environment and are eager to contribute to cutting-edge projects, we have an exciting opportunity for you to join our team as a Front-End Developer!ResponsibilitiesCollaborate with the design and back-end development teams to implement and refine user interfaces with React, JavaScript, and TypeScript.Build reusable and modular components, ensuring the best performance and user experience.Optimize applications for maximum speed and scalability while maintaining a pixel-perfect user interface.Participate in code reviews, share knowledge, and provide constructive feedback to team members.Stay up-to-date with the latest front-end trends, techniques, and technologies, and advocate for their adoption when appropriate.Troubleshoot and debug complex issues to ensure the highest level of application stability and performance.Work closely with UX/UI designers to bring their concepts to life and ensure seamless integration with the back-end systems.Collaborate with cross-functional teams to deliver high-quality software solutions on time.RequirementsProven experience as a Front-End Developer, with a strong focus on React, JavaScript, and TypeScript.Proficiency in building responsive and user-friendly web applications with HTML5 and CSS3.Solid understanding of React best practices and design patterns, including hooks and context API.Strong knowledge of JavaScript and TypeScript, with the ability to write clean, maintainable, and testable code.Familiarity with state management libraries like Redux or MobX.Experience with RESTful APIs and asynchronous programming.Understanding of modern front-end build tools and package managers, such as Webpack, Babel, and npm.Ability to work collaboratively in a fast-paced environment and adapt quickly to changing requirements.Excellent problem-solving skills and attention to detail.A portfolio showcasing previous React and TypeScript projects is highly advantageous.Preferred QualificationsBachelor's degree in Computer Science, Web Development, or a related field.Familiarity with UI/UX design principles and the ability to collaborate effectively with designers.Knowledge of testing frameworks such as Jest, Enzyme, or Testing Library.Experience with server-side rendering and Next.js.Exposure to modern CSS frameworks like Tailwind CSS or Styled ComponentsReach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/front-end-developer-product-house-at-frg-technology-consulting-3687379169"
"Jefferson Frank","Software Developer","Entry level","Are you a skilled PHP developer with a passion for AWS technologies? Do you thrive in a dynamic, collaborative environment where your ideas are valued and your skills are put to the test? We are seeking a talented PHP Developer with AWS expertise to join our innovative team.Key Responsibilities Develop and maintain dynamic, interactive web applications using PHP and AWS technologies. Collaborate with cross-functional teams to design, develop, and implement new features and functionalities. Optimize applications for maximum speed, scalability, and security. Troubleshoot, debug, and enhance existing software. Stay up-to-date with emerging technologies and industry trends to continuously improve development processes.Requirements Proven experience in PHP development, including knowledge of PHP frameworks (such as Laravel or Symfony). Strong understanding of AWS services, including but not limited to EC2, S3, Lambda, and RDS. Familiarity with front-end technologies (HTML, CSS, JavaScript) and version control systems (Git). Experience working in an Agile development environment. Strong problem-solving skills and attention to detail. Excellent communication and collaboration abilities. Bachelor's degree in Computer Science, Information Technology, or related field (or equivalent work experience).What We Offer Competitive salary and benefits package. Opportunity to work with cutting-edge technologies and innovative projects. Supportive and inclusive work environment that encourages professional growth. Collaborative team culture that values creativity and diversity of thought. Flexible work hours and remote work options. Professional development opportunities and training programs.My client is looking to begin the interview process immediately so feel free to apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jason-upton-167479231/Email: j.upton@jeffersonfrank.comPhone: +358 75 3266673Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/software-developer-at-jefferson-frank-3735607590"
"Varian","Software Engineer","Entry level","Together, we can beat cancer.At Varian, a Siemens Healthineers Company, we bring together the world's best talent to realize our vision of a world without fear of cancer. Together, we work passionately to develop and deliver easy-to-use, efficient oncology solutions.We are part of an incredible community of scientists, clinicians, developers, researchers, professionals, and skilled specialists pushing the boundaries of what’s possible, to improve people’s lives around the world. We embrace a culture of inclusivity in which the power and potential of every individual can be unleashed. We spark ideas that lead to positive impact and continued success.If you want to be part of this important mission, we want to hear from you.We are looking for a talented Software Engineer to join our Advanced TPMS (Treatment Planning and Management Systems) Solutions team. You will be part of a cross-functional team, working closely together with other teams in Europe and overseas. You will work on challenging and inspiring global R&D projects that have an impact on people’s lives around the world.As a member of the team, you will participate in software development process from inception to production, focusing on design and development activities. We are evolving our existing service architecture towards microservices and Cloud deployment. Because of this, we have a great focus on designing and implementing our applications to follow cloud-native integration and deployment concepts, such as containerization orchestration tools and technologies.You are always dedicated to bringing the best value and quality. You have an analytical and proactive mindset and you feel comfortable working on complex problems and long-term R&D projects. In addition, you are an open minded and flexible thinker.The RoleYou will be working on Varian's next generation treatment planning platform as a member of Agile team. Your focus will be on design and implementation, and you will participate in other software development lifecycle activities when support is needed.To Be Successful In The Role, You Should HaveMSc or BSc in Computer Science or related disciplineExperience in professional software development, processes and methodsComfortable working in an Agile team.Working knowledge of at least one object-oriented language, ideally C# / .NET CoreExperience of continuous integration and –deployment concepts, tools, and technologies (e.g. Azure DevOps, Jenkins, TeamCity)Proactive problem-solving and ability to troubleshoot both Windows and Linux based environmentsGood communication, collaboration, and interpersonal skills.Fluency in English, both written and verbal.DESIRABLE (not essential, but highly advantageous)Knowledge of latest containerization and orchestration technologies in a Linux environment. (K8s, docker, networking stacks)Experience with virtualized- and cloud environmentsAutomation, scripting (e.g. PowerShell, Ansible)Cybersecurity skillsWhat We Can OfferInspiring work atmosphere with supporting work communityMeaningful work with the medical domainContinuous learning and personal growth possibilitiesInternational and cross-cultural working environmentNewly opened modern office located in the downtown of HelsinkiVarian is required to comply with all local and applicable regulations that may be associated with vaccine requirements for certain roles.Fighting cancer calls for big ideas.We envision a world without fear of cancer. Achieving this vision takes dedication and commitment from all of us, every single day. That's why we celebrate and value the distinctly beautiful and intersectional identities of each of our employees. We are a mirror of our patient-base, which allows us to innovate. Big ideas come from everywhere, and the best ideas are fostered by our unique individual experiences. At Varian, we encourage you to bring your whole self to work and believe your bold and authentic perspective will help to power more victories over cancer.#TogetherWeFightPrivacy Statement","https://fi.linkedin.com/jobs/view/software-engineer-at-varian-3743668201"
"ICEYE","Software Engineer","Entry level","Who are we?We are a Finnish-based international New Space company with employees from more than 57 countries in Finland, the US, the UK, Spain, Luxembourg, and Poland. Our team is a tight-knit group of experts from areas including engineering, software development, and radar technology. We're innovative, driven people who strive for excellence in everything we do. Being advocates of our corporate culture, we value teamwork and curiosity, and we know how to have fun!What do we do? ICEYE is building and operating its commercial constellation of small Synthetic Aperture Radar (SAR) satellites with SAR data available to customers. Our satellites acquire images of Earth at any time - even when it's cloudy or dark - providing commercial and government partners with unmatched persistent monitoring capabilities. Information derived from our SAR images helps customers make data-driven decisions to address time-critical challenges in various sectors, such as maritime, disaster management, insurance, and finance.What are we looking for?To support the company's growth, we are looking for a ""Software Engineer"" to join our Flight Software team. You will report to the Flight Software Applications Team Lead in this position.ResponsibilitiesBe the lead developer for the application layer components of our satellitesProduce clean, robust and understandable codeCollaborate with other team members to design and define the application architecture for our satellitesCollaborate with other team members to ensure our development and testing environment produces high quality Flight Software productsMentor the other members of the teamRequirementsYou are an experienced professional with 5+ years in software developmentYou are a great C++ and Python developer, familiar with the latest featuresYou have experience with embedded LinuxYou are self-driven and autonomous, but also a great team playerYou have experience in E2E system developmentYou have been working with communication protocols and messaging systems used in distributed systemsYou have experience developing software for constrained environments such as IoT, robotics, and/or automotiveYou are well versed in event-driven architectures, asynchronous techniques, concurrency, communication protocols, and constrained environmentsPreferredTechnical degree (computer science, engineering, mathematics)Experience in working in a lead developer roleBenefitsA job that matters in a dynamic New Space environment with a scale-up approachAn independent role with a supportive and diverse work environmentOccupational healthcare, occupational and private insuranceA yearly benefit budget to spend as you wish (i.e. on sport, transport, bike benefit, wellness, lunch, etc.)Phone subscription with iPhone of choice Relocation support (i.e. flight tickets, accommodation, relocation agency support)Time for self-development, research, training, conferences, or certification schemesFinnish & English lessons Inspiring and collaborating offices and silent workspaces enable you to focusA wide variety of the best coffee, tea, snacks, and sweets to accompany your daily space missionDiversity & inclusion are core values at ICEYE. We are passionate about building and sustaining inclusive and equitable working and learning environments for all staff. Every member of our team enriches our diversity by exposing us to a broad range of ways to understand and engage with the world, identify challenges, and discover, design, and deliver solutions.Could this be the role for you? Apply now to start your journey with ICEYE.We are making the impossible possible together.ContactRavi Chettyravi.chetty@iceye.fi","https://fi.linkedin.com/jobs/view/software-engineer-at-iceye-3688395927"
