"company","job-title","level","description","job-url"
"IPRally","ML Engineer","Entry level","Are you up for the toughest AI challenges around graph neural networks? We have built a graph-based patent search engine with which our users find the documents that already contain their concepts. We are looking for an Machine Learning Engineer who can envision breakthrough-level ideas and follow them through with software engineering excellence. You will be working with the very core of the product - the search algorithm.We have converted 100M patent documents into 100M knowledge graphs, to compress the key information into simpler data for ML. It has been possible because of the semi-structured patent text. Patent documents also contain rich metadata like citations between documents, which are essentially labels for supervised training. All of this presents an opportunity to dive deeper into text understanding than even the LLMs from the tech giants.The current model we use is the Graph Transformer (read our blog about the graph transformer), so both the NLP transformers and the GNN models are relevant. We published a paper at the SIGIR 2023 conference about our general approach (read our paper).The daily work is done in a small hybrid team. Remote work is okay, but we expect to see each other at least once a quarter in person. There is also a separate team providing MLOps support.Technology stackPyTorch for search model developmentML services deployed as Python microservicesGoogle Cloud for computationRequirementsExcellence in applied deep learning, ideally also with GNNsA genuine eagerness to learnKnowledge about NLPStrong social skillsFluency in English, which is our company languageYou are located ideally in Finland, but at least you can work in European time zonesBenefitsA rare opportunity to join an early-stage, disruptive company that has a unique edge, ambitious plans, and an already proven record of success in a growing $2bn industryOpportunities to grow as we grow. We will help you be the best you can be in this role, and help you develop skills that will help you reach the next stage. You will work with a highly talented and supportive teamA compelling and competitive financial package and other benefits, including six weeks of holidayIn Finland, other benefits include for example lunch, sports and culture, and commuting benefits, extended occupational health care with dental care, and tools of your choosingNext stepsOur recruitment process consists ofA casual interview with our AI Team Lead Sebastian and Head of People and Talent Mari, in which we will discuss your background and check if our wishes align with yoursWe would like to see an example of your code. You can share your Github profile with us or do a code task if that’s what you preferA technical interview with Sebastian and an AI team member to dig deeper into your technical skillsA final call with our CTO JuhoSounds interesting? Send us an application now!About IPRallyIPRally will change the way of finding and categorizing patents. How? We have introduced transparent and reliable AI applications to the patent search, analysis, and classification process, which helps our customers save a lot of time, resources, and money. We are transforming the complex and tedious process of finding information that is crucial for our customers, but most importantly, we help innovative companies quickly find and act upon opportunities and drastically reduce risk.So, who are we? IPRally was founded in Helsinki, Finland in 2018. With a vision to automate tasks that steal resources from both inventors and patent professionals and help them achieve their goals faster, a completely new and ground-breaking way of searching for technical information was built. By modeling the technical content of patents, and processing this with cutting-edge, proprietary graph neural networks, IPRally gives customers highly relevant information at their fingertips, in seconds.","https://fi.linkedin.com/jobs/view/ml-engineer-at-iprally-3731373665"
"Silo AI","AI Engineer - DevOps/MLOps","Entry level","At Silo AI our team of 200+ AI Engineers, AI Scientists, Solutions Architects, Software Developers, and Designers collaborate closely to tackle challenging real-world problems related to AI. Now we are looking for AI Engineers to build MLOps solutions for quality ML development and scalable AI utilizations in multi-cloud environments. The work is done as part of our Helsinki, Tampere, Turku, Jyväskylä, Oulu, Stockholm or Copenhagen teams.What Will You Be DoingBuilding versatile ML development and AI deployment setups (pipelines and/or platforms) and other MLOps solutions to enable production-level AI and ML in multi-cloud environments and sometimes in connection to IoT and embedded settingsWork very practically hand-on but also designing the needed architectures and workflows - enabled by Silo AI assets and learning from versatile project casesWork as part of the team with leading AI experts and use cutting edge tools to train, deploy and service advanced machine learning models Working in client projects in various different industries that typically lasts 3-6 months, but we also work in long-term projects lasting 1-2 years Contributing to Cloud AI & MLOps community and R&D work of Silo AIWhat We Are Looking For From YouYou have strong experience in software development Experience in training, versioning, deploying, monitoring and/or maintaining machine learning modelsYou have knowledge of cloud platforms and technologies (e.g. Kubernetes, Azure, AWS and/or Google Cloud)You are experienced in programming with Python and can adopt other programming languages. You are familiar with some typical MLOps tools, such as KubeFlow, MLFlow, KFServing/KServe, Seldon, Airflow, Argo, Prefect or others; some DevOps tooling such as Docker, Kubernetes, Terraform scripting (or CloudFormation or similar); some machine learning frameworks, such as Tensorflow and/or PyTorch; some logging tools, such as ElasticStack, Grafana, Prometheus and/or othersYou have a track record of producing quality code and developing software with different practices (CI/CD, version control, some variety of agile development)You may have also DataOps related experience around storage (SQL, NoSQL, cloud), processing (batch, stream, ETL), managing/versioning, security, visualization and/or big dataYou are interested in working and communicating with Silo AI clients and working part of the team with Silo experts Be able to learn new skills and adapt quickly, as the problems, tools, best practices, and architectures are rapidly changing. What Silo Ai Offers To YouReal-world and production-level projects related to AI in various different industries such as retail, manufacturing, machine industry, automotive, pharma, telecom, smart devices, medical, energy & infra, logistics, healthcare, and internet services High-level & diverse tech and non-tech expertise around you as peers with our team of 200+ employees and 20+ nationalities Cloud AI & MLOps community which includes 30+ experts and a lot of information sharing and learning resources - and our other three technology areas include IoT, Embedded and Connectivity which bring their own additions to the MLOps work Learning culture with several different learning activities to support your learning such as 1-1 talent coaching with lead level experts, self-development benefit, company-wide workshops, internal research club bi-weekly basis Silo social activities like daily meditation, virtual lunches, and company-wide all-hands every Friday, company supported Silo social activities Growth company environment - in 2021 we have hired around 100 new employees and opened up a new office in Copenhagen, Denmark. In 2022 we are looking for hiring even more employees than in 2021 and opening up new countries in addition to the three current ones. Possibility to become Silo shareholderNormal benefits such as work equipment of own choice, occupational healthcare, sports & culture vouchers, internet, lunch through Wolt on Fridays, self-development budgetOUR CULTUREWhat we believe in at SiloBuild bonds - Trust is our bond. We connect with customers and seek to understand how we can best help, and always keep what we promise. We encourage a culture in which successes are celebrated, learnings shared and support provided for our team members to succeed. Be good - Positive impact. We strive to be transparent and open, take responsibility and ownership, and aim for positive impact and results in all we do. We take pride in creating an equal and supportive workplace for talented and ambitious professionals from all nationalities, genders, and backgrounds. Ask why - Know your why. We have the courage and agility to keep challenging what we're doing to assure value creation for customers. We encourage open dialogue and debate and strive for diversity in opinions to improve decision making. Keep learning - Grow to excel. We aim for excellence by learning from the market, sharing our competence, and recruiting a growth mindset. For us expertise is not an achievement, it's a lifestyle of curiosity, learning, sharing, and working with people who share the same hunger. WANT TO KNOW MORE?You can ask more about Silo AI as a workplace from our Talent Acquisition Lead Emmi Matvejeff, emmi.matvejeff@silo.ai","https://fi.linkedin.com/jobs/view/ai-engineer-devops-mlops-at-silo-ai-3673080616"
"Silo AI","AI Engineer, Large Language Models","Entry level","At Silo AI engineers and researchers collaborate closely to tackle challenging real-world problems. The core competence of Silo AI relies on deep academic, and industry expertise in various fields of AI, covering machine learning, natural-language processing, computer vision among others. AI Engineers are expected to build innovative AI solutions powered by, and powering, Large Language Models (LLMs) that together with AI Scientists and software developers can be deployed in our products serving our clients.What will you be doingAs an AI Engineer in Large Language Models, you'll work in a top tier team of AI experts, creating next-generation methods for creating safe, reliable and robust AI models. You'll closely collaborate in a team with scientists and product developers to implement our vision of human-centric AI and specifically, LLMs. You may choose to work from our offices in Helsinki or Stockholm, whichever suits you best.AI Engineers are expected to have strong industry experience and projects showing clear evidence of high-quality software engineering in fields related to AI and proven experience and ability to implement solutions in high-performance computing environments. As an AI Engineer you will:Train, fine-tune and evaluate state-of-the-art transformer modelsCreate workflows and tools for fine-tuning language models Implement model parallelism and data parallelism techniques to optimize model performance through model and data parallelismCollaborate with cross-functional teams to create value with LLMs. Implement tooling to support reinforcement learning human feedback methodsWork with Python, SQL, C++ and Linux systems to develop robust data solutions. Requirements:MSc or PhD in Computer Science, Artificial Intelligence, or a related field. 6+ years of experience in the industry, on topics such as Artificial Intelligence, high-performance computing and Machine LearningPrevious expertise and interest in Natural Language Processing and large language models or Reinforcement Learning. Proficiency in Python, C++ and SQLExperience in utilizing GPUs or TPUs training transformer-based modelsExperience in high-performance computingWorking proficiency in EnglishOur cultureWhat we believe in at Silo AIBuild Bonds - Trust is our bond. We connect with customers and always seek to understand how we can best help them, and make sure that we keep what we promise. We encourage a culture where successes are celebrated, learnings shared and support provided for our team members to succeed. Keep Learning - Grow to excel. We aim for excellence by learning from the market, sharing our competence, and attracting talent with a growth mindset. We believe that expertise is not an achievement - it's a lifestyle of curiosity, learning, sharing and working with people who share the same hunger. Ask Why - Know your why. We have the courage and agility to keep challenging what we're doing to assure value creation for customers. We encourage open dialogue and debate and strive for diversity in opinions to improve decision making. Be Good - Positive impact. We always strive to be transparent and open in our communications, take ownership and aim for positive impact and results in all we do. We take pride in creating an equal and supportive workplace for talented and ambitious professionals from all nationalities, genders, orientations and","https://fi.linkedin.com/jobs/view/ai-engineer-large-language-models-at-silo-ai-3673087120"
"Jefferson Frank","Data Scientist - Helsinki / Salo","Entry level","Job Title: Data ScientistLocation: Helsinki, Finland - on site expected 3-4 times per week in Salo or HelsinkiCompany OverviewWe are the go-to-partner for RFID based PaaS Applications across Europe and the Nordics, with deep roots in identification solutions.Based in Finland and focusing on developing and delivering innovative Identification Solutions that utilize all of the latest RFID & IoT Technologies, all for real time item tracking. We serve customers across multiple industries.We develop our own readers and software for complete solutions, and we can offer highly motivating career path for professionals passionate about identification technology. We are passionate to grow and bring a digital soul to every item.Position OverviewAs a Data Scientist you will be a key player in transforming raw data into actionable insights that drive business growth. You will work in a collaborative, English-speaking environment where your skills in Python programming, AWS cloud or multi-cloud platforms, and artificial intelligence will be put to the test.Key Responsibilities Apply your expertise in data analysis, machine learning, and AI to solve complex business problems. Develop predictive models, algorithms, and data-driven solutions. Collaborate with cross-functional teams to gather and analyze data requirements. Utilize Python programming to clean, manipulate, and visualize data effectively. Deploy and maintain machine learning models on cloud platforms (AWS or multi-cloud). Continuously explore new techniques and technologies to improve data analysis processes.Qualifications 2-4 years of proven experience as a Data Scientist in a professional setting. Strong proficiency in Python programming. Experience with AWS cloud services or multi-cloud platforms. Background or hands-on experience in artificial intelligence and machine learning. Strong problem-solving skills and the ability to work independently. Excellent communication skills in English, both written and spoken.What We Offer Competitive salary and benefits package. A dynamic and inclusive work environment. Opportunities for professional development and growth. The chance to work on exciting projects that make a real impact.How To ApplyIf you are excited about the opportunity to be part of a cutting-edge team and have the qualifications we are looking for, please submit your resume and a cover letter outlining your relevant experience to s.cook1@jeffersonfrank.comPlease note, only applicants that are successful and that have been selected for an initial screening will be contacted.","https://fi.linkedin.com/jobs/view/data-scientist-helsinki-salo-at-jefferson-frank-3726136344"
"Silo AI","Full Stack Software Developer","Entry level","AI for People defines what Silo AI stands for. We want to build a world with safe human-centric AI that frees the human mind from manual labour and empowers human creativity. We are looking experienced software developers interested in implementing production-grade AI solutions.As a Full Stack Software Developer you will be working on creating solutions and products for our clients. You will e.g. design and develop secure, and reliable web-based UI's and backend services for Machine Learning solutions. You will design and implement tools and applications that change the way we build and run our AI solutions and how we fit them into broader software systems. You will take care of packaging, testing, deploying, and supporting the software you deliver.Our current tech stack and tools consist of for example Python, Vue.js, React, PostgreSQL, MongoDB, Jenkins, and Kubernetes across private and public clouds Azure, AWS, and GCP. Read more about our cases that we have made for Infranode in automated lead generation and Philips in radiotherapy planning.What we valueStrong experience with our key technologies, including Python and preferably Vue.jsExperience in designing and building cloud-deployed web-based applications and data-heavy backend servicesInitiative, pragmatic problem solving, and great communication skillsDesire and ability to quickly acquire broad high-level intuition of AI systems and solutionsExperience in devops, AI systems and frameworks, scientific Python stack, edge deployments, and infrastructure automation is a big plusWhat Silo offers for you?As we already know, AI will be affecting almost everyone's work and everyday life. With us you have a real chance of shaping the change that AI will bring to everyone of us. You will get to choose your tools, methods, and ways of working together with the team while ramping it up. The products you develop will have a key role in expanding and accelerating the use of AI in large scale real world applications. Your closest colleagues will be an AI enthusiast mix of model developers and software experts working in the AI areas of computer vision, machine learning, and natural language processing. We aim for excellence by keep learning from the market, sharing our competence and looking for a growth mindset. We will help your learning for example through our Learning Labs and Talent CoachingInterested in joining us?Send your application and tell us why you are interested in the Software Developer role at Silo AI and what you are passionate about, along with relevant profiles (CV/LinkedIn/Github).","https://fi.linkedin.com/jobs/view/full-stack-software-developer-at-silo-ai-3641764678"
"Canonical","Junior HR Generalist","Entry level","We have colleagues in more than 70 countries around the world. Our HR department depends on the precise application of policy and process as well as a depth of compliance and People partnering to make us an efficient, friendly, quality-driven, real-time service. The Associate HR Generalist will be responsible for supporting and coordinating general HR activities supporting our AMER, EMEA and APAC regions and driving our HR processes. This is a great opportunity to start and progress your career in a People function supporting team members worldwide.The successful candidate will bring an exceptional academic track record coupled with some experience working in an entry-level role in an HR or People Team. You will bring some existing knowledge of employment law. Ideally, we are looking for someone who has an inherent interest in the Technology sector, specifically Open Source.Location: These roles can be held in any time zone. We have HR teams for EMEA, APAC and the Americas.What your day will look likeProvide HR support by answering team members' questions and responding to requests regarding their employment and contracts, escalating when necessary. Requests may include information about the new starter process and onboarding, questions regarding global benefits, employment verifications, and other general inquiries. Maintain our HRIS, ensuring a high degree of accuracy and timeliness in processing all team member changes and new joiners. Owning global projects (e.g. engagement, training or culture initiatives)Partnering with the managers and employees - supporting HR processes and driving the people strategy for your areas of responsibilityWorking as a truly global partner to colleagues, especially leads, managers and executivesProcess new hires, including country-specific on-boarding documentation, creation of files, systems set-up, and coordination of introductory reviews. Provide support to employees for the enrollment and processing of benefits and the payroll process, ensuring monthly data is provided on time and is accurate. Liaise with payroll to guarantee smooth salary payments. Create purchase orders for internal departments. Provide administrative support to employees for the enrollment and processing of benefits. Conduct regular audits of employment files and systems to ensure they are up-to-date, accurate, and GDPR compliant. Continually work to better our processes, spotting areas we can improve to drive our function forward. Conduct and manage global background checks. What we are looking for in youAn exceptional academic track record from both high school and preferably universityExperience working in an entry-level role in an HR/People team is beneficial, preferably in the Technology industry. Excellent verbal and written communication skills. Able to prioritize complex workloads, manage time effectively and work well under pressure. Self-motivated and results-orientated with a clear focus on accuracy. High level of honesty, integrity, and ability to handle confidential data. Flexible attitude and easily adaptable to change. Willing to take the initiative and provide suggestions and ideas to contribute to the success of the role/team. Ambitious to grow your career within HR. Willingness to travel up to 4 times a year for internal eventsWhat we offer youWe consider geographical location, experience, and performance in shaping compensation worldwide. We revisit compensation annually (and more often for graduates and associates) to ensure we recognise outstanding performance. In addition to base pay, we offer a performance-driven annual bonus which varies based on seniority but starts at a range up to 10%. We provide all team members with additional benefits, which reflect our values and ideals. We balance our programs to ensure fairness globally.Distributed work environment with twice-yearly team sprints in person - we've been working remotely since 2004!Personal learning and development budget of USD 2,000 per yearAnnual compensation reviewRecognition rewardsAnnual holiday leaveMaternity and paternity leaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues from your team and othersPriority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/junior-hr-generalist-at-canonical-3686565615"
"Canonical","Performance Marketing Graduate","Entry level","The role of a Performance Marketing Graduate at CanonicalCanonical has provided developers with open source since 2004, helping them build innovations such as public cloud, machine learning, robotics or blockchain. Marketing at Canonical means being at the forefront of technology adoption, for our customers and for our own martech stack. We're on the look out for a performance marketing manager to join our team and own our paid strategy.The ideal candidate will be passionate about technology, technology marketing and the use of technology in marketing. You will prefer to work in an environment that has emphasis on ownership of campaigns, collaboration, learning, curiosity and a drive to continually improve oneself / the team / the organisation. You will also love to problem solve, get hands-on, experiment, measure and use automation to make daily life easier.The Marketing team at Canonical drives commercial outcomes for the company across its portfolio of products and grows the addressable market through digital marketing campaigns, lifecycle management, events, partnerships and community development. If these things are important to you and you're motivated by driving growth, delighting customers and filling the sales funnel, we want to talk with you.This role sits in the Marketing team reporting to the Growth Engineering Manager.Location:This role will be based remotely in the EMEA region.What your day will look likeSupport marketing team members with setting up and monitoring paid campaignsMonitor paid performance and budgets across the Marketing teamBuild on automation and AI to improve paid performanceDevelop Canonical's adtech stack to industry leading standardWhat we are looking for in youHands on experience with all ad platforms (Google, LinkedIn, Facebook...)Familiarity with campaign tracking and analytics toolsExperience driving successful lead generation campaigns. Experience with A/B testing and data-driven decision making. Exceptional interpersonal skills and aptitude for forging trusting relationships across diverse, cross-functional teamsProven ability to prioritise and differentiate what matters from the noise, meeting deadlines without sacrificing qualityA growth mindset - someone who is not afraid to think big and take on risksEngagement with the latest trends in marketing technologyWillingness to travel up to 4 times a year for internal eventsYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000 USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/performance-marketing-graduate-at-canonical-3718128371"
"Canonical","Software Engineer - Talent Science","Entry level","The role of a Software Engineer - Talent Science at CanonicalWe are seeking a software engineer, passionate about improving the hiring process by delivering productivity initiatives using analytics and data science. In this role, you will have the opportunity to make significant contributions through high-quality code while exhibiting technical leadership, exceptional design, and intuitive project documentation.As a Software Engineer focused on recruitment, you will be responsible for designing and maintaining a variety of web architecture, system integration and data science products. Building new hiring tools, dashboards and supporting analytics to enrich the hiring pipeline, enabling everyone at Canonical to make better decisions and deliver better work. You will work closely with the best and brightest developers within our company, ensuring that the solutions we build are well crafted, easy to use and scale to production workloads.Location: This is a globally remote role.What your day will look likeWrite high-quality, well-designed softwareEnable new processes and improve existing workflowsCollaborate proactively with a globally distributed teamConsistently provide high-quality code reviews to other engineersDisplay technical leadership internally and within our external communitiesDebug issues and produce high-quality code to fix themDiscuss ideas and collaborate on finding good solutionsConnect to many data sources and provide insightful visualisationsDatabase design and architecture for connected systemsProviding tooling to support optimised processesWork remotely from home with global travel for 2 to 4 weeks for internal and external eventsWhat we are looking for in youExperience writing backend programming in Python and Node.JSExperience with Application Tracking Systems (ideally Greenhouse) or HR IT products. Passion, thoughtfulness, and self-motivationExcellent interpersonal skills, curiosity, flexibility, and accountabilityAdditional Skills That You Might Also BringExperience with Data analytics and statistical analysisExperience with Natural language processing, sentiment analysis, machine learningExperience with Data visualisationUnderstanding of build systems and toolchains, including system designExperience integrating with system APIsStrong database design and architecture experienceThe ideal candidate will use their passion for experimentation and analytics to build tomorrow's tech organisation. This team will help us gain insights into the practice of recruitment and our talent pool, and use those insights to improve the experience of joining Canonical.What we offer youRemote first: 100% remote working with the opportunity to travel to Sprints. We meet a couple of times a year in interesting places all around the world to come together to collaborate. These Sprints see circa 300 people come together. This year we have travelled to Frankfurt, Copenhagen, Montreal and Prague!Personal development: Annual budget allowance of 2,000 USD per annum and time to focus on areas you want to improve. Compensation: eligibility for annual pay review including bonuses. Recognition: The ability to be rewarded and recognised by others for the work you do. Travel: Opportunity to travel to new locations to meet colleagues. Priority Pass for lounge access when flying to sprints. International SOS membership to support you whilst travelling. About CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open-source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background creates a better work environment and better products. Whatever your identity we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/software-engineer-talent-science-at-canonical-3724278278"
"Canonical","Sales Development Representative","Entry level","Canonical is a remote-first global company that publishes Ubuntu and open-source enterprise solutions for cloud, developer, IoT and AI. Ubuntu is the fastest growing Linux distribution and ranks as the number #1 OS in the cloud.In partnership with Google, Amazon, IBM and Microsoft, Canonical helps companies become more agile, productive and adopt new technologies faster. Examples of customer success include AI, Blockchain, IoT, Advanced Robotics and self-driving cars, where Ubuntu is the preferred development platform.The role of a Sales Development Representative at CanonicalCanonical is profitable and growing. We consider our sales development organization to be the best technology sales academy in the market, and as such, we select exceptional and ambitious candidates to join our team. You will enjoy this role if you are organized, persistent, charismatic, and hard-working. You will need to be interested in tech and its business implications. In this role, you will collaborate with a regional sales and marketing team, and your primary objective is to find customer projects that fit our product lines and spread the good name of Canonical across multiple different industries and geographies.Click HERE to watch our SDR team discuss their role in CanonicalWhat Your Day Will Look LikeHandle inbound customer inquiries across email, phone and chatExecute outbound sales & marketing campaignsTravel to events and conferences worldwide, presenting on booths and driving face-to-face marketing and sales opportunitiesCollaborate across multiple teams and senior stakeholders to drive results Work directly with marketing on campaignsResearch information about prospective customersGenerate a multi-million pound pipelineIdentify prospects and market trendsHelp define the processes and policies for the teamLiaise with new and existing customers, setting up and attending meetings whilst actively mapping accounts to identify new opportunitiesAccurately create, update, maintain and nurture leads on global opportunitiesWhat We Are Looking For In YouExcellent academic results at school and universityPassion for business and technologyCommitment to continuous learning and improvement - curious, flexible, scientificCreative problem solving and cross team collaborationVerbal and written communication skillsResult driven with an over-achiever spiritPersistence & perseveranceWhat We Offer YouYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, please ask your Talent Partner.Personal learning and development budget of 2,000USD per yearAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsCanonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/sales-development-representative-at-canonical-3704944720"
"Nigel Frank International","Data Engineer","Entry level","Data Engineer - Product Development - HelsinkiAre you a passionate Data Engineer and want to make a real difference in the world with your work? Great, look no further!About the Company:Our client is looking for a Data Engineer to join their growing team in Finland. They are a product-development house and are one of Finland's largest energy companies. They have a clear goal set out to be a 100% carbon-neutral energy company by 2030. Great if candidates areRole & Responsibilities:You will join a team of 20- very talented and highly skilled co-workers. This role will involve real-time streaming analytics, which will be crucial in collecting data from multiple sources like wind turbines, solar panels, thermal energy from the ocean, and nuclear reactors. This is the key to the company's becoming carbon neutral.Skills & Qualifications 5-2+ previous years of experience working as a Data Engineer Real-timeline streaming experience E.g with Python and Azure Databricks / Azure Event Hub / Azure IoT Hub or kafka / python / AWS Fluency in FinnishWhat can they offer YOU? Competitive salary ranging from 4500-5200€/pm with bonus on top! The employees in the business are valued a lot, they are a business that believes data is everything. They are a customer-focused company. They are now 90% in an Azure environment and are looking to become totally Azure focused soon. They have an unreal Tech stack and are working very closely with Microsoft Microsoft free courses will be provided by the company Loads of flexibility, great/fun team, and typically attractive for consultants to move into internal product development which is based on Data & AI.If you are interested in knowing more, please send over an updated version of your CV to j.selen@nigelfrank.com.If this is not the exact role you were looking for, get in touch anyway! Just send me an email anyway and highlight what interests you.Nigel Frank International is the global leader in Microsoft Technology Recruitment. Since 2006, we've found over 20,000 perm and contract Microsoft professionals for partners, ISVs, and end users in the ecosystem. For more information, visit www.nigelfrank.com","https://fi.linkedin.com/jobs/view/data-engineer-at-nigel-frank-international-3713068488"
