"company","job-title","level","description","job-url"
"ICEYE","Software Engineer","Entry level","Who are we?We are a Finnish-based international New Space company with employees from more than 57 countries in Finland, the US, the UK, Spain, Luxembourg, and Poland. Our team is a tight-knit group of experts from areas including engineering, software development, and radar technology. We're innovative, driven people who strive for excellence in everything we do. Being advocates of our corporate culture, we value teamwork and curiosity, and we know how to have fun!What do we do? ICEYE is building and operating its commercial constellation of small Synthetic Aperture Radar (SAR) satellites with SAR data available to customers. Our satellites acquire images of Earth at any time - even when it's cloudy or dark - providing commercial and government partners with unmatched persistent monitoring capabilities. Information derived from our SAR images helps customers make data-driven decisions to address time-critical challenges in various sectors, such as maritime, disaster management, insurance, and finance.What are we looking for?To support the company's growth, we are looking for a ""Software Engineer"" to join our Flight Software team. You will report to the Flight Software Applications Team Lead in this position.ResponsibilitiesBe the lead developer for the application layer components of our satellitesProduce clean, robust and understandable codeCollaborate with other team members to design and define the application architecture for our satellitesCollaborate with other team members to ensure our development and testing environment produces high quality Flight Software productsMentor the other members of the teamRequirementsYou are an experienced professional with 5+ years in software developmentYou are a great C++ and Python developer, familiar with the latest featuresYou have experience with embedded LinuxYou are self-driven and autonomous, but also a great team playerYou have experience in E2E system developmentYou have been working with communication protocols and messaging systems used in distributed systemsYou have experience developing software for constrained environments such as IoT, robotics, and/or automotiveYou are well versed in event-driven architectures, asynchronous techniques, concurrency, communication protocols, and constrained environmentsPreferredTechnical degree (computer science, engineering, mathematics)Experience in working in a lead developer roleBenefitsA job that matters in a dynamic New Space environment with a scale-up approachAn independent role with a supportive and diverse work environmentOccupational healthcare, occupational and private insuranceA yearly benefit budget to spend as you wish (i.e. on sport, transport, bike benefit, wellness, lunch, etc.)Phone subscription with iPhone of choice Relocation support (i.e. flight tickets, accommodation, relocation agency support)Time for self-development, research, training, conferences, or certification schemesFinnish & English lessons Inspiring and collaborating offices and silent workspaces enable you to focusA wide variety of the best coffee, tea, snacks, and sweets to accompany your daily space missionDiversity & inclusion are core values at ICEYE. We are passionate about building and sustaining inclusive and equitable working and learning environments for all staff. Every member of our team enriches our diversity by exposing us to a broad range of ways to understand and engage with the world, identify challenges, and discover, design, and deliver solutions.Could this be the role for you? Apply now to start your journey with ICEYE.We are making the impossible possible together.ContactRavi Chettyravi.chetty@iceye.fi","https://fi.linkedin.com/jobs/view/software-engineer-at-iceye-3688395927"
"Enkora Oy","Backend Software Developer","Entry level","We are looking for a passionate software developer to join the Enkora team. You will create awesome products and features used by tens of thousands of people on a daily basis. If you enjoy independence, creativity and a lot of responsibility, this could be your dream job!Enkora is the leading provider of modern customer service solutions in Finland. Our software and hardware products help our customers to sell their services, accept payments, control access, manage reservations of resources, and self-service for end-users. Every year, over 10 million customer visits are managed by our systems all around Finland. We build web-based, desktop, mobile and embedded software, design hardware and we even do some electronics!Just as we don't stop innovating with our products, we also have modern approach with development: the development environment has been well containerized, automated tests are running at every commit: unit tests, integration tests and static code analysis.Minimum Requirementsadvanced experience in PHP developmentadvanced experience in SQL queries (we're using MySQL)enjoy improving / refactoring legacy code in addition to writing newNot required, but nice to havecontinuous integration / automated testing experiencenot afraid of frontend: js/ts, html cssWe offer a full-time job in Kalasatama, Helsinki (right next to the metro!)Team of awesome international colleaguesPossibility to grow and learn new thingsFreedom to plan your workSmall team, your work will have a big impact on the final productCompetitive salary and benefitsPlease provide examples of your projects and code, and your salary expectations. Also send in links to your profiles on LinkedIn, StackOverflow, GitHub, etc.Any questions? Contact Artem (CTO) at artem[at]enkora.fi, 0407606484 or through Facebook / LinkedIn (in English).","https://fi.linkedin.com/jobs/view/backend-software-developer-at-enkora-oy-3312508519"
"Nigel Frank International","Software Developer","Entry level","Open Application For Software DevelopersAre you a Software Developer or a Software Architect looking for a new role going into the second half of the year?I am actively working with multiple companies based in Finland that are seeking talented Developers and Architects to strengthen their teams going into August so that they can meet project demands.We work with a variety of different clients both from Consulting and In-house development backgrounds meaning depending on your preference we have something for you!Below is the core skills and job titles we are actively recruiting for throughout July, please note that start dates are flexible so if you are currently enjoying some much-needed vacation right now please still feel free to apply to the advert below and we can have a call to discuss what your preferences are and what the best timelines will be for you:Core skills (if you specialize in any please reach out) .NET/C# Azure AWS Modern frontend (React, Angular or Vue) Dynamics 365 CRM or ERP. BI & Data (Data warehousing, Databricks, ETL etc.) Java/Opensource technologies. UI/UX. DevOps. Much more!Skills & Qualifications Residency in Finland (This is a MUST) Finnish Speaking (Preference) Relevant Degree in the IT space.If you match the description of any of the points above I would love to hear from you, alternatively if you currently know anyone in Finland who is seeking a new opportunity within the IT sector please email me at r.breeze@nigelfrank.com.","https://fi.linkedin.com/jobs/view/software-developer-at-nigel-frank-international-3665775884"
"Target Vision Oy - Executive Search & Recruitment Tailor Made Solutions in Finland and International","SW Developer","Entry level","We are looking for a Machine Learning SW expert to improve our deployment from Python to mobile runtime stream. This work focuses on exporting the developed ML models from Python development environment to our mobile runtime environment (C++). There are two main areas of focus, model export to mobile format and then mobile ML model execution on device. This requires compilation and integration into our software product’s runtime environment.The work includes evaluation of ARM NN SDK (C++) features regarding Onnx and TFLite support and limitations as well as performance evaluation on converted models. A study on the workload for runtime conversion of PyTorch in Android AOSP environment is needed. Also, the work effort required for maintenance (version updates) and dependency identification is part of this work. An important part of the work consists of integrating ARM NN SDK into our existing C++ implemented solution. This includes changes required to make our SW product’s SDK API and its compilation and testing with our ML models suitable. The goal is to ensure modest workload for version updates with automation of testing and compilation, especially in Android Open Source Project (AOSP) project.The most important part of the work is PyTorch -> mobile conversion and runtime environment design and implementation. The current implementation flow from TensorFlow to TFLite model in TFLite runtime is to be changed to a flow from PyTorch to mobile optimized model. This work includes selection of suitable format at Python level (e.g. Onnx, TFLite, PyTorch mobile optimized) as well as evaluation and creation of conversion path from PyTorch to target format. There are several options, each with different constraints related to e.g. quality or predictable execution speed. Also, model optimization, such as quantization, is needed as part of the conversion flow. Compilation and integration against our SW product’s SDK API and testing with our ML models is to be done to verify the conversion.The recommended locations are Tampere or Espoo. The assumption is that most of the work can be done remotely, but network access requires a laptop managed by the client. We will provide the devices required for the work.We estimate that a skilled expert could complete this work by the end of 2023, if the start would be in August.After successful completion of this project, there may be new needs for a possible follow-up project.Skills and qualifications required Strong practical experience in Maching Learning development workflow Deep understanding of Onnx, TFLite and PyTorch ML development environments Good understanding of common DNN models model architecture and their parameters in each target ML development environment Excellent C++ SW development skills Understanding of Android AOSP Build engineering skills (CMake, Soong/Bazel for AOSP) Experience with ARM NN SDK Experience in implementing and testing ML-based solutions on ARM with Android OS and HW device Very good general software development skills with experience in using GitLab/GitHub and CI/CD","https://fi.linkedin.com/jobs/view/sw-developer-at-target-vision-oy-executive-search-recruitment-tailor-made-solutions-in-finland-and-international-3699967326"
"Canonical","Software Engineer - App Stores Backend (Remote)","Entry level","SummaryThis is an exciting opportunity for an experienced software engineer passionate about open source software, Linux, and Web Services at scale. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, a growing international software company.Canonical's Store team develops and operates the backend services that power the Snap Store and Charmhub.io marketplaces. Our services are built primarily in Python, within a bit of Golang. If you have a passion for clean APIs, have a bias towards shipping and believe that tests are the key to higher velocity and reliability, you'll fit right in.We have some exciting challenges ahead including continuing to scale our production architecture, expand the store backend to handle additional package types, and enhance our on-prem offering for IoT and Enterprise solutions.What You'll DoCollaborate remotely with a globally distributed team. Write clean web service APIs to support both CLI and web frontend clients, using Python (and optionally Golang). Design and implement new features and enhancements from spec to production and ongoing operations at scale. Review code and technical designs produced by other engineers. Discuss ideas and collaborate on finding good solutions. Work remotely with global travel 2 to 4 weeks for internal and external events. Who You AreYou love technology and working with a diverse set of talented people. You are curious, flexible, articulate, and accountable. You value soft skills and are passionate, enterprising, thoughtful, and self-motivated. You have a broad technology base but favor backend code and infrastructure. You have proficiency developing public-facing APIs and web applications, preferably using Python and/or Golang. You know your way around relational and non-relational databases and can effectively design data models that perform well, and tune queries to access them. You are comfortable with Ubuntu as a development and deployment platform. You have a Bachelor's or equivalent in Computer Science, STEM or similar degree. About CanonicalCanonical is a growing, international software company that works with the open-source community to deliver Ubuntu -- the world's #1 cloud operating system. Our mission is to realise the potential of free software in the lives of individuals and organisations. Our services are helping businesses worldwide to reduce costs, improve efficiency and enhance security with Ubuntu. Canonical is a unique tech company - global, remote-first, open source, with 700 professionals across 50 countries - we want to be the world's best, not biggest, global software company. With almost every team remote by default, Canonical sets the pace on the 21st-century digital workplace.What Canonical offers:Work from homeLearning and development allowancesCompetitive SalaryAnnual compensation reviewRecognition rewardsGenerous annual leavePaid maternity, paternity and sick leavePriority Pass for travelExposure to international business and technologyWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.#stack","https://fi.linkedin.com/jobs/view/software-engineer-app-stores-backend-remote-at-canonical-3726120617"
"Frends Enterprise iPaaS","Software Developer | 44-69K  🇫🇮","Entry level","Tule sukeltamaan integraatioiden ja APIen pariin ja pyörittämään maailmaa kanssamme 🌍 Teemme työtä, jolla on aito merkitys - ilman integraatioita maailma ei pyörisi. Töitä tehdään omissa Frends-tiimeissä - opit tuntemaan kollegasi, tiimihenki on vahva ja saat tekniset asiantuntijat ympärillesi.Kehitystyö onnistuu joustavasti ja saat myös itse päättää, mistä päin Suomea työsi teet. Meillä on oma, kehittyvä integraatioalusta Frends - tuotekehitystiimi on vieressä ja vastaa kun kysyt.Olemme vakaa, järkevästi kasvava ja moderni integraatiotalo - pääset kehittymään turvallisessa ympäristössä.Laajasta asiakaskunnastamme löydät kansallisesti ja kansainvälisesti tunnettuja yrityksiä eri toimialoilta, jotka johtavat mielenkiintoisiin ja mielekkäisiin projekteihin ja erilaisiin tekniikoihin (mm. Aalto Yliopisto, Lähitaksi, St1). ""Integraatiopuolella rajapinnat ja teknologiat kehittyvät ja muuttuvat jatkuvasti, eli meillä saa koko ajan tutkia ja oppia uutta. Täällä näkee myös hyvin mielenkiintoisesta näkökulmasta oman integraatioalustamme kehittymistä.” -Jura, Integration Developer.➡️ Integraatiokehittäjän rooliin voit tutusta lisää blogeistamme:Integraatiokehittäjä vaikuttaa yhteiskunnan ydintoimintoihin tiedonkulun kauttaIntegraatiokehittäjän arki🏆 Tarjoamme Kilpailukykyisen palkan riippuen kokemuksestasi 44-69KMahdollisuuden kehittää ja laajentaa omaa osaamistasi mielenkiintoisten ja merkityksellisten projektien parissa  Mman, kehittyvän integraatioalustan Frendsin, joka on saanut tunnustusta kansainvälisessä 2023 Gartner® Magic Quadrant™ -tutkimuksessa  Joustavan työnantajan joka tukee erilaisissa elämäntilanteissa, (mm. lapsiperheet)  Päteviä työkavereita, oman mentorin ja tukea antavan esihenkilön Turvallisen, vakaan ja kasvua uhkuvan työpaikan start-up henkisellä otteellaMatalan hierarkian ja kevyen, joustavan ja rennon organisaatiokulttuurin Kattavat edut (esim. online-oppimisalustat, mahdollisuus suorittaa sertejä, laaja työterveyshuolto ja sairaskuluvakuutus, lastenhoitopalvelu, lounasetu- ja kulttuurietu, kulttuuri- ja liikuntakerho)Rennon ilmapiirin ja mukavaa toimintaa yhdessä💻 TeknologiatErikoisuutenamme on oma integraatioalustamme Frends, jota käytämme useimmiten projekteissamme. Frends on täysin suomalainen low-code, hybridi-integraatioalusta. Tuotteen tuoreimmassa inkarnaatiossa käytetään moderneja teknologioita ja pilvipalveluita. Frends on pohjautuu C#:iin ja pyörii Azuren päällä.Frends on saanut tunnustusta kansainvälisessä 2023 Gartner® Magic Quadrant™ -tutkimuksessa, Integration Platform as a Service -kategoriassa. Gartner arvioi kansainväliset iPaaS-toimijat niiden vision sekä suorituskyvyn pohjalta.➡️ Lue, millaista Frendsillä on tehdä kehitystyötä blogistamme ja katso myös lyhyt demo-video. Voit myös tutustua Frends Akatemian ilmaiseen oppimispolkuun ""L0 Getting Started"" ja nähdä, mistä Frendsissä on kyse.Töissämme pääset tutustumaan myös Azuren eri teknologioihin kuten Machine Learning ja Data Factory. Taikasanoja töissämme ovat REST, JSON, XML, XSLT ja SQL. Tuntemus API-arkkitehtuureista, API Managementista, GraphQL:stä ja LINQ:sta ovat asioita, joita arvostamme - ja joita pääset oppimaan.🧐 FrendszoneLyhyesti kuvattuna, olemme IT-konsulttitalo ja palvelemme hyvin monenlaisia asiakkaita laidasta laitaan niin yksityisellä kuin julkisella sektorilla ja useilla eri toimialoilla (asiakkaina mm. Aalto-yliopisto, Lähitaksi, Eltel, S-Pankki, Turku Energia, Raisio).Frendsissä on noin 200 asiantuntijaa, joista reilu 100 toimii omissa pienkonsulttitiimeissämme. Tiimeissä on kehittäjiä, arkkitehtejä, palvelupäälliköitä ja projektipäälliköitä. Osa kehittäjistä on keskittynyt täysin kehitystyöhön, osa tekee tämän lisäksi esimerkiksi määrittelyä, kouluttamista tai myynnin tukea. Kuuntelemme tekijöitämme ja pyrimme muokkaamaan roolia ja urapolkua jokaiselle mieluisaksi.➡️  FAQ-blogissa vastaamme yleisimpiin kysymyksiin, joita keskusteluissa on herännyt. Arjestamme voit myös lukea lisää täältä. Arvoista ja kulttuuristamme kerromme lisää täällä. Panostamme myös perehdytykseen ja tuemme sinua.⭐ Miltä kuulostaa?Jos mielenkiintosi on herännyt, toivomme, että kohtaamme! Voit olla meihin näppärästi ja nopeasti yhteydessä ilman CV:tä ja tarkennellaan yhdessä lisää. Jätä yhteystietosi meille hakulinkin kautta (esim. LinkedIn-profiilin avulla) tai lähetä mailiosoitteesi meille tästä, niin olemme sinuun yhteydessä.Kaipaatko lisätietoja ja haluat jutella lisää? Olethan yhteydessä suoraan Jesseen, jesse.heinonen@frends.comRekrytointiprosessimme on nopea, avoin ja informatiivinen. Voit lukea prosessistamme lisää täältä. Aloitus on sovittavissa joustavasti tilanteesi mukaan ja työnteko onnistuu ympäri Suomea. Roolissa vaaditaan sujuvaa suomen kielen taitoa.Mitä maailmamme olisi ilman integraatioita? 🌎Raha ei liikkuisi. Ihmiset jonottaisivat pankkikonttoreissa maksamassa laskuja ja nostamassa rahaa.Tavaratilaukset hoidettaisiin yhä puhelimella.Laivat eivät pääsisi satamiin ilman ennakolta lähetettyjä tulli-ilmoituksia.Sähkömittarit luettaisiin käsin.Vanhat järjestelmät vanhenisivat ennen aikojaan, jos niiden päälle ei integraatiokeinoin pystyttäisi rakentamaan moderneja käyttöliittymiä.Tutustu meihin lisää blogeistamme.","https://fi.linkedin.com/jobs/view/software-developer-44-69k-%F0%9F%87%AB%F0%9F%87%AE-at-frends-enterprise-ipaas-3664574114"
"Canonical","Golang/C Software Engineer - Backing store for MicroK8s","Entry level","We are hiring a software developer to focus on MicroK8s' backing store, a specialized distributed database designed on top of dqlite, Canonical's distributed SQL database. As a member of the Kubernetes team, you will design and implement features and enhancements to the backing store, become a dqlite specialist and optimize its use in the context of Kubernetes.You will gain familiarity with the latest features in Kubernetes and look to incorporate the best of open-source for our end-users. You will collaborate with industry peers and partners to bring the right solutions to our customersThis is an exciting opportunity for a Software Engineer passionate about open source, Linux, C, Golang, SQLite and Kubernetes. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, the growing international software company behind Ubuntu.What you'll doDesign and develop features and enhancements to MicroK8s' backing storeOptimize MicroK8s' backing store performanceIdentify and describe potential feature requests for dqlite Engage with the open source community and commercial partnersWork from home with global travel 2 to 4 weeks for internal and external eventsWho you areYou have C/Golang programming experienceYou have experience with key/value and SQL databasesYou have experience with KubernetesYou have strong written and verbal communication skillsYou have a Bachelor's or equivalent in Computer Science, STEM or similar degreeExperience with consensus algorithms (preferably with Raft) is a plusCanonical is a growing international software company that works with the open-source community to deliver Ubuntu, the world's best free software platform. Our services help businesses worldwide to reduce costs, improve efficiency and enhance security with Ubuntu.We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.#Stack","https://fi.linkedin.com/jobs/view/golang-c-software-engineer-backing-store-for-microk8s-at-canonical-3673793259"
"Jefferson Frank","Software Developer- Finland- up to 6000€/pm","Entry level","My client is seeking Software Developers to join their existing team, working on various projects serving both the public and private sectors. This includes banking, insurance, forestry, administration, trade and logistics, telecommunications, and media. They have hundreds of software development projects underway, from which they will find the one that best suits your professional development and interests.Tech StackThey're looking for experience with some of the following: Java / Spring / JavaEE / JavaScript / Typescript / Angular / React / Vue / Nodejs / AWS / Azure / GCP*You must be able to speak Finnish and English fluently and comfortably*You have the opportunity to work on long-term and stable projects and influence your own work image. They enable you to have good opportunities for progress and development. In return for your hard work, there are many incentives including a competitive salary and work-life balance, daily refreshments, free parking, and hobby clubs.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/software-developer-finland-up-to-6000%E2%82%AC-pm-at-jefferson-frank-3675151882"
"Yousician","Web Developer","Entry level","JOIN YOUSICIANYousician impacts and enriches the lives of millions of people by empowering them to play music they love, learn something new, and nourish their well-being with something meaningful. We merge music and tech to amplify the everyday. We reimagine the way people learn to play instruments so that everyone can play.And, you don't need to be a musician to join Yousician!We’re a band of passionate professionals who love what they do, are great at it, and move to the beat of the same drum. We’re for all players — from newbies to seasoned pros. If you are looking for a rewarding career opportunity that helps shape the future of music-tech, you’re at the right place!WHY YOU SHOULD APPLY As a Web Developer at Yousician you'll be at the forefront of developing our main user-facing website, which directly influences the experience of millions of people.You’ll have the chance to shape the web interfaces that help our aspiring users discover and experience our brand and products. Your skills and creativity will play a pivotal role in enriching the lives of millions of aspiring musicians worldwide.At Yousician, we believe in pushing boundaries and setting industry standards. We encourage you to bring fresh ideas to the table and implement them using the newest technologies. We are committed to maintaining an industry-leading web presence, and your contribution will be instrumental in achieving this goal.In addition to the exciting projects and opportunities for creative expression, you'll be part of a collaborative and multidisciplinary team that has your back. We foster a supportive work environment where teamwork is valued and celebrated. Your colleagues will be there to support you, share insights, and collaborate on finding the best solutions and implementing them.What You Will DoAs a Web Developer, you’ll have the opportunity to :Create and maintain websites and web applications together with designers, marketeers, product managers and other professionalsInvestigating and implementing new technologies to build web pagesInvestigate and implement new technologies to enable delightful and useful user experiences on the webImprove tracking and performance measurement capabilitiesEnsure performance measurement and analytics capabilities that help us understand the impact of our work together with the team and stakeholders from data engineering and analyticsEnable localising our content to reach millions of non-english speakers around the worldParticipate in exploring completely new web experiences, such as interactive music tools and mini gamesOpportunity to work with internal products & toolingTechnologies that you will be using : React, Next JS, Web Assembly, Wordpress / AWS (EB, CloudFront, EC2), Docker, Kubernetes, Mongo, MySQLWhat You Need To SucceedLong proven experience in ReactExperience in Server-side rendering Experience with Wordpress is a plusGood communication, a team-player, and proactiveness to drive projects forwardExperience with Search Engine Optimization practices A keen eye for designWhat We OfferYou’ll have an opportunity to join our international team, backed by the top VC’s and competing with the best education applications in the world You'll have a meaningful and profound impact on the lives of millions of musicians and future musicians all around the world. You’ll get to work with a passionate and friendly growing band of PMs, designers, developers and data scientists. You'll get a competitive compensation package - salary, perks- and work in an awesome office in the heart of Helsinki. How To ApplySend us your application and CV (in English). Let's make the world a more musical place together! #rockonAbout UsYousician is the world’s largest music-tech company, with millions of users worldwide. Based in Helsinki, Finland, Yousician is home to the category-defining Yousician and GuitarTuna apps. Yousician, the #1 platform to learn and play music, makes learning fun, easy, and more accessible for everyone. Yousician’s innovative, award-winning technology listens to you play and gives instant feedback. With interactive, gamified lessons and songs, and courses by world-famous artists like Metallica and Jason Mraz, Yousician empowers people to play music they love. GuitarTuna, the #1 tune-and-play app (iOS, Android, WP), has won numerous international business awards, including WIRED’s hottest Finnish start-up, SXSW, Midem, Launch.edu, and educational awards such as Sunday Times 'World's best apps' and Best European Learning Game. Today Yousician employs 140+ professionals from nearly 30 nationalities. We're hiring, so come join our amazing team and help us make the world a more musical place!CANDIDATE PRIVACYHere at Yousician, we take your privacy seriously. We only process your personal data for recruiting purposes. You can read more about candidate privacy in our Privacy Notice.","https://fi.linkedin.com/jobs/view/web-developer-at-yousician-3659099445"
"Canonical","Software Engineer - Industrial IoT","Entry level","This is an exciting opportunity for a software engineer passionate about open source software, Linux, edge computing, and IoT. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, a growing international software company.Your role will be to help us provide easy to deploy, secure, and customizable industrial edge solutions. You will work on designing and implementing applications that run on constrained IoT devices to powerful gateways. Embedded systems and Linux will be at the core of your everyday challenges.In our team we value collaboration, peer reviews, good integration/unit testing and writing maintainable code. General knowledge and experience with Linux as a developer platform is required.What You'll DoCollaborate proactively with a distributed teamDevelop and maintain open source IoT application packagesDebug issues and produce high quality code to fix themReview code produced by upstream and/or other engineers at CanonicalDiscuss ideas and collaborate on finding good solutionsExperiment with Ubuntu Core and showcase industry-grade IoT solutionsWork on Matter, the connectivity standard unifying smart homesContribute to the development of EdgeX Foundry IoT platformParticipate in IoT standardisation working group discussions and planning (Connectivity Standards Alliance, Web of Things, etc)Work from home with global travel 2 to 4 weeks for internal and external eventsWho You AreProven track record of at least 3 years of professional software development using Go or C++. You have experience working with RESTful APIs, MQTT or other messaging protocolsYou are familiar with wireless communication protocols such as WiFi, BLE, Zigbee, Z-Wave, and ThreadYou have interest and experience with a few of the following:Containers (docker, kubernetes)Linux distributionsSnap, debian, or RPM packagingShell scriptingCI/CD (Github Actions, Gitlab CI, etc)IoT frameworks and protocolsReal-time applicationsYou value soft skills, communication and advocacy, and are passionate, enterprising, thoughtful, and self-motivatedYou have a Bachelor's or equivalent in Computer Science, STEM or similar degreeCanonical is a growing international software company that works with the open-source community to deliver Ubuntu, the world's best free software platform. Our services help businesses worldwide reduce costs, improve efficiency and enhance security with Ubuntu.We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/software-engineer-industrial-iot-at-canonical-3704076637"
