"company","job-title","level","description","job-url"
"JobLeads","DevOps Engineer - fully remote (m/f/d)","Entry level","Your CrewYou will be part of a Tech Team that is passionate about tech, multinational and located in different countries. But still keeping up a great culture, spirit, and commitment. Always enjoying the exchange with team members both on a professional but also personal level, your start will feel as if you have been with us for ages - in positive sense of course ;-)As we are rapidly expanding around the globe, scalability and performance of our portal infrastructure is key to success. We are therefore looking for bright minds who love technology and strive for innovation together with us.Your Course - and what we expect from youMaintain the infrastructure of our web applications and services. Identify bottlenecks and optimize the performance and costs of our services and systems with latest technologies. Prepare our infrastructure to be ready to support our steadily growing user base around the globe. Improve our logging and monitoring solutions to deliver useful insights and identify potential issues before they become fires. Manage and optimize our deployment and release processes support our teams to set up CI/CD pipelines. Collaborate effectively with our development teams. Work in an international team with colleagues from all over the world. Your EquipmentFor this exciting position, we are seeking an experienced DevOps engineer with a solid background in designing, analyzing, maintaining and troubleshooting large-scale distributed system environments.4+ years of relevant large scale system operations experience. Expert in Linux system administration, including storage and networks. Experience with AWS and classic datacenter. Thorough knowledge of continuous integration and delivery. Experience in delivering infrastructure services in multiple countries. High quality awareness, responsibility, motivation and team spirit. Proficient knowledge of English. What you can expect on board:Just a short overview of the technologies we are working with and that you are familiar with:Our apps running on: PHP, Python, Golang, Apache2, Nginx, HAProxyDBs and Queues: MySQL (Percona), PostgreSQL, Redis, RabbitMQCloud: AWS (EKS, ECS, RDS, ELB, CloudWatch, CloudFront and many more)DevOps: GitLab, Kubernetes, Rancher, TerraformScripting: Bash, PythonMonitoring: Prometheus, EFK stack (elasticsearch/fluentd/kibana), Grafana, NagiosLinux (On premise, networking, file system, Docker)And besides that and meaningful daily challenge, the following awaits you when joining JobLeads:An international and diverse team of currently 80+ talented, passionate peopleAn amazing team spirit and the passion to improve our product every dayFlexible working hours and absolutely no bureaucracyA fully remote workplace with high flexibility - work-life-balance is not just a buzzwordChallenging tasks, fruitful interactions with your colleagues as well as plenty opportunities to bring in your own ideasBudget for conferences, training and moreVirtual team lunches, regular team events and most importantly our annual JobLeads Sailing-Week in the Mediterranean - already in planning for 2023 :-)","https://fi.linkedin.com/jobs/view/devops-engineer-fully-remote-m-f-d-at-jobleads-3727042143"
"FRG Technology Consulting","AWS Software Developer - Helsinki","Entry level","Position OverviewAs an AWS Software Developer, you will play a pivotal role in designing, developing, and maintaining AWS-based applications and services. You will work alongside a talented team of developers and engineers to build scalable and high-performance solutions that meet our clients' needs. Your expertise in AWS, IaaC, React, Node, and JavaScript will be key in driving the success of our projects.Key ResponsibilitiesDesign, develop, and maintain AWS-based applications and services.Implement Infrastructure as Code (IaaC) solutions to automate infrastructure provisioning and management.Collaborate with cross-functional teams to gather requirements and define technical specifications.Write clean, efficient, and maintainable code using React, Node, and JavaScript.Perform code reviews and ensure adherence to best practices and coding standards.Troubleshoot and resolve technical issues and bugs.Stay up-to-date with the latest AWS and web development trends and technologies.Participate in agile development processes and contribute to sprint planning and estimation.QualificationsProven experience as a software developer with a focus on AWS-based solutions.Strong proficiency in AWS services and technologies, including EC2, Lambda, S3, RDS, and others.Experience with Infrastructure as Code (IaaC) tools such as AWS CloudFormation, Terraform, or Serverless Framework.Proficiency in React, Node, and JavaScript.Familiarity with modern web development tools and libraries.Excellent problem-solving skills and attention to detail.Strong communication and collaboration skills.AWS certifications (e.g., AWS Certified Developer) are a plus.Due to customer demand this position is Finnish SpeakingReach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/aws-software-developer-helsinki-at-frg-technology-consulting-3733885239"
"Holvi","Cyber Security Engineer - 12 months fixed term contract","Entry level","DescriptionWe 💛 small businessWe founded Holvi in 2011, in Helsinki. As self-employed people wading through oceans of paperwork, we noticed something funny going on – traditional banks were giving us the cold shoulder. Why not help ourselves? We asked. And so, with time and effort (and lots of coffee), we mastered small business finance – and Holvi was born.Our vision is simple: Eliminate the distractions of financial admin and simplify work life, because running a business is hard enough. Small businesses shouldn’t have to worry about spreadsheets and lost receipts.Right now, we’re looking for a Cyber Security Engineer to join our team in Helsinki. If you want to help us make self-employment a little easier, Holvi is for you.Heading to summarise the positionAs a Cyber Security Engineer, you will focus on investigating company security issues, such as application and infrastructure vulnerabilities, CI/CD pipeline issues/improvements, and security of AWS services. You will work together with great teammates who are very knowledgeable in security and supportive of their colleagues.Your objective will be to think like threat actors and act like a blue team of defenders to protect the organization. You will have the opportunity to expand on your skills by taking on challenges to continue making security a business enabler of Holvi.A Typical Day Could See YouAssessing the impact of vulnerabilities released in the media and those found from VA scanning.Various security assessments e.g., audits, risk assessments, etc.Stakeholder engagements internally and externally.General asset management and security management of assets.Investigation of anomalies related to assets, security events and customer inquiries.Documenting security policies, processes, guidelines and procedures.RequirementsThis is for you if you:Have at least 3 years of experience in Cyber Security including system hardening, vulnerability scanning/management, SSDLC (SAST/DAST/SCA), security management, stakeholder management.You have a Bachelor’s degree (or higher) in Computer Science, Cyber Security, Information Technology or a related discipline.You have solid experience of security monitoring, detection, and analysis methodologies and technologies, including: network-based intrusion detection systems, endpoint and extended detection and response solutions, web applications, network firewalls, MDM, and SIEM.You have experiences with networking protocols and APIs.You have an in-depth understanding of the Cyber Kill Chain, OWASP, NIST, and ISO Cybersecurity Framework.You thrive in a fast-paced environment and love difficult security challenges.You are experienced in Python, SQL, and shell scripting.1-2 years of AWS security and configuration experience.1-2 years of experience in performing risk/threat assessments.Excellent teamwork skills.Excellent communication skills and writing skills in English (fluent).Mac OS, Jira, Confluence, Google apps, OWASP ZAP, Kibana, Github, Datadog.Following trends and news for Cyber Security.It's a Plus If YouCloud (AWS, CCSP, etc.)/security certifications (SSCP, Security+, CISSP, etc.).Experience in the financial sector (FinTech).Experience in triage/computer forensics.Experience in Business Continuity and Incident Response.You have a good understanding of PCI-DSS, PSD2, GDPR and other compliance and regulatory frameworks.BenefitsYou'll get:Flexible working – flexible working hours and possibilities for remote working.Comprehensive occupational healthcare.Work life balance – weekly exercise hour, bi-weekly breakfasts, bi-annual team weeks and more.LogisticsThis role is a full-time, 12 months fixed term (parental leave cover). You’ll be headquartered in our brand new office in Helsinki.We offer flexible working hours with core office hours between 10.00 and 15.00 local time – the rest is up to youThink you're a good fit?We’d love to hear from you! Send us your application by October 20, 2023 – but don’t wait too long as we will fill this role as soon as we find the right person.Equal Opportunity StatementAt Holvi, we embrace diversity in all of its forms and foster an inclusive environment for all people to live their best work life. This is central to our mission of promoting a healthy balance in all things we do.We're an equal opportunity employer. All applicants will be considered for employment without attention to ethnicity, religion, sexual orientation, gender identity, family or parental status, national origin, veteran, neurodiversity status or disability status.","https://fi.linkedin.com/jobs/view/cyber-security-engineer-12-months-fixed-term-contract-at-holvi-3733691850"
"FRG Technology Consulting","DevOps Engineer - Product House - Helsinki","Entry level","Qualities That We Are Looking ForA person that is able to carry a project from start to finish. The person should be a finisher by nature and able to work independently. The person should not be afraid to try new tools and walk on untouched ground. We are looking for a systematic person, who can bring structure and workflows to the sometimes chaotic nature of a startup. Automation is an acronym that sticks to the person.TasksAutomate deployment of Node v.18 Lambda functionsCreate dashboard in Cloudwatch to gain more insight into the use of our applicationMitigate security findings in the cloudHousekeeping and creating a healthy production environment.Elevate our CI/CD pipelines to next levelIdentify and set up quality gates that our SW should meet.Automate our deployment processCreate an awesome monitoring platform using Zabbix, where we can be at the forefront of problems.Need To HaveExperience using AWS services and IaaC.Experience using JenkinsAutomation/Monitoring tools like: Ansible, Packer, Zabbix etc.Experience developing in a Linux environmentPython and DockerNice To HaveExperience with embedded testing frameworks fx. LabgridAutomate VM creation using fx. Packer/vagrantUnit testing / integration testingReach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/devops-engineer-product-house-helsinki-at-frg-technology-consulting-3723943469"
"Canonical","Cloud Support Engineer","Entry level","This role is an opportunity for a hands-on engineer with a passion for Linux and cloud technologies to build a career with Canonical and drive the success with those leveraging Ubuntu and open source products.If you have an affinity for open source development and a passion for technology, then you will enjoy working with some of the best people in the industry at Canonical.The role of a Cloud Support Engineer at Canonical We regularly solve interesting, technical problems. From triaging complex Cloud environment issues, Linux kernel crashes we've never seen before to OS configuration issues and root cause analysis, we provide an expert level of support and satisfaction to our peer groups and customers.We are rapidly expanding and are looking for talented problem solvers with a passion for working on the next generation of Ubuntu solutions for our customers.Location: This is a globally remote role, unless specified otherwise.What Your Day Will Look LikeInvestigate issues reported by customers by researching and escalating issues Work to resolve complex customer problems related to Canonical's portfolio of products. Ownership of results: Ensure that each support case owned by you is handled according to our Service Level Agreement (SLA) with the highest possible customer satisfaction by setting the right expectations and fulfilling your commitments. Engage directly with customers and work collaboratively by phone, ticketing system, and remote sessions to resolve their issues. Participate in a regular weekend working rotation. Contribute new knowledge base articles and maintain existing articles, ensuring shared knowledge and lessons learned are available to customers. Understanding Ubuntu development process to be able to set customer expectations correctly on timeline for a fix. Background check requiredWhat Are We Looking For In You Excellent verbal and written communication skills in English. Hands-on experience supporting Linux systems including 2 or more of:Virtualization / Cloud - primarily using KVM or OpenStack. Containers - especially with Docker, LXD/LXC, or Kubernetes. Storage technologies - block, object and network. Networking (bonding, firewalling, bridging, switching, network file system tuning, MTU issues, etc.)Linux integration with other environments (authentication/directory services, network file systems, etc.)Cloud computing (provisioning, monitoring, orchestration, etc.)Troubleshooting experience:Basic reading of stack traces to be able to search for duplicates, escalate to the correct team. Understand OS and Application level bugs and advise on next stepsProgramming fundamentals in any language. Customer support experience:Customer needs are top priorityCommunicate clearly and set the right expectations. Ability to travelWhat We Offer YouYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits below, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/cloud-support-engineer-at-canonical-3734006106"
"IPRally","ML Engineer","Entry level","Are you up for the toughest AI challenges around graph neural networks? We have built a graph-based patent search engine with which our users find the documents that already contain their concepts. We are looking for an Machine Learning Engineer who can envision breakthrough-level ideas and follow them through with software engineering excellence. You will be working with the very core of the product - the search algorithm.We have converted 100M patent documents into 100M knowledge graphs, to compress the key information into simpler data for ML. It has been possible because of the semi-structured patent text. Patent documents also contain rich metadata like citations between documents, which are essentially labels for supervised training. All of this presents an opportunity to dive deeper into text understanding than even the LLMs from the tech giants.The current model we use is the Graph Transformer (read our blog about the graph transformer), so both the NLP transformers and the GNN models are relevant. We published a paper at the SIGIR 2023 conference about our general approach (read our paper).The daily work is done in a small hybrid team. Remote work is okay, but we expect to see each other at least once a quarter in person. There is also a separate team providing MLOps support.Technology stackPyTorch for search model developmentML services deployed as Python microservicesGoogle Cloud for computationRequirementsExcellence in applied deep learning, ideally also with GNNsA genuine eagerness to learnKnowledge about NLPStrong social skillsFluency in English, which is our company languageYou are located ideally in Finland, but at least you can work in European time zonesBenefitsA rare opportunity to join an early-stage, disruptive company that has a unique edge, ambitious plans, and an already proven record of success in a growing $2bn industryOpportunities to grow as we grow. We will help you be the best you can be in this role, and help you develop skills that will help you reach the next stage. You will work with a highly talented and supportive teamA compelling and competitive financial package and other benefits, including six weeks of holidayIn Finland, other benefits include for example lunch, sports and culture, and commuting benefits, extended occupational health care with dental care, and tools of your choosingNext stepsOur recruitment process consists ofA casual interview with our AI Team Lead Sebastian and Head of People and Talent Mari, in which we will discuss your background and check if our wishes align with yoursWe would like to see an example of your code. You can share your Github profile with us or do a code task if that’s what you preferA technical interview with Sebastian and an AI team member to dig deeper into your technical skillsA final call with our CTO JuhoSounds interesting? Send us an application now!About IPRallyIPRally will change the way of finding and categorizing patents. How? We have introduced transparent and reliable AI applications to the patent search, analysis, and classification process, which helps our customers save a lot of time, resources, and money. We are transforming the complex and tedious process of finding information that is crucial for our customers, but most importantly, we help innovative companies quickly find and act upon opportunities and drastically reduce risk.So, who are we? IPRally was founded in Helsinki, Finland in 2018. With a vision to automate tasks that steal resources from both inventors and patent professionals and help them achieve their goals faster, a completely new and ground-breaking way of searching for technical information was built. By modeling the technical content of patents, and processing this with cutting-edge, proprietary graph neural networks, IPRally gives customers highly relevant information at their fingertips, in seconds.","https://fi.linkedin.com/jobs/view/ml-engineer-at-iprally-3731373665"
"Cobblestone Energy","GRADUATE SOFTWARE ENGINEER - Dubai, UAE","Entry level","Employment type: Full-time & PermanentStarting salary of 55,000 USD per annum in a zero-tax environment (plus biannual performance-based bonuses)Job Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)About Cobblestone EnergyCobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways.Over the years we have grown organically. In light of our further ambitions to be the best in all markets we enter, we would like to welcome talented Software Engineers into our Tech team who have just started their careers and are and looking to take up challenging tasks and being a part of our growth story.Cobblestone Values: Lifelong learning with continuous reflection. Independent thinking through a meritocracy of ideas. The team is more important than the individualBeing the best in any market we enter. Hiring and keeping only the most effective people. Others must benefit from our existence. Job DescriptionAt Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. Being a member of our team, you will work on exciting challenges that come with large-scale data processing, automation, and analytics. We work in an agile and highly collaborative environment and challenge the norms of traditional business leadership. We are looking for enthusiastic and resourceful engineers who are passionate about building highly reliable and performance data processing solutions. Developing a strong domain knowledge of our industry over time is key to long term success in this role.This is a rare opportunity to take a leading role in the growth of a major player in the European Power Markets. We are looking for someone who would be committed to the long-term success of the business. We operate in the European Power markets, but our commercial trading operations are in Dubai, UAE.If you have excellent programming skills, strong problem-solving skills and a passion for developing/improving applications utilizing cutting edge technologies, then we would like to meet you.What We Offer In This RoleA full-time position on our Tech teamCommitted and remarkably talented colleaguesHighly competitive compensation dependent on performanceAn exciting, challenging and fulfilling careerAn opportunity to work on new things from scratch and make independent decisions. Investment in your development to ensure that you always remain the best in businessEquity participation for strong contributors, ensuring our interests are all aligned long termResponsibilitiesBe a key contributor to tech projects critical for commercial operationsWrite software applications and programs for backend/frontend purposesAnalyse programs and apps to improve their features and functionalities in collaboration with the commercial teamsTest & debug programs and fix any reported bugsUphold and live our cultural valuesRequirementsBS/BE in Computer Science/Computer Engineering or related fieldProgramming skills in Python languageFamiliarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etcStrong knowledge of REST APIs and webservicesStrong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server) and SQL languageStrong problem-solving and analytical skillsResilience and a determination to succeedPassionate, self-motivated, and fast learnerDesirable Experience/SkillsKnowledge of at least one popular Python framework (like Django, Flask)Programming skills in JavaKnowledge of NoSQL databasesKnowledge of AWSKnowledge of data visualization tools, mainly Tableau","https://fi.linkedin.com/jobs/view/graduate-software-engineer-dubai-uae-at-cobblestone-energy-3641766276"
"Jefferson Frank","Data Engineer- Helsinki- up to 5000€/pm + bonus","Entry level","Data Engineer (AWS)- Helsinki- up to 5000€/pm + bonusOur client is looking for a Data Engineer to join their team. You will be working for an organization that offers their customers maintenance and modernization services for railway and infrastructure in the Nordic and Baltic countries. With your work every day, you influence the daily lives and travel of hundreds of thousands of people and the movement of thousands of tons of cargo.The role You will be the only data engineer within the team to develop new report capabilities. The team that they are in has 2 MDM specialists and 2 Power BI specialists and you would be joining as the singular data engineer on the team. (There are other data engineers in other departments) They are looking to become more data-driven as they admit they aren't yet, and this is an exciting move to be part of as you will have the opportunity to make changes.Experience Experienced in the AWS Stack (S3 Glue, Lambda, Dynamo DB, Cloud Patch) is what they use SQL Python Experience DevOps Skills (Jira, Confluence, Jenkins) Fluency in Finnish Snowflake experience is a nice plusIn return Sports and culture support (200€ per year) Free train usage (travel benefits) Good work health services Holiday places for a discounted rate in Finland and abroad Flexible working hours and remote work possibility New office place in Pasila Helsinki, but the possibility to work also in other locations Up to 8% bonusMy client is looking to begin the interview process asap with limited interview spots this and next week, so don't miss out, apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialize in Mobile, Web, and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management, etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/data-engineer-helsinki-up-to-5000%E2%82%AC-pm-%2B-bonus-at-jefferson-frank-3671472986"
"Cobblestone Energy","GRADUATE SOFTWARE ENGINEER - Dubai, UAE","Entry level","Employment type: Full-time & PermanentStarting salary of 55,000 USD per annum in a zero-tax environment (plus biannual performance-based bonuses)Job Location: Dubai, UAE (We provide visa sponsorship & relocation assistance)About Cobblestone EnergyCobblestone Energy is an energy trading company specialising in the Great Britain and European wholesale electricity markets. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading.We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country, and growing every day. In doing so, we help to balance the electricity grid, lowering the cost to end consumers, and aiding the transition to a renewable future. Technology and risk management form the backbone of our business.At Cobblestone Energy, we are a diverse team of over 50 people from 20+ nationalities - we believe in hiring extraordinary talent from all around the world. Our flat organizational structure helps us in giving our team members complete ownership of the work and ensures ideas come from every level. We believe in providing unlimited growth opportunities to our people alongside constant feedback and support, which allows us to cover our vulnerabilities and grow as a team in new and interesting ways.Over the years we have grown organically. In light of our further ambitions to be the best in all markets we enter, we would like to welcome talented Software Engineers into our Tech team who have just started their careers and are and looking to take up challenging tasks and being a part of our growth story.Cobblestone Values: Lifelong learning with continuous reflection. Independent thinking through a meritocracy of ideas. The team is more important than the individualBeing the best in any market we enter. Hiring and keeping only the most effective people. Others must benefit from our existence. Job DescriptionAt Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. Being a member of our team, you will work on exciting challenges that come with large-scale data processing, automation, and analytics. We work in an agile and highly collaborative environment and challenge the norms of traditional business leadership. We are looking for enthusiastic and resourceful engineers who are passionate about building highly reliable and performance data processing solutions. Developing a strong domain knowledge of our industry over time is key to long term success in this role.This is a rare opportunity to take a leading role in the growth of a major player in the European Power Markets. We are looking for someone who would be committed to the long-term success of the business. We operate in the European Power markets, but our commercial trading operations are in Dubai, UAE.If you have excellent programming skills, strong problem-solving skills and a passion for developing/improving applications utilizing cutting edge technologies, then we would like to meet you.What We Offer In This RoleA full-time position on our Tech teamCommitted and remarkably talented colleaguesHighly competitive compensation dependent on performanceAn exciting, challenging and fulfilling careerAn opportunity to work on new things from scratch and make independent decisions. Investment in your development to ensure that you always remain the best in businessEquity participation for strong contributors, ensuring our interests are all aligned long termResponsibilitiesBe a key contributor to tech projects critical for commercial operationsWrite software applications and programs for backend/frontend purposesAnalyse programs and apps to improve their features and functionalities in collaboration with the commercial teamsTest & debug programs and fix any reported bugsUphold and live our cultural valuesRequirementsBS/BE in Computer Science/Computer Engineering or related fieldProgramming skills in Python languageFamiliarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etcStrong knowledge of REST APIs and webservicesStrong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server) and SQL languageStrong problem-solving and analytical skillsResilience and a determination to succeedPassionate, self-motivated, and fast learnerDesirable Experience/SkillsKnowledge of at least one popular Python framework (like Django, Flask)Programming skills in JavaKnowledge of NoSQL databasesKnowledge of AWSKnowledge of data visualization tools, mainly Tableau","https://fi.linkedin.com/jobs/view/graduate-software-engineer-dubai-uae-at-cobblestone-energy-3641761747"
"Jefferson Frank","AWS Data Engineer - Remote - Finland","Entry level","MUST BE LOCATED IN FINLANDJob DescriptionA couple of our clients are looking for AWS Data Engineers in Finland to work on their Greenfield and Brownfield projects. As there are multiple projects the possibilities are great, as you can either choose models a full base option or a billable hour option, which can increase your income drastically. If you want to continue developing yourself with paid certification, these are being offered by them to continue your own development.Skills & Qualifications AWS S3, Airflow, Spark Glue, ETL, Kinesis, Athena, Lambda Python Data AnalysisBenefits Competitive salary Unreal benefits packageThis is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs","https://fi.linkedin.com/jobs/view/aws-data-engineer-remote-finland-at-jefferson-frank-3659944342"
