"company","job-title","level","description","job-url"
"Bayer","Content Creator","Entry level","At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where, 'Health for all, Hunger for none' is no longer a dream, but a real possibility. We’re doing it with energy, curiosity, and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.We are currently looking for a creative, innovating and problem-solving Content Creator to join us during a 12-month temporary employment in our Nordic Marketing and Sales Operation Chapter within Bayer Pharmaceuticals. The position is based in Espoo, Finland.As a Content Creator you will lead and update the Content Creation in collaboration with the Campaign Lead. As a part of the role, you will ensure that high standards are applied when creating and uploading content. To succeed, you will need to have an eye for design and knowledge of what ‘good’ content looks like. It's important that you can monitor environmental trends and needs from customers, and by that ensure that creativity will play a major role and that customers’ needs will be prioritized.Your Tasks And ResponsibilitiesEnsure the Campaigns are executed effectively at the country level in collaboration with the Country Manager, Customer Engagement Team Lead and Medical Team. Foster bidirectional communication between the Nucleus Campaigns and the target Country. Collaborate proactively with local squad teams ensuring alignment, collaboration, and co-creation with all cross-functional team members. Customize Campaigns to suit country requirements. Confidently utilize all relevant functionality within eWizard (email tool) to create, edit, and publish new content, including tagging of content modules with core messages, based on briefings and guidance from Campaign Owner & Content Lead. Conduct testing of eWizard assets across devices and ahead of release. Lead the coordination towards creative agency (if needed) and Content Studio to efficiently manage content through the localization process. Collaborate with Campaign Lead by providing early visibility of content production needs, helping them to plan the production pipeline for the market. Plan the production pipeline for the market and highlight content production needs. Be an expert in Content Factory, our library platform where content is uploaded, approved and archived. Design and produce print- and digital assets, like brochures and banners, preferably by using tools within Adobe Cloud. Who You ArePrevious experience in content creation and digital marketing across various channels, especially email/newsletter and website. Proficiency with the Adobe suite, including either Photoshop or inDesign. Experience with moving images is a bonus, such as After Effects and/or Premier. You are digitally savvy and a quick learner of digital content creation tools. Ability to incorporate performance and user insights into content creation. Strong communication and collaboration skills, with the ability to interact effectively with diverse stakeholders and meet high expectations. Sound problem solving skills with the ability to quickly process complex information, and present it clearly and simply. Experience within a larger organization and in the pharma industry is considered as highly advantageous. Ability to utilize team collaboration to create innovative solutions efficiently. You are native in Finnish and fluent in English. In addition, Swedish language skills are considered an advantage. CONTACT DETAILS If you have any questions about the role, please don't hesitate to reach out to the recruitment consultant, Natasha Madlala by email natasha.madlala(at)staffpoint.fi or phone + 358 44 420 4228.Please submit your application along with your salary request in English by the 11th of October. We will review the applications on continuous basis. We reserve the rights to close the advert earlier.Bayer is an equal opportunity employer and welcomes applications from all individuals. You have a voice, ideas and perspectives and we want to hear them. Because our success begins with you. Be part of something bigger. Be you. Be Bayer.Functional area: Marketing and SalesSeniority level: Professional","https://fi.linkedin.com/jobs/view/content-creator-at-bayer-3724330290"
"Iron Mountain","Customer Care Associate II","Entry level","At Iron Mountain we protect what our customers value most, from the everyday to the extraordinary. We build customer value around the world with a passion for preserving the physical, transforming the digital, and respecting the environmental. We pioneered the industry for global records and information management and have established some of the best customer relationships in the industry with 95% of the Fortune 1000 companies among our 225,000 loyal customers. Here, you’ll bring your expertise and creativity to a workplace that thrives on continuous improvement. Here, you’ll be part of a global workforce that embraces the differences among us. And here, we’ll encourage you to Climb Higher for the benefit of our customers and each other. There is so much more, but enough about us. We can’t wait to hear about YOU.""Are you a quick learner and want to work in a creative environment? Do you have an interest in customer service and service?""Description :This role is a Hybrid role meaning you will be able to work part time from the office and part time from home. Furthermore, the role is a fixed term with possibility to transfer to a permanent role. For this role at Iron Mountain, you will work to provide exceptional customer service within the Finnish customer service department. Being the first point of contact for all customer enquiries, providing prompt and professional customer support, owning resolution or escalation as needed ensure total customer satisfaction. Answers customer phone inquiries, contacts all departments and investigates customer issues. Process orders received by phone or email while striving to deliver a world-class service in accordance with Service Level Agreements and Key Performance Indicators (KPIs).To fit the role, you must be a motivated person who shows enthusiasm and energy, uses positive language with customers and colleagues, can adapt to changes and be flexible in approach. Have pride and strive to be professional in all dealings with colleagues and customers. We strive to work with the promotion of inclusion and teamwork, a team player who always shows respect for customers and colleagues, pragmatic approach and can demonstrate good work ethic during all interactions in a fair and consistent manner. Furthermore, we work by acting with integrity, therefore it is important that the person is reliable, loyal and shows a high degree of integrity. Not least who can take ownership, which means taking personal ownership of customer issues while following all avenues to ensure a satisfactory outcome.Qualifications And KnowledgeYou have a relevant educational background or have previously worked in customer service or alternatively in the service profession and are used to working in systems. You have at least a few years of documented experience in service work and preferably within a global organization. It is advantageous if you have worked in environments with a wide range of technology, as well as experience in digital document management.Good written and oral communication skillsGood cooperation skillsFlexible and customer-orientedComputer literate - Microsoft Office/G SuiteThorough investigative skillsGood analytical skillsConfident at multitaskingBasic technical understandingCharacteristics/Traits:you are motivated and ""hungry""you are a curious team playeryou have a high work ethic and high delivery reliability/delivery abilityyou are solution-focusedyou have high work capacity and can handle stressyou are good at communicating both in writing and orally, in Finnish and EnglishForm of employment/Employment level:Permanent, Full time.Working hours and salary:Fixed term contract 36 months with possibility to transferred into a permanent employmentFixed Monthly salary.Day time.According to company policy as a hybrid workplace with remote and office workLocationFinlandOther information:ATTENTION! The selection work will take place continuously, which is why we recommend that you do not wait but that you make your application as soon as possible. Apply for the position by registering your CV and a personal letter already today.Category: Customer SupportIron Mountain Incorporated, founded in 1951, is the global leader for storage and information management services. Trusted by more than 225,000 organizations around the world in approximately 50 countries, Iron Mountain stores and protects billions of valued assets, including critical business information, highly sensitive data, and cultural and historical artifacts.Providing solutions that include information management, digital transformation, secure storage, secure destruction, as well as data centers, cloud services, and art storage and logistics, Iron Mountain helps customers lower cost and risk, comply with regulations, recover from disaster, and enable a digital way of working.Our Cores Values and Code of Ethics are our north star. They provide a solid base for how we do business and behave every day, so each one of us can experience exceptional.If you have a physical or mental disability that requires special accommodations, please let us know by sending an email to accommodationrequest@ironmountain.com. See the Supplement to learn more about Equal Employment Opportunity.Iron Mountain is committed to a policy of equal employment opportunity. We recruit and hire applicants without regard to race, color, religion, sex (including pregnancy), national origin, disability, age, sexual orientation, veteran status, genetic information, gender identity, gender expression, or any other factor prohibited by law.To view the Equal Employment Opportunity is the Law posters and the supplement, as well as the Pay Transparency Policy Statement, CLICK HERERequisition: J0065674","https://fi.linkedin.com/jobs/view/customer-care-associate-ii-at-iron-mountain-3723927074"
"Jefferson Frank","Backend Engineer - Helsinki - Remote - Product Company","Entry level","Must be located in FinlandJob DescriptionThe role itself has a 3-stage process. This opportunity is in a product company. You would be helping them to build smart solutions while using modern technologies such as typescript, serverless, docker, terraform. All of this would be done on top of the services that AWS offers. As the organisation and the product is growing there are plenty of possibilities to grow yourself within the company.Role & Responsibilities Practical experience building solutions on top of AWS infrastructure Mainly building with Typescript their Product - building new map features, IoT, Push Notifications Someone that has built or wants to be challenged of building reliable, maintanable and scalable solutions.Skills & Qualifications Typescript Node.js Lambda | MongoDB | Serverless AWS (Not mandatory - preference)Beneficial To Have Python GoLang GraphQLThis is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.","https://fi.linkedin.com/jobs/view/backend-engineer-helsinki-remote-product-company-at-jefferson-frank-3661893714"
"FRG Technology Consulting","Full Stack Developer - FinTech","Entry level","ResponsibilitiesDevelop, test, and maintain high-quality software solutions for both frontend and backend using a variety of programming languages and tools.Collaborate with product managers, designers, and other developers to understand project requirements and translate them into technical solutions.Design and implement scalable and efficient database structures and API integrations.Build responsive and visually appealing user interfaces using modern frontend frameworks.Participate in code reviews, troubleshoot and debug technical issues, and optimize application performance.Stay up-to-date with industry trends and best practices to continually enhance your skillset and contribute to the team's growth.QualificationsBachelor's degree in Computer Science, Engineering, or a related field (or equivalent work experience).3+ years of professional experience as a Full Stack Developer.Proficiency in frontend technologies such as HTML5, CSS3, JavaScript, and modern frontend frameworks (React, Angular, or Vue).Strong expertise in at least one backend programming language (Node.js, Python, Java, etc.).Experience with databases (SQL and NoSQL) and designing efficient data models.Familiarity with RESTful APIs, WebSockets, and other communication protocols.Solid understanding of version control systems (Git) and agile development methodologies.Excellent problem-solving skills and a passion for delivering high-quality software solutions.Strong communication skills to collaborate effectively with cross-functional teams.BenefitsCompetitive salary and performance-based bonuses.Flexible work arrangements, including remote work options.Comprehensive benefits package, including health, dental, and retirement plans.Opportunities for skill development and continuous learning.Engaging and inclusive work culture that promotes innovation and teamwork.Reach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/full-stack-developer-fintech-at-frg-technology-consulting-3693901138"
"Gold Group","Test Automation Architect","Entry level","Job title - Test Automation ArchitectSalary -  €70,000 - £80,000 + benefits including: bonus scheme private healthcare life assurance group income protectionsmoreLocation - Helsinki, Finland; hybrid workingCompany - They don't just build technology. They build hope.With our client, you will make a difference. Their growing software development engineering team has opportunities in the development and testing of new and existing products. Their product teams thrive in a scaled, agile environment. Architects, product owners, designers, and developers collaborate closely to rethink and reimagine, and they need your expertise to create software that is simple, elegant, and easy to use. We want to make sure that physicians spend their time fighting cancer, not software.Job ResponsibilitiesAs a Test Automation Architect your role is to be a hands-on visionaire, understanding not only Test Automation and DevOps, but having a strong understanding on SW development challenges as well. You will work with several engineering teams, raising the bar on quality and time to market.Understand current test automation landscape.Participating in implementing test automation tooling, processes, and standards across engineering teams.Participating in establishing and tracking metrics to assess product and test automation health.Brainstorming, designing, and implementing state-of-the-art cloud, hybrid, and edge test and verification environments together with the leading experts on medical physics applications. This includes maintaining and managing the test environments: deploying, testing, documenting and checking the pipelines.Integrating with other applications and smoke testing with them.Minimum QualificationsCandidate qualifications and experienceBachelor's degree in Engineering-related field.5 years of related experience in test automation, SW development, test environment maintenance and/or devOps-work.Kubernetes, Azure Devops, Github, CI/CD.Scripting with e.g. Python.Preferred QualificationsTest Automation -related tools, such as Selenium, and/or Cypress.Experience designing and developing automation frameworks for technology stacks that include combinations of the following: Angular, C#, Python, REST-based services, and containers.Experience working in a regulated business environment Services advertised by Gold Group are those of an Agency and/or an Employment Business.We will contact you within the next 14 days if you are selected for interview. For a copy of our privacy policy please visit our website.","https://fi.linkedin.com/jobs/view/test-automation-architect-at-gold-group-3717601271"
"Jefferson Frank","MLOps/Data Engineer - Helsinki - up to 6500€/pm + stocks","Entry level","Senior MLOps/Data Engineer - Helsinki - up to 6500€/pm + stocksOur partner has opened up a brand new MLOps Data Engineer role to join their growing SaaS start-up focusing on creating more agile and data-driven innovation processes.Responsibilities You will take strong ownership of their data, ML pipelines, and infra. You will be an individual contributor from the start of the data pipelines and machine learning productization. As you become more settled into the role, you will effectively lead a project coordinate technical work across the whole application stack, and effectively communicate with the product teamRequirements Technical experience: Python, SQL, AWS, and pulumi. Great communication skills both with technical and non-technical stakeholders Experience from at least two projects setting up data and/or machine learning infrastructure. High level of ambition, interest in growing professionally, and advancing career.There is a huge opportunity to grow within the company and be one of the biggest players in the field.My client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out, apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialize in Mobile, Web, and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management, etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/mlops-data-engineer-helsinki-up-to-6500%E2%82%AC-pm-%2B-stocks-at-jefferson-frank-3712002168"
"Jefferson Frank","Backend Developer","Entry level","Role Acting as a senior level developer as part of development team Developing and maintaining a reusable component library in Storybook based on atomic design principles Analysis, design and development with the mentioned technologies Effort estimation for own tasks Maintain high standards of software quality within the team Make projects research and expand the know-how of the team Communication with other team members and customers Reporting of the activities performedTech Solid working as Backend Developer with Node, JavaScript/TypeScript and REST APIs Experience with design systems/storybook Any AWS experience with cloud native development and understanding lambda-functions is a benefitKey Points In house product development, product used by millions of users on a daily basis (95% of Finns use their services) Very heavy on investment into the L&D side of things, every week there is weekly training courses within technologies. Opportunity to do certifications AWS Public Cloud User (AWS Expert Company) Long term Greenfield and maintenance work They use highly automated development tools & environment Modern technologies (Javascript / Typescript / Golang, Kotlin, Java and Python) Technologies vary from product to product, and you can actually influence, which technologies you use in whatever projectBenefits Brand New Office / Hybrid Working Work-life balance w/flexi days Diverse & International Community Partner benefit program Private Health Aunite - Wellbeing service Phone / Laptop Lunch / Sport vouchers Performance bonusMy client is looking to begin the interview process immediately so feel free to apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jason-upton-167479231/Email: j.upton@jeffersonfrank.comPhone: +358 75 3266673Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/backend-developer-at-jefferson-frank-3661264095"
"Target Vision Oy - Executive Search & Recruitment Tailor Made Solutions in Finland and International","Communication Associate","Entry level","Our client is a growing System Engineering and Solution Company, which offers services like Semiconductor Engineering R&D Services, Embedded Systems Development, Custom Application Software Development, Web and Cloud Application Development, Testing Services, Consultancy and Outsourcing services across the globe for an onsite and offshore business model. Company has presence in Sweden, Finland, Poland, Czech Republic and in India. They are now looking for a Communication Associate in Lund, Sweden to be part of their wireless team for a project, which will last for at least one year.You have the following qualifications and the experience:A Master’s degree in Electrical Engineering / Communications Systems or similar education.At least 10 years of experience in the wireless communication industry as a researcher or as a technical leader.Knowledge of the 3GPP functionality, physical layer aspects and experience of innovation and IPR.Up-to-date knowledge about the new research trends and an extensive academic network within the EU is a plus.A track record of successful and positive leadership.The following skills/personal characteristics are also required:A role model that can develop, empower and encourage team members.Communicate fluently in English, both verbally and in writing.","https://fi.linkedin.com/jobs/view/communication-associate-at-target-vision-oy-executive-search-recruitment-tailor-made-solutions-in-finland-and-international-3664542004"
"Prog-It","Microsoft Modern Workplace Specialist","Entry level","Have you been working a few years with different parts of IT-support, M365, Intune and client administration and feel locked down by permission or hierarchy and have ambition to do more?Join our team as a Microsoft Modern Workplace Specialist and play a pivotal role in maintaining, configuring, and operating our clients systems.In this position, you'll be responsible for ensuring that the availability for users, performance, application availability, and security is delivered to a high standard together with a valued team.You will coach customers on what they can do, how to do it, and what they get out of different digital work. You will also implement and configure the solutions, as well as continuously work with customers on improving and troubleshooting their Modern workplace environment.Does this sound like an interesting challenge? Apply now!As our Microsoft Modern Workplace Specialist, you will have the opportunity to: Work with implementing configuring and troubleshoot all aspects of our M365 delivery.Configure and maintain Azure AD identities and policies.Monitor logs using M365 Security Center.Install provision Manage endpoints and applications with Intune.Create, update, and enforce compliance & configuration policies.Deploy Microsoft Defender for Endpoint.Windows Autopilot Deployment to Automate device provisioning.Azure Active Directory Management, for example:Implement & Manage user and identity solutions with Azure AD & Entra.Configure Azure AD Identity Protection.At Prog-It we are an ambitious and hard-working team that enjoy working together to deliver a great service to our clients. To nurture ambition and talent we offer an inclusive workplace and everyday benefits and perks to maintain a healthy balance between delivery and well-being.To be a relevant applicant you need to have the following requirements:+3 years working with M365 management or a Modern workplace support role.Basic grasp of Microsoft 365 components, including Office 365, SharePoint, OneDrive, Teams, and Exchange Online.Basic awareness of Azure AD and identity concepts, covering user/group management, directory sync, and authentication.Familiarity with Microsoft Intune for endpoint management, software deployment, and security protocols.Exposure to cybersecurity principles, encompassing user access, data security, and threat awareness.Ability to diagnose common technical issues in M365 apps, endpoints, and connectivity.Willingness to learn and embrace evolving technologies and updates within the M365 environment.Education and Certifications:It is of merit if you have:A degree in computer science, information technology, or a related field.Any certifications such as MD-102 Endpoint Administrator, SC-900 Microsoft Security Fundamentals, or CompTIA Security+.To succeed at Prog-It, you are:Driven and engaged - You can have direct dialogue with our customers and guide them through the technical landscape on your own.Solution-oriented and understands system architecture at a high level.Communicative and possesses good teamwork skills.Furthermore, a driver's license is required.You should be able to express yourself fluently in speech and write professional texts in English and Finnish.Our offer:Varied and versatile work.Pleasant and interesting clients.You get to work with and in international teams.Competitive salary and bonus system.","https://fi.linkedin.com/jobs/view/microsoft-modern-workplace-specialist-at-prog-it-3710110126"
"Nigel Frank International","Integrations Specialist / Integration Architect","Entry level","Join a team of skilled and experienced professionals in ongoing and future integration projects with enterprise level customers!While working an exciting role, you will also be fully supported to develop to your full potential with paid certifications and dedicated training plans that are individually tailored to meet the needs of the business and your personal goals!Skills & Qualifications Frends, Frends iPaaS, iPaaS, Integrations, Finnish communication skills, Azure Logic Apps, SAP, Boomi, DellBoomi, Dell Boomi, MuleSoft, Azure, Mule Soft. All integrations tech backgrounds are welcomed! 2+ years of hands-on project experience required.Benefits Lucrative salary bonus, paid certifications, Health-care, Insurances travel/food/culture vouchers, PC equipment. Exciting projects with enterprise level customers, Internal growth.Get in touch to find out more!Jack Allen (he/him)Recruitment ConsultantPhone: +358 94 245 2358 (ext. 2358)Email: j.allen@nigelfrank.com","https://fi.linkedin.com/jobs/view/integrations-specialist-integration-architect-at-nigel-frank-international-3681596383"
