"company","job-title","level","description","job-url"
"Jefferson Frank","Embedded Developer","Entry level","My client is the leading European provider of RFID track and trace solutions. They're passionate about growing businesses by giving every item an identity using RAIN RFID technology.They're looking for a Senior Embedded Linux Developer who's primary task is the development of their devices' firmware with embedded Linux.Responsibilities and duties Embedded software development System development and improvement Participating quality controlling related tasks and code reviews SW requirements definition and documentation Develop and improve our way of working in embedded software areaQualifications Proficient in one or more compiled languages such as C/C++ Experience in development of low-level drivers Embedded Linux programming experience Experience with system integrations Knowledge of Realtime operating systems e.g. FreeRTOS Experience with the GNU toolchain (gcc, gdb, make, etc.) Excellent skills both in written and spoken English Self-driven person who balances this with good co-operation skills Minimum of bachelor's degree from technical or relevant studies with work experienceMy client is looking to begin the interview process immediately so feel free to apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jason-upton-167479231/Email: j.upton@jeffersonfrank.comPhone: +358 75 3266673Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/embedded-developer-at-jefferson-frank-3662937001"
"Jefferson Frank","Embedded Developer - Linux, RTOS, C/C++, Kernel - Helsinki","Entry level","Job Title: Embedded Developer - Linux, RTOS, C/C++, KernelLocation: Helsinki, Finland (Remote Work Across Finland Possible)About UsOur Client is a leading technology consultancy headquartered in Helsinki, Finland, with a global focus on IoT, Embedded Development, and Mobile solutions. They specialize in delivering cutting-edge technology solutions to clients worldwide and are renowned for our expertise in these domains.Position OverviewWe are seeking a talented Embedded Developer with a strong background in Linux, Embedded Development, RTOS, C/C++, and Kernel development to join their team. As an Embedded Developer, you will have the opportunity to work on a diverse range of projects and products while providing top-notch consultancy services to their global clientele.Responsibilities Collaborate with cross-functional teams to design, develop, and maintain embedded systems. Work on Linux-based embedded systems, real-time operating systems (RTOS), and kernel development. Implement and optimize C/C++ code for embedded systems. Troubleshoot and resolve hardware and software issues. Participate in architecture and design discussions. Contribute to the development of innovative IoT and embedded solutions.Requirements Strong experience in Linux, RTOS, C/C++, and Kernel development. Previous work on embedded systems and IoT projects. Excellent problem-solving and debugging skills. Familiarity with hardware design and integration. Ability to work independently and as part of a team. Fluent in Finnish (required) and English (a plus).Benefits Competitive salary starting at €4,000 per month, with a generous ceiling for exceptional candidates. Exciting and challenging projects that keep you at the forefront of technology. Opportunities for professional growth and development. Flexible remote work options, with hardware pickup where necessary. A collaborative and inclusive work environment. A chance to work with a globally recognized consultancy firm.How To ApplyInterested candidates who meet the above requirements are encouraged to submit their CV and a cover letter to s.cook1@jeffersonfrank.com . Please include ""Embedded Developer Application - [Your Name]"" in the subject line. Only successful applicants will receive a response.Our client is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We look forward to welcoming a passionate Embedded Developer to our team as we continue to drive innovation in the world of technology.Note: The salary mentioned is subject to negotiation based on experience and qualifications.","https://fi.linkedin.com/jobs/view/embedded-developer-linux-rtos-c-c%2B%2B-kernel-helsinki-at-jefferson-frank-3733309443"
"ICEYE","Software Engineer","Entry level","Who are we?We are a Finnish-based international New Space company with employees from more than 57 countries in Finland, the US, the UK, Spain, Luxembourg, and Poland. Our team is a tight-knit group of experts from areas including engineering, software development, and radar technology. We're innovative, driven people who strive for excellence in everything we do. Being advocates of our corporate culture, we value teamwork and curiosity, and we know how to have fun!What do we do? ICEYE is building and operating its commercial constellation of small Synthetic Aperture Radar (SAR) satellites with SAR data available to customers. Our satellites acquire images of Earth at any time - even when it's cloudy or dark - providing commercial and government partners with unmatched persistent monitoring capabilities. Information derived from our SAR images helps customers make data-driven decisions to address time-critical challenges in various sectors, such as maritime, disaster management, insurance, and finance.What are we looking for?To support the company's growth, we are looking for a ""Software Engineer"" to join our Flight Software team. You will report to the Flight Software Applications Team Lead in this position.ResponsibilitiesBe the lead developer for the application layer components of our satellitesProduce clean, robust and understandable codeCollaborate with other team members to design and define the application architecture for our satellitesCollaborate with other team members to ensure our development and testing environment produces high quality Flight Software productsMentor the other members of the teamRequirementsYou are an experienced professional with 5+ years in software developmentYou are a great C++ and Python developer, familiar with the latest featuresYou have experience with embedded LinuxYou are self-driven and autonomous, but also a great team playerYou have experience in E2E system developmentYou have been working with communication protocols and messaging systems used in distributed systemsYou have experience developing software for constrained environments such as IoT, robotics, and/or automotiveYou are well versed in event-driven architectures, asynchronous techniques, concurrency, communication protocols, and constrained environmentsPreferredTechnical degree (computer science, engineering, mathematics)Experience in working in a lead developer roleBenefitsA job that matters in a dynamic New Space environment with a scale-up approachAn independent role with a supportive and diverse work environmentOccupational healthcare, occupational and private insuranceA yearly benefit budget to spend as you wish (i.e. on sport, transport, bike benefit, wellness, lunch, etc.)Phone subscription with iPhone of choice Relocation support (i.e. flight tickets, accommodation, relocation agency support)Time for self-development, research, training, conferences, or certification schemesFinnish & English lessons Inspiring and collaborating offices and silent workspaces enable you to focusA wide variety of the best coffee, tea, snacks, and sweets to accompany your daily space missionDiversity & inclusion are core values at ICEYE. We are passionate about building and sustaining inclusive and equitable working and learning environments for all staff. Every member of our team enriches our diversity by exposing us to a broad range of ways to understand and engage with the world, identify challenges, and discover, design, and deliver solutions.Could this be the role for you? Apply now to start your journey with ICEYE.We are making the impossible possible together.ContactRavi Chettyravi.chetty@iceye.fi","https://fi.linkedin.com/jobs/view/software-engineer-at-iceye-3688395927"
"Canonical","Software Engineer - Industrial IoT","Entry level","This is an exciting opportunity for a software engineer passionate about open source software, Linux, edge computing, and IoT. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, a growing international software company.Your role will be to help us provide easy to deploy, secure, and customizable industrial edge solutions. You will work on designing and implementing applications that run on constrained IoT devices to powerful gateways. Embedded systems and Linux will be at the core of your everyday challenges.In our team we value collaboration, peer reviews, good integration/unit testing and writing maintainable code. General knowledge and experience with Linux as a developer platform is required.What You'll DoCollaborate proactively with a distributed teamDevelop and maintain open source IoT application packagesDebug issues and produce high quality code to fix themReview code produced by upstream and/or other engineers at CanonicalDiscuss ideas and collaborate on finding good solutionsExperiment with Ubuntu Core and showcase industry-grade IoT solutionsWork on Matter, the connectivity standard unifying smart homesContribute to the development of EdgeX Foundry IoT platformParticipate in IoT standardisation working group discussions and planning (Connectivity Standards Alliance, Web of Things, etc)Work from home with global travel 2 to 4 weeks for internal and external eventsWho You AreProven track record of at least 3 years of professional software development using Go or C++. You have experience working with RESTful APIs, MQTT or other messaging protocolsYou are familiar with wireless communication protocols such as WiFi, BLE, Zigbee, Z-Wave, and ThreadYou have interest and experience with a few of the following:Containers (docker, kubernetes)Linux distributionsSnap, debian, or RPM packagingShell scriptingCI/CD (Github Actions, Gitlab CI, etc)IoT frameworks and protocolsReal-time applicationsYou value soft skills, communication and advocacy, and are passionate, enterprising, thoughtful, and self-motivatedYou have a Bachelor's or equivalent in Computer Science, STEM or similar degreeCanonical is a growing international software company that works with the open-source community to deliver Ubuntu, the world's best free software platform. Our services help businesses worldwide reduce costs, improve efficiency and enhance security with Ubuntu.We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/software-engineer-industrial-iot-at-canonical-3704076637"
"Canonical","Embedded & Desktop Linux Systems Engineer - Optimisation","Entry level","Work across the full Linux stack from kernel through GUI to optimise Ubuntu, the world's most widely used Linux desktop and server, for the latest silicon.The role is a fast-paced, problem-solving role that's challenging yet very exciting. The right candidate must be resourceful, articulate, and able to deliver on a wide variety of solutions across PC and IoT technologies. Our teams partner with specialist engineers from major silicon companies to integrate next-generation features and performance enhancements for upcoming hardware.Location: This is a Globally remote roleWhat your day will look likeDesign and implement the best Ubuntu integration for the latest IoT and server-class hardware platforms and software stacksWork with partners to deliver a delightful, optimised, first class Ubuntu experience on their platformsTake a holistic approach to the Ubuntu experience on partner platforms with inputs on technical plans, testing strategy, quality metricsParticipate as technical lead on complex customer engagements involving complete system architectures from cloud to edgeHelp our customers integrate their apps, SDKs, build device OS images, optimize applications with Ubuntu Core, Desktop and ServerWork with the most advanced operating systems and application technologies available in the enterprise world. Joining Canonical, you will partner with bright minds from all over the world, and work with an exciting set of new technologies in a fast growing company with a truly unique and ambitious vision to build a better platform with free software. You will work with customers on exciting IoT and server platforms and technologies, built to support different verticals: from robots to data centers, from telco to retail.What we are looking for in youYou love technology and working with brilliant peopleYou have a Bachelor's degree in Computer Science, STEM or similar You have experience with Linux packaging (Debian, RPM, Yocto)You have experience working with open source communities and licencesYou have experience working with C, C++You can work in a globally distributed team through self-discipline and self-motivation. Additional Skills That You Might Also BringExperience with graphics stacksGood understanding of networking - TCP/IP, DHCP, HTTP/RESTBasic understanding of security best practices in IoT or server environmentsGood communication skills, ideally public speaking experienceIoT / Embedded experience – from board and SoC, BMCs, bootloaders and firmware to OS, through apps and servicesSome experience with Docker/OCI containers/K8sWhat we offer youYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/embedded-desktop-linux-systems-engineer-optimisation-at-canonical-3643420438"
"CONCAPE • Specialist in DACH-Recruiting","Embedded Systems Engineer (m/w/d) - 100% Location: Switzerland, Rheintal","Entry level","CONCAPE, a personnel consultancy for Eastern Switzerland and Liechtenstein, presents an exciting opportunity with a world-market-leading industrial company (family run) with international flair.Product Specialist (m/f/d) - 100%Location: Rheintal, SwitzerlandWhat is the | CHALLENGE |We are looking for a Systems Enginneer /System Application Engineer. In this position, you will be responsible for the development and support of system architectures and functional partitioning for power electronics products. You will work closely with customers and other departments to understand and implement requirementsTasksDefine system architectures and functional partitioning, and develop related cross-system functions and technologies such as control algorithms, cooling concepts, and manufacturing concepts.Simulate converters and control loops using tools like PSpice, Matlab/Simulink, or similar software.Perform loss calculations of switching devices and continuously enhance them.Define test requirements.Serve as the point of contact for customers regarding all technical matters, facilitating cross-team communication of customer requirements.Lead project teams in all technical aspects from concept to serial production.Be responsible for continuous project status monitoring and identifying technical risks.RequirementsSuccessful completion of your studies in electrical engineering or physics (university degree or equivalent).Demonstrated experience in the development of power converters (DC/DC, PFC) for automotive series production.Proficiency in circuit control calculation and simulation.Ideally, prior experience with Altium Designer and PADS.Structured, organized, and analytical work approach.Strong interpersonal skills, a team-oriented mindset, and creativity.Excellent English language skills (both written and spoken), with knowledge of German being advantageous.BenefitsMore info about team, task, perspective by Fabian Schaad (LinkedIn) or by mail.We take care of you from A-Z, give you the most important insights so you can focus on the essentials in the recruitment process, your best performance and your questions to the company.We clear up biases and talk transparently about the positive and negative facts of the companies to explore the ""best match"" efficiently and effectively with you.","https://fi.linkedin.com/jobs/view/embedded-systems-engineer-m-w-d-100%25-location-switzerland-rheintal-at-concape-%E2%80%A2-specialist-in-dach-recruiting-3734821783"
"Canonical","Kernel Engineer - Ubuntu Linux","Entry level","Are you passionate about the Linux kernel? Or maybe you've mastered a different low-level software development environment and are ready for a new challenge in Linux? Are you looking to work on a great team, where you can apply and grow your kernel development skills? This is an exciting time at Canonical, where due to a period of unprecedented growth we are seeking a number of software engineers to join our Kernel Team to play an integral part in the delivery of the heart of the most popular Linux distribution in the world.The Canonical Linux Kernel Team is responsible for developing and maintaining all supported Ubuntu Linux kernels, which run on a variety of platforms and architectures from small embedded devices to standard desktop/server systems to large scale cloud environments. The Kernel Team has openings for software engineers in a number of aspects that include but are not limited to:Ubuntu Linux distributionOptimized Ubuntu solutions for key Silicon and Cloud partnersDeveloper platforms such as Raspberry Pi and RISC-VEnabling Ubuntu on a wide range of embedded systemsLivepatch service, which allows Ubuntu customers to apply critical kernel (CVE) security fixes without rebootingFIPS complianceReal-Time and Low Latency systemsVirtualization or abstraction enginesSecurityNetworkingStorageWe are seeking candidates of all experience levels from recent University graduates up through seasoned industry experts who are enthusiastic to develop software in multiple areas including security mitigation, feature development, patching and test. This person must have a background in software engineering, be motivated to work in a distributed team and willing to travel globally up to 4 times a year for internal and external engineering events.What your day will look likeCollaborate regularly and proactively with a globally distributed team Work closely with external silicon, cloud, or hardware manufacturer delivery teams on bleeding edge platformsDiagnose and resolve issues in the kernel reported by customers and the communityTake personal responsibility for the delivery of various flavors of the Ubuntu Linux kernelImprove tooling and automation for delivery and test of Ubuntu Linux kernelsSubmit, review, and apply kernel patches, working with both internal and external upstream maintainersWhat we are looking for in youWell-organized, self-starting and able to deliver to fixed schedulesDemonstrated ability to present oneself in a professional manner when interacting with colleagues, business partners, and the open source communityAbility to communicate effectively in English, both written and oralSignificant programming experience in C, with Python and Bash scripting also highly regardedSolid background with gitBroad knowledge of the Linux kernel and kernel subsystemsDemonstrated experience with kernel patching and debuggingKnowledge/experience with Linux kernel upstream processes and release cycleStrong grasp of device drivers, BSP's, and other low level system engineeringPrior experience with Ubuntu/Debian/Snap packaging would be highly regardedWhat we offer youYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/kernel-engineer-ubuntu-linux-at-canonical-3724888640"
"Canonical","Junior Graphics Kernel Engineer - Ubuntu Linux","Entry level","Are you passionate about learning new stuff, maybe graphics drivers in the context of the Linux kernel? Or maybe you've mastered a different software development environment and are ready for a new challenge in Linux? Are you looking to work on a great team, where you can apply and grow your knowledge about debian packaging as well as graphics drivers? In this role you will play an integral part in the delivery of Nvidia graphics drivers for our kernels.The Canonical Linux Kernel Team is responsible for developing and maintaining all supported Ubuntu Linux kernels, which run on a variety of platforms and architectures from small embedded devices to standard desktop/server systems to large scale cloud environments. Ubuntu boasts first class support for Nvidia graphics cards, thanks to its constant and prompt delivery of driver updates on all its platforms.For this position we are seeking a candidate that is a recent University graduate or a young professional who is enthusiastic to develop software in multiple areas including security updates, patching, and testing. This person must have a background in software engineering, be motivated to work in a distributed team and willing to travel globally up to 4 times a year for internal and external engineering events.Location: This is a remote role for someone based in the Europe/Middle East/Africa (EMEA) region.What your day will look likeMaintain the NVidia graphics drivers and package new releasesTake personal responsibility for the delivery of graphics driversPatch the kernel driver to work against the latest Ubuntu kernelEnhance and maintain Ubuntu's additions to the NVidia settings panelMaintain Ubuntu's tools for hardware detection and driver installationDiagnose and resolve issues reported by customers and the communityCollaborate regularly and proactively with a globally distributed teamWork closely with external silicon, cloud, or hardware manufacturer delivery teams on bleeding edge platformsWhat we are looking for in youWell-organized, self-starting and able to deliver to fixed schedulesDemonstrated ability to present oneself in a professional manner when interacting with colleagues, business partners, and the open source communityAbility to communicate effectively in English, both written and oralProgramming experience in C, with Python and Bash scriptingSolid background with gitKnowledge of the Linux kernel and kernel subsystems would be a plusDemonstrated experience with kernel patching and debugging is also highly regardedPrior experience with Ubuntu/Debian/Snap packaging would be highly regardedWhat we offer youYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/junior-graphics-kernel-engineer-ubuntu-linux-at-canonical-3724888617"
"IQM Quantum Computers","Quantum Engineer, Device Design","Entry level","IQM is the European leader in superconducting quantum computers, established in Espoo, Finland. In two years, we have grown to 250+ employees and have established subsidiaries in Germany, Spain, and France. We build quantum computers for research laboratories and supercomputing centers. For industrial customers, we deliver quantum advantage through our unique application-specific co-design approach.We build world-leading quantum computers for the well-being of humankind now and for the future.(www.meetiqm.com)Are you interested in designing quantum processing units and want to contribute to the core technology of our quantum computers? We have an open position that you should take a look at!We are looking for several Quantum Engineers in Munich to support our mission of expanding the frontier of scientific and technological progress. You will be embedded in the Design Simulation Team and in constant exchange with other technical teams at IQM.What will I be doing? Depending On Your Background And Interest, The Work Can Also IncludeAs a member of our simulations team, you will design quantum processing units and contribute to the core technology of our quantum computers. This role has an emphasis on developing and integrating the tools to scale up quantum processor design. Your tasks will mainly focus on developing tools to integrate and automate the design workflow, while also significantly extending our open-source design framework KQCircuits.Quantum physics and design calculations. Electromagnetic field simulations, including finite element and lumped circuit modeling. Numerical modeling and optimization. What skills do I need?Prior experience in superconducting qubit design Excellent understanding of RF design and measurement concepts Good programming skills (we work mostly with Python) Ph.D. in physics, or equivalent level of experience in a related engineering field Knowledge of quantum physics and quantum computing The ability to make engineering tradeoffs between competing requirements.We are in this together and expect great cooperation skills and teamwork from all colleagues at IQM! Additionally, it's an advantage if you have an affinity with numerical methods and optimization and experience with electromagnetic field simulators such as Ansys HFSS, Comsol, or Sonnet.What can I expect from IQM?A great opportunity to perform world-class R&D and implement cutting edge technology Cutting-edge manufacturing and laboratory infrastructure Sufficient financial backing for ambitious projects An opportunity to work with a passionate and diverse team on an important mission A unique opportunity to make a real impact on the future of quantum Growth and progress in a creative and open start-up environment Meet our people and hear more about IQM by visiting our Youtube channel here >> We'll proceed with the interviews immediately, so please submit your application soon.At IQM, you will get to work with highly talented people with the latest technology.You will also collaborate with global scientific communities and have freedom to truly change the world. We are strongly integrated into the European quantum efforts and our international team is connected to business leaders and high-tech companies around the globe.Let’s discover the next quantum breakthroughs together!","https://fi.linkedin.com/jobs/view/quantum-engineer-device-design-at-iqm-quantum-computers-3554435448"
"Cobblestone Energy","SOFTWARE ENGINEER - Dubai, UAE","Entry level","Starting salary of 60,000 USD per annum in a zero-tax environment.Fast progression for strong performers.Job location: Dubai, UAEAbout us:Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.Job Description At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role. If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you. What we offer in this role Competitive remuneration, with fast progression for strong performers. A challenging but exciting, open, and fun work environment. An opportunity to work with remarkably talented colleagues. Vast growth potential in every aspect. 15% target bonus with further upside. Employee share scheme participation International relocation support Opportunity to be embedded within a commercial team for those with strong commercial interest Responsibilities Write software applications and programs for backend/frontend purposes.  Analyse programs and apps to improve their features and functionalities.  Test & debug programs and fix any reported bugs.  Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.  Requirements BS/BE in Computer Science/Computer Engineering.  Programming experience of 1 to 2 years in Python language.  Expertise in at least one popular Python framework (like Django, Flask ...).  Experience of 1 to 2 years in front-end technologies such as HTML5, CSS, JQuery, JS, ...etc.  Knowledge of APIs and webservices.  Knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language.  Knowledge of NoSQL databases is a plus.  Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus.  Ability to work in a team environment.  Strong problem-solving skills and analytical skills.  Resilience and a determination to succeed.  Independent thinkers with growth mindset.  Must be passionate, self-motivated, and able to learn quickly.  Strong sense of integrity.   Personal values that match our company values.","https://fi.linkedin.com/jobs/view/software-engineer-dubai-uae-at-cobblestone-energy-3732863842"
