"company","job-title","level","description","job-url"
"Jefferson Frank","Embedded Developer","Entry level","My client is the leading European provider of RFID track and trace solutions. They're passionate about growing businesses by giving every item an identity using RAIN RFID technology.They're looking for a Senior Embedded Linux Developer who's primary task is the development of their devices' firmware with embedded Linux.Responsibilities and duties Embedded software development System development and improvement Participating quality controlling related tasks and code reviews SW requirements definition and documentation Develop and improve our way of working in embedded software areaQualifications Proficient in one or more compiled languages such as C/C++ Experience in development of low-level drivers Embedded Linux programming experience Experience with system integrations Knowledge of Realtime operating systems e.g. FreeRTOS Experience with the GNU toolchain (gcc, gdb, make, etc.) Excellent skills both in written and spoken English Self-driven person who balances this with good co-operation skills Minimum of bachelor's degree from technical or relevant studies with work experienceMy client is looking to begin the interview process immediately so feel free to apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jason-upton-167479231/Email: j.upton@jeffersonfrank.comPhone: +358 75 3266673Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/embedded-developer-at-jefferson-frank-3662937001"
"Huld","Embedded Software Engineer","Employment type
        

          Full-time","Are you passionate about software development and embedded systems? Are you a quick learner well suited for an international work environment? Are you a junior looking for a place to develop your skills or an established professional looking for the next step in your career?We are looking for driven, self-guided embedded software experts at different stages of their careers to join our team. We offer you the freedom to create a career that looks like yourself and responsibilities to match your ambitions. The sky is the limit (literally)!Who we areWe are a technology and design house full of independent thinkers and keen learners with humane hearts and bold attitudes. We are from different educational backgrounds and ethnic groups coming in all ages, shapes, and sizes. What unites us is our passion to pave way for a more humane and bold tomorrow for both people and our planet – with a twinkle in our eye.Embedded Solutions Center of Excellence is home for more than 100 embedded software experts. We support our customers in designing and developing embedded solutions starting from electronics design, bare metal software, device drivers, control software to spacecraft software and data processing. Our strength is safety critical software development. Our customers come from various industries, e.g., space, medical, automation, railway, machinery, measurement equipment, GNSS, networks, telecommunications, power solutions.We are looking for an Embedded Software EngineerWe are looking for an Embedded Software Engineer to better respond to our growing customer project portfolio. In this role you will work on a project that best suits your background and interests. Depending on your seniority level and project, the daily tasks may vary, but typically include software design, software development using C/C++/C#, continuous integration using DevOps tools, preparing relevant documentation, supporting your colleagues, customers and our sales team.What should you expect to accomplish the first year?Your goal during the first year is to find your feet in our group, become a trusted member of project teams and solidify your expertise in the area. You will take part in our projects and offer your know-how in building and defining sustainable solutions for our clients.As you start you will be welcomed by your Huld leader and introduced to warm office atmosphere and colleagues. You will join a project team. Your Project Manager will introduce you to the project, your responsibilities, tasks and expectations. You will be assigned a Mentor who will help you to ramp up your project work efficiently and support you until you become an independent contributor. Your success is measured by collecting feedback from your colleagues, customers and yourself and by your own satisfaction.There is no path set in a stone at Huld and we invite you to lay out your own!Here’s the recipe for successPrerequisitesB.Sc., M.Sc. or Ph.D. degree in a suitable area, e.g., computer science, automation, mathematics, physics or electronics.Understanding of embedded systems supported by 3-10 years of work experience in embedded software development and/or testing.Good skills in C/C++. We especially appreciate experience with modern C++.Good communication skills and ambitious attitude.Nice-to-havesExperience with Java, C#, Matlab, Python, Qt, Robot Framework, DevOps, scripting languages.Experience with Embedded Linux or other operating systems for embedded devices.Experience in any of the following areas is an advantage: GNSS, autonomous systems, IoT, safety critical software, algorithm development, scientific computing, data science, functional safety.Experience with Agile methodologies.Fluent English, preferably also Finnish.We promise youWe promise you a culture that is courageous and caring. Everyone has a genuine and equal chance to make a change and have an impact on how they work, whether it is by choosing to work remotely or developing company-wide ways-of-working. We are proud of what we have achieved but are always ready to learn and try something new.We promise you a low hierarchy and playful community. We promise you versatile projects where you can work on anything ranging from space to health industry, marine to machines or all the way to national security.We promise to take care of your well-being with work benefits such as:Train the brain. We have a yearly budget for you to keep on learning about topics of your choice.Joint recreational events and celebrations. We have so much to celebrate, and we like to do it together.Theme clubs. We all have our passions. In clubs such as board game club, beer club or rocket club, we get to share our interests with others.Extensive occupational health care. To keep us healthy, we have Terveystalo services at our disposal.Personal well-being budget. We have a yearly budget for all your lunch, recreation, culture, dental, massage and commuting needs in ePassi.Bicycle benefit. Cycling is great.Leisure time insurance. Accidents happen.Phone benefit. Because who can live without a phone these days.Childcare for sick children. We offer free childcare for the inevitable days your kid gets sick.Relocation support when moving to Finland. We take everyone in with open arms and support your relocation from abroad.Sounds good?Don’t wait – apply today! We will contact you as soon as possible. The recruiting process typically includes 2 interviews and an assignment between the interviews, taking 2-4 weeks in total. We are constantly looking for new talents to join us.ContactIf you have any questions or would like to talk more, please shoot us a message or have a call.Dr Tatjana PetkovicHead of Operations+358 50 486 9137tatjana.petkovic@huld.io","https://fi.linkedin.com/jobs/view/embedded-software-engineer-at-huld-3733376574"
"CONCAPE • Specialist in DACH-Recruiting","Embedded Systems Engineer (m/w/d) - 100% Location: Switzerland, Rheintal","Entry level","CONCAPE, a personnel consultancy for Eastern Switzerland and Liechtenstein, presents an exciting opportunity with a world-market-leading industrial company (family run) with international flair.Product Specialist (m/f/d) - 100%Location: Rheintal, SwitzerlandWhat is the | CHALLENGE |We are looking for a Systems Enginneer /System Application Engineer. In this position, you will be responsible for the development and support of system architectures and functional partitioning for power electronics products. You will work closely with customers and other departments to understand and implement requirementsTasksDefine system architectures and functional partitioning, and develop related cross-system functions and technologies such as control algorithms, cooling concepts, and manufacturing concepts.Simulate converters and control loops using tools like PSpice, Matlab/Simulink, or similar software.Perform loss calculations of switching devices and continuously enhance them.Define test requirements.Serve as the point of contact for customers regarding all technical matters, facilitating cross-team communication of customer requirements.Lead project teams in all technical aspects from concept to serial production.Be responsible for continuous project status monitoring and identifying technical risks.RequirementsSuccessful completion of your studies in electrical engineering or physics (university degree or equivalent).Demonstrated experience in the development of power converters (DC/DC, PFC) for automotive series production.Proficiency in circuit control calculation and simulation.Ideally, prior experience with Altium Designer and PADS.Structured, organized, and analytical work approach.Strong interpersonal skills, a team-oriented mindset, and creativity.Excellent English language skills (both written and spoken), with knowledge of German being advantageous.BenefitsMore info about team, task, perspective by Fabian Schaad (LinkedIn) or by mail.We take care of you from A-Z, give you the most important insights so you can focus on the essentials in the recruitment process, your best performance and your questions to the company.We clear up biases and talk transparently about the positive and negative facts of the companies to explore the ""best match"" efficiently and effectively with you.","https://fi.linkedin.com/jobs/view/embedded-systems-engineer-m-w-d-100%25-location-switzerland-rheintal-at-concape-%E2%80%A2-specialist-in-dach-recruiting-3734821783"
"Canonical","Software Engineer - Ubuntu Core","Entry level","Redefine the Linux experience in the embedded environments with the smallest, most secure, and updatable operating system in the IoT market. This is an opportunity for a senior software engineer passionate about open source software, Linux, security, and the developer experience. This challenging role demands a high degree of technical skill with low-level operating systems, kernel, and device firmware.Our mission is to allow everyone to build robust solutions in various fields including but not limited to IoT, automotive, and aviation using the next generation secure embedded Linux operating system in a simple solution. We define a reliable and secure set of device recovery mechanisms that enable device manufacturers to simplify and standardise the field operations for fleets of heterogeneous appliances.As a senior team member, you'll be designing and implementing software that runs on various CPU architectures, such as ARM, RISC-V, and X86. You will work on boot mechanisms, bootloaders, storage partition layout, device trees, kernel, services, and userspace applications to manage the system via RESTful APIs.Build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, a growing international software company.What you'll doDevelop system daemons with REST APIs in GolangIntegrate diverse bootloaders and maintain gadget snapsCollaborate proactively with a distributed teamWrite high quality code with unit tests to create new featuresDebug issues and produce high quality fixesReview code produced by other engineersDiscuss ideas and collaborate on finding good solutionsWork from home with global travel 2 to 4 times a year for internal and external eventsWho you areYou love technology and working with brilliant peopleYou are curious, flexible, articulate, and accountableYou value soft skills and are passionate, enterprising, thoughtful, and self-motivatedYou have a Bachelor's or equivalent in Computer Science, STEM or similar degreeYou have experience with Golang, C/C++, and ShellYou have a solid understanding of Linux and a modern GNU/Linux distribution, Debian or Ubuntu preferredYou have experience or interest in low-level system and security facilities such as:Bootloaders in ARM and X86, such as piboot, uboot, grub-uefiSystemd and units, udev, initrd, graphicsOS level firmware daemons and CLI applicationsLinux security implementations - TPM, FDE, LUKS, HSM, etc. You have experience with API design and development - REST/gRPC or similarYou have personal or professional experience with Linux-capable devices such as Raspberry PiWhat is Canonical?Canonical is a growing international software company that works with the open-source community to deliver Ubuntu, ""the world's best free software platform"". Our services help businesses worldwide to reduce costs, improve efficiency and enhance security with Ubuntu.We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.#stack","https://fi.linkedin.com/jobs/view/software-engineer-ubuntu-core-at-canonical-3673080309"
"Canonical","Embedded & Desktop Linux Systems Engineer - Optimisation","Entry level","Work across the full Linux stack from kernel through GUI to optimise Ubuntu, the world's most widely used Linux desktop and server, for the latest silicon.The role is a fast-paced, problem-solving role that's challenging yet very exciting. The right candidate must be resourceful, articulate, and able to deliver on a wide variety of solutions across PC and IoT technologies. Our teams partner with specialist engineers from major silicon companies to integrate next-generation features and performance enhancements for upcoming hardware.Location: This is a Globally remote roleWhat your day will look likeDesign and implement the best Ubuntu integration for the latest IoT and server-class hardware platforms and software stacksWork with partners to deliver a delightful, optimised, first class Ubuntu experience on their platformsTake a holistic approach to the Ubuntu experience on partner platforms with inputs on technical plans, testing strategy, quality metricsParticipate as technical lead on complex customer engagements involving complete system architectures from cloud to edgeHelp our customers integrate their apps, SDKs, build device OS images, optimize applications with Ubuntu Core, Desktop and ServerWork with the most advanced operating systems and application technologies available in the enterprise world. Joining Canonical, you will partner with bright minds from all over the world, and work with an exciting set of new technologies in a fast growing company with a truly unique and ambitious vision to build a better platform with free software. You will work with customers on exciting IoT and server platforms and technologies, built to support different verticals: from robots to data centers, from telco to retail.What we are looking for in youYou love technology and working with brilliant peopleYou have a Bachelor's degree in Computer Science, STEM or similar You have experience with Linux packaging (Debian, RPM, Yocto)You have experience working with open source communities and licencesYou have experience working with C, C++You can work in a globally distributed team through self-discipline and self-motivation. Additional Skills That You Might Also BringExperience with graphics stacksGood understanding of networking - TCP/IP, DHCP, HTTP/RESTBasic understanding of security best practices in IoT or server environmentsGood communication skills, ideally public speaking experienceIoT / Embedded experience – from board and SoC, BMCs, bootloaders and firmware to OS, through apps and servicesSome experience with Docker/OCI containers/K8sWhat we offer youYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/embedded-desktop-linux-systems-engineer-optimisation-at-canonical-3643420438"
"Canonical","C++ Graphics and Windowing System Software Engineer - Mir","Entry level","We build a high-performance, high-efficiency stack for window managers and display subsystems in C++, called Mir. We're growing the team and looking for new colleagues who share our passion for precision, performance and user experience.Our goal is to enable the whole spectrum of graphics from single-purpose screens through edge devices to full desktop environments. We focus on developers who are building window compositing systems or device graphics experience, and aim to give them an amazing developer experience, security, and easy access to today's most used graphics toolkits and libraries.We work on Mir and solutions built on it like Ubuntu Frame, and we also set the pace for graphics enablement across the Ubuntu certified hardware ecosystem. Our daily drill includes design, development and testing of features in those pieces of software as well as responding to issues and user inquiries. Most of the software is written in C++, with support tooling in scripting languages. We're also considering Rust or Carbon as evolutionary steps forward.This is an excellent opportunity for someone who wants to have a meaningful impact on modern display technologies that will impact millions of developers. Canonical offers a fast-paced team environment and a career full of learning and development opportunities across the open source spectrum.What you will doDesign and implement features across the Mir stackAssist in debugging, tracking down and fixing issuesImprove tests and performance benchmarks to catch issues earlyCreate documentation to enhance the developer experienceEngage with the open source community and commercial partnersCollaborate proactively with a distributed teamRequired Skills And ExperienceYou have excellent, modern C++ programming tasteYou have a rigorous approach to software design, development and testingYou have a solid understanding of asynchronous programming and concurrency patternsYou have strong written and verbal communication skills to document and present software developedYou are productive collaborating remotely and are highly motivated and organizedYou are familiar with Linux as a development and deployment platformYou have proven ability to consistently deliver robust code to productionBachelor's or equivalent in Computer Science, STEM or similar degreeDesirable Skills And ExperienceExperience with the Wayland protocol ecosystem and compositorsFamiliarity with a range of Linux Desktop EnvironmentsFamiliarity with OpenGL, Vulkan, and other graphics and animation frameworksYou have experience developing and deploying on a Ubuntu/Debian systemWhat is Canonical?Canonical is a growing international software company that works with the open-source community to deliver Ubuntu, ""the world's best free software platform"". Our services help businesses worldwide to reduce costs, improve efficiency and enhance security with Ubuntu.We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/c%2B%2B-graphics-and-windowing-system-software-engineer-mir-at-canonical-3683894993"
"IQM Quantum Computers","Junior Hardware Design Engineer","Entry level","IQM is the European leader in superconducting quantum computers, established in Espoo, Finland. In two years, we have grown to 250+ employees and have established subsidiaries in Germany, Spain, France and Singapore. We build quantum computers for research laboratories and supercomputing centers. For industrial customers, we deliver quantum advantage through our unique application-specific co-design approach.We build world-leading quantum computers for the well-being of humankind now and for the future.(www.meetiqm.com)Are you a tech- savvy enthusiast with an interest in crafting cutting-edge solutions in the field of quantum computer control electronics? We are now in the look for a Junior Hardware Design Engineer  to strengthen our team! This role is a great opportunity to embark on a rewarding career in hardware design engineering. Don't worry if you don't have all the skills in you back pocket yet because you will get to collaborate with experienced professionals and tackle exciting projects together.What will I be doing? PCB schematic design with Altium DesignerPCB layout design with Altium DesignerComponent choicesFrequent communication with HW designers and other experts in the teamCommunicating and working with HW Design sub-contractorsPrototype verification and debugging in the laboratory environmentProblem solving and re-working on prototype HWParticipating in daily/weekly meetings coordinating the teamworkSub-system design documentationSub-system test plan preparation Work documentation and tracking with JiraWhat skills do I need?2+ years experience working with commercial products in the industry Bachelor in Technology or Master in TechnologyWillingness to participate in the development of the HW design practises and processesExperience in HW designs including high speed (> 10Gbps) digital interfacesExperience on designing multilayer mixed signal PCBs with state of the art HW design tools, preferably Altium DesignerKnowledge on the different manufacturing technologies for the multilayer PCBs and the component assembliesKnowledge on schematic level simulation tools, such as LTspice, PSpiceExperience in prototype characterisations and test planning to evaluate the performance against requirementsEffective communication skills in English and a good team playerSelf-starter and capable to work autonomously on a specific part of a designCapable of adapting in a dynamic working environmentExperience in working within a team consisting of experts from different areas of engineeringGood PCB re-working skillsExperience in using the usual HW measurement equipmentExperience in project management tools such as JiraWhat can I expect from IQM?A great opportunity to perform world-class R&D and implement cutting edge technology Cutting-edge manufacturing and laboratory infrastructure Sufficient financial backing for ambitious projects An opportunity to work with a passionate and diverse team on an important mission A unique opportunity to make a real impact on the future of quantum Growth and progress in a creative and open start-up environment Meet our people and hear more about IQM by visiting our Youtube channel here >> We'll proceed with the interviews immediately, so please submit your application soon.At IQM, you will get to work with highly talented people with the latest technology.You will also collaborate with global scientific communities and have freedom to truly change the world. We are strongly integrated into the European quantum efforts and our international team is connected to business leaders and high-tech companies around the globe.Let’s discover the next quantum breakthroughs together!","https://fi.linkedin.com/jobs/view/junior-hardware-design-engineer-at-iqm-quantum-computers-3734886276"
"Canonical","Embedded Linux Containers Software Engineer","Entry level","Work on mission-critical Golang code, focused on software delivery, containers, security sandboxing, telemetry and device management, as a software engineer on our SnapD team.Snaps are next-generation software packaging and delivery for Linux. They are designed for safety, security and robustness, with application-specific confinement of containers optimised for IoT devices, desktops and servers. Our goal is that snaps work across multiple Linux flavors to ensure that publishers have the simplest way to reach the whole Linux world.This role requires an obsession with quality and performance, for work at the heart of the operating system. It also requires an interest in the software publishing and consumption experience. Applicants should be passionate about open source software development. We value collaboration, peer reviews, good unit/integration testing and maintainable code. General knowledge and experience with Golang and Linux as a developer platform is required.What you'll doCollaborate proactively with a distributed teamWrite high quality code to create new featuresDebug issues and produce high quality code to fix themReview code produced by other engineersDiscuss ideas and collaborate on finding good solutionsObsess over how to achieve robustness despite unexpected events like power outagesWork from home with global travel for up to two weeks, twice a yearWho you areYou love technology and working with brilliant peopleYou are curious, flexible, articulate, and accountableYou value soft skills, are thoughtful and self-motivatedYou have a Bachelor's or equivalent in Computer Science, STEM or similar degreeYou have professional software development experience using Go, Python, C, or C++You know Linux system-level fundamentals, e.g. cgroups, namespaces, apparmorCommitment to software testing, code reviews and maintainable codeAbout CanonicalCanonical is a growing, international software company that works with the open-source community to deliver Ubuntu. Our services help businesses worldwide to reduce costs, improve efficiency and enhance security with Ubuntu. Canonical is a unique tech company - global, remote-first, open source, with 700 professionals across 50 countries - we want to be the world's best, not biggest, global software company. With almost every team remote by default, Canonical sets the pace on the 21st-century digital workplace.Work from homeLearning and development allowancesCompetitive SalaryAnnual compensation reviewRecognition rewardsGenerous annual leavePaid maternity, paternity and sick leavePriority Pass for travelExposure to international business and technologyWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/embedded-linux-containers-software-engineer-at-canonical-3673074917"
"Canonical","System Software Engineer - Rust compiler, tooling, and ecosystem","Entry level","We are building a new team to focus on the Rust programming language and its ecosystem on Ubuntu. They will deliver the best possible Rust runtime, developer experience and supporting tooling in Ubuntu. We are keen to ensure that the cutting edge of modern programming languages innovation is available to Ubuntu users, to lay the foundation for future inventions and open source communities.This is an exciting opportunity for a software engineer passionate about open source software, Linux systems, software architectures and Rust programming language. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, a growing international software company and make Ubuntu the best operating system to develop and run Rust applications in the cloud, in datacenters, in containers, directly on the operating system, and anywhere Ubuntu can run.The Ubuntu Foundations Team delivers the core Ubuntu system, the base for the entire Ubuntu family of products and services. Ubuntu strives to deliver the latest-best free software components, in an easy to use and highly reliable form. We build on the technical excellence of Debian and bring additional focus and shape to the solutions we offer the industry.Part of the Ubuntu Foundations team, you will work on some of the most critical toolchains involved in the making of Ubuntu but also pillars of the modern software ecosystem. You will leverage your experience and passion in Rust to make Ubuntu the best platform to develop, distribute and consume software built with Rust. Applicants will be passionate about the future of Rust, of Ubuntu, mindful of the dynamics of the open-source ecosystem, and equally aware of the needs of large but innovative organizations. Applicants will drive best in class integration in Ubuntu from desktop to cloud in a secure, reliable, performing, efficient and future-proof fashion.You will be discussing design with other team members and mentor less senior engineers and participate in code reviews and design reviews. You will also be working with other teams to ensure architecture decisions improve the overall performance and experience of Ubuntu. Your role as part of the Ubuntu Foundations team will have an impact on every aspect of Ubuntu from Desktop, Server, Ubuntu Core and also cloud images.What you will doCollaborate proactively with a distributed teamSelect, integrate and package best-of-breed tooling with Ubuntu to improve developer and operator experience with RustWrite high-quality code to create new featuresDebug issues and produce high-quality code to fix themReview code produced by other engineersDiscuss ideas and collaborate on finding good solutionsWork from home with global travel 2 to 4 weeks a year for internal and external eventsWho you areYou love technology and working with brilliant peopleYou are passionate, curious, flexible, articulate, and accountableYou are a long-time Linux userYou have experience or are interested in learning how to package software for Debian and UbuntuYou have relevant Rust experience, ideally in the world of cloud-native software and LinuxYou have a Bachelors or equivalent in Computer Science, STEM or similar degreeYou value soft skills and are passionate, enterprising, thoughtful, and self-motivatedCanonical is a growing international software company that works with the open-source community to deliver Ubuntu, the world's best free software platform. Our services help businesses worldwide reduce costs, improve efficiency and enhance security with Ubuntu.We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/system-software-engineer-rust-compiler-tooling-and-ecosystem-at-canonical-3687338340"
"Nigel Frank International","Azure IoT Developer","Entry level","Azure IoT Developer - HelsinkiOur Client is looking for talented developers to join their team as they are growing! They have won awards for both business growth and for their exciting R&D focus in 2023-2024.Company: Founded in Finland with a global clientele. They have around 50 employees in Finland and 50 employees globally so far. Big aspirations with further growth planned in 2024. Products offer a range of benefits such as providing customers with more efficient ways of working, lowering costs and providing solutions that reduce energy consumption. Continuing to invest in modern technologies such as AI and Machine Learning.Project information Focusing on improving the collection of Data from a range of their IoT devices and products. Helping customers to remotely view their data, make fixes, change parameters. Long-term focus for this project, but able to be involved as a ""secondary"" person for other internal projects.Experience and requirements: Previous C#, .NET and React development experience Fluency in English. A background with Azure or Cloud development projects. Previous work experience or strong interest/understanding of IoT. Senior-level working experience.Viewed as beneficial: Previous experience with any projects involving embedded development, Cloud Infrastructure, the energy industry, PLC or others. Bachelor's or Master's Degree. Fluency in Finnish.What can they offer YOU? Exciting and modern tech stack to work with. Award winning focus on R&D. Benefits including: Health-care, lunch and culture vouchers and more. Basic salary range (expected): 4500-6000€ per month & company bonus scheme on top. Extremely flexible remote work - 2/3 office visits per year is fine, more visits to the office is fine but your choice.Does this sound interesting? Send your application today or message me for more information on j.selen@nigelfrank.com.Nigel Frank International is the global leader for .NET recruitment, advertising more .NET jobs than any other agency. We deal with both Microsoft Partners & End Users throughout Finland. By specialising solely in placing candidates in the .NET market I have built relationships with most of the key employers in Finland and have an unrivalled understanding of where the best opportunities and .NET jobs are.","https://fi.linkedin.com/jobs/view/azure-iot-developer-at-nigel-frank-international-3662009501"
