"company","job-title","level","description","job-url"
"Huuva","Data Engineer","Entry level","About HuuvaHuuva Kitchens turn local communities into culinary hotspots by catering the best dishes from the hottest restaurants. With Huuva, there’s always something new that you can mix and match to be delivered to your door with superior convenience and quality.Huuva operates a network of local kitchens that plug into the local and global food scene, making those experiences accessible beyond the most central city locations with always something new to discover. As our dishes are made locally, they also come to you faster. Saving time, money and the environment.Our kitchen technology enables our chefs to focus on the most important thing – the quality and joy of making the best dishes, all curated and cooked by people with a passion for great food and an appetite for what comes next. This is the power of Huuva OS - the most advanced kitchen platform ever created.About The RoleYou will be part of a team focusing on our Back-of-House technology, meaning an operating system that covers all aspects from handling orders across sales channels to inventory management. Data engineering and operative analytics are at the very core of all this as we strive to be the best operator in the industry.As a Data Engineer, you will be the primary owner of our analytics data infrastructure which is built on top of GCP’s BigQuery data warehouse and supported by tools and technologies like DBT Cloud, Hightouch, Airflow, Python and Kafka.What We Expect From YouIn short, we are looking for a candidate with passion for data engineering and enough experience to own and develop our data warehousing and analytics capabilities as the primary owner.Seniority in building data pipelines, data modeling, scripting with Python and the aforementioned tools is expected. Familiarity with data streaming and data visualization is considered as a plus.In addition we expect solid communication and collaboration skills combined with fluency in English, written and spoken.What we offer:Team of talented and easy-going colleaguesA culture of transparency and ownershipFlexible model of work55-70 k€ annual salary and option packageAbout The ProcessIf you want to take part in Huuva’s journey, please start by sending your application via the link.We will be reviewing applications on an on-going basis. The process will include two interviews, a short assignment, and discussion with the team.Read more about us:Really good food with a hint of softwareHS VisioBloomberg","https://fi.linkedin.com/jobs/view/data-engineer-at-huuva-3664537626"
"Jefferson Frank","Cloud Developer / Architect - Finland - Remote","Entry level","Job DescriptionA constant need for AWS / GCP / Azure developers / architect to work on existing projects. ""Genuinely meaningful work - you get to influence how digitalization serves millions of Finns, today and tomorrow. From e-healthcare services to state administration, and everything in between."" Due to existing clients candidates need to be Finnish.Role & Responsibilities Join team of highly skilled cloud developers/architects and learn new things with and from them Work in an agile manner Develop cloud native applications for our clients Automate cloud infrastructures for applications Implement and develop DevOps toolsets for our clientsSkills & Qualifications AWS/GCP/Azure (Developers/Architects) Java, Python Terraform, JavascriptBenefits Standard Benefits - (pension, healthcare, activity vouchers, lunch vouchers)This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs","https://fi.linkedin.com/jobs/view/cloud-developer-architect-finland-remote-at-jefferson-frank-3661260744"
"Jefferson Frank","Cloud Developer / Architect - Finland - Remote","Entry level","Job DescriptionA constant need for AWS / GCP / Azure developers / architect to work on existing projects. ""Genuinely meaningful work - you get to influence how digitalization serves millions of Finns, today and tomorrow. From e-healthcare services to state administration, and everything in between."" Due to existing clients candidates need to be Finnish.Role & Responsibilities Join team of highly skilled cloud developers/architects and learn new things with and from them Work in an agile manner Develop cloud native applications for our clients Automate cloud infrastructures for applications Implement and develop DevOps toolsets for our clientsSkills & Qualifications AWS/GCP/Azure (Developers/Architects) Java, Python Terraform, JavascriptBenefits Standard Benefits - (pension, healthcare, activity vouchers, lunch vouchers)This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs","https://fi.linkedin.com/jobs/view/cloud-developer-architect-finland-remote-at-jefferson-frank-3666510871"
"Nigel Frank International","Informatica and Datawarehouse Specialist","Entry level","Informatica and Data Warehousing SpecialistInformation:Our Client offers an exciting opportunity to join their talented team and partake in their rapid expansion and ambitious plans for the year 2023-2024. This company is based in Helsinki and specializes in providing integration solutions for a variety of different clients. More specifically, they offer the capability to efficiently process and integrate data from various customer sources and applications. This functionality spans a wide range of environments including on-premises, private, public, hybrid, and multi-cloud setups.By becoming a part of this accomplished team, you'll be joining professionals from diverse fields such as Utilities, Electricity, Manufacturing, Trade Logistics, Airlines, and International Enterprises.Skills and requirements: You are familiar with system integration. Prior experience using tools such as Azure, Dell Boomi, Logic Apps, SSIS, Frends, and Mulesoft. Previous experience with cloud platforms like Azure, AWS, or GCP Perks:Salary: Compensation ranging from 4500€ to 7500€, based on your experience and seniority. Additional bonus up to 2,000€, depending on billing achievements.What can they offer YOU: Sponsorship for certification programs. Flexibility to work in a hybrid or fully remote setup. Incentives based on personal performance in terms of billings. Engagement with the latest and most innovative technologies.To apply, or if you have any further questions, you can contact Recruitment Consultant Jennie Selen via email j.selen@nigelfrank.com.Nigel Frank Internationalis the global leader in Microsoft technology recruitment. Since 2006, we've found over 19,000 permanent and contract Microsoft professionals for partners, ISVs, and end users in the ecosystem. For more information, visit www.nigelfrank.com","https://fi.linkedin.com/jobs/view/informatica-and-datawarehouse-specialist-at-nigel-frank-international-3689488513"
"Nigel Frank International","Integrations specialists","Entry level","Collaborating with numerous Finland based companies that has ambitious plans for the future.You will become a part of a highly skilled teams encompassing diverse domains including Utilities, Electricity, Manufacturing, Trade Logistics, and Airline & International enterprises.The companies deliver capabilities for ingesting and integrating data from customer sources and applications, functioning across a spectrum of environments such as on-premises, private, public, hybrid, and multi-cloud setups.Requirements: Cloud familiarity in Azure / AWS / GCP is advantageous but not obligatory. Proficiency in Integrations with Azure, Dell Boomi, Logic Apps, Workato, Frends, Mulesoft. Above all, they seek individuals who possess a strong enthusiasm for Integrations.Benefits: Sponsored certification programs. Flexibility for hybrid or fully remote work arrangements. Incentives based on personal billing performance. Engagement with cutting-edge technologies.Compensation: Salary ranging from €4500 to €7500, contingent on experience and seniority. Additional bonus of 1000-2000EUR depending on billings.For further details, feel free to reach out:LinkedIn: Max William BrightEmail: m.bright@nigelfrank.com","https://fi.linkedin.com/jobs/view/integrations-specialists-at-nigel-frank-international-3726137890"
"Jefferson Frank","Software Developer- Finland- up to 6000€/pm","Entry level","My client is seeking Software Developers to join their existing team, working on various projects serving both the public and private sectors. This includes banking, insurance, forestry, administration, trade and logistics, telecommunications, and media. They have hundreds of software development projects underway, from which they will find the one that best suits your professional development and interests.Tech StackThey're looking for experience with some of the following: Java / Spring / JavaEE / JavaScript / Typescript / Angular / React / Vue / Nodejs / AWS / Azure / GCP*You must be able to speak Finnish and English fluently and comfortably*You have the opportunity to work on long-term and stable projects and influence your own work image. They enable you to have good opportunities for progress and development. In return for your hard work, there are many incentives including a competitive salary and work-life balance, daily refreshments, free parking, and hobby clubs.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security","https://fi.linkedin.com/jobs/view/software-developer-finland-up-to-6000%E2%82%AC-pm-at-jefferson-frank-3675151882"
"Silo AI","Full Stack Software Developer","Entry level","AI for People defines what Silo AI stands for. We want to build a world with safe human-centric AI that frees the human mind from manual labour and empowers human creativity. We are looking experienced software developers interested in implementing production-grade AI solutions.As a Full Stack Software Developer you will be working on creating solutions and products for our clients. You will e.g. design and develop secure, and reliable web-based UI's and backend services for Machine Learning solutions. You will design and implement tools and applications that change the way we build and run our AI solutions and how we fit them into broader software systems. You will take care of packaging, testing, deploying, and supporting the software you deliver.Our current tech stack and tools consist of for example Python, Vue.js, React, PostgreSQL, MongoDB, Jenkins, and Kubernetes across private and public clouds Azure, AWS, and GCP. Read more about our cases that we have made for Infranode in automated lead generation and Philips in radiotherapy planning.What we valueStrong experience with our key technologies, including Python and preferably Vue.jsExperience in designing and building cloud-deployed web-based applications and data-heavy backend servicesInitiative, pragmatic problem solving, and great communication skillsDesire and ability to quickly acquire broad high-level intuition of AI systems and solutionsExperience in devops, AI systems and frameworks, scientific Python stack, edge deployments, and infrastructure automation is a big plusWhat Silo offers for you?As we already know, AI will be affecting almost everyone's work and everyday life. With us you have a real chance of shaping the change that AI will bring to everyone of us. You will get to choose your tools, methods, and ways of working together with the team while ramping it up. The products you develop will have a key role in expanding and accelerating the use of AI in large scale real world applications. Your closest colleagues will be an AI enthusiast mix of model developers and software experts working in the AI areas of computer vision, machine learning, and natural language processing. We aim for excellence by keep learning from the market, sharing our competence and looking for a growth mindset. We will help your learning for example through our Learning Labs and Talent CoachingInterested in joining us?Send your application and tell us why you are interested in the Software Developer role at Silo AI and what you are passionate about, along with relevant profiles (CV/LinkedIn/Github).","https://fi.linkedin.com/jobs/view/full-stack-software-developer-at-silo-ai-3641764678"
"UCB","Medical Affairs Head ABN (FI)","Entry level","Make your mark for patients We are looking for a  n Area Medical Head - ABN Region  who has a passion for planning, people leadership, and cross functional team work, to come and join our fantastic ABN Medical Affairs Team - the role can be based in either of the countries in ABN Area (Alps, Benelux, Nordics).About The RoleIn this role you are accountable for medical excellence oversight, guidance and governance for the assigned ABN territory and play a leadership role in the assessment, implementation and execution of Country plans, initiatives and activities for the marketed and pipeline UCB products. You have strong leadership qualities, high levels of cross functional collaboration and need to have the ability to influence across all levels of the organization. In this role it is important you balance the requirement for strong strategic thinking with a need to execute with agility and efficiency. You oversee all aspects of medical governance for the country and provide senior medical leadership & governance guidance to the therapeutic Area heads and their teams. Important to develop strong relationships with relevant external stakeholders in your role as the company’s key medical spokesperson & representative with governmental agencies, regulatory bodies, professional associations and the healthcare community at large (on topics applicable across portfolio).Who You Will Work WithIn this role you will work closely with the medical teams to ensure expert scientific knowledge; high proficiency of medical competencies; business acumen, transversal & integrated ways of working; oversight of training plans implementation (role profiles & SOP trainings)and immunology and neurology country heads and their LTs/ teams to ensure prioritizations in the execution of the planning, development and delivery of the country or area Medical component of the integrated plans based on thorough medical insights & ecosystem needs and aligned to the regional/Global strategic plans. You report directly to the Epilepsy & Operations Head ABN.What You Will Do Drive the medical capability excellence at the Area level and consequent implementation of medical standards, frameworks excellences in the view of upcoming +5 launches in 6 years (both strengthen capability and consistency/compliance – lead the capability development of local medical community across medical/ not asset or disease specific).  Ensure medical plans and medical deliverables are consistently executed at UCB standards of excellence maximizing patient value and competitive differentiation in the market  As the Area LT member you strategically leverage regional and/or global medical initiatives to meet local business needs, while maintaining an enterprise view  Ensure leadership, direct oversight and final sign-off of specific review and approval processes (medical plans, promotional and non-promotional events – strategy alignment, content and HCP engagements; ensures transparency reporting on interactions with HCP; Content clearance/ Local Clearance Committee; External funding (grants, donation, sponsorships, IIS))  Pro-active involvement and leadership in development of local medical/pharma regulation, initiatives representing and championing UCB patient value strategy; champions early and appropriate adoption internally for such regulations;  Ensure, through facilitating communication and coordination* of affiliate compliance functions (safety, regulatory, clinical, QA, supply), overall adherence to Laws, Regulations, UCB Policies and Procedures and that compliance risks are appropriately identified, escalated and mitigated  I  nterested?  For this position you’ll need the following  education, experience  and  skills:  Education, MD, PharmD, PhD, MSc  Substantial Medical Affairs experiences within the pharmaceutical industry, (5-8+ years in senior position) preferably across various therapeutic areas or similar experiences  Proven track record of contribution to medical, commercial and/or clinical development strategies (in EU countries).  Successful track record of initiating and leading cross-business/cross-functional planning, collaborating and solution building  Demonstrated experience of governance activities and their pragmatic implementation  Experience of leading teams and working with cross functional teams and matrix teams with evidence of success in co-creating and implementing innovative governance programs and externally focused solutions. Solid peer relationships with and exposure to external scientific/ clinical experts, professional & regulatory Are you ready to ‘go beyond’ to create value and make your mark for patients? If this sounds like you, then we would love to hear from you!About UsUCB is a global biopharmaceutical company, focusing on neurology and immunology. We are around 8,500 people in all four corners of the globe, inspired by patients and driven by science. Why work for us? At UCB, we don’t just complete tasks, we create value. We aren’t afraid to push forward, collaborate, and innovate to make our mark for patients. We have a caring, supportive culture where everyone feels included, respected and has equitable opportunities to do their best work. We ‘go beyond’ to create value for our patients, and always with a human focus, whether that’s on our patients, our employees or our planet. Working for us, you will discover a place where you can grow, and have the freedom to carve your own career path to achieve your full potential. Learn more  about sustainability at UCB and how it is integrated into our business approach.UCB and its subsidiaries encourage diversity and inclusion in the workplace; we are an Equal Opportunity Employer. We do not discriminate on the basis of race/colour/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity.","https://fi.linkedin.com/jobs/view/medical-affairs-head-abn-fi-at-ucb-3657138334"
"Jefferson Frank","Site Reliability Engineer - Helsinki - Hybrid Remote","Entry level","Overview Our Client's global mission is to help enterprises embrace the global digital identity ecosystem, improve operational effectiveness and build trusted business relationships. Our Client is a Europe-based Identity Services specialist and offers a comprehensive CIAM (Customer Identity & Access Management) & LEI (Legal Entity Identifier) platform to manage the digital identities of customers, workforce and organisations. Through their RapidLEI service, the company is the largest accredited LEI issuer globally and has issued verified organisation identities to over 200,000 organisations.Industry Our Client works with enterprises, banks, fintech/regtech, and Government for internal and client use of digital identity in digital identity management, KYC/KYB, and legal entity regulatory requirementsTeam Structure Headcount: Total 60 people (30 Finland, 25 UK, 5 Sweden.) Two Engineering teams working on separate projects (6 tech professionals) Four person's operations teamFuture Growth Plans Strong plans to scale their Engineering team working on the SaaS product.Career Progression Career progression for a Lead Engineer when the organisation scales for (5 engineers would be beneath you) leading 1-1 talks and operational responsibilities.Role OverviewThey are looking for a skilled Senior DevOps/Site Reliability Engineer to join the internal product development team in Espoo. Site Reliability Engineer is a hybrid systems and software engineer responsible for management of infrastructure while improving reliability and automation. You will be a part of developing infrastructure software, maintaining it, and scaling it.You have the ability to move things forward and share your knowledge to the rest of the team. It is essential that they work as a solid team solving problems together and sharing information. You understand that all projects need to work together to make a seamless platform.They encourage people to continuously learn; They have a recurring Development day - self focus time which permit you to familiarize to whatever you feel helps you to succeed in your daily work.Their core focus is Customer Identity and Access Management, thus they consider it as a plus if you have worked with some protocols and solutions like OpenID Connect, OAuth2, SAML2 or on SSO systems.Must> Past 5-10 years working in demanding web application projects> 2-5 years in Senior position working with cloud-native application development (AWS)Site Reliability EngineerThe miss has been that the individuals have a wide range of technologies and not an expertise on certain areas. Main priority is to develop the infrastructure automation (IaC), Containerisations and deployments on the environment. Very hands on role. They will be developing the containerisation and improving operational robustness. AWS Public cloud knowledge not 100% essential, can take Azure or GCP too but they would have to cross train. Kubernetes, containers, IaC is essential. If Tero sees the potential and can learn he can flex with slightly more junior candidates.Responsibility Develop deployment automation for infrastructure and applications running on public cloud Deploy, operate and upgrade Ubisecure Identity Cloud production instances for our customers Resolve customer and integrator reported issues i.e. work as technical support (on-site and in-house installations) Participate to software development activities, including software features and packaging applications Automate at every opportunity Improve, measure and monitor Ubisecure AWS deployments, from dev to production Pay attention to cloud costsKeywords: Git, Linux (RHEL), k8s, helm, Pulumi, Typescript, Terraform, Github Actions, Jenkins, CI/CD, AWS, Tomcat, Wildfly, Spring Boot, NextJS, NestJS, PostgreSQL, Redis, OpenLDAP, AD-LDS, Java11, Bash, OpenID Connect, SAML2, IAM, Jira, Confluence, Ansible.Alongside the above, prescreening questions will be sent out ahead of an initial qualifying call.","https://fi.linkedin.com/jobs/view/site-reliability-engineer-helsinki-hybrid-remote-at-jefferson-frank-3709926459"
"Canonical","Software Engineer - Docker Images & Community","Entry level","Canonical is building a new generation of Ubuntu-based container images to simplify open source application deployment across the world. These container images will be free to use with long term security commitments, and engineered for performance, security and usability. As with Ubuntu, we will work in the open and welcome community participation.In this role, you'll be developing the tools and technology for building and maintaining this new generation of container images. You'll be working with multiple teams, both inside and outside Canonical, to ensure we deliver container images with the highest quality whilst maintaining a seamless Ubuntu user experience. You will also be highly involved in the implementation and maintenance of the Continuous Integration and Continuous Delivery automation around these container images, for which you are expected to demonstrate deep insights into container-based devops.You will be contributing to fast-moving products like ROCKs (OCI images) and Chisel, and thus have the chance to help steer and consolidate this new team. You'll gain experience with numerous container technologies and participate in exciting and exploratory tasks, where your feedback will be critical for the decision-making process. As an engineer, your seniority will be based on your software development background and ability to lead junior team members.Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical. This is an exciting opportunity for experienced software engineers looking for a place to leave their mark, who are passionate about shaping an open source product with the highest quality, with and for the community!What you'll doBuild robust, scalable, leading-edge container imagesWork on automated Ci/CD processes for building, testing and publishing our container imagesWrite tools and tests for assessing security compliance and cloud-native compatibilityWork in Python and/or Go to deliver new functionalities to our container building toolsDemonstrate sound engineering principles by contributing directly to your team's goalsParticipate in strong engineering process through code and architectural reviewProvide technical feedback for the team's decision-making processEngage with the open source community as a subject-matter expertGrow our knowledge base and write documentationHelp design new tools and productsWork in a collaborative, agile and globally distributted environmentMentor and help hiringWork from home with global travel up to 15% for internal and external eventsWho you are - at least some of those statements apply to you:You are knowledgeable and passionate about software developmentYou have experience in collaborative developmentYou have worked with CI/CD systems (e.g. Jenkins, GitHub Actions, Concourse CI, etc.)You have a track record of delivering timely, high quality softwareYou have experience with container images and containerised operationsYou master at least one container management/orchestration tool (e.g. Docker, Kubernetes, etc.)You have hands-on experience with at least one public cloud (e.g. Microsoft Azure, GCP, AWS, etc.)You have significant experience with Python and/or GoYou are experienced with Linux systems administration and package managementYou have strong written and verbal communication skills to convey technical conceptsYou bring clarity to technical and engineering discussionsYou are someone who strongly believes that sharing is caring, and knowledge is powerYou have a Bachelor's or equivalent in Computer Science, STEM or similar degreeWhat Canonical Offers:Learning and development, with annual budget for professional developmentAnnual compensation reviewRecognition rewardsAnnual leavePriority Pass for travelWork remotely with a talented, distributed global teamCanonical is proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background lead to a better environment for our employees and a better platform for our users and customers. This is something we value deeply and we encourage everyone to come be a part of the world of Ubuntu.#stack","https://fi.linkedin.com/jobs/view/software-engineer-docker-images-community-at-canonical-3684309308"
