"company","job-title","level","description","job-url"
"Jefferson Frank","QA Engineer - Developer - Hybrid - Espoo/Helsinki","Entry level","Must be located in Finland.Job DescriptionEurope's leading power market, delivers efficient, simple and secure trading across Europe. The company itself is becoming fully Azure orientated and if you are into developing your skills this place can give you the tools for it. The company offers day-ahead and intraday trading, clearing and settlement to customers regardless of size or location.Role & Responsibilities Testing software for the clients development teams. Finding a way to break it and fix it. Spring Demo'sSkills & Qualifications JavaScript for Test Automation Bamboo, Jenkins, Skits Comfortable to run Sprint DemoBenefits Sport Vouchers Company HealthCare & more;This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.","https://fi.linkedin.com/jobs/view/qa-engineer-developer-hybrid-espoo-helsinki-at-jefferson-frank-3733878611"
"Oivan","Join our Team - Send an open application! (Finland)","Entry level","What We NeedYou can fill out an open application with CV where you can define what kind of job you are looking for and in which area. If you are a match with one of our jobs in the future, we may be in contact with you.Oivan is an inclusive and diverse workplace, and we welcome people from different backgrounds. Please note that some of our roles require partial or full-time relocation to our client premises in the Middle-East. We will help with this!What You'll DoYou will contribute to our team in the role that best matches you. This may fall under these roles:Project Manager Scrum ManagerFull Stack Developer (some familiarity with Ruby on Rails is a plus).NET Core developerSoftware Tester / QA EngineerDesigner (graphic, visual)Sales, Finance and HR functionsWhat You HaveYou are looking for one on more of these things, a new challenge, more experience within your domain of expertise or great teams to collaborate with.What We OfferOccupational Healthcare with Extra Healthcare insurance for specialist careTravel Insurance which covers personal trips up to seven (7) daysOptional pre-tax Edenred lunch cardOptional personal bike benefit through EtuFillariGenerous opportunities for professional development and training via our internal Grow with Oivan programs or sponsored educational and training endeavoursTeam building activities, movie nights, eventsAn international workforce to learn from and grow withGenerous remote work opportunitiesWho We AreOivan company culture is reflective of our core values: Responsibility, Reliability, and Fellowship. The decisions we make today influence our tomorrow. We are sincere in our responsibility towards our employees, customers and the environment. Fellowship unites us as an international community of thinkers and doers. Throughout our hiring process, you will have access to a broad representation of the Oivan team in order to get to know us as we learn about you. Feel free to contact areeb.quadir@oivan.com for any questions.Oivan as an Equal Opportunity EmployerAt Oivan, we appreciate different lifestyles and cultural backgrounds. We welcome diversity as a strength. We consider all applications equally regardless of race, colour, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, or gender identity. We strongly encourage individuals from groups traditionally underrepresented in tech to apply. On our equitable compensation model, we routinely analyse and close out pay disparities when we find them, including an annual compensation review.","https://fi.linkedin.com/jobs/view/join-our-team-send-an-open-application%21-finland-at-oivan-3655096234"
"Jefferson Frank","QA Engineer - Developer - Hybrid - Espoo/Helsinki","Entry level","Must be in Finland.Job DescriptionEurope's leading power market, delivers efficient, simple and secure trading across Europe. The company itself is becoming fully Azure orientated and if you are into developing your skills this place can give you the tools for it. The company offers day-ahead and intraday trading, clearing and settlement to customers regardless of size or location.Role & Responsibilities Testing software for the clients development teams. Finding a way to break it and fix it. Spring Demo'sSkills & Qualifications JavaScript for Test Automation Bamboo, Jenkins, Skits Comfortable to run Sprint DemoBenefits Sport Vouchers Company HealthCare & more;This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.","https://fi.linkedin.com/jobs/view/qa-engineer-developer-hybrid-espoo-helsinki-at-jefferson-frank-3718138412"
"Jefferson Frank","QA Engineer - Developer - Hybrid - Espoo/Helsinki","Entry level","Must be in Finland.Job DescriptionEurope's leading power market, delivers efficient, simple and secure trading across Europe. The company itself is becoming fully Azure orientated and if you are into developing your skills this place can give you the tools for it. The company offers day-ahead and intraday trading, clearing and settlement to customers regardless of size or location.Role & Responsibilities Testing software for the clients development teams. Finding a way to break it and fix it. Spring Demo'sSkills & Qualifications JavaScript for Test Automation Bamboo, Jenkins, Skits Comfortable to run Sprint DemoBenefits Sport Vouchers Company HealthCare & more;This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.","https://fi.linkedin.com/jobs/view/qa-engineer-developer-hybrid-espoo-helsinki-at-jefferson-frank-3681880401"
"Jefferson Frank","QA Engineer - Developer - Hybrid - Espoo/Helsinki","Entry level","Must be in Finland.Job DescriptionEurope's leading power market, delivers efficient, simple and secure trading across Europe. The company itself is becoming fully Azure orientated and if you are into developing your skills this place can give you the tools for it. The company offers day-ahead and intraday trading, clearing and settlement to customers regardless of size or location.Role & Responsibilities Testing software for the clients development teams. Finding a way to break it and fix it. Spring Demo'sSkills & Qualifications JavaScript for Test Automation Bamboo, Jenkins, Skits Comfortable to run Sprint DemoBenefits Sport Vouchers Company HealthCare & more;This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.","https://fi.linkedin.com/jobs/view/qa-engineer-developer-hybrid-espoo-helsinki-at-jefferson-frank-3676951509"
"Jefferson Frank","QA Engineer/Developer - Espoo - Hybrid","Entry level","Must be in Finland.Job DescriptionEurope's leading power market, delivers efficient, simple and secure trading across Europe. The company itself is becoming fully Azure orientated and if you are into developing your skills this place can give you the tools for it. The company offers day-ahead and intraday trading, clearing and settlement to customers regardless of size or location.Role & Responsibilities Testing software for the clients development teams. Finding a way to break it and fix it. Spring Demo'sSkills & Qualifications JavaScript for Test Automation Bamboo, Jenkins, Skits Comfortable to run Sprint DemosBenefits Sport Vouchers Company HealthCare & more;This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.","https://fi.linkedin.com/jobs/view/qa-engineer-developer-espoo-hybrid-at-jefferson-frank-3671478108"
"Jefferson Frank","QA Engineer/Developer - Espoo - Hybrid","Entry level","Must be in Finland.Job DescriptionEurope's leading power market, delivers efficient, simple and secure trading across Europe. The company itself is becoming fully Azure orientated and if you are into developing your skills this place can give you the tools for it. The company offers day-ahead and intraday trading, clearing and settlement to customers regardless of size or location.Role & Responsibilities Testing software for the clients development teams. Finding a way to break it and fix it. Spring Demo'sSkills & Qualifications JavaScript for Test Automation Bamboo, Jenkins, Skits Comfortable to run Sprint DemosBenefits Sport Vouchers Company HealthCare & more;This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.","https://fi.linkedin.com/jobs/view/qa-engineer-developer-espoo-hybrid-at-jefferson-frank-3683808852"
"Nigel Frank International","QA / Test Automation Specialists","Entry level","I am actively working with multiple clients right now looking for Test Automation Specialists and QA Engineers. If you are based in Finland and are looking for your next challenge I would love to speak with you.We would like you to have experience in tools such as: QA automation experience for at least 5 years from more than one company/project Python Robot Framework Selenium CI/CD with Jenkins/Azure/AWS Cloud implementations in general Azure/AWS/Google - certificates are a plus. Finnish language Git API/Integration Testing Agile ways of work JMeter Loadrunner Gatling ApacheBench Selenium Cypress KatalonNice to have: ISQTB certs for testing JavaScript Experience in RPA Accessibility testing Performance testingIf you have experience in one or multiple areas listed above I would love to hear from you!Email me at m.bright@nigelfrank.com for more info or apply directly to this advert!Looking forward to speaking with you!","https://fi.linkedin.com/jobs/view/qa-test-automation-specialists-at-nigel-frank-international-3716466033"
"Nigel Frank International","Test Automation","Entry level","Test Automation/QA Engineers Open ApplicationI am actively working with multiple clients right now looking for Test Automation Specialists and QA Engineers. If you are based in Finland and are looking for your next challenge I would love to speak with you.Despite alluding to a variety of different types of clients they all have one thing in common with the type of person they are looking for. You must be self-driven, and have a ""Hacker"" style mentality to come in and do everything you possibly can to break and fix their products.If you are a performance Tester we would expect you to have experience in tools such as JMeter, LoadRunner, Gatling, and Apache Bench.If you are a functional Tester we would expect you to have experience in Selenium, Cypress, Katalon etc.Either way, I would love to have a call with you to discuss the opportunities we have available right now, you can be located anywhere across Finland both English and Finnish speaking so if you are looking for your next challenge or assessing the market at the moment apply to this advert directly or drop me an email at r.breeze@nigelfrank.comLooking forward to speaking with you all!","https://fi.linkedin.com/jobs/view/test-automation-at-nigel-frank-international-3689489340"
"Canonical","Graduate Linux System Engineer - QA, Tooling, Automation","Entry level","We are seeking a software engineer passionate about software quality, Ubuntu, and the open source community, to join the Ubuntu Quality Engineering team as we expand the set of open source packages we fully support and secure.We see quality engineering as a first class engineering practice and are looking for people who can bring deep engineering insights to automation, testing capabilities, reporting and data analytics, as well as run processes in partnership with Canonical and community teams.Ubuntu strives to deliver the latest-best free software components, in an easy to use and highly reliable form. We build on the technical excellence of Debian and bring additional focus and shape to the solutions we offer the industry.As an Ubuntu Quality Engineer, you must be passionate about the future of Ubuntu, about quality and continuous integration and testing. You will work closely with multiple teams at the heart of Ubuntu and drive quality excellence. You will work closely with the Ubuntu Desktop, Server and Foundations team and put in place metrics for quality. You will research existing issues, troubleshoot and resolve problems, and identify opportunities for improvement and communicate them to the rest of the organization to drive the overall quality of Ubuntu. This is a great opportunity to start and progress your career in the QA domain.Location: This is a Globally remote roleWhat your day will look likeMonitor indicators of quality across the Ubuntu ecosystem and productsTroubleshoot and resolve issues in Ubuntu Desktop, Ubuntu Server and Ubuntu CoreEnhance our continuous integration to guard Ubuntu image, release and package qualityReport on KPIs and analytical insightsEmpower other teams for better planning and constant quality improvementsDevelop, enhance and automate test cases, from unit tests to end-to-end multi machine workloadsWork from home with international travel twice a year, for events up to two weeks longWhat we are looking for in youA strong software engineering, Linux, and open source backgroundIn-depth knowledge of Python and Shell scriptingExperience with C/C++Excellent troubleshooting skills and experience working with others to identify, isolate and resolve issuesExperience with quality processes and continuous integration toolsExperience working in an agile development environmentAdditional Skills That You Might Also BringExperience with Debian/Ubuntu based operating system and good understanding of Debian packaging and snaps would also be a considerable advantage.What we offer youWe consider geographical location, experience, and performance in shaping compensation worldwide. We revisit compensation annually (and more often for graduates and associates) to ensure we recognise outstanding performance. In addition to base pay, we offer a performance-driven annual bonus. We provide all team members with additional benefits, which reflect our values and ideals. We balance our programs to meet local needs and ensure fairness globally.Distributed work environment with twice-yearly team sprints in person - we've been working remotely since 2004!Personal learning and development budget of USD 2,000 per yearAnnual compensation reviewRecognition rewardsAnnual holiday leaveMaternity and paternity leaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues from your team and othersPriority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/graduate-linux-system-engineer-qa-tooling-automation-at-canonical-3689050651"
