"company","job-title","level","description","job-url"
"Nigel Frank International","UX/UI Designer","Entry level","Job Advertisement: Lead UI/UX Designer - 6 Month Contract RoleAre you a creative and experienced UI/UX designer with a passion for gaming? We have an exciting opportunity for a Lead UI/UX Designer to join our dynamic team for a 6-month contract. This is your chance to contribute to cutting-edge gaming experiences that captivate players across various platforms.Role & Responsibilities:As the Lead UI/UX Designer, you will play a pivotal role in shaping the visual and interactive elements of our upcoming project. Your responsibilities will include: Collaborating with cross-functional teams to create user-centered UI/UX designs that enhance player engagement. Developing intuitive and visually striking interfaces for both PC and console platforms, with a focus on seamless cross-play experiences. Utilizing your mobile shooter game expertise to bring innovative mobile interface designs to life. Leading the UI/UX design process from concept to implementation, ensuring a consistent and cohesive player experience. Translating AAA game standards into user interfaces that meet the high expectations of our players. Leveraging your PC/Console to mobile porting experience to adapt and optimize UI elements for mobile platforms. Conducting user research and analyzing player feedback to iterate and refine UI/UX designs for optimal usability.Skills & Qualifications:To succeed in this role, you should have: Extensive UI/UX design experience, ideally within the gaming industry. Proven expertise in designing for both PC and console platforms, with a deep understanding of their unique requirements. A strong portfolio showcasing your ability to create visually appealing and user-friendly interfaces. Experience in mobile shooter game design, ensuring a seamless and enjoyable gaming experience on mobile devices. Familiarity with cross-play mechanics and challenges, enabling you to design interfaces that facilitate smooth cross-platform interactions. Prior involvement in AAA or triple A game projects, demonstrating your ability to meet and exceed industry standards. A track record of successful UI/UX design for porting PC/Console games to mobile platforms.If you are a passionate UI/UX designer with a flair for creating exceptional gaming experiences, we want to hear from you! Join us in shaping the future of gaming interfaces.For more information, please contact: Phone: +46108885279 Email: t.moon@nigelfrank.com","https://fi.linkedin.com/jobs/view/ux-ui-designer-at-nigel-frank-international-3682917299"
"FRG Technology Consulting","Front End Developer - Product House","Entry level","Are you an ambitious Front-End Developer with a passion for building stunning user interfaces and interactive web applications using the latest web technologies? Do you have a deep understanding of React, JavaScript, and TypeScript? If you thrive in a creative and collaborative environment and are eager to contribute to cutting-edge projects, we have an exciting opportunity for you to join our team as a Front-End Developer!ResponsibilitiesCollaborate with the design and back-end development teams to implement and refine user interfaces with React, JavaScript, and TypeScript.Build reusable and modular components, ensuring the best performance and user experience.Optimize applications for maximum speed and scalability while maintaining a pixel-perfect user interface.Participate in code reviews, share knowledge, and provide constructive feedback to team members.Stay up-to-date with the latest front-end trends, techniques, and technologies, and advocate for their adoption when appropriate.Troubleshoot and debug complex issues to ensure the highest level of application stability and performance.Work closely with UX/UI designers to bring their concepts to life and ensure seamless integration with the back-end systems.Collaborate with cross-functional teams to deliver high-quality software solutions on time.RequirementsProven experience as a Front-End Developer, with a strong focus on React, JavaScript, and TypeScript.Proficiency in building responsive and user-friendly web applications with HTML5 and CSS3.Solid understanding of React best practices and design patterns, including hooks and context API.Strong knowledge of JavaScript and TypeScript, with the ability to write clean, maintainable, and testable code.Familiarity with state management libraries like Redux or MobX.Experience with RESTful APIs and asynchronous programming.Understanding of modern front-end build tools and package managers, such as Webpack, Babel, and npm.Ability to work collaboratively in a fast-paced environment and adapt quickly to changing requirements.Excellent problem-solving skills and attention to detail.A portfolio showcasing previous React and TypeScript projects is highly advantageous.Preferred QualificationsBachelor's degree in Computer Science, Web Development, or a related field.Familiarity with UI/UX design principles and the ability to collaborate effectively with designers.Knowledge of testing frameworks such as Jest, Enzyme, or Testing Library.Experience with server-side rendering and Next.js.Exposure to modern CSS frameworks like Tailwind CSS or Styled ComponentsReach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/front-end-developer-product-house-at-frg-technology-consulting-3687379169"
"Jefferson Frank","Front end Developer - Product House","Entry level","Are you an ambitious Front-End Developer with a passion for building stunning user interfaces and interactive web applications using the latest web technologies? Do you have a deep understanding of React, JavaScript, and TypeScript? If you thrive in a creative and collaborative environment and are eager to contribute to cutting-edge projects, we have an exciting opportunity for you to join our team as a Front-End Developer!Responsibilities Collaborate with the design and back-end development teams to implement and refine user interfaces with React, JavaScript, and TypeScript. Build reusable and modular components, ensuring the best performance and user experience. Optimize applications for maximum speed and scalability while maintaining a pixel-perfect user interface. Participate in code reviews, share knowledge, and provide constructive feedback to team members. Stay up-to-date with the latest front-end trends, techniques, and technologies, and advocate for their adoption when appropriate. Troubleshoot and debug complex issues to ensure the highest level of application stability and performance. Work closely with UX/UI designers to bring their concepts to life and ensure seamless integration with the back-end systems. Collaborate with cross-functional teams to deliver high-quality software solutions on time.Requirements Proven experience as a Front-End Developer, with a strong focus on React, JavaScript, and TypeScript. Proficiency in building responsive and user-friendly web applications with HTML5 and CSS3. Solid understanding of React best practices and design patterns, including hooks and context API. Strong knowledge of JavaScript and TypeScript, with the ability to write clean, maintainable, and testable code. Familiarity with state management libraries like Redux or MobX. Experience with RESTful APIs and asynchronous programming. Understanding of modern front-end build tools and package managers, such as Webpack, Babel, and npm. Ability to work collaboratively in a fast-paced environment and adapt quickly to changing requirements. Excellent problem-solving skills and attention to detail. A portfolio showcasing previous React and TypeScript projects is highly advantageous.Preferred Qualifications Bachelor's degree in Computer Science, Web Development, or a related field. Familiarity with UI/UX design principles and the ability to collaborate effectively with designers. Knowledge of testing frameworks such as Jest, Enzyme, or Testing Library. Experience with server-side rendering and Next.js. Exposure to modern CSS frameworks like Tailwind CSS or Styled ComponentsReach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/sarah-king-624956160/Email: s.king@jeffersonfrank.comPhone: +358 753 266584Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/front-end-developer-product-house-at-jefferson-frank-3687370683"
"Silo AI","Full Stack Software Developer","Entry level","AI for People defines what Silo AI stands for. We want to build a world with safe human-centric AI that frees the human mind from manual labour and empowers human creativity. We are looking experienced software developers interested in implementing production-grade AI solutions.As a Full Stack Software Developer you will be working on creating solutions and products for our clients. You will e.g. design and develop secure, and reliable web-based UI's and backend services for Machine Learning solutions. You will design and implement tools and applications that change the way we build and run our AI solutions and how we fit them into broader software systems. You will take care of packaging, testing, deploying, and supporting the software you deliver.Our current tech stack and tools consist of for example Python, Vue.js, React, PostgreSQL, MongoDB, Jenkins, and Kubernetes across private and public clouds Azure, AWS, and GCP. Read more about our cases that we have made for Infranode in automated lead generation and Philips in radiotherapy planning.What we valueStrong experience with our key technologies, including Python and preferably Vue.jsExperience in designing and building cloud-deployed web-based applications and data-heavy backend servicesInitiative, pragmatic problem solving, and great communication skillsDesire and ability to quickly acquire broad high-level intuition of AI systems and solutionsExperience in devops, AI systems and frameworks, scientific Python stack, edge deployments, and infrastructure automation is a big plusWhat Silo offers for you?As we already know, AI will be affecting almost everyone's work and everyday life. With us you have a real chance of shaping the change that AI will bring to everyone of us. You will get to choose your tools, methods, and ways of working together with the team while ramping it up. The products you develop will have a key role in expanding and accelerating the use of AI in large scale real world applications. Your closest colleagues will be an AI enthusiast mix of model developers and software experts working in the AI areas of computer vision, machine learning, and natural language processing. We aim for excellence by keep learning from the market, sharing our competence and looking for a growth mindset. We will help your learning for example through our Learning Labs and Talent CoachingInterested in joining us?Send your application and tell us why you are interested in the Software Developer role at Silo AI and what you are passionate about, along with relevant profiles (CV/LinkedIn/Github).","https://fi.linkedin.com/jobs/view/full-stack-software-developer-at-silo-ai-3641764678"
"FRG Technology Consulting","Multiple Software Developer Positions available across Finland","Entry level","Are you passionate about finance and technology? Do you want to be a part of an innovative and fast-growing finance start-up? If so, we have an exciting opportunity for you! Our finance start-up company is seeking talented and motivated developers to join our team. We are dedicated to revolutionizing the finance industry by leveraging cutting-edge technology, including AWS (Amazon Web Services), to provide top-notch solutions to our clients.Job DescriptionWe are looking for experienced Full Stack Developers, Front End Developers, and Back End Developers to help build and maintain our finance-related web and mobile applications. As a member of the development team, you will work with AWS technologies and play a key role in designing, developing, and deploying scalable and high-performance software solutions.ResponsibilitiesFull Stack Developer:Develop and maintain web and mobile applications from end to end.Collaborate with cross-functional teams to design and implement features.Ensure the responsiveness and optimal performance of applications.Troubleshoot and debug issues as they arise.Implement security and data protection measures.Stay up-to-date with emerging technologies and industry trends.Front End DeveloperDevelop and maintain user-friendly web interfaces.Collaborate with UI/UX designers to implement designs and enhance user experience.Optimize web applications for maximum speed and scalability.Ensure the technical feasibility of UI/UX designs.Troubleshoot and resolve front-end issues.Implement responsive design principles.Back End DeveloperDesign, build, and maintain server-side applications and APIs.Collaborate with front-end developers to integrate user-facing elements.Ensure the performance, scalability, and security of server-side components.Optimize applications for maximum speed and efficiency.Implement data storage and database solutions.Monitor and troubleshoot server-side issues.RequirementsStrong proficiency in AWS services and cloud computing.Proficiency in programming languages such as JavaScript, Python, Java, or Ruby.Experience with front-end frameworks and libraries (e.g., React, Angular, or Vue.js).Familiarity with server-side languages and frameworks (e.g., Node.js, Django, or Ruby on Rails).Solid understanding of web development principles and best practices.Excellent problem-solving and communication skills.Ability to work collaboratively in a team environment.Reach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/multiple-software-developer-positions-available-across-finland-at-frg-technology-consulting-3729930081"
"Nigel Frank International","Software Developer","Entry level","Open Application For Software DevelopersAre you a Software Developer or a Software Architect looking for a new role going into the second half of the year?I am actively working with multiple companies based in Finland that are seeking talented Developers and Architects to strengthen their teams going into August so that they can meet project demands.We work with a variety of different clients both from Consulting and In-house development backgrounds meaning depending on your preference we have something for you!Below is the core skills and job titles we are actively recruiting for throughout July, please note that start dates are flexible so if you are currently enjoying some much-needed vacation right now please still feel free to apply to the advert below and we can have a call to discuss what your preferences are and what the best timelines will be for you:Core skills (if you specialize in any please reach out) .NET/C# Azure AWS Modern frontend (React, Angular or Vue) Dynamics 365 CRM or ERP. BI & Data (Data warehousing, Databricks, ETL etc.) Java/Opensource technologies. UI/UX. DevOps. Much more!Skills & Qualifications Residency in Finland (This is a MUST) Finnish Speaking (Preference) Relevant Degree in the IT space.If you match the description of any of the points above I would love to hear from you, alternatively if you currently know anyone in Finland who is seeking a new opportunity within the IT sector please email me at r.breeze@nigelfrank.com.","https://fi.linkedin.com/jobs/view/software-developer-at-nigel-frank-international-3665775884"
"Nigel Frank International","Software Development Open Application","Entry level","Software Development - Open ApplicationAre you a Software Development professional living in Finland right now?I am actively working with multiple companies right now seeking a wide range of Software professionals who specialize in the Microsoft Eco-System.No matter your experience we have an opportunity for you, so if you are a Junior, Mid, or Senior level I would love to have a short discussion with you about what a role would need to look like for it to be interesting to you.Key Skills: .NET Core & C# MSSQL Azure experience (Azure DevOps, Azure Blob Storage, Azure Virtual Machines, Azure Backup, Azure Cosmos DB, Azure Logic Apps, Azure Active Directory, API management & more) Modern JavaScript (React, Angular, Vue) Dynamics 365 Power Platform Power Apps Power Automate AWS TypeScript UI/UX Much more!If you fit any of these criteria or you are curious about other opportunities on the market right now please apply to this advert with your CV attached or reach me directly at r.breeze@nigelfrank.com","https://fi.linkedin.com/jobs/view/software-development-open-application-at-nigel-frank-international-3677224145"
"iHeadHunt","Web Developer, Backend Developer  & Test Automation Engineer roles, Finland","Entry level","On behalf of our client in Finland, who has many ongoing - and starting projects in several cities, we are looking to find the right talent to following fulltime roles : Web Developer, Test Automation Engineer, and Backend Developer.Your future colleagues are waiting you to join our international team.We are working in the really modern and comfortable offices aroundFinland (The position can be in Helsinki,Tampere, Oulu or in Turku).Working with us is uncomplicated and easy due to our goodteam spirit, low-hierarchy and nonexistent bureaucracy. Our way ofworking is flexible, and you are allowed to work also remotely as longas you are able to visit our office time to time when needed. We hopeyou are able to start as soon as possible, but we are ready tonegotiate it.Available positions: Web DeveloperLocation: Tampere, Helsinki, Turku & OuluLanguage skills: Finnish requiredRequirements:React, Node, Java, C#min. 5 + years of experience Test Automation SpecialistLocation: Tampere, Helsinki, Turku & Oulu.Language: English okRequirements:5 years or more work experience in quality assurance and one or more testing software Solid skills with multiple test automation related frameworks/tools/libraries (such as Robot Framework, Jenkins, Selenium, Jira, JUnit, Docker etc.) Ability to script with at least one programming language Experience in agile environment (e.g. DevOps, Scrum) Work experience of testing embedded devices and/or web services Understanding of various test processes, types and methodsBackend DeveloperLocation: Tampere, Helsinki, Turku & Oulu.Language skills: English okRequirements: React, Python, REST, PostgreSQLNice to have - skills:Material UI, FastAPI, Kafkamin. 5 + years of experience About the company:A modern software company that develops state-of-the-art technology solutions for the automotive, telecommunications and industry sectors. Creating success by rewriting the Finnish software development success story in a completely new way. The operations revolve around people to support well-being and development – not forgetting exceptional results to our customers.Interested? Recruitment is handled by iHeadHunt and you can contact Marle Kettunen on +358 503361636 or mk@iheadhunt.dk if you want to know more about the role. Applications are continuously assessed, so please apply as fast as possible!","https://fi.linkedin.com/jobs/view/web-developer-backend-developer-test-automation-engineer-roles-finland-at-iheadhunt-3664559683"
"Nigel Frank International","Software Development Open Application","Entry level","Finnish Speaking Software Development - Open ApplicationAre you a Finnish-speaking Software Developer residing in Finland right now?I am actively working with multiple companies right now seeking a wide range of Software Developers who specialize in the Microsoft Eco-System.No matter your experience we have an opportunity for you, so if you are a Junior, Mid Level, or Senior Developer I would love to have a short discussion with you about what a role would need to look like for it to be interesting to you.Key Skills: .NET Core & C# MSSQL Azure experience (Azure DevOps, Azure Blob Storage, Azure Virtual Machines, Azure Backup, Azure Cosmos DB, Azure Logic Apps, Azure Active Directory, API management & more) Modern JavaScript (React, Angular, Vue) Dynamics 365 AWS TypeScript UI/UX Much more!If you fit any of these criteria or you are curious about other opportunities on the market right now please apply to this advert with your CV attached or reach me directly at r.breeze@nigelfrank.com","https://fi.linkedin.com/jobs/view/software-development-open-application-at-nigel-frank-international-3681592831"
"Qt Group","Solution Engineer","Entry level","In Qt, we work hard but try not to take ourselves too seriously. We are highly adaptable and constantly evolving. We are passionate about our products and solutions, and we live for our customers. We have high expectations and a career at Qt means challenging yourself to always be better.The sales activity for our main product Qt and associated Consulting Services is growing fast in our major territories and The Qt Company has a solid customer base, containing a large number of internationally well-branded companies. Our customers use our tools for highly valued developments of applications in different areas such as EDA, Medical, consulting, Telecommunications, and Automotive, among others. The EMEA market is among the most important regions for Qt and provides an excellent opportunity for a skilled and experienced sales professional to take responsibility for developing the Qt business in markets with strong potential. The Sales Engineer is responsible for pre-sales technical assistance for the regional sales teams and will perform technical presentations & demonstrations of the Qt product line, in addition, be involved in all aspects of the technical sales.ResponsibilitiesDirectly responsible for teaming with the sales team through all aspects of the sales cycle.Understand technical customer requirements and find solutions together with Product Management / R&D.Provide strategic and senior-level product presentations, demonstrations, and trade show support.Follow up on prospects and accounts for functional/technical issues related to the sales cycle and guarantee a successful customer experience.Manage product evaluations and prepare RFP/RFI responses.Coordinate the technical training of the sales teams.Identify the need for additional sales, training, and consulting.ExperienceTechnical knowledge and understanding of the development processes5+ years of experience in technical selling, embedded technology, or similarSolid understanding and experience with C/C++ and preferably other object-oriented languagesQt knowledge is a clear advantage.Knowledge of a low-level software stackExcellent presentation, demonstration, and facilitation skills in leading meetings, trials, and projectsExperience with the creation, customization, and delivery of presentationsFluent verbal and written communication in EnglishBachelor’s degree in computer science/ technology or equivalent related experienceSkillsAutonomous and organized with effective communication skills, listening, verbal, and written.Must take initiative and be a proactive member of the sales team.Team player with interpersonal skills to work with sales and technical staff in a dynamic and innovative company environment.Very good business understanding.Willing and able to travel 20% within EMEAThe role is based in one of our offices in Europe; Espoo, Finland; Oslo, Norway; Paris, France or Munich/Berlin/Hamburg, Germany.What We OfferAt Qt, you get to work with a truly global team in an innovative and fun environment and with world-leading customers and a large, unique community. We have a cool product, but it is our people that make us exceptionalEasy-going atmosphere with talented and great colleagues from many parts of the worldChances to learn new every dayNice office space and ergonomic equipmentFull support for your mental health at work and at home via Auntie Program Flexible and remote-friendly policy Language learning platform Diverse teams from different cultures promote creativity and inclusivity. Mobile Phone Plus local benefitsAbout QtQt Group (Nasdaq Helsinki: QTCOM) is a global software company, trusted by industry leaders and over 1.5 million developers worldwide to create applications and smart devices that users love. We help our customers to increase productivity through the entire product development lifecycle - from UI design and software development to quality management and deployment.Our customers are in more than 70 different industries in over 180 countries. Qt Group is headquartered in Espoo, Finland, and employs almost 700 people globally. To learn more, visit www.qt.ioBe yourself at QtAt Qt, we appreciate the individual differences of our employees and aim to promote diversity through all our practices. We provide a workplace that generates equal opportunities regardless of gender, religion, national origin, age, disabilities, and any other factors. We have unique products, but our people make us exceptional. We strongly encourage people from all groups to apply – we welcome you as you are.","https://fi.linkedin.com/jobs/view/solution-engineer-at-qt-group-3648701875"
