"company","job-title","level","description","job-url"
"Nigel Frank International","UX/UI Designer","Entry level","Job Advertisement: Lead UI/UX Designer - 6 Month Contract RoleAre you a creative and experienced UI/UX designer with a passion for gaming? We have an exciting opportunity for a Lead UI/UX Designer to join our dynamic team for a 6-month contract. This is your chance to contribute to cutting-edge gaming experiences that captivate players across various platforms.Role & Responsibilities:As the Lead UI/UX Designer, you will play a pivotal role in shaping the visual and interactive elements of our upcoming project. Your responsibilities will include: Collaborating with cross-functional teams to create user-centered UI/UX designs that enhance player engagement. Developing intuitive and visually striking interfaces for both PC and console platforms, with a focus on seamless cross-play experiences. Utilizing your mobile shooter game expertise to bring innovative mobile interface designs to life. Leading the UI/UX design process from concept to implementation, ensuring a consistent and cohesive player experience. Translating AAA game standards into user interfaces that meet the high expectations of our players. Leveraging your PC/Console to mobile porting experience to adapt and optimize UI elements for mobile platforms. Conducting user research and analyzing player feedback to iterate and refine UI/UX designs for optimal usability.Skills & Qualifications:To succeed in this role, you should have: Extensive UI/UX design experience, ideally within the gaming industry. Proven expertise in designing for both PC and console platforms, with a deep understanding of their unique requirements. A strong portfolio showcasing your ability to create visually appealing and user-friendly interfaces. Experience in mobile shooter game design, ensuring a seamless and enjoyable gaming experience on mobile devices. Familiarity with cross-play mechanics and challenges, enabling you to design interfaces that facilitate smooth cross-platform interactions. Prior involvement in AAA or triple A game projects, demonstrating your ability to meet and exceed industry standards. A track record of successful UI/UX design for porting PC/Console games to mobile platforms.If you are a passionate UI/UX designer with a flair for creating exceptional gaming experiences, we want to hear from you! Join us in shaping the future of gaming interfaces.For more information, please contact: Phone: +46108885279 Email: t.moon@nigelfrank.com","https://fi.linkedin.com/jobs/view/ux-ui-designer-at-nigel-frank-international-3682917299"
"CGI","Sovelluskehittäjä","Entry level","Position DescriptionVuonna 1976 perustettu CGI on maailman ja Suomen suurimpia IT- ja liiketoimintakonsultoinnin palveluyhtiöitä – ja tuhansien erilaisten uratarinoiden talo. Lisätietoa www.cgi.fi.SovelluskehittäjäKoetko osaavasi rakentaa parempia julkisen sektorin palveluita kuin mitä olet nähnyt? Tule näyttämään osaamisesi ja lähde mukaan rakentamaan tulevaisuuden digitaalisia julkishallinnon palveluita!Meillä CGI:llä sovelluskehittäjät ovat ratkaisujen suunnittelijoita ja toteuttajia: arjessa rinnallasi työskentelevät ja osaamistaan jakavat niin omat asiantuntijamme kuin UX-tiimi sekä eri toimialojensa huippuosaajat.Tässä roolissa pääset työskentelemään vastuullisessa asemassa ketterissä projekteissa, joissa pureudutaan esimerkiksi tiedontuotannon kehittämis- ja ylläpitotehtäviin, määrittelytehtäviin ja pilvipalveluiden hallintatehtäviin. Meillä työskentely ei jämähdä siiloihin, vaan pääset sparrailemaan tiiviisti mielenkiintoisten sidosryhmien kanssa (mm. asiakkaat, designerit ja projektijohto).Tuleva tiimisi työskentelee joustavasti hybridimallilla eri paikkakunnilla. Sijaintisi voi olla myös pääkaupunkiseudun ulkopuolella, mutta sijainnista pääkaupunkiseudulla on etua mm. asiakkaan kanssa tehtävää yhteistyötä varten.Toivomme sinultaEtsimme kokenutta Java full stack -kehittäjää, jolta löytyy kokemusta nykyaikaisesta CI/CD -putkesta sekä web-kehityksestä.Tehtävässä onnistuminen edellyttää sujuvaa suullista ja kirjallista suomen kielen taitoa.Meillä CGI:llä…… olet member.Tarjoamme sinulle paitsi työn, jossa voit kehittyä haluamaasi suuntaan, myös mahdollisuuden omistaa yhtiön osakkeita. Koska yli 80 prosenttia henkilöstöstämme on myös omistajia, kutsumme henkilöstöämme membereiksi. Membereinä pääsemme nauttimaan CGI:n taloudellisesta menestyksestä ja rakentamaan toiveidemme mukaista yhtiötä.… saat olla sellainen kuin olet.Meitä on 3 700 ympäri Suomen ja meille on tärkeää, että jokainen meistä saa olla työpaikalla oma itsensä. Monimuotoiset tiimimme määrittelevät itse, millaiset joustavat työnteon tavat niille parhaiten sopivat. Meillä työ myös joustaa, kun elämäntilanne sitä vaatii.… sinusta pidetään huolta.Meille CGI:n membereille on tärkeää, että tuemme ja autamme aina toisiamme. Et ole koskaan yksin: tuhansista huippuasiantuntijoistamme löytyy aina joku, johon tukeutua. Ja tarjoamme tietysti myös laajan valikoiman henkilöstöetuja, jotka auttavat sinua voimaan paremmin.… innostut työstäsi – yhä uudelleen.Meillä viihdytään pitkään, koska kokoisessamme talossa on tarjolla aina uusia uramahdollisuuksia ja niihin siirtyminen on tehty helpoksi. Kun kaipaat vaihtelua, voit ottaa haltuun uuden teknologian, toimialan tai asiakkuuden – ja kun kaipaat työltä joustoa uudessa elämäntilanteessa, sekin järjestyy. Tule meille rakentamaan itsesi näköinen ura!Kiinnostuitko?Hienoa! Seuraavaksi toivoisimme kuulevamme lisää sinusta. Haethan tehtävää rekrytointijärjestelmämme kautta osoitteessa www.cgi.fi/ura niin pian kuin mahdollista, mutta kuitenkin viimeistään 23.10.2023.Lisätietoja tehtävästä antaa Jesse Julkunen, p. 040 801 8935.Perusmuotoinen turvallisuusselvitys tullaan tekemään tehtävän niin vaatiessa.Your future duties and responsibilitiesRequired Qualifications To Be Successful In This RoleInsights you can act onWhile technology is at the heart of our clients’ digital transformation, we understand that people are at the heart of business success.When you join CGI, you become a trusted advisor, collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes. We call our employees “members” because they are CGI shareholders and owners, and, as owners, we enjoy working and growing together to build a company we are proud of. This has been our Dream since 1976, and it has brought us to where we are today—one of the world’s largest independent providers of IT and business consulting services.At CGI, we recognize the richness that diversity brings. We strive to create a work culture where everyone belongs, and we collaborate with clients in building more inclusive communities. As an equal opportunity employer, we empower all our members to succeed and grow. If you require an accommodation at any point during the recruitment process, please let us know. We will be happy to assist.Ready to become part of our success story? Join CGI—where your ideas and actions make a difference.","https://fi.linkedin.com/jobs/view/sovelluskehitt%C3%A4j%C3%A4-at-cgi-3728032531"
"University of Helsinki","Tietojärjestelmäasiantuntija","Entry level","Etsimme työkaveria Multivision Diagnostics tiimiimmetietojärjestelmäasiantuntijaksi (Full Stack Software Engineer)12 kuukauden määräaikaiseen työsuhteeseen 1.1.-31.12.2024.Multivision Diagnostics Research to Business -hanke sai Business Finlandilta kahden vuoden rahoituksen 1.1.2023-31.12.2024. Viisihenkinen T&K tiimi kehittää uuden sukupolven digitaalisen patologian työkalua syövän diagnostiikkaan. Tavoite on perustaa startup yritys v. 2025 alussa.Tietojärjestelmäasiantuntijan tehtäviin kuuluu muun muassaYhteistyö tiimin kanssa korkealaatuisen lääketieteellisen kuvantamisalustan suunnittelussa, kehittämisessä ja ylläpidossa.Vastuu ohjelmistokehityksen elinkaaren kaikkiin vaiheisiin suunnittelusta käyttöönottoon ja ylläpitoon.Ottaa käyttöön ja optimoida pilvipohjaista arkkitehtuuria ja palveluita.Etu- ja taustakomponenttien kehittäminen optimaalisen suorituskyvyn varmistamiseksi.Tehtävään valittavilta henkilöiltä odotammeVähintään 3 vuoden kokemus Full Stack -ohjelmistosuunnittelijana.Pilviteknologian ja -arkkitehtuurien vahva ymmärrys, Azure- tai AWS-kokemus etusijalla.Tunnet taustakehyksen, kuten .NET (C#), Django tai Flask (Python), Spring Boot (Java tai Kotlin) tai NestJS (JavaScript tai TypeScript).Vahvat ohjelmointitaidot HMTL:ssä, CSS:ssä ja JavaScriptissä sekä kokemusta verkkokehityskehyksestä, kuten React tai Angular.SQL- ja/tai NoSQL-tietokantojen (PostgreSQL, MS SQL Server, MongoDB tai Azure Cosmos DB) taito.Hyvä Git-versionhallinnan taito ja kokemus DevOps-kontekstista.Tieto tai kokemus CI/CD-konsepteista ja työkaluista, kuten GitHub tai GitLab.Sujuva englannin kielen taito.Osaamista mikä katsotaan eduksi tehtävässäKokemus työskentelystä lääketieteellisten kuvien käsittely-, analysointi- tai visualisointiohjelmistojen kanssa kliinisessä tai tutkimusympäristössä.Kokemus koodin suorituskyvyn optimoinnista.UX- ja visuaaliset suunnittelutaidot.Tarjoammemahdollisuuden kehittää asiantuntemustasi innovatiivisen digitaalisen patologian työkalun kehittämisessä.työkavereiksi osaavia ja mukavia kollegoja ja työyhteisön, jossa viihdytään.vakaan työympäristön sekä joustavan työn ja vapaa-ajan tasapainon. mahdollisuuden oppia ja kehittää ammattitaitoa omaa tehtävänkuvaa laajemmin.työympäristön monitieteisessä, maailman parhaimpiin lukeutuvassa tutkimusyliopistossa mielenkiintoisten haasteiden parissa. Unisportin henkilökuntahintaiset edulliset liikuntapalvelut.Tehtävän palkkaus on 3600-4600 euroa kuukaudessa, ja määräytyy tehtävään valittavan henkilön osaamisen ja kokemuksen mukaan. Voit myös kertoa palkkatoiveesi hakemuksen jättämisen yhteydessä rekrytointijärjestelmässä. Työsopimuksessa sovelletaan kuuden kuukauden koeaikaa.Lisätietoja tehtävästä antaa Mikael Muittari, mikael.muittari (at)helsinki.fi, puh. 040-5780818 , 9.10. ja 10.10. klo 10.00-12.00.Kiinnostuitko tehtävästä? Jätä hakemuksesi rekrytointijärjestelmämme kautta Hae paikkaa –linkistä viimeistään 23.10.2023. Sinun ei tarvitse täyttää järjestelmässä kuin henkilötietosi ja liittää lyhyt hakemusteksti järjestelmään, jossa kerrot osaamisestasi sekä ansioluettelo (CV) pdf-muodossa. Helsingin yliopistoon työsuhteessa olevat sisäiset hakijat jättävät hakemuksensa tehtävään SAP HR -portaalissa .Helsingin yliopisto toivoo hakijoita monipuolisesti eri sukupuolten edustajista, kieli- ja kulttuuritaustoista sekä vähemmistöistä. Lue lisää Helsingin yliopistosta työnantajana .Lääketieteellinen tiedekunta edistää korkeatasoista tieteellistä tutkimusta ja vastaa tutkimukseen perustuvasta lääketieteen, hammaslääketieteen, psykologian ja logopedian perusopetuksesta sekä niiden jatko- ja täydennyskoulutuksesta. Tiedekunta vastaa myös translationaalisen lääketieteen (TransMed) maisteriohjelmasta, ja järjestää psykoterapeuttikoulutusta, joka on terveydenhuollon ammattihenkilöstön jatkokoulutukseen verrattavaa täydennyskoulutusta. Opetus- ja tutkimustoiminnan ohella tiedekunta toimii terveydenhuollon merkittävänä asiantuntijaorganisaationa ja yhteiskunnallisena vaikuttajana, ja osallistuu alan eettiseen keskusteluun. Tiedekunnan päämääränä on pysyä tutkimuksessa maailman parhaiden lääketieteellisten tiedekuntien joukossa ja vakiinnuttaa ja vahvistaa asemaansa terveydenhuollon monitieteisen opetuksen huippuyksikkönä.Helsingin yliopiston lääketieteellinen tiedekunta muodostaa yhdessä HUS Helsingin yliopistollisen sairaalan ja Helsinki Institute of Life Science (HiLIFE) kanssa akateemisen lääke- ja biolääketiedekeskittymän, ja lukeutuu Euroopan 10 ja maailman 50 parhaan lääketiedekampuksen joukkoon.Lääketieteellisen tiedekunnan tutkimusohjelmayksikkö (TOY) vahvistaa huippututkimusta kohdennetuilla tutkimusohjelmilla, joissa tutkitaan ihmisen terveyden suurimpia haasteita.","https://fi.linkedin.com/jobs/view/tietoj%C3%A4rjestelm%C3%A4asiantuntija-at-university-of-helsinki-3732705077"
"FRG Technology Consulting","Front End Developer - Product House","Entry level","Are you an ambitious Front-End Developer with a passion for building stunning user interfaces and interactive web applications using the latest web technologies? Do you have a deep understanding of React, JavaScript, and TypeScript? If you thrive in a creative and collaborative environment and are eager to contribute to cutting-edge projects, we have an exciting opportunity for you to join our team as a Front-End Developer!ResponsibilitiesCollaborate with the design and back-end development teams to implement and refine user interfaces with React, JavaScript, and TypeScript.Build reusable and modular components, ensuring the best performance and user experience.Optimize applications for maximum speed and scalability while maintaining a pixel-perfect user interface.Participate in code reviews, share knowledge, and provide constructive feedback to team members.Stay up-to-date with the latest front-end trends, techniques, and technologies, and advocate for their adoption when appropriate.Troubleshoot and debug complex issues to ensure the highest level of application stability and performance.Work closely with UX/UI designers to bring their concepts to life and ensure seamless integration with the back-end systems.Collaborate with cross-functional teams to deliver high-quality software solutions on time.RequirementsProven experience as a Front-End Developer, with a strong focus on React, JavaScript, and TypeScript.Proficiency in building responsive and user-friendly web applications with HTML5 and CSS3.Solid understanding of React best practices and design patterns, including hooks and context API.Strong knowledge of JavaScript and TypeScript, with the ability to write clean, maintainable, and testable code.Familiarity with state management libraries like Redux or MobX.Experience with RESTful APIs and asynchronous programming.Understanding of modern front-end build tools and package managers, such as Webpack, Babel, and npm.Ability to work collaboratively in a fast-paced environment and adapt quickly to changing requirements.Excellent problem-solving skills and attention to detail.A portfolio showcasing previous React and TypeScript projects is highly advantageous.Preferred QualificationsBachelor's degree in Computer Science, Web Development, or a related field.Familiarity with UI/UX design principles and the ability to collaborate effectively with designers.Knowledge of testing frameworks such as Jest, Enzyme, or Testing Library.Experience with server-side rendering and Next.js.Exposure to modern CSS frameworks like Tailwind CSS or Styled ComponentsReach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/front-end-developer-product-house-at-frg-technology-consulting-3687379169"
"Jefferson Frank","Front end Developer - Product House","Entry level","Are you an ambitious Front-End Developer with a passion for building stunning user interfaces and interactive web applications using the latest web technologies? Do you have a deep understanding of React, JavaScript, and TypeScript? If you thrive in a creative and collaborative environment and are eager to contribute to cutting-edge projects, we have an exciting opportunity for you to join our team as a Front-End Developer!Responsibilities Collaborate with the design and back-end development teams to implement and refine user interfaces with React, JavaScript, and TypeScript. Build reusable and modular components, ensuring the best performance and user experience. Optimize applications for maximum speed and scalability while maintaining a pixel-perfect user interface. Participate in code reviews, share knowledge, and provide constructive feedback to team members. Stay up-to-date with the latest front-end trends, techniques, and technologies, and advocate for their adoption when appropriate. Troubleshoot and debug complex issues to ensure the highest level of application stability and performance. Work closely with UX/UI designers to bring their concepts to life and ensure seamless integration with the back-end systems. Collaborate with cross-functional teams to deliver high-quality software solutions on time.Requirements Proven experience as a Front-End Developer, with a strong focus on React, JavaScript, and TypeScript. Proficiency in building responsive and user-friendly web applications with HTML5 and CSS3. Solid understanding of React best practices and design patterns, including hooks and context API. Strong knowledge of JavaScript and TypeScript, with the ability to write clean, maintainable, and testable code. Familiarity with state management libraries like Redux or MobX. Experience with RESTful APIs and asynchronous programming. Understanding of modern front-end build tools and package managers, such as Webpack, Babel, and npm. Ability to work collaboratively in a fast-paced environment and adapt quickly to changing requirements. Excellent problem-solving skills and attention to detail. A portfolio showcasing previous React and TypeScript projects is highly advantageous.Preferred Qualifications Bachelor's degree in Computer Science, Web Development, or a related field. Familiarity with UI/UX design principles and the ability to collaborate effectively with designers. Knowledge of testing frameworks such as Jest, Enzyme, or Testing Library. Experience with server-side rendering and Next.js. Exposure to modern CSS frameworks like Tailwind CSS or Styled ComponentsReach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/sarah-king-624956160/Email: s.king@jeffersonfrank.comPhone: +358 753 266584Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/front-end-developer-product-house-at-jefferson-frank-3687370683"
"Canonical","Web Developer","Entry level","Our mission is great open sourceIt is our mission to make open source software available to people everywhere. We create world-renowned software, impacting the lives of millions of people every day.The web team works in a multi-disciplinary environment with visual designers, UX designers and other developers to bring exciting new web projects to life. We help and learn from each other and constantly strive to improve both our work and our processes.Required Skills And ExperienceDemonstrable experience of work on modern web applicationsA strong understanding of HTML, CSS with SCSS and JavaScriptExperience with Javascript components librariesExperience with TypeScriptExperience with responsive user interfaces for a wide range of devices and browsersExperience with Git or other version control systemsAwareness of SEO best practiceConsideration of accessibility in all aspects of your workA strong understanding of web performance in complex user interfacesAbility to interact with UX, designers and server-side developersCuriosity about technology and a thirst to learnBased in EMEA timezones (Europe, the Middle East and Africa)University degree or equivalent educationUseful experience if you have itFamiliarity with Linux desktop technologiesServer-side languages, such as Python or NodeJSExperience working on a large scale React (with TypeScript) projectA history of open source contributionsRelevant work experienceWho you areWe want a Web Developer who loves what they do. You are passionate about web standards and keep abreast of new developments in our industry. You always look for opportunities to improve your skills. You like to show off what you're working on and also learn from others. You have strong attention to detail and value the design of a product as much as you value the code. You have strong communication skills and maybe even blog once in a while. You're aware of the latest CSS techniques but also know the limitations that developing for a broad audience can bring - actually, you embrace the challenge.In this teamYou'll create high fidelity websites and web apps using the latest incarnations of HTML, CSS (SCSS) and Javascript (React and TypeScript)You'll help maintain existing projects including updating content and adding new pagesYou'll manage incoming requests for updates and liaise with or delegate to other people as necessaryYou'll ensure the standard of our output remains high and consistent across our whole product portfolioYou'll ensure new pages are published according to specification and in compliance with our web style guideYou'll participate in and contribute to our living style guide, Vanilla Framework. Work closely with UX designers and visual designers to implement exemplary user experiences. What we offerAn opportunity to help shape a company and products with a strong influence in the open source communityAn inclusive work environment within a team of friendly people with a broad range of skill sets, from UX designers to copywritersLearning and developmentAnnual compensation reviewRecognition rewardsAnnual leavePriority Pass for travelWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/web-developer-at-canonical-3724274616"
"Braintrust","Software Engineer - Graphics - Direct Hire [Remote]","Entry level","ABOUT US:Braintrust is a user-owned talent network that connects you with great jobs with no fees or membership costs—so you keep 100% of what you earn.Our promise is to give you the opportunity to uniquely differentiate yourself as a top performer.Our promise to our clients is to help them efficiently discover and hire highly qualified talent like you.ABOUT THE HIRING PROCESS:The hiring process for this role involves completing your Braintrust profile, applying directly to the role on Braintrust, and undergoing a one-time screening to ensure you meet our vetted talent specifications. After this, the hiring team will contact you directly if they believe you are a suitable match.Our process isn't for everyone, that's intentional. If you believe that you are a top candidate for this job, please join our network to give yourself the opportunity to work with top companies.JOB TYPE: Direct Hire/ FTE Position (no agencies/C2C - see notes below)LOCATION: Remote - EuropeSALARY RANGE: $25,000 – $40,000/yr ESTIMATED DURATION: 40h/week - Long termBRAINTRUST JOB ID: 6978 THE OPPORTUNITYAbout UsCollaborative 3D building design tool (Think Figma for building designs).More than 4k users globally with renowned firms like WeWork, Square Yards, etc implementing projects on Snaptrude. Backed by Accel Partners, Foundamental, Tiferes VC among other notable investors.Qualifications 1+ years of graphics development work experience, preferably with exposure to WebGL, threejs, GLSL shaders etc  Very strong fundamentals in Javascript programming & computer graphics  An added benefit if familiar with ExpressJS and/or Django frameworks Strong fundamentals in Algorithms & Data Structures  You learn quickly, regardless of the languages and technologies used  You have experience taking ownership and shipping entire features end-to-end  A strong focus on user experience. You're someone who's passionate about building beautiful, modern UX that people love.  What you’ll be working on Build modular, reusable components and features for our graphics engine  Own & implement modules in the product with a huge amount of autonomy  Find and address graphics & rendering issues  Collaborate with a small and nimble team of engineers Apply Now!Notes:Our employers all have varying legal and geographic requirements for their roles, they trust Braintrust to find them the talent that meet their unique specifications. For that reason, this role is not available to C2C candidates working with an agency. If you are a professional contractor who has created an LLC/corp around their consulting practice, this is well aligned with Braintrust and we’d welcome your application.Braintrust values the multitude of talents and perspectives that a diverse workforce brings. All qualified applicants will receive consideration for employment without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or protected veteran status.","https://fi.linkedin.com/jobs/view/software-engineer-graphics-direct-hire-remote-at-braintrust-3735402111"
"FRG Technology Consulting","Multiple Software Developer Positions available across Finland","Entry level","Are you passionate about finance and technology? Do you want to be a part of an innovative and fast-growing finance start-up? If so, we have an exciting opportunity for you! Our finance start-up company is seeking talented and motivated developers to join our team. We are dedicated to revolutionizing the finance industry by leveraging cutting-edge technology, including AWS (Amazon Web Services), to provide top-notch solutions to our clients.Job DescriptionWe are looking for experienced Full Stack Developers, Front End Developers, and Back End Developers to help build and maintain our finance-related web and mobile applications. As a member of the development team, you will work with AWS technologies and play a key role in designing, developing, and deploying scalable and high-performance software solutions.ResponsibilitiesFull Stack Developer:Develop and maintain web and mobile applications from end to end.Collaborate with cross-functional teams to design and implement features.Ensure the responsiveness and optimal performance of applications.Troubleshoot and debug issues as they arise.Implement security and data protection measures.Stay up-to-date with emerging technologies and industry trends.Front End DeveloperDevelop and maintain user-friendly web interfaces.Collaborate with UI/UX designers to implement designs and enhance user experience.Optimize web applications for maximum speed and scalability.Ensure the technical feasibility of UI/UX designs.Troubleshoot and resolve front-end issues.Implement responsive design principles.Back End DeveloperDesign, build, and maintain server-side applications and APIs.Collaborate with front-end developers to integrate user-facing elements.Ensure the performance, scalability, and security of server-side components.Optimize applications for maximum speed and efficiency.Implement data storage and database solutions.Monitor and troubleshoot server-side issues.RequirementsStrong proficiency in AWS services and cloud computing.Proficiency in programming languages such as JavaScript, Python, Java, or Ruby.Experience with front-end frameworks and libraries (e.g., React, Angular, or Vue.js).Familiarity with server-side languages and frameworks (e.g., Node.js, Django, or Ruby on Rails).Solid understanding of web development principles and best practices.Excellent problem-solving and communication skills.Ability to work collaboratively in a team environment.Reach Out To Learn MoreMy client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out.This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/george-heron-aa8676138/Email: g.heron@frankgroup.comPhone: +358 753 266586Book a Meeting: https://calendly.com/g-heronPlease Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/multiple-software-developer-positions-available-across-finland-at-frg-technology-consulting-3729930081"
"Nigel Frank International","Software Developer","Entry level","Open Application For Software DevelopersAre you a Software Developer or a Software Architect looking for a new role going into the second half of the year?I am actively working with multiple companies based in Finland that are seeking talented Developers and Architects to strengthen their teams going into August so that they can meet project demands.We work with a variety of different clients both from Consulting and In-house development backgrounds meaning depending on your preference we have something for you!Below is the core skills and job titles we are actively recruiting for throughout July, please note that start dates are flexible so if you are currently enjoying some much-needed vacation right now please still feel free to apply to the advert below and we can have a call to discuss what your preferences are and what the best timelines will be for you:Core skills (if you specialize in any please reach out) .NET/C# Azure AWS Modern frontend (React, Angular or Vue) Dynamics 365 CRM or ERP. BI & Data (Data warehousing, Databricks, ETL etc.) Java/Opensource technologies. UI/UX. DevOps. Much more!Skills & Qualifications Residency in Finland (This is a MUST) Finnish Speaking (Preference) Relevant Degree in the IT space.If you match the description of any of the points above I would love to hear from you, alternatively if you currently know anyone in Finland who is seeking a new opportunity within the IT sector please email me at r.breeze@nigelfrank.com.","https://fi.linkedin.com/jobs/view/software-developer-at-nigel-frank-international-3665775884"
"Nigel Frank International","Software Development Open Application","Entry level","Finnish Speaking Software Development - Open ApplicationAre you a Finnish-speaking Software Developer residing in Finland right now?I am actively working with multiple companies right now seeking a wide range of Software Developers who specialize in the Microsoft Eco-System.No matter your experience we have an opportunity for you, so if you are a Junior, Mid Level, or Senior Developer I would love to have a short discussion with you about what a role would need to look like for it to be interesting to you.Key Skills: .NET Core & C# MSSQL Azure experience (Azure DevOps, Azure Blob Storage, Azure Virtual Machines, Azure Backup, Azure Cosmos DB, Azure Logic Apps, Azure Active Directory, API management & more) Modern JavaScript (React, Angular, Vue) Dynamics 365 AWS TypeScript UI/UX Much more!If you fit any of these criteria or you are curious about other opportunities on the market right now please apply to this advert with your CV attached or reach me directly at r.breeze@nigelfrank.com","https://fi.linkedin.com/jobs/view/software-development-open-application-at-nigel-frank-international-3681592831"
