company,job-title,level,description,job-url,Label
IPRally,ML Engineer,Entry level,"Are you up for the toughest AI challenges around graph neural networks? We have built a graph-based patent search engine with which our users find the documents that already contain their concepts. We are looking for an Machine Learning Engineer who can envision breakthrough-level ideas and follow them through with software engineering excellence. You will be working with the very core of the product - the search algorithm.We have converted 100M patent documents into 100M knowledge graphs, to compress the key information into simpler data for ML. It has been possible because of the semi-structured patent text. Patent documents also contain rich metadata like citations between documents, which are essentially labels for supervised training. All of this presents an opportunity to dive deeper into text understanding than even the LLMs from the tech giants.The current model we use is the Graph Transformer (read our blog about the graph transformer), so both the NLP transformers and the GNN models are relevant. We published a paper at the SIGIR 2023 conference about our general approach (read our paper).The daily work is done in a small hybrid team. Remote work is okay, but we expect to see each other at least once a quarter in person. There is also a separate team providing MLOps support.Technology stackPyTorch for search model developmentML services deployed as Python microservicesGoogle Cloud for computationRequirementsExcellence in applied deep learning, ideally also with GNNsA genuine eagerness to learnKnowledge about NLPStrong social skillsFluency in English, which is our company languageYou are located ideally in Finland, but at least you can work in European time zonesBenefitsA rare opportunity to join an early-stage, disruptive company that has a unique edge, ambitious plans, and an already proven record of success in a growing $2bn industryOpportunities to grow as we grow. We will help you be the best you can be in this role, and help you develop skills that will help you reach the next stage. You will work with a highly talented and supportive teamA compelling and competitive financial package and other benefits, including six weeks of holidayIn Finland, other benefits include for example lunch, sports and culture, and commuting benefits, extended occupational health care with dental care, and tools of your choosingNext stepsOur recruitment process consists ofA casual interview with our AI Team Lead Sebastian and Head of People and Talent Mari, in which we will discuss your background and check if our wishes align with yoursWe would like to see an example of your code. You can share your Github profile with us or do a code task if that’s what you preferA technical interview with Sebastian and an AI team member to dig deeper into your technical skillsA final call with our CTO JuhoSounds interesting? Send us an application now!About IPRallyIPRally will change the way of finding and categorizing patents. How? We have introduced transparent and reliable AI applications to the patent search, analysis, and classification process, which helps our customers save a lot of time, resources, and money. We are transforming the complex and tedious process of finding information that is crucial for our customers, but most importantly, we help innovative companies quickly find and act upon opportunities and drastically reduce risk.So, who are we? IPRally was founded in Helsinki, Finland in 2018. With a vision to automate tasks that steal resources from both inventors and patent professionals and help them achieve their goals faster, a completely new and ground-breaking way of searching for technical information was built. By modeling the technical content of patents, and processing this with cutting-edge, proprietary graph neural networks, IPRally gives customers highly relevant information at their fingertips, in seconds.",https://fi.linkedin.com/jobs/view/ml-engineer-at-iprally-3731373665,0
Luxid,Data Scientist,Entry level,"We are looking for a Data Scientist to work in our growing team of driven and trailblazing Data & Analytics specialists. Do you have what it takes to help big Nordic and global companies reach their business objectives through data storytelling? If so, you could be the right match for us.We Luxidians are a team of creative thinkers, strategists, data analysts, writers, designers, filmmakers, virtual world builders, developers and technologists. We use insight-led creativity to accelerate growth for our clients. With over 30 years of experience in delivering marketing and commerce solutions to a strong international client base, we help our clients break open silos to create customer journeys that drive sales and support buyers.Our Data Scientists are data-native statistics professionals able to translate business needs into data challenges and deliver analytical solutions to clients. In this position, you would be serving one of our biggest clients by creating new and innovative ways of refining understanding from extensive datasets. You would also get to showcase your analytical thinking abilities and communication skills by reporting and reviewing results with the customer team. Reporting to the client is done in Finnish, but teamwork requires also fluent English.Qualifications that ensure your success:Can-do attitudeExcellent communication skills and familiarity with the topic of sales and marketing analyticsAdvanced knowledge of BI dashboards (Power BI or Tableau) and SQLTraditional analytics know-how (significance testing, normal distribution, regression models)Basic understanding of all digital marketing operations and the Google ecosystemFluent Finnish and EnglishAdditional nice-to-have qualifications:Google Analytics skillsKnowledge of retail businessExperience with data engineeringWhat we offer you:International, English-speaking, diverse, and inclusive equal opportunity workplaceWork with large Nordic and global brandsPossibilities to develop your skills and advance your careerExtensive occupational healthcare planCulture, sport and wellness benefitsFlexible remote working opportunities all around the world but also offices in Helsinki, Turku, London, and Austin. In this position, you need to be able to visit our customer’s premises in Helsinki.If you are ready to make an impact in the world of marketing, apply now and join our team of Luxidians!If you have any questions, please contact our HR Manager Anu Sonck, anu.sonck(at)luxidgroup.com",https://fi.linkedin.com/jobs/view/data-scientist-at-luxid-3719694878,0
Silo AI,AI Engineer - DevOps/MLOps,Entry level,"At Silo AI our team of 200+ AI Engineers, AI Scientists, Solutions Architects, Software Developers, and Designers collaborate closely to tackle challenging real-world problems related to AI. Now we are looking for AI Engineers to build MLOps solutions for quality ML development and scalable AI utilizations in multi-cloud environments. The work is done as part of our Helsinki, Tampere, Turku, Jyväskylä, Oulu, Stockholm or Copenhagen teams.What Will You Be DoingBuilding versatile ML development and AI deployment setups (pipelines and/or platforms) and other MLOps solutions to enable production-level AI and ML in multi-cloud environments and sometimes in connection to IoT and embedded settingsWork very practically hand-on but also designing the needed architectures and workflows - enabled by Silo AI assets and learning from versatile project casesWork as part of the team with leading AI experts and use cutting edge tools to train, deploy and service advanced machine learning models Working in client projects in various different industries that typically lasts 3-6 months, but we also work in long-term projects lasting 1-2 years Contributing to Cloud AI & MLOps community and R&D work of Silo AIWhat We Are Looking For From YouYou have strong experience in software development Experience in training, versioning, deploying, monitoring and/or maintaining machine learning modelsYou have knowledge of cloud platforms and technologies (e.g. Kubernetes, Azure, AWS and/or Google Cloud)You are experienced in programming with Python and can adopt other programming languages. You are familiar with some typical MLOps tools, such as KubeFlow, MLFlow, KFServing/KServe, Seldon, Airflow, Argo, Prefect or others; some DevOps tooling such as Docker, Kubernetes, Terraform scripting (or CloudFormation or similar); some machine learning frameworks, such as Tensorflow and/or PyTorch; some logging tools, such as ElasticStack, Grafana, Prometheus and/or othersYou have a track record of producing quality code and developing software with different practices (CI/CD, version control, some variety of agile development)You may have also DataOps related experience around storage (SQL, NoSQL, cloud), processing (batch, stream, ETL), managing/versioning, security, visualization and/or big dataYou are interested in working and communicating with Silo AI clients and working part of the team with Silo experts Be able to learn new skills and adapt quickly, as the problems, tools, best practices, and architectures are rapidly changing. What Silo Ai Offers To YouReal-world and production-level projects related to AI in various different industries such as retail, manufacturing, machine industry, automotive, pharma, telecom, smart devices, medical, energy & infra, logistics, healthcare, and internet services High-level & diverse tech and non-tech expertise around you as peers with our team of 200+ employees and 20+ nationalities Cloud AI & MLOps community which includes 30+ experts and a lot of information sharing and learning resources - and our other three technology areas include IoT, Embedded and Connectivity which bring their own additions to the MLOps work Learning culture with several different learning activities to support your learning such as 1-1 talent coaching with lead level experts, self-development benefit, company-wide workshops, internal research club bi-weekly basis Silo social activities like daily meditation, virtual lunches, and company-wide all-hands every Friday, company supported Silo social activities Growth company environment - in 2021 we have hired around 100 new employees and opened up a new office in Copenhagen, Denmark. In 2022 we are looking for hiring even more employees than in 2021 and opening up new countries in addition to the three current ones. Possibility to become Silo shareholderNormal benefits such as work equipment of own choice, occupational healthcare, sports & culture vouchers, internet, lunch through Wolt on Fridays, self-development budgetOUR CULTUREWhat we believe in at SiloBuild bonds - Trust is our bond. We connect with customers and seek to understand how we can best help, and always keep what we promise. We encourage a culture in which successes are celebrated, learnings shared and support provided for our team members to succeed. Be good - Positive impact. We strive to be transparent and open, take responsibility and ownership, and aim for positive impact and results in all we do. We take pride in creating an equal and supportive workplace for talented and ambitious professionals from all nationalities, genders, and backgrounds. Ask why - Know your why. We have the courage and agility to keep challenging what we're doing to assure value creation for customers. We encourage open dialogue and debate and strive for diversity in opinions to improve decision making. Keep learning - Grow to excel. We aim for excellence by learning from the market, sharing our competence, and recruiting a growth mindset. For us expertise is not an achievement, it's a lifestyle of curiosity, learning, sharing, and working with people who share the same hunger. WANT TO KNOW MORE?You can ask more about Silo AI as a workplace from our Talent Acquisition Lead Emmi Matvejeff, emmi.matvejeff@silo.ai",https://fi.linkedin.com/jobs/view/ai-engineer-devops-mlops-at-silo-ai-3673080616,0
Jefferson Frank,Data Scientist - Helsinki / Salo,Entry level,"Job Title: Data ScientistLocation: Helsinki, Finland - on site expected 3-4 times per week in Salo or HelsinkiCompany OverviewWe are the go-to-partner for RFID based PaaS Applications across Europe and the Nordics, with deep roots in identification solutions.Based in Finland and focusing on developing and delivering innovative Identification Solutions that utilize all of the latest RFID & IoT Technologies, all for real time item tracking. We serve customers across multiple industries.We develop our own readers and software for complete solutions, and we can offer highly motivating career path for professionals passionate about identification technology. We are passionate to grow and bring a digital soul to every item.Position OverviewAs a Data Scientist you will be a key player in transforming raw data into actionable insights that drive business growth. You will work in a collaborative, English-speaking environment where your skills in Python programming, AWS cloud or multi-cloud platforms, and artificial intelligence will be put to the test.Key Responsibilities Apply your expertise in data analysis, machine learning, and AI to solve complex business problems. Develop predictive models, algorithms, and data-driven solutions. Collaborate with cross-functional teams to gather and analyze data requirements. Utilize Python programming to clean, manipulate, and visualize data effectively. Deploy and maintain machine learning models on cloud platforms (AWS or multi-cloud). Continuously explore new techniques and technologies to improve data analysis processes.Qualifications 2-4 years of proven experience as a Data Scientist in a professional setting. Strong proficiency in Python programming. Experience with AWS cloud services or multi-cloud platforms. Background or hands-on experience in artificial intelligence and machine learning. Strong problem-solving skills and the ability to work independently. Excellent communication skills in English, both written and spoken.What We Offer Competitive salary and benefits package. A dynamic and inclusive work environment. Opportunities for professional development and growth. The chance to work on exciting projects that make a real impact.How To ApplyIf you are excited about the opportunity to be part of a cutting-edge team and have the qualifications we are looking for, please submit your resume and a cover letter outlining your relevant experience to s.cook1@jeffersonfrank.comPlease note, only applicants that are successful and that have been selected for an initial screening will be contacted.",https://fi.linkedin.com/jobs/view/data-scientist-helsinki-salo-at-jefferson-frank-3726136344,1
Silo AI,"AI Engineer, Large Language Models",Entry level,"At Silo AI engineers and researchers collaborate closely to tackle challenging real-world problems. The core competence of Silo AI relies on deep academic, and industry expertise in various fields of AI, covering machine learning, natural-language processing, computer vision among others. AI Engineers are expected to build innovative AI solutions powered by, and powering, Large Language Models (LLMs) that together with AI Scientists and software developers can be deployed in our products serving our clients.What will you be doingAs an AI Engineer in Large Language Models, you'll work in a top tier team of AI experts, creating next-generation methods for creating safe, reliable and robust AI models. You'll closely collaborate in a team with scientists and product developers to implement our vision of human-centric AI and specifically, LLMs. You may choose to work from our offices in Helsinki or Stockholm, whichever suits you best.AI Engineers are expected to have strong industry experience and projects showing clear evidence of high-quality software engineering in fields related to AI and proven experience and ability to implement solutions in high-performance computing environments. As an AI Engineer you will:Train, fine-tune and evaluate state-of-the-art transformer modelsCreate workflows and tools for fine-tuning language models Implement model parallelism and data parallelism techniques to optimize model performance through model and data parallelismCollaborate with cross-functional teams to create value with LLMs. Implement tooling to support reinforcement learning human feedback methodsWork with Python, SQL, C++ and Linux systems to develop robust data solutions. Requirements:MSc or PhD in Computer Science, Artificial Intelligence, or a related field. 6+ years of experience in the industry, on topics such as Artificial Intelligence, high-performance computing and Machine LearningPrevious expertise and interest in Natural Language Processing and large language models or Reinforcement Learning. Proficiency in Python, C++ and SQLExperience in utilizing GPUs or TPUs training transformer-based modelsExperience in high-performance computingWorking proficiency in EnglishOur cultureWhat we believe in at Silo AIBuild Bonds - Trust is our bond. We connect with customers and always seek to understand how we can best help them, and make sure that we keep what we promise. We encourage a culture where successes are celebrated, learnings shared and support provided for our team members to succeed. Keep Learning - Grow to excel. We aim for excellence by learning from the market, sharing our competence, and attracting talent with a growth mindset. We believe that expertise is not an achievement - it's a lifestyle of curiosity, learning, sharing and working with people who share the same hunger. Ask Why - Know your why. We have the courage and agility to keep challenging what we're doing to assure value creation for customers. We encourage open dialogue and debate and strive for diversity in opinions to improve decision making. Be Good - Positive impact. We always strive to be transparent and open in our communications, take ownership and aim for positive impact and results in all we do. We take pride in creating an equal and supportive workplace for talented and ambitious professionals from all nationalities, genders, orientations and",https://fi.linkedin.com/jobs/view/ai-engineer-large-language-models-at-silo-ai-3673087120,1
Jefferson Frank,Python Developer with Azure - Helsinki - Remote,Entry level,"Job DescriptionTogether with the other team members You will be responsible for developing the latest version of a service that is used by most of the key players on the Finnish market as well as developing necessary features to launch this offering in the new markets. As their product is growing they are looking for a Senior Developer for this role for them to improve and grow their team. If more information is required, apply for this job and we can arrange a phone call if your profile matches well.Role & Responsibilities You will be contributing to the ongoing development; Would be driving the architecture of the platform forward in cooperation with Product owner and their Lead Developer and other team members; Python Development inSkills & Qualifications Python, Docker Azure CI/CD pipelines and testing RabbitMQ or SimilarThis is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs",https://fi.linkedin.com/jobs/view/python-developer-with-azure-helsinki-remote-at-jefferson-frank-3728577623,0
ICEYE,Software Engineer,Entry level,"Who are we?We are a Finnish-based international New Space company with employees from more than 57 countries in Finland, the US, the UK, Spain, Luxembourg, and Poland. Our team is a tight-knit group of experts from areas including engineering, software development, and radar technology. We're innovative, driven people who strive for excellence in everything we do. Being advocates of our corporate culture, we value teamwork and curiosity, and we know how to have fun!What do we do? ICEYE is building and operating its commercial constellation of small Synthetic Aperture Radar (SAR) satellites with SAR data available to customers. Our satellites acquire images of Earth at any time - even when it's cloudy or dark - providing commercial and government partners with unmatched persistent monitoring capabilities. Information derived from our SAR images helps customers make data-driven decisions to address time-critical challenges in various sectors, such as maritime, disaster management, insurance, and finance.What are we looking for?To support the company's growth, we are looking for a ""Software Engineer"" to join our Flight Software team. You will report to the Flight Software Applications Team Lead in this position.ResponsibilitiesBe the lead developer for the application layer components of our satellitesProduce clean, robust and understandable codeCollaborate with other team members to design and define the application architecture for our satellitesCollaborate with other team members to ensure our development and testing environment produces high quality Flight Software productsMentor the other members of the teamRequirementsYou are an experienced professional with 5+ years in software developmentYou are a great C++ and Python developer, familiar with the latest featuresYou have experience with embedded LinuxYou are self-driven and autonomous, but also a great team playerYou have experience in E2E system developmentYou have been working with communication protocols and messaging systems used in distributed systemsYou have experience developing software for constrained environments such as IoT, robotics, and/or automotiveYou are well versed in event-driven architectures, asynchronous techniques, concurrency, communication protocols, and constrained environmentsPreferredTechnical degree (computer science, engineering, mathematics)Experience in working in a lead developer roleBenefitsA job that matters in a dynamic New Space environment with a scale-up approachAn independent role with a supportive and diverse work environmentOccupational healthcare, occupational and private insuranceA yearly benefit budget to spend as you wish (i.e. on sport, transport, bike benefit, wellness, lunch, etc.)Phone subscription with iPhone of choice Relocation support (i.e. flight tickets, accommodation, relocation agency support)Time for self-development, research, training, conferences, or certification schemesFinnish & English lessons Inspiring and collaborating offices and silent workspaces enable you to focusA wide variety of the best coffee, tea, snacks, and sweets to accompany your daily space missionDiversity & inclusion are core values at ICEYE. We are passionate about building and sustaining inclusive and equitable working and learning environments for all staff. Every member of our team enriches our diversity by exposing us to a broad range of ways to understand and engage with the world, identify challenges, and discover, design, and deliver solutions.Could this be the role for you? Apply now to start your journey with ICEYE.We are making the impossible possible together.ContactRavi Chettyravi.chetty@iceye.fi",https://fi.linkedin.com/jobs/view/software-engineer-at-iceye-3688395927,1
Jefferson Frank,Backend Python Developer,Entry level,"We have a new need from one of our best clients based in Tampere to speak with experienced Backend Developers and wondered if you would be interested in potentially joining their product team.Very exciting opportunity to be part of a growing company, you would be working on their product which is the best out of the other competitors on the market.Going beyond the physical product, going into digital format within the product (4 digital parts): Physical product Digital experience, smart screens Visibility to current customers, see the fleet of pods being used, find out the issues Analytic problems + Introduce solution for the user of the office find right type of space for the meetingThey use a range of tools but the main focus is within:AWS, Python, DevOps, CI/CD, IoT, API'sRole Develop the backend services such as (depending on your skills and preferences) APIs used by web applications, mobile applications, or backend systems Backend endpoints Data processing pipelines and databases Backend system integrations (e.g. Google Workspace APIs, Microsoft Graph APIs, Salesforce) Define and implement best practices and controls throughout the stack where it makes sense Aim to automate everything that can be automated Introduce new technologies and concepts that improve the ways of working or the technology stackMy client is looking to begin the interview process immediately so feel free to apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jason-upton-167479231/Email: j.upton@jeffersonfrank.comPhone: +358 75 3266673Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.",https://fi.linkedin.com/jobs/view/backend-python-developer-at-jefferson-frank-3677212193,0
Canonical,Software Engineer - Python and K8s,Entry level,"Our mission is to reinvent the way companies manage their open source information systems - on public clouds and in their own data centres. To achieve that we are building a new community around Python opscode for open source applications, running on Kubernetes. We want to move all of Canonical and Ubuntu IS onto this new, open source codebase.We are confident that we can dramatically improve the experience of running complex business operations - and then we can help our customers embrace those new techniques and products. Traditionally, IS is an inward-facing operation. We would like to transform our IS team into an extension of the product engineering capability at Canonical. Our internal workloads are in many cases the same open source workloads that our customers want to operate. This team will productise those workloads for real-time automated operations on Kubernetes.This role is ideal for software engineers who enjoy Python, have a passion for distributed systems, and an interest in the entire Linux stack - from kernel to networking to virtualization and containers. It is a role that requires rigour in both code and customer interactions. Our engineers are technically astute open source enthusiasts who are excited about cloud computing and are ready to join a global team charged with delivering world class services to our customers.Strong Python development skills and familiarity with Kubernetes are key requirements of this role. You'll work closely with other teams in Canonical to ensure your products operate reliably, efficiently and scale to production sized workloads for our customers looking to adopt cutting-edge technology. You will participate and be responsible for ensuring sound software architecture and follow best practices in software quality, testing and documentation.What you'll doWork in Python to design and deliver open source software operations codeWork across the entire Linux stack, from kernel, networking, storage, to applicationsLearn to think rigorously about application and infrastructure reliabilityShape high quality open source monitoring and alerting infrastructureSimplify open source operations for our customers and open source communityDemonstrate sound engineering design and testing principles in your codeFollow agile software development practicesCoach and develop your colleagues where you have insightsGrow a healthy, collaborative engineering culture in line with company valuesWork from home with global travel once or twice a year for up to 2 weeks for eventsWho you areYou love technology and working with brilliant peopleYou have a Bachelor's or equivalent in Computer Science, STEM or similar degreeYou are experienced with Linux systems administration, package management, and operationsYou have hands-on experience with at least one public cloudYou are familiar with Docker and KubernetesYou are an experienced Python programmer and enjoy challenging projectsYou understand the importance of reliable software and strive to design and code to that expectationYou are organized and want your team to deliver timely, high quality softwareAbout CanonicalCanonical is a growing international software company that works with the open-source community to deliver Ubuntu, ""the world's best free software platform"". Our mission is to realise the potential of free software in the lives of individuals and organisations. Our services are helping individuals and businesses worldwide to reduce costs, improve efficiency and enhance security with Ubuntu.We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration.#Stack",https://fi.linkedin.com/jobs/view/software-engineer-python-and-k8s-at-canonical-3725451243,0
Jefferson Frank,MLOps/Data Engineer - Helsinki - up to 6500€/pm + stocks,Entry level,"Senior MLOps/Data Engineer - Helsinki - up to 6500€/pm + stocksOur partner has opened up a brand new MLOps Data Engineer role to join their growing SaaS start-up focusing on creating more agile and data-driven innovation processes.Responsibilities You will take strong ownership of their data, ML pipelines, and infra. You will be an individual contributor from the start of the data pipelines and machine learning productization. As you become more settled into the role, you will effectively lead a project coordinate technical work across the whole application stack, and effectively communicate with the product teamRequirements Technical experience: Python, SQL, AWS, and pulumi. Great communication skills both with technical and non-technical stakeholders Experience from at least two projects setting up data and/or machine learning infrastructure. High level of ambition, interest in growing professionally, and advancing career.There is a huge opportunity to grow within the company and be one of the biggest players in the field.My client is looking to begin the interview process ASAP with limited interview spots this and next week, so don't miss out, apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jessica-lee-wright-54b242221/ |Email: j.wright@jeffersonfrank.comPhone: +358 75 326 3948Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialize in Mobile, Web, and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management, etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.Jefferson FrankJefferson Frank is the Amazon Web Services (AWS) recruiter of choice. We work with organizations worldwide to find and deliver the best permanent and contract AWS DevOps, Big Data, IaaS and PaaS, and AWS Security",https://fi.linkedin.com/jobs/view/mlops-data-engineer-helsinki-up-to-6500%E2%82%AC-pm-%2B-stocks-at-jefferson-frank-3712002168,1
