,Unnamed: 0,company,job-title,level,description,job-url,entry_level_score
0,0,IPRally,ML Engineer,Entry level,"['toughest', 'challeng', 'graph', 'neural', 'network', 'built', 'graphba', 'patent', 'search', 'engin', 'user', 'document', 'concept', 'machin', 'learn', 'engin', 'envi', 'breakthroughlevel', 'idea', 'follow', 'softwar', 'engin', 'excel', 'core', 'product', 'search', 'algorithmw', 'convert', '100m', 'patent', 'document', '100m', 'knowledg', 'graph', 'compress', 'key', 'simpler', 'data', 'semistructur', 'patent', 'patent', 'document', 'rich', 'metadata', 'citat', 'document', 'essenti', 'label', 'supervi', 'train', 'opportun', 'dive', 'deeper', 'understand', 'llms', 'tech', 'giantsth', 'current', 'model', 'graph', 'transform', 'read', 'blog', 'graph', 'transform', 'nlp', 'transform', 'gnn', 'model', 'relev', 'publish', 'paper', 'sigir', '2023', 'confer', 'approach', 'read', 'paperth', 'daili', 'hybrid', 'team', 'remot', 'expect', 'quarter', 'person', 'separ', 'team', 'provid', 'mlop', 'supporttechnolog', 'stackpytorch', 'search', 'model', 'developmentml', 'servic', 'deploy', 'python', 'microservicesgoogl', 'cloud', 'computationrequirementsexcel', 'appli', 'deep', 'learn', 'ideal', 'gnnsa', 'genuin', 'eager', 'learnknowledg', 'nlpstrong', 'social', 'skillsfluenc', 'english', 'compani', 'languageyou', 'locat', 'ideal', 'finland', 'european', 'time', 'zonesbenefitsa', 'rare', 'opportun', 'earlystag', 'disrupt', 'compani', 'uniqu', 'edg', 'ambiti', 'plan', 'proven', 'record', 'success', 'grow', '2bn', 'industryopportun', 'grow', 'grow', 'role', 'develop', 'skill', 'reach', 'stage', 'talent', 'support', 'teama', 'compel', 'competit', 'financ', 'packag', 'benefit', 'includ', 'week', 'holidayin', 'finland', 'benefit', 'includ', 'lunch', 'sport', 'cultur', 'commut', 'benefit', 'extend', 'occup', 'health', 'care', 'dental', 'care', 'tool', 'choosingnext', 'stepsour', 'recruit', 'process', 'consist', 'ofa', 'casual', 'interview', 'team', 'lead', 'sebastian', 'head', 'peopl', 'talent', 'mari', 'discuss', 'background', 'check', 'align', 'yoursw', 'code', 'share', 'github', 'profil', 'code', 'task', 'prefera', 'technic', 'interview', 'sebastian', 'team', 'dig', 'deeper', 'technic', 'skillsa', 'final', 'cto', 'juhosound', 'send', 'applic', 'nowabout', 'iprallyipr', 'chang', 'categor', 'patent', 'introduc', 'transpar', 'reliabl', 'applic', 'patent', 'search', 'analysi', 'classif', 'process', 'custom', 'save', 'lot', 'time', 'resourc', 'money', 'transform', 'complex', 'tedious', 'process', 'crucial', 'custom', 'import', 'innov', 'compani', 'opportun', 'drastic', 'reduc', 'riskso', 'ipral', 'helsinki', 'finland', '2018', 'vision', 'autom', 'task', 'steal', 'resourc', 'inventor', 'patent', 'profess', 'achiev', 'goal', 'faster', 'complet', 'groundbreak', 'search', 'technic', 'built', 'model', 'technic', 'content', 'patent', 'process', 'cuttingedg', 'proprietari', 'graph', 'neural', 'network', 'ipral', 'custom', 'relev', 'fingertip']",https://fi.linkedin.com/jobs/view/ml-engineer-at-iprally-3731373665,20
1,1,Luxid,Data Scientist,Entry level,"['data', 'scientist', 'grow', 'team', 'driven', 'trailblaz', 'data', 'analyt', 'specialist', 'nordic', 'global', 'compani', 'reach', 'busi', 'object', 'data', 'storytel', 'match', 'usw', 'luxidian', 'team', 'creativ', 'thinker', 'strategist', 'data', 'analyst', 'writer', 'design', 'filmmak', 'virtual', 'builder', 'develop', 'technologist', 'insightl', 'creativ', 'accel', 'growth', 'client', '30', 'experi', 'deliv', 'market', 'commerc', 'solut', 'strong', 'intern', 'client', 'base', 'client', 'break', 'silo', 'creat', 'custom', 'journey', 'drive', 'sale', 'support', 'buyersour', 'data', 'scientist', 'datan', 'statist', 'profess', 'translat', 'busi', 'data', 'challeng', 'deliv', 'analyt', 'solut', 'client', 'posit', 'serv', 'biggest', 'client', 'creat', 'innov', 'refin', 'understand', 'exten', 'dataset', 'showca', 'analyt', 'abil', 'communic', 'skill', 'report', 'review', 'custom', 'team', 'report', 'client', 'finnish', 'teamwork', 'requir', 'fluent', 'englishqualif', 'ensur', 'successcando', 'attitudeexcel', 'communic', 'skill', 'familiar', 'topic', 'sale', 'market', 'analyticsadvanc', 'knowledg', 'dashboard', 'power', 'tableau', 'sqltradit', 'analyt', 'knowhow', 'signif', 'normal', 'distribut', 'regress', 'modelsba', 'understand', 'digit', 'market', 'oper', 'googl', 'ecosystemflu', 'finnish', 'englishaddit', 'nicetohav', 'qualificationsgoogl', 'analyt', 'skillsknowledg', 'retail', 'businessexperi', 'data', 'engineeringwhat', 'offer', 'youintern', 'englishspeak', 'diver', 'inclus', 'equal', 'opportun', 'workplacework', 'nordic', 'global', 'brandsposs', 'develop', 'skill', 'advanc', 'careerexten', 'occup', 'healthcar', 'plancultur', 'sport', 'benefitsflex', 'remot', 'opportun', 'offic', 'helsinki', 'turku', 'london', 'austin', 'posit', 'visit', 'custom', 'premi', 'helsinkiif', 'readi', 'impact', 'market', 'appli', 'team', 'luxidiansif', 'question', 'contact', 'manag', 'anu', 'sonck', 'anusonckatluxidgroupcom']",https://fi.linkedin.com/jobs/view/data-scientist-at-luxid-3719694878,15
2,2,Silo AI,AI Engineer - DevOps/MLOps,Entry level,"['silo', 'team', '200', 'engin', 'scientist', 'solut', 'architect', 'softwar', 'develop', 'design', 'collabor', 'close', 'tackl', 'challeng', 'realworld', 'engin', 'build', 'mlop', 'solut', 'qualiti', 'develop', 'scalabl', 'util', 'multicloud', 'environ', 'helsinki', 'tamper', 'turku', 'jyväskylä', 'oulu', 'stockholm', 'copenhagen', 'teamswhat', 'doingbuild', 'versatil', 'develop', 'deploy', 'setup', 'pipelin', 'andor', 'platform', 'mlop', 'solut', 'enabl', 'productionlevel', 'multicloud', 'environ', 'connect', 'iot', 'emb', 'settingswork', 'practic', 'handon', 'design', 'architectur', 'workflow', 'enabl', 'silo', 'asset', 'learn', 'versatil', 'project', 'caseswork', 'team', 'lead', 'expert', 'cut', 'edg', 'tool', 'train', 'deploy', 'servic', 'advanc', 'machin', 'learn', 'model', 'client', 'project', 'industri', 'typic', '36', 'month', 'longterm', 'project', '12', 'contribut', 'cloud', 'mlop', 'communiti', 'silo', 'aiwhat', 'youyou', 'strong', 'experi', 'softwar', 'develop', 'experi', 'train', 'version', 'deploy', 'monitor', 'andor', 'maintain', 'machin', 'learn', 'modelsyou', 'knowledg', 'cloud', 'platform', 'technolog', 'kubernet', 'azur', 'andor', 'googl', 'cloudyou', 'experienc', 'program', 'python', 'adopt', 'program', 'languag', 'familiar', 'typic', 'mlop', 'tool', 'kubeflow', 'mlflow', 'kfservingkserv', 'seldon', 'airflow', 'argo', 'prefect', 'devop', 'tool', 'docker', 'kubernet', 'terraform', 'script', 'cloudform', 'machin', 'learn', 'framework', 'tensorflow', 'andor', 'pytorch', 'log', 'tool', 'elasticstack', 'grafana', 'prometheus', 'andor', 'othersyou', 'track', 'record', 'produc', 'qualiti', 'code', 'develop', 'softwar', 'practic', 'cicd', 'version', 'control', 'varieti', 'agil', 'developmentyou', 'dataop', 'experi', 'storag', 'sql', 'nosql', 'cloud', 'process', 'batch', 'stream', 'etl', 'managingv', 'secur', 'visual', 'andor', 'datayou', 'communic', 'silo', 'client', 'team', 'silo', 'expert', 'learn', 'skill', 'adapt', 'tool', 'practic', 'architectur', 'rapid', 'chang', 'silo', 'offer', 'yourealworld', 'productionlevel', 'project', 'industri', 'retail', 'manufactur', 'machin', 'industri', 'automot', 'pharma', 'telecom', 'smart', 'devic', 'medic', 'energi', 'infra', 'logist', 'healthcar', 'internet', 'servic', 'highlevel', 'diver', 'tech', 'nontech', 'experti', 'peer', 'team', '200', 'employ', '20', 'nation', 'cloud', 'mlop', 'communiti', 'includ', '30', 'expert', 'lot', 'share', 'learn', 'resourc', 'technolog', 'includ', 'iot', 'emb', 'connect', 'bring', 'addit', 'mlop', 'learn', 'cultur', 'learn', 'activ', 'support', 'learn', '11', 'talent', 'coach', 'lead', 'level', 'expert', 'selfdevelop', 'benefit', 'companywid', 'workshop', 'intern', 'club', 'biweek', 'basi', 'silo', 'social', 'activ', 'daili', 'medit', 'virtual', 'lunch', 'companywid', 'allhand', 'friday', 'compani', 'support', 'silo', 'social', 'activ', 'growth', 'compani', 'environ', '2021', 'hire', '100', 'employ', 'offic', 'copenhagen', 'denmark', '2022', 'hire', 'employ', '2021', 'countri', 'addit', 'current', 'possibl', 'silo', 'shareholdernorm', 'benefit', 'equip', 'choic', 'occup', 'healthcar', 'sport', 'cultur', 'voucher', 'internet', 'lunch', 'wolt', 'friday', 'selfdevelop', 'budgetour', 'culturewhat', 'silobuild', 'bond', 'trust', 'bond', 'connect', 'custom', 'seek', 'understand', 'promi', 'encourag', 'cultur', 'success', 'celebr', 'learn', 'share', 'support', 'team', 'succeed', 'posit', 'impact', 'strive', 'transpar', 'respon', 'ownership', 'aim', 'posit', 'impact', 'pride', 'creat', 'equal', 'support', 'workplac', 'talent', 'ambiti', 'profess', 'nation', 'gender', 'background', 'courag', 'agil', 'challeng', 'assur', 'creation', 'custom', 'encourag', 'dialogu', 'debat', 'strive', 'diver', 'opinion', 'improv', 'deci', 'learn', 'grow', 'excel', 'aim', 'excel', 'learn', 'market', 'share', 'compet', 'recruit', 'growth', 'mindset', 'experti', 'achiev', 'lifestyl', 'curio', 'learn', 'share', 'peopl', 'share', 'hunger', 'moreyou', 'silo', 'workplac', 'talent', 'acquisit', 'lead', 'emmi', 'matvejeff', 'emmimatvejeffsiloai']",https://fi.linkedin.com/jobs/view/ai-engineer-devops-mlops-at-silo-ai-3673080616,17
3,3,Jefferson Frank,Data Scientist - Helsinki / Salo,Entry level,"['job', 'titl', 'data', 'scientistloc', 'helsinki', 'finland', 'expect', '34', 'time', 'week', 'salo', 'helsinkicompani', 'overvieww', 'gotopartn', 'rfid', 'base', 'paa', 'applic', 'europ', 'nordic', 'deep', 'root', 'identif', 'solutionsba', 'finland', 'focus', 'develop', 'deliv', 'innov', 'identif', 'solut', 'util', 'rfid', 'iot', 'technolog', 'real', 'time', 'item', 'track', 'serv', 'custom', 'multipl', 'industriesw', 'develop', 'reader', 'softwar', 'complet', 'solut', 'offer', 'motiv', 'career', 'path', 'profess', 'passion', 'identif', 'technolog', 'passion', 'grow', 'bring', 'digit', 'soul', 'itemposit', 'overviewa', 'data', 'scientist', 'key', 'player', 'transform', 'raw', 'data', 'action', 'insight', 'drive', 'busi', 'growth', 'collabor', 'englishspeak', 'environ', 'skill', 'python', 'program', 'cloud', 'multicloud', 'platform', 'artifici', 'intellig', 'testkey', 'respon', 'appli', 'experti', 'data', 'analysi', 'machin', 'learn', 'solv', 'complex', 'busi', 'develop', 'predict', 'model', 'algorithm', 'datadriven', 'solut', 'collabor', 'crossfunct', 'team', 'gather', 'analyz', 'data', 'requir', 'util', 'python', 'program', 'clean', 'manipul', 'visual', 'data', 'deploy', 'maintain', 'machin', 'learn', 'model', 'cloud', 'platform', 'multicloud', 'continu', 'explor', 'techniqu', 'technolog', 'improv', 'data', 'analysi', 'processesqualif', '24', 'proven', 'experi', 'data', 'scientist', 'profess', 'set', 'strong', 'profici', 'python', 'program', 'experi', 'cloud', 'servic', 'multicloud', 'platform', 'background', 'handson', 'experi', 'artifici', 'intellig', 'machin', 'learn', 'strong', 'problemsolv', 'skill', 'abil', 'independ', 'excel', 'communic', 'skill', 'english', 'written', 'spokenwhat', 'offer', 'competit', 'salari', 'benefit', 'packag', 'dynam', 'inclus', 'environ', 'opportun', 'profess', 'develop', 'growth', 'chanc', 'excit', 'project', 'real', 'impacthow', 'applyif', 'excit', 'opportun', 'cuttingedg', 'team', 'qualif', 'submit', 'resum', 'cover', 'letter', 'outlin', 'relev', 'experi', 'scook1jeffersonfrankcomplea', 'note', 'applic', 'success', 'select', 'initi', 'screen', 'contact']",https://fi.linkedin.com/jobs/view/data-scientist-helsinki-salo-at-jefferson-frank-3726136344,-4
4,4,Silo AI,"AI Engineer, Large Language Models",Entry level,"['silo', 'engin', 'collabor', 'close', 'tackl', 'challeng', 'realworld', 'core', 'compet', 'silo', 'reli', 'deep', 'academ', 'industri', 'experti', 'field', 'cover', 'machin', 'learn', 'naturallanguag', 'process', 'vision', 'engin', 'expect', 'build', 'innov', 'solut', 'power', 'power', 'languag', 'model', 'llms', 'scientist', 'softwar', 'develop', 'deploy', 'product', 'serv', 'clientswhat', 'doinga', 'engin', 'languag', 'model', 'tier', 'team', 'expert', 'creat', 'nextgen', 'method', 'creat', 'safe', 'reliabl', 'robust', 'model', 'close', 'collabor', 'team', 'scientist', 'product', 'develop', 'implement', 'vision', 'humancentr', 'llms', 'choo', 'offic', 'helsinki', 'stockholm', 'suit', 'bestai', 'engin', 'expect', 'strong', 'industri', 'experi', 'project', 'evid', 'highqual', 'softwar', 'engin', 'field', 'proven', 'experi', 'abil', 'implement', 'solut', 'highperform', 'comput', 'environ', 'engin', 'willtrain', 'finetun', 'evalu', 'stateoftheart', 'transform', 'modelscr', 'workflow', 'tool', 'finetun', 'languag', 'model', 'implement', 'model', 'parallel', 'data', 'parallel', 'techniqu', 'optim', 'model', 'perform', 'model', 'data', 'parallelismcollabor', 'crossfunct', 'team', 'creat', 'llms', 'implement', 'tool', 'support', 'reinforc', 'learn', 'human', 'feedback', 'methodswork', 'python', 'sql', 'linux', 'develop', 'robust', 'data', 'solut', 'requirementsmsc', 'phd', 'scienc', 'artifici', 'intellig', 'field', '6', 'experi', 'industri', 'topic', 'artifici', 'intellig', 'highperform', 'comput', 'machin', 'learningprevi', 'experti', 'natur', 'languag', 'process', 'languag', 'model', 'reinforc', 'learn', 'profici', 'python', 'sqlexperi', 'util', 'gpus', 'tpus', 'train', 'transformerba', 'modelsexperi', 'highperform', 'computingwork', 'profici', 'englishour', 'culturewhat', 'silo', 'aibuild', 'bond', 'trust', 'bond', 'connect', 'custom', 'seek', 'understand', 'promi', 'encourag', 'cultur', 'success', 'celebr', 'learn', 'share', 'support', 'team', 'succeed', 'learn', 'grow', 'excel', 'aim', 'excel', 'learn', 'market', 'share', 'compet', 'attract', 'talent', 'growth', 'mindset', 'experti', 'achiev', 'lifestyl', 'curio', 'learn', 'share', 'peopl', 'share', 'hunger', 'courag', 'agil', 'challeng', 'assur', 'creation', 'custom', 'encourag', 'dialogu', 'debat', 'strive', 'diver', 'opinion', 'improv', 'deci', 'posit', 'impact', 'strive', 'transpar', 'communic', 'ownership', 'aim', 'posit', 'impact', 'pride', 'creat', 'equal', 'support', 'workplac', 'talent', 'ambiti', 'profess', 'nation', 'gender', 'orient']",https://fi.linkedin.com/jobs/view/ai-engineer-large-language-models-at-silo-ai-3673087120,20
5,5,Jefferson Frank,Python Developer with Azure - Helsinki - Remote,Entry level,"['job', 'descriptiontogeth', 'team', 'respon', 'develop', 'version', 'servic', 'key', 'player', 'finnish', 'market', 'develop', 'featur', 'launch', 'offer', 'market', 'product', 'grow', 'senior', 'develop', 'role', 'improv', 'grow', 'team', 'requir', 'appli', 'job', 'arrang', 'phone', 'profil', 'match', 'wellrol', 'respon', 'contribut', 'ongo', 'develop', 'drive', 'architectur', 'platform', 'cooper', 'product', 'owner', 'lead', 'develop', 'team', 'python', 'develop', 'inskil', 'qualif', 'python', 'docker', 'azur', 'cicd', 'pipelin', 'rabbitmq', 'similarthi', 'descript', 'role', 'simpli', 'appli', 'role', 'discusstwitt', 'jeffersonfranklinkedin', 'httpswwwlinkedincominrokasbrancevicius334697195email', 'rbranceviciusjeffersonfrankcomphon', '358', '75', '3263950plea', 'note', 'perman', 'role', 'role', 'finnish', 'resid', 'role', 'offer', 'sponsorship', 'finland', 'restrict', 'role', 'subject', 'success', 'backgroundsecur', 'checksif', 'role', 'appli', 'role', 'highlight', 'appli', 'overview', 'role', '3', 'tech', 'locat', 'salaryi', 'discuss', 'skillset', 'role', 'suit', 'fori', 'speciali', 'mobil', 'cloud', 'recruit', 'jefferson', 'frank', 'intern', 'focus', 'placement', 'highlyskil', 'candid', 'posit', 'engin', 'analyst', 'architect', 'consult', 'project', 'manag', 'manag', 'etcw', 'global', 'recruit', 'agenc', 'dedic', 'sole', 'technolog', 'jefferson', 'frank', 'recruit', 'agenc', 'choic', 'contract', 'perman', 'remot', 'posit', 'peopl', 'job']",https://fi.linkedin.com/jobs/view/python-developer-with-azure-helsinki-remote-at-jefferson-frank-3728577623,4
6,6,ICEYE,Software Engineer,Entry level,"['wew', 'finnishba', 'intern', 'space', 'compani', 'employ', '57', 'countri', 'finland', 'spain', 'luxembourg', 'poland', 'team', 'tightknit', 'expert', 'includ', 'engin', 'softwar', 'develop', 'radar', 'technolog', 'innov', 'driven', 'peopl', 'strive', 'excel', 'advoc', 'corpor', 'cultur', 'teamwork', 'curio', 'funwhat', 'icey', 'build', 'oper', 'commerci', 'constel', 'synthet', 'apertur', 'radar', 'sar', 'satellit', 'sar', 'data', 'custom', 'satellit', 'acquir', 'imag', 'earth', 'time', 'cloudi', 'dark', 'provid', 'commerci', 'govern', 'partner', 'unmatch', 'persist', 'monitor', 'capabl', 'deriv', 'sar', 'imag', 'custom', 'datadriven', 'deci', 'address', 'timecrit', 'challeng', 'sector', 'maritim', 'disast', 'manag', 'insur', 'financewhat', 'forto', 'support', 'compani', 'growth', 'softwar', 'engin', 'flight', 'softwar', 'team', 'report', 'flight', 'softwar', 'applic', 'team', 'lead', 'positionresponsibilitiesb', 'lead', 'develop', 'applic', 'layer', 'compon', 'satellitesproduc', 'clean', 'robust', 'understand', 'codecollabor', 'team', 'design', 'defin', 'applic', 'architectur', 'satellitescollabor', 'team', 'ensur', 'develop', 'environ', 'produc', 'qualiti', 'flight', 'softwar', 'productsmentor', 'teamrequirementsyou', 'experienc', 'profess', '5', 'softwar', 'developmentyou', 'python', 'develop', 'familiar', 'featuresyou', 'experi', 'emb', 'linuxyou', 'selfdriven', 'autonom', 'team', 'playeryou', 'experi', 'e2e', 'developmentyou', 'communic', 'protocol', 'messag', 'distribut', 'systemsyou', 'experi', 'develop', 'softwar', 'constrain', 'environ', 'iot', 'robot', 'andor', 'automotiveyou', 'ver', 'eventdriven', 'architectur', 'asynchron', 'techniqu', 'concurr', 'communic', 'protocol', 'constrain', 'environmentspreferredtechn', 'degr', 'scienc', 'engin', 'mathematicsexperi', 'lead', 'develop', 'rolebenefitsa', 'job', 'matter', 'dynam', 'space', 'environ', 'scaleup', 'approachan', 'independ', 'role', 'support', 'diver', 'environmentoccup', 'healthcar', 'occup', 'privat', 'insurancea', 'benefit', 'budget', 'spend', 'sport', 'transport', 'bike', 'benefit', 'lunch', 'etcphon', 'subscript', 'iphon', 'choic', 'reloc', 'support', 'flight', 'ticket', 'accommod', 'reloc', 'agenc', 'supporttim', 'selfdevelop', 'train', 'confer', 'certif', 'schemesfinnish', 'english', 'lesson', 'inspir', 'collabor', 'offic', 'silent', 'workspac', 'enabl', 'focusa', 'wide', 'varieti', 'coff', 'tea', 'snack', 'sweet', 'accompani', 'daili', 'space', 'missiondiv', 'inclus', 'core', 'valu', 'icey', 'passion', 'build', 'sustain', 'inclus', 'equit', 'learn', 'environ', 'staff', 'team', 'enrich', 'diver', 'expo', 'broad', 'rang', 'understand', 'engag', 'identifi', 'challeng', 'discov', 'design', 'deliv', 'solutionscould', 'role', 'appli', 'start', 'journey', 'iceyew', 'imposs', 'togethercontactravi', 'chettyravichettyiceyefi']",https://fi.linkedin.com/jobs/view/software-engineer-at-iceye-3688395927,16
7,7,Jefferson Frank,Backend Python Developer,Entry level,"['client', 'base', 'tamper', 'speak', 'experienc', 'backend', 'develop', 'product', 'teamveri', 'excit', 'opportun', 'grow', 'compani', 'product', 'competitor', 'marketgo', 'physic', 'product', 'digit', 'format', 'product', '4', 'digit', 'physic', 'product', 'digit', 'experi', 'smart', 'screen', 'visibl', 'current', 'custom', 'fleet', 'pod', 'issu', 'analyt', 'introduc', 'solut', 'user', 'offic', 'type', 'space', 'meetingthey', 'rang', 'tool', 'main', 'focus', 'withinaw', 'python', 'devop', 'cicd', 'iot', 'apisrol', 'develop', 'backend', 'servic', 'depend', 'skill', 'prefer', 'api', 'applic', 'mobil', 'applic', 'backend', 'backend', 'endpoint', 'data', 'process', 'pipelin', 'databa', 'backend', 'integr', 'googl', 'workspac', 'api', 'graph', 'api', 'salesforc', 'defin', 'implement', 'practic', 'control', 'stack', 'sen', 'aim', 'autom', 'autom', 'introduc', 'technolog', 'concept', 'improv', 'technolog', 'stackmi', 'client', 'interview', 'process', 'feel', 'appli', 'nowthi', 'descript', 'role', 'simpli', 'appli', 'role', 'discusstwitt', 'jeffersonfranklinkedin', 'httpswwwlinkedincominjasonupton167479231email', 'juptonjeffersonfrankcomphon', '358', '75', '3266673plea', 'note', 'perman', 'role', 'role', 'finnish', 'resid', 'role', 'offer', 'sponsorship', 'finland', 'restrict', 'role', 'subject', 'success', 'backgroundsecur', 'checksif', 'role', 'appli', 'role', 'highlight', 'appli', 'overview', 'role', '3', 'tech', 'locat', 'salaryi', 'discuss', 'skillset', 'role', 'suit', 'fori', 'speciali', 'mobil', 'cloud', 'recruit', 'jefferson', 'frank', 'intern', 'focus', 'placement', 'highlyskil', 'candid', 'posit', 'engin', 'analyst', 'architect', 'consult', 'project', 'manag', 'manag', 'etcw', 'global', 'recruit', 'agenc', 'dedic', 'sole', 'technolog', 'jefferson', 'frank', 'recruit', 'agenc', 'choic', 'contract', 'perman', 'remot', 'posit', 'peopl', 'job']",https://fi.linkedin.com/jobs/view/backend-python-developer-at-jefferson-frank-3677212193,2
8,8,Canonical,Software Engineer - Python and K8s,Entry level,"['mission', 'reinvent', 'compani', 'manag', 'sourc', 'public', 'cloud', 'data', 'centr', 'achiev', 'build', 'communiti', 'python', 'opscod', 'sourc', 'applic', 'kubernet', 'canon', 'ubuntu', 'sourc', 'codebasew', 'confid', 'dramat', 'improv', 'experi', 'complex', 'busi', 'oper', 'custom', 'embrac', 'techniqu', 'product', 'tradit', 'inwardfac', 'oper', 'transform', 'team', 'exten', 'product', 'engin', 'capabl', 'canon', 'intern', 'workload', 'sourc', 'workload', 'custom', 'oper', 'team', 'producti', 'workload', 'realtim', 'autom', 'oper', 'kubernetesthi', 'role', 'ideal', 'softwar', 'engin', 'enjoy', 'python', 'passion', 'distribut', 'entir', 'linux', 'stack', 'kernel', 'network', 'virtual', 'role', 'requir', 'rigour', 'code', 'custom', 'interact', 'engin', 'technic', 'astut', 'sourc', 'enthusiast', 'excit', 'cloud', 'comput', 'readi', 'global', 'team', 'charg', 'deliv', 'class', 'servic', 'customersstrong', 'python', 'develop', 'skill', 'familiar', 'kubernet', 'key', 'requir', 'role', 'close', 'team', 'canon', 'ensur', 'product', 'oper', 'reliabl', 'effici', 'scale', 'product', 'size', 'workload', 'custom', 'adopt', 'cuttingedg', 'technolog', 'particip', 'respon', 'ensur', 'sound', 'softwar', 'architectur', 'follow', 'practic', 'softwar', 'qualiti', 'documentationwhat', 'dowork', 'python', 'design', 'deliv', 'sourc', 'softwar', 'oper', 'codework', 'entir', 'linux', 'stack', 'kernel', 'network', 'storag', 'applicationslearn', 'rigor', 'applic', 'infrastructur', 'reliabilityshap', 'qualiti', 'sourc', 'monitor', 'alert', 'infrastructuresimplifi', 'sourc', 'oper', 'custom', 'sourc', 'communitydemonstr', 'sound', 'engin', 'design', 'principl', 'codefollow', 'agil', 'softwar', 'develop', 'practicescoach', 'develop', 'colleagu', 'insightsgrow', 'healthi', 'collabor', 'engin', 'cultur', 'compani', 'valueswork', 'global', 'travel', '2', 'week', 'eventswho', 'areyou', 'love', 'technolog', 'brilliant', 'peopleyou', 'bachelor', 'equiv', 'scienc', 'stem', 'degreeyou', 'experienc', 'linux', 'administr', 'packag', 'manag', 'operationsyou', 'handson', 'experi', 'public', 'cloudyou', 'familiar', 'docker', 'kubernetesyou', 'experienc', 'python', 'programm', 'enjoy', 'challeng', 'projectsyou', 'understand', 'reliabl', 'softwar', 'strive', 'design', 'code', 'expectationyou', 'organ', 'team', 'deliv', 'time', 'qualiti', 'softwareabout', 'canonicalcanon', 'grow', 'intern', 'softwar', 'compani', 'opensourc', 'communiti', 'deliv', 'ubuntu', 'softwar', 'platform', 'mission', 'reali', 'potenti', 'softwar', 'live', 'individu', 'organi', 'servic', 'individu', 'busi', 'worldwid', 'reduc', 'cost', 'improv', 'effici', 'enhanc', 'secur', 'ubuntuw', 'foster', 'workplac', 'discrimin', 'diver', 'experi', 'perspect', 'background', 'creat', 'environ', 'product', 'ident', 'applic', 'fair', 'considerationstack']",https://fi.linkedin.com/jobs/view/software-engineer-python-and-k8s-at-canonical-3725451243,0
9,9,Jefferson Frank,MLOps/Data Engineer - Helsinki - up to 6500€/pm + stocks,Entry level,"['senior', 'mlopsdata', 'engin', 'helsinki', '6500€pm', 'stocksour', 'partner', 'brand', 'mlop', 'data', 'engin', 'role', 'grow', 'saa', 'startup', 'focus', 'creat', 'agil', 'datadriven', 'innov', 'processesrespon', 'strong', 'ownership', 'data', 'pipelin', 'infra', 'individu', 'contributor', 'start', 'data', 'pipelin', 'machin', 'learn', 'product', 'settl', 'role', 'lead', 'project', 'coordin', 'technic', 'applic', 'stack', 'communic', 'product', 'teamrequir', 'technic', 'experi', 'python', 'sql', 'pulumi', 'communic', 'skill', 'technic', 'nontechn', 'stakehold', 'experi', 'project', 'set', 'data', 'andor', 'machin', 'learn', 'infrastructur', 'level', 'ambit', 'grow', 'profess', 'advanc', 'careerth', 'huge', 'opportun', 'grow', 'compani', 'biggest', 'player', 'fieldmi', 'client', 'interview', 'process', 'asap', 'limit', 'interview', 'spot', 'week', 'appli', 'nowthi', 'descript', 'role', 'simpli', 'appli', 'role', 'discusstwitt', 'jeffersonfranklinkedin', 'httpswwwlinkedincominjessicaleewright54b242221', 'email', 'jwrightjeffersonfrankcomphon', '358', '75', '326', '3948plea', 'note', 'perman', 'role', 'role', 'finnish', 'resid', 'role', 'offer', 'sponsorship', 'finland', 'restrict', 'role', 'subject', 'success', 'backgroundsecur', 'checksif', 'role', 'appli', 'role', 'highlight', 'appli', 'overview', 'role', '3', 'tech', 'locat', 'salaryi', 'discuss', 'skillset', 'role', 'suit', 'fori', 'special', 'mobil', 'cloud', 'recruit', 'jefferson', 'frank', 'intern', 'focus', 'placement', 'highlyskil', 'candid', 'posit', 'engin', 'analyst', 'architect', 'consult', 'project', 'manag', 'manag', 'etcw', 'global', 'recruit', 'agenc', 'dedic', 'sole', 'technolog', 'jefferson', 'frank', 'recruit', 'agenc', 'choic', 'contract', 'perman', 'remot', 'posit', 'peopl', 'jobsjefferson', 'frankjefferson', 'frank', 'amazon', 'servic', 'recruit', 'choic', 'organ', 'worldwid', 'deliv', 'perman', 'contract', 'devop', 'data', 'iaa', 'paa', 'secur']",https://fi.linkedin.com/jobs/view/mlops-data-engineer-helsinki-up-to-6500%E2%82%AC-pm-%2B-stocks-at-jefferson-frank-3712002168,7
