"company","job-title","level","description","job-url"
"Canonical","Embedded Linux Containers Software Engineer","Entry level","Work on mission-critical Golang code, focused on software delivery, containers, security sandboxing, telemetry and device management, as a software engineer on our SnapD team.Snaps are next-generation software packaging and delivery for Linux. They are designed for safety, security and robustness, with application-specific confinement of containers optimised for IoT devices, desktops and servers. Our goal is that snaps work across multiple Linux flavors to ensure that publishers have the simplest way to reach the whole Linux world.This role requires an obsession with quality and performance, for work at the heart of the operating system. It also requires an interest in the software publishing and consumption experience. Applicants should be passionate about open source software development. We value collaboration, peer reviews, good unit/integration testing and maintainable code. General knowledge and experience with Golang and Linux as a developer platform is required.What you'll doCollaborate proactively with a distributed teamWrite high quality code to create new featuresDebug issues and produce high quality code to fix themReview code produced by other engineersDiscuss ideas and collaborate on finding good solutionsObsess over how to achieve robustness despite unexpected events like power outagesWork from home with global travel for up to two weeks, twice a yearWho you areYou love technology and working with brilliant peopleYou are curious, flexible, articulate, and accountableYou value soft skills, are thoughtful and self-motivatedYou have a Bachelor's or equivalent in Computer Science, STEM or similar degreeYou have professional software development experience using Go, Python, C, or C++You know Linux system-level fundamentals, e.g. cgroups, namespaces, apparmorCommitment to software testing, code reviews and maintainable codeAbout CanonicalCanonical is a growing, international software company that works with the open-source community to deliver Ubuntu. Our services help businesses worldwide to reduce costs, improve efficiency and enhance security with Ubuntu. Canonical is a unique tech company - global, remote-first, open source, with 700 professionals across 50 countries - we want to be the world's best, not biggest, global software company. With almost every team remote by default, Canonical sets the pace on the 21st-century digital workplace.Work from homeLearning and development allowancesCompetitive SalaryAnnual compensation reviewRecognition rewardsGenerous annual leavePaid maternity, paternity and sick leavePriority Pass for travelExposure to international business and technologyWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/embedded-linux-containers-software-engineer-at-canonical-3673074917"
"Canonical","Community Engineer","Entry level","The role of a Community Engineer at CanonicalThe Ubuntu Community team at Canonical enables community leaders and participants to get things done in the project, coordinating with Canonical teams and ensuring that community processes are efficient and well run. We don't do the work of the community, but we facilitate that work to ensure that energetic and ambitious community members with their own vision of open source can benefit from the work Canonical does and bring their own flavour of Ubuntu into being, to meet the needs and express the interests of their community.This is an exciting opportunity for a technically proficient person who is passionate about open source software, Linux, and sustainable community building.In this role, you will support community initiatives with your technical skills and strong organizational skills. You can get into the trenches with developers to smooth processes and integrate community plans with Canonical plans for maximum impact. You can encourage and facilitate the creation of new technical projects that enhance the community contribution experience, and you can represent community interests to Canonical teams.You will support and engage with volunteer developers in the Ubuntu community, addressing their concerns and helping them to create successful tools. You will help to ensure their success and the overall autonomy and sustainability of the project. This role is likely a good fit for someone with experience in DevOps, Software Development, Testing or QA, package management, container technology. You will definitely need to be technically skilled with Linux.You will provide the content and technical support to ensure the community stays engaged and informed. This will include regular blog and social media posts about community initiatives, events, accomplishments, and collaborative efforts between Canonical and the Ubuntu community.You will communicate effectively with developers and software engineers and represent not only the Ubuntu community but Canonical as a contributor to the wider Linux ecosystem. Our team attends conferences and expos, and talks about technical community projects and their development processes.Location: This is a Globally remote role.What your day will look likeCollaborate proactively with a distributed teamWrite high quality content to promote and support community initiativesDiscuss ideas and collaborate on finding good solutions to community problemsWork from home with global travel 2 to 4 weeks for internal and external eventsPotential opportunity to travel more if you wishNurture community contributions to UbuntuEngage with the Ubuntu community through AskUbuntu, IRC, social media, conferences, etcRepresent Ubuntu via speaking engagements at events and conferences. What we are looking for in youYou love technology and working with brilliant peopleYou are curious, flexible, articulate, and accountableYou value soft skills and are passionate, enterprising, thoughtful, and self-motivatedYou have experience with developer tools and open source projectsYou have a clear public record of accomplishments (talks, blog posts, GitHub, Twitter, etc)You have interest and experience with two or more of the following: Ubuntu Linux - kernel or userspace, DevOps, software development, testing and QA, package management, container technologyYou can work autonomously and assume full ownership of objectives as neededYou can be flexible with your time and enjoy working with new technology in a fast-paced environmentYou are experienced working with open source communities and understand the workflow of volunteer contributorsAdditional Skills That You Might Also BringExperience with community managementExperience with Developer advocacyExperience as a software developerExamples of contributions to the Ubuntu CommunityExperience with contributing to open source projectsWhat we offer youYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/community-engineer-at-canonical-3687339242"
"Redhill Games","Technical Artist","Entry level","We're seeking a talented Technical Artist to join our team and collaborate with artists, designers, and developers to create engaging and visually stunning game experiences. As a Technical Artist, you'll be responsible for bridging the gap between art and technology, ensuring that assets are optimized for performance and that creative vision is implemented effectively in the game engine.Why Redhill?Founded in 2018, Redhill Games holds a unique position in the Finnish gaming industry. Our studio is dedicated to co-developing leading action-adventure games, setting us apart as a one-of-a-kind presence in Finland. With experienced leadership and an outstanding development team, we offer the opportunity to collaborate with some of the best AAA studios in the industry.When we look for new team members, we love to see passion, integrity, and team spirit. We value responsibility and character – we are all different but have a common purpose. We respect each other’s talent and contribution. As part of our international team, you'll connect with gamers who share your passion, ensuring there's always someone to play with!Our HQ is conveniently located in downtown Helsinki, easily accessible via public transportation and providing excellent access to the wide range of services the beautiful capital of Finland offers.Responsibilities:Working with several different disciplines including lighting, rigging, and animation - supporting on different tasksWorking closely with animators, programmers, and artists to solve problems in the content creation processDemonstrate creativity and technical ability within the constraints of PC developmentProviding hands-on support to artists and engineers in regard to asset performance and validationHelping to review the creative process and identify opportunities for tool improvementsDeveloping 3D art pipeline tools and extensions with an eye toward usability and efficiencyCreating shaders and materials.Optimize art assets for real-time performance and ensure that they meet the technical requirementDevelop and maintain tools and scripts that improve the efficiency and quality of art productionStay up-to-date with industry trends and emerging technologies to ensure that art production methods are current and effectiveRequirements:Experience with 3Ds Max / Maya / Houdini in the gaming industryAt least one shipped PC or console game titleUnderstanding of rigging and animationUnderstanding and hands-on experience with game engines (Unity / Unreal / Proprietary) Professional experience as a technical artist/tools programmerExperience modelling and art tools (Autodesk Maya, 3DS Max, Photoshop, etc.)Experience in a full digital art content creation pipeline (high and low-poly modelling, unwrapping, baking, texturing, level art)Experience in art content creationAbility to balance quality and technical constraintsAbility to work with technical documentationAdditional skills that will help you stand out:Experience with multiplayer games and games as a serviceGood artistic skills (proportions, light, colour, composition)Proficiency in programming languages such as Python, C++, or C#A strong eye for visual aesthetics and a passion for creating engaging game experiencesBenefits:Comprehensive healthcare insurance, which includes limited dental coverage.5 weeks of paid holiday, flexible working hours and commitment to an excellent work-life balance.Competitive salary and an annual profit-sharing scheme.Well-being benefits include lunch, entertainment, and commuting benefits.Start an exciting journey in Helsinki, Finland! We offer a seamless transition with our personalized relocation and integration services.At Redhill Games, our recruitment, hiring, and retention practices are designed to ensure equal opportunities for all applicants and employees. We celebrate and embrace diversity in our team with representation from over 25 nationalities! We are proud of the different cultures, backgrounds, and perspectives that our employees bring to the table, and we firmly believe that building an inclusive work environment is essential for promoting creativity, innovation, and collaboration.","https://fi.linkedin.com/jobs/view/technical-artist-at-redhill-games-3718504342"
"Sanofi","North Europe Junior Marketing Manager - VIE Contract (W/M)","Entry level","iMove, the Sanofi VIE Program, is available to citizens of the European Economic Area (EU + Norway, Liechtenstein and Iceland) aged between 18 and 28.PLEASE NOTE that since this program is primarily an international development program, candidates cannot apply to a VIE assignment in their own country of citizenship.PLEASE NOTE that applications that are only submitted in French cannot be considered by our non-French speaking partners at Sanofi worldwide.Therefore, only applications that are submitted in English will be considered.At Sanofi diversity and inclusion is foundational to how we operate and is embedded in our Core Values. We respect the diversity of our people, their backgrounds and experiences. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and be leveraged to empower the lives of our employees, patients and customers.We are looking for: North Europe Junior Marketing Manager - VIE Contract (W/M)Target start date: 01/01/2024We are looking for enthusiastic and driven Junior Marketing Manager VIE to join our agile Marketing team. The Junior Marketing Manager VIE will be the go-to person when it comes to operational development of marketing material and campaigns, and a strong contributor in marketing activities in the launches of new products as well as for the existing product portfolio.Responsibilities:Supporting Marketing Head in the annual Brand Planning and developing overall brand priorities for North Europe (NE)Scheduling and managing cross-functional team meetings, capturing minutes and deliverables/follow upsEngaging in transversal teamwork and communicationOptimizing cross-functional support in the organization and across the different countries in the regionPlanning and execution of multi-channel activitiesOperational development of marketing material, promotional campaigns and digital projects with local teams and external agenciesStrictly following Global, local and Sanofi Vaccines Policies & procedures to ensure efficient and compliant local operations in line with local laws and Company Code of EthicsRequirements:Master’s Degree in Business, Marketing, or related fieldMinimum 1 year of relevant experienceExperience in pharma industry is considered a very strong plusStrong communication skills in EnglishProficient in Microsoft office applications (PowerPoint, Excel, Word)Preferably experience with photo editing- and digital design toolsTeam player with ability to engage people & collaborate transversallyA digital mindset, ability to utilize new channels in an effective and impactful wayAt Sanofi diversity and inclusion is foundational to how we operate and embedded in our Core Values. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and be leveraged to empower the lives of our colleagues, patients and customers. We respect and celebrate the diversity of our people, their backgrounds and experiences and provide equal opportunity for all.","https://fi.linkedin.com/jobs/view/north-europe-junior-marketing-manager-vie-contract-w-m-at-sanofi-3729459793"
"Canonical","Kernel Engineer - Ubuntu Linux","Entry level","Are you passionate about the Linux kernel? Or maybe you've mastered a different low-level software development environment and are ready for a new challenge in Linux? Are you looking to work on a great team, where you can apply and grow your kernel development skills? This is an exciting time at Canonical, where due to a period of unprecedented growth we are seeking a number of software engineers to join our Kernel Team to play an integral part in the delivery of the heart of the most popular Linux distribution in the world.The Canonical Linux Kernel Team is responsible for developing and maintaining all supported Ubuntu Linux kernels, which run on a variety of platforms and architectures from small embedded devices to standard desktop/server systems to large scale cloud environments. The Kernel Team has openings for software engineers in a number of aspects that include but are not limited to:Ubuntu Linux distributionOptimized Ubuntu solutions for key Silicon and Cloud partnersDeveloper platforms such as Raspberry Pi and RISC-VEnabling Ubuntu on a wide range of embedded systemsLivepatch service, which allows Ubuntu customers to apply critical kernel (CVE) security fixes without rebootingFIPS complianceReal-Time and Low Latency systemsVirtualization or abstraction enginesSecurityNetworkingStorageWe are seeking candidates of all experience levels from recent University graduates up through seasoned industry experts who are enthusiastic to develop software in multiple areas including security mitigation, feature development, patching and test. This person must have a background in software engineering, be motivated to work in a distributed team and willing to travel globally up to 4 times a year for internal and external engineering events.What your day will look likeCollaborate regularly and proactively with a globally distributed team Work closely with external silicon, cloud, or hardware manufacturer delivery teams on bleeding edge platformsDiagnose and resolve issues in the kernel reported by customers and the communityTake personal responsibility for the delivery of various flavors of the Ubuntu Linux kernelImprove tooling and automation for delivery and test of Ubuntu Linux kernelsSubmit, review, and apply kernel patches, working with both internal and external upstream maintainersWhat we are looking for in youWell-organized, self-starting and able to deliver to fixed schedulesDemonstrated ability to present oneself in a professional manner when interacting with colleagues, business partners, and the open source communityAbility to communicate effectively in English, both written and oralSignificant programming experience in C, with Python and Bash scripting also highly regardedSolid background with gitBroad knowledge of the Linux kernel and kernel subsystemsDemonstrated experience with kernel patching and debuggingKnowledge/experience with Linux kernel upstream processes and release cycleStrong grasp of device drivers, BSP's, and other low level system engineeringPrior experience with Ubuntu/Debian/Snap packaging would be highly regardedWhat we offer youYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","https://fi.linkedin.com/jobs/view/kernel-engineer-ubuntu-linux-at-canonical-3724888640"
"Silo AI","Full Stack Software Developer","Entry level","AI for People defines what Silo AI stands for. We want to build a world with safe human-centric AI that frees the human mind from manual labour and empowers human creativity. We are looking experienced software developers interested in implementing production-grade AI solutions.As a Full Stack Software Developer you will be working on creating solutions and products for our clients. You will e.g. design and develop secure, and reliable web-based UI's and backend services for Machine Learning solutions. You will design and implement tools and applications that change the way we build and run our AI solutions and how we fit them into broader software systems. You will take care of packaging, testing, deploying, and supporting the software you deliver.Our current tech stack and tools consist of for example Python, Vue.js, React, PostgreSQL, MongoDB, Jenkins, and Kubernetes across private and public clouds Azure, AWS, and GCP. Read more about our cases that we have made for Infranode in automated lead generation and Philips in radiotherapy planning.What we valueStrong experience with our key technologies, including Python and preferably Vue.jsExperience in designing and building cloud-deployed web-based applications and data-heavy backend servicesInitiative, pragmatic problem solving, and great communication skillsDesire and ability to quickly acquire broad high-level intuition of AI systems and solutionsExperience in devops, AI systems and frameworks, scientific Python stack, edge deployments, and infrastructure automation is a big plusWhat Silo offers for you?As we already know, AI will be affecting almost everyone's work and everyday life. With us you have a real chance of shaping the change that AI will bring to everyone of us. You will get to choose your tools, methods, and ways of working together with the team while ramping it up. The products you develop will have a key role in expanding and accelerating the use of AI in large scale real world applications. Your closest colleagues will be an AI enthusiast mix of model developers and software experts working in the AI areas of computer vision, machine learning, and natural language processing. We aim for excellence by keep learning from the market, sharing our competence and looking for a growth mindset. We will help your learning for example through our Learning Labs and Talent CoachingInterested in joining us?Send your application and tell us why you are interested in the Software Developer role at Silo AI and what you are passionate about, along with relevant profiles (CV/LinkedIn/Github).","https://fi.linkedin.com/jobs/view/full-stack-software-developer-at-silo-ai-3641764678"
"Nigel Frank International","Power Platform","Entry level","One of our Microsoft partner clients based in Helsinki, are looking for Power Platform and Azure Data professionals to help with ongoing and future exciting projects, whilst getting top class professional development along the way.Skills & Qualifications Azure, Data Platform, Data Warehousing, Data Engineering, Azure Data Factory, Azure SQL, Strong ETL Knowledge, Power BI, Power Apps, Power Automate, Canvas Apps. Fluency in FinnishBenefits 10% of weekly contract hours dedicated to personal and professional development. Paid certifications Health-care Insurances friendly, supportive and thriving culture salary bonus food/culture/travel vouchers fully remote/hybrid flexible optionsGet in contact today if you are interested!Jack Allen (he/him)Recruitment ConsultantPhone: +358 94 245 2358 (ext. 2358)Email: j.allen@nigelfrank.comWebsite: www.nigelfrank.com","https://fi.linkedin.com/jobs/view/power-platform-at-nigel-frank-international-3671487972"
"Jefferson Frank","Backend Python Developer","Entry level","We have a new need from one of our best clients based in Tampere to speak with experienced Backend Developers and wondered if you would be interested in potentially joining their product team.Very exciting opportunity to be part of a growing company, you would be working on their product which is the best out of the other competitors on the market.Going beyond the physical product, going into digital format within the product (4 digital parts): Physical product Digital experience, smart screens Visibility to current customers, see the fleet of pods being used, find out the issues Analytic problems + Introduce solution for the user of the office find right type of space for the meetingThey use a range of tools but the main focus is within:AWS, Python, DevOps, CI/CD, IoT, API'sRole Develop the backend services such as (depending on your skills and preferences) APIs used by web applications, mobile applications, or backend systems Backend endpoints Data processing pipelines and databases Backend system integrations (e.g. Google Workspace APIs, Microsoft Graph APIs, Salesforce) Define and implement best practices and controls throughout the stack where it makes sense Aim to automate everything that can be automated Introduce new technologies and concepts that improve the ways of working or the technology stackMy client is looking to begin the interview process immediately so feel free to apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jason-upton-167479231/Email: j.upton@jeffersonfrank.comPhone: +358 75 3266673Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/backend-python-developer-at-jefferson-frank-3677212193"
"Target Vision Oy - Executive Search & Recruitment Tailor Made Solutions in Finland and International","SW Developer","Entry level","We are looking for a Machine Learning SW expert to improve our deployment from Python to mobile runtime stream. This work focuses on exporting the developed ML models from Python development environment to our mobile runtime environment (C++). There are two main areas of focus, model export to mobile format and then mobile ML model execution on device. This requires compilation and integration into our software product’s runtime environment.The work includes evaluation of ARM NN SDK (C++) features regarding Onnx and TFLite support and limitations as well as performance evaluation on converted models. A study on the workload for runtime conversion of PyTorch in Android AOSP environment is needed. Also, the work effort required for maintenance (version updates) and dependency identification is part of this work. An important part of the work consists of integrating ARM NN SDK into our existing C++ implemented solution. This includes changes required to make our SW product’s SDK API and its compilation and testing with our ML models suitable. The goal is to ensure modest workload for version updates with automation of testing and compilation, especially in Android Open Source Project (AOSP) project.The most important part of the work is PyTorch -> mobile conversion and runtime environment design and implementation. The current implementation flow from TensorFlow to TFLite model in TFLite runtime is to be changed to a flow from PyTorch to mobile optimized model. This work includes selection of suitable format at Python level (e.g. Onnx, TFLite, PyTorch mobile optimized) as well as evaluation and creation of conversion path from PyTorch to target format. There are several options, each with different constraints related to e.g. quality or predictable execution speed. Also, model optimization, such as quantization, is needed as part of the conversion flow. Compilation and integration against our SW product’s SDK API and testing with our ML models is to be done to verify the conversion.The recommended locations are Tampere or Espoo. The assumption is that most of the work can be done remotely, but network access requires a laptop managed by the client. We will provide the devices required for the work.We estimate that a skilled expert could complete this work by the end of 2023, if the start would be in August.After successful completion of this project, there may be new needs for a possible follow-up project.Skills and qualifications required Strong practical experience in Maching Learning development workflow Deep understanding of Onnx, TFLite and PyTorch ML development environments Good understanding of common DNN models model architecture and their parameters in each target ML development environment Excellent C++ SW development skills Understanding of Android AOSP Build engineering skills (CMake, Soong/Bazel for AOSP) Experience with ARM NN SDK Experience in implementing and testing ML-based solutions on ARM with Android OS and HW device Very good general software development skills with experience in using GitLab/GitHub and CI/CD","https://fi.linkedin.com/jobs/view/sw-developer-at-target-vision-oy-executive-search-recruitment-tailor-made-solutions-in-finland-and-international-3699967326"
"Jefferson Frank","Backend Developer","Entry level","Role Acting as a senior level developer as part of development team Developing and maintaining a reusable component library in Storybook based on atomic design principles Analysis, design and development with the mentioned technologies Effort estimation for own tasks Maintain high standards of software quality within the team Make projects research and expand the know-how of the team Communication with other team members and customers Reporting of the activities performedTech Solid working as Backend Developer with Node, JavaScript/TypeScript and REST APIs Experience with design systems/storybook Any AWS experience with cloud native development and understanding lambda-functions is a benefitKey Points In house product development, product used by millions of users on a daily basis (95% of Finns use their services) Very heavy on investment into the L&D side of things, every week there is weekly training courses within technologies. Opportunity to do certifications AWS Public Cloud User (AWS Expert Company) Long term Greenfield and maintenance work They use highly automated development tools & environment Modern technologies (Javascript / Typescript / Golang, Kotlin, Java and Python) Technologies vary from product to product, and you can actually influence, which technologies you use in whatever projectBenefits Brand New Office / Hybrid Working Work-life balance w/flexi days Diverse & International Community Partner benefit program Private Health Aunite - Wellbeing service Phone / Laptop Lunch / Sport vouchers Performance bonusMy client is looking to begin the interview process immediately so feel free to apply now!This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/jason-upton-167479231/Email: j.upton@jeffersonfrank.comPhone: +358 75 3266673Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs.","https://fi.linkedin.com/jobs/view/backend-developer-at-jefferson-frank-3661264095"
